WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,DewPoint,RelativeHumidity,VaporPressure,WindDirection,LandVisibility,AirTemperature,Rainfall
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.24,07-21-2019,16:00:00,12.10,1005.53,7.4,22.7,94,27.50,240,7.00,23.7,12.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,987.95,07-21-2019,16:00:00,2.00,1003.48,9.3,24.9,57,31.44,160,10.00,34.6,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.34,07-21-2019,16:00:00,0.00,1004.25,11.1,25.6,59,32.92,180,12.00,35.0,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.03,07-21-2019,16:00:00,0.00,1005.43,7.4,23.4,53,28.76,220,9.00,34.3,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1003.25,07-21-2019,16:00:00,0.00,1005.13,5.6,23.2,53,28.43,190,10.00,34.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,982.73,07-21-2019,16:00:00,4.20,1002.84,7.4,21.2,40,25.11,240,12.00,37.0,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.08,07-21-2019,16:00:00,0.00,1003.26,3.7,22.9,52,27.98,210,11.00,34.2,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,987.45,07-21-2019,16:00:00,6.60,1003.21,5.6,25.0,61,31.75,340,10.00,33.5,0.01
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,990.42,07-21-2019,16:00:00,0.00,1004.03,7.4,22.5,47,27.19,210,10.00,35.5,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.03,07-21-2019,16:00:00,0.00,1004.53,0.0,24.5,61,30.69,000,10.00,33.0,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,991.00,07-21-2019,16:00:00,0.00,1005.23,0.0,24.6,53,30.92,000,10.00,35.6,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.78,07-21-2019,16:00:00,0.00,1004.71,0.0,21.9,46,26.31,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,35.2,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,996.22,07-21-2019,16:00:00,0.00,1003.92,5.6,22.8,47,27.81,120,10.00,35.8,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.05,07-21-2019,16:00:00,0.00,1005.13,13.0,24.3,56,30.29,230,9.00,34.2,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.60,07-21-2019,16:00:00,0.00,1005.97,0.0,27.3,71,36.26,000,9.00,33.2,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,871.57,07-21-2019,16:00:00,1.40,1005.37,5.6,21.5,98,25.62,190,.08,21.8,0.01
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,998.33,07-21-2019,16:00:00,0.00,1004.01,5.6,24.8,51,31.38,200,10.00,36.5,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1004.69,07-21-2019,16:00:00,0.00,1005.47,11.1,27.2,61,36.17,230,10.00,36.0,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.43,07-21-2019,16:00:00,0.00,1005.87,14.8,25.3,71,32.26,210,10.00,31.1,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,994.92,07-21-2019,16:00:00,0.00,1006.10,5.6,24.6,73,30.87,330,10.00,30.0,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.09,07-21-2019,16:00:00,0.00,1005.07,11.1,24.4,53,30.62,210,12.00,35.6,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1003.35,07-21-2019,16:00:00,0.00,1005.12,9.3,22.6,49,27.49,160,12.00,34.8,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.00,07-21-2019,16:00:00,0.40,1004.74,0.0,24.0,55,29.83,000,9.00,34.4,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.20,07-21-2019,16:00:00,0.00,1005.90,20.4,24.5,64,30.65,190,10.00,32.0,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1004.55,07-21-2019,16:00:00,0.00,1005.23,7.4,24.2,53,30.27,190,12.00,35.3,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,982.84,07-21-2019,16:00:00,0.00,1003.15,11.1,24.8,46,31.35,260,10.00,38.4,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,987.67,07-21-2019,16:00:00,0.00,1003.86,9.3,23.8,50,29.56,230,12.00,35.8,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,987.50,07-21-2019,16:00:00,0.00,1003.42,0.0,24.2,52,30.10,000,10.00,35.5,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.23,07-21-2019,16:00:00,0.00,1003.38,9.3,23.9,50,29.69,250,10.00,36.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.35,07-21-2019,16:00:00,0.00,1004.73,14.8,22.4,55,27.13,200,15.00,32.5,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.04,07-21-2019,16:00:00,0.00,1003.94,11.1,22.7,47,27.64,230,10.00,36.0,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,985.40,07-21-2019,16:00:00,0.01,1005.76,5.6,25.9,65,33.41,150,10.00,33.3,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.43,07-21-2019,16:00:00,0.00,1005.85,13.0,25.7,73,32.93,170,10.00,31.0,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.53,07-21-2019,16:00:00,0.00,1004.92,5.6,24.7,62,31.20,250,11.00,33.1,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.70,07-21-2019,16:00:00,1.00,1005.53,0.0,26.0,67,33.66,000,9.00,33.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.14,07-21-2019,16:00:00,0.50,1005.41,9.3,23.2,71,28.45,340,6.00,28.9,0.50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.01,07-21-2019,16:00:00,0.00,1005.09,3.7,24.8,58,31.39,150,10.00,34.3,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.46,07-21-2019,16:00:00,0.01,1005.76,9.3,24.9,65,31.48,190,10.00,32.4,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.95,07-21-2019,16:00:00,0.00,1005.62,5.6,24.5,61,30.69,180,10.00,33.0,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.33,07-21-2019,16:00:00,0.00,1005.81,5.6,24.4,60,30.53,120,10.00,33.2,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1003.93,07-21-2019,16:00:00,0.01,1005.31,11.1,24.0,57,29.75,190,10.00,33.8,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.35,07-21-2019,16:00:00,0.00,1006.01,18.5,26.4,81,34.34,190,12.00,30.0,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.15,07-21-2019,16:00:00,2.30,1006.97,11.1,22.3,50,26.93,230,15.00,34.1,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.99,07-21-2019,16:00:00,0.00,1007.27,3.7,24.9,60,31.50,180,12.00,33.8,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.11,07-21-2019,16:00:00,0.00,1006.20,5.6,25.1,69,31.93,230,12.00,31.5,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.47,07-21-2019,16:00:00,0.00,1006.30,11.1,24.5,66,30.69,240,12.00,31.6,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1000.00,07-21-2019,16:00:00,0.00,1005.46,7.4,25.0,60,31.59,230,8.00,33.7,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.01,07-21-2019,16:00:00,0.00,1007.09,16.7,23.2,51,28.47,230,10.00,35.0,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.94,07-21-2019,16:00:00,0.90,1007.19,22.2,25.3,76,32.30,320,4.00,30.0,0.40
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.00,07-21-2019,16:00:00,1.70,1005.43,18.5,27.3,68,36.23,170,11.00,34.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.03,07-21-2019,16:00:00,2.40,1007.28,0.0,24.5,85,30.67,000,10.00,27.2,2.40
