WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,RelativeHumidity,LandVisibility,AirTemperature,MeanSeaLevelPressure,WindSpeed,VaporPressure,DewPoint,StationPressure,Rainfall
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,230,10-10-2019,04:00:00,0.00,86,10.00,26.1,1010.62,1.9,29.15,23.6,990.34,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,10-10-2019,04:00:00,0.00,90,10.00,23.3,1011.35,0.0,25.84,21.6,989.28,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,000,10-10-2019,04:00:00,0.00,87,10.00,24.5,1010.31,0.0,26.84,22.3,990.61,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,10-10-2019,04:00:00,0.00,89,10.00,24.0,1010.89,0.0,26.50,22.0,993.92,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-10-2019,04:00:00,0.00,94,10.00,23.2,1011.17,0.0,26.66,22.1,993.48,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,000,10-10-2019,04:00:00,0.00,96,8.00,25.5,1010.64,0.0,31.25,24.8,984.66,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,070,10-10-2019,04:00:00,0.00,98,6.00,25.8,1010.73,5.6,32.65,25.5,1004.89,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-10-2019,04:00:00,0.00,97,6.00,25.8,1010.63,0.0,32.09,25.2,1004.39,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-10-2019,04:00:00,3.50,92,8.00,24.5,1012.35,0.0,28.37,23.2,995.70,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,000,10-10-2019,04:00:00,0.20,91,8.00,24.5,1009.41,0.0,28.11,23.0,986.85,0.00
