WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,VaporPressure,AirTemperature,WindSpeed,WindDirection,DewPoint,StationPressure,Rainfall,RelativeHumidity,Rainfall24Hr
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.61,08-12-2019,22:00:00,10.00,28.23,29.5,1.9,300,23.1,986.91,0.00,68,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.68,08-12-2019,22:00:00,6.00,26.25,24.0,0.0,000,21.9,958.04,0.30,88,6.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.27,08-12-2019,22:00:00,6.00,30.90,25.6,5.6,050,24.6,1003.29,0.20,94,0.50
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1008.34,08-12-2019,22:00:00,3.00,24.30,21.1,9.3,240,20.6,913.01,1.60,97,7.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1006.81,08-12-2019,22:00:00,6.00,36.77,28.5,0.0,000,27.5,990.91,0.60,95,1.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.50,08-12-2019,22:00:00,10.00,33.02,26.7,0.0,000,25.7,1003.46,1.60,94,5.20
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.64,08-12-2019,22:00:00,6.00,31.22,26.2,0.0,000,24.8,997.92,0.80,92,2.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.68,08-12-2019,22:00:00,8.00,30.84,26.0,9.3,180,24.6,1006.74,0.30,92,6.40
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.90,08-12-2019,22:00:00,10.00,28.70,28.6,0.0,000,23.4,986.16,0.00,73,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.96,08-12-2019,22:00:00,10.00,32.96,28.5,0.0,000,25.7,989.39,0.00,85,0.30
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.48,08-12-2019,22:00:00,10.00,33.95,28.7,5.6,200,26.2,990.43,0.00,86,4.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.30,08-12-2019,22:00:00,10.00,31.00,27.8,5.6,200,24.6,993.30,0.00,83,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.23,08-12-2019,22:00:00,10.00,30.02,27.0,3.7,150,24.1,993.39,0.00,84,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.13,08-12-2019,22:00:00,8.00,31.56,27.8,0.0,000,24.9,993.49,0.00,84,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.01,08-12-2019,22:00:00,10.00,31.46,26.9,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.9,1003.99,0.00,89,0.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1007.23,08-12-2019,22:00:00,8.00,31.29,28.8,0.0,000,24.8,999.33,0.00,79,0.20
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.01,08-12-2019,22:00:00,6.00,33.20,28.9,7.4,180,25.8,1006.90,0.00,83,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1007.24,08-12-2019,22:00:00,8.00,27.85,28.0,0.0,000,22.9,992.60,0.00,74,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.18,08-12-2019,22:00:00,.05,23.13,20.0,5.6,190,19.8,874.11,0.00,99,25.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1007.99,08-12-2019,22:00:00,8.00,32.32,26.2,3.7,220,25.3,1002.09,4.20,95,6.80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.85,08-12-2019,22:00:00,8.00,32.96,29.2,7.4,230,25.7,1007.06,0.00,81,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.71,08-12-2019,22:00:00,10.00,32.26,29.0,14.8,210,25.3,1007.27,0.00,81,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.92,08-12-2019,22:00:00,5.00,32.35,26.5,0.0,000,25.4,997.58,0.30,93,37.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.20,08-12-2019,22:00:00,10.00,34.07,27.5,0.0,000,26.2,1007.19,0.40,93,2.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.89,08-12-2019,22:00:00,7.00,32.64,27.5,0.0,000,25.5,1006.06,0.00,89,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.87,08-12-2019,22:00:00,6.00,32.51,26.3,0.0,000,25.4,1007.11,0.01,95,13.10
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.17,08-12-2019,22:00:00,10.00,30.70,28.5,11.1,230,24.5,1007.47,0.00,79,0.10
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.09,08-12-2019,22:00:00,7.00,31.69,29.0,0.0,000,25.0,1007.39,0.00,79,0.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1007.60,08-12-2019,22:00:00,10.00,27.88,27.0,0.0,000,22.9,986.44,0.00,78,9.50
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1007.56,08-12-2019,22:00:00,7.00,30.70,27.5,0.0,000,24.5,990.86,0.00,84,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.74,08-12-2019,22:00:00,7.00,30.42,27.5,3.7,180,24.3,991.32,0.00,83,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.81,08-12-2019,22:00:00,10.00,29.87,28.5,0.0,000,24.0,986.05,0.00,77,0.40
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.10,08-12-2019,22:00:00,12.00,26.47,26.5,7.4,220,22.0,964.75,0.00,77,0.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.86,08-12-2019,22:00:00,10.00,27.61,28.3,11.1,180,22.7,987.37,0.00,72,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.01,08-12-2019,22:00:00,8.00,33.34,27.0,5.6,190,25.9,988.15,0.00,94,0.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.27,08-12-2019,22:00:00,10.00,29.35,28.8,11.1,230,23.7,1007.84,0.10,74,0.40
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1007.80,08-12-2019,22:00:00,6.00,31.69,27.3,0.0,000,25.0,1006.38,0.00,87,2.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.20,08-12-2019,22:00:00,7.00,32.46,26.7,0.0,000,25.4,1003.26,0.00,93,0.01
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1007.99,08-12-2019,22:00:00,10.00,33.05,27.7,0.0,000,25.7,1004.71,0.00,89,2.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.89,08-12-2019,22:00:00,8.00,33.74,27.2,0.0,000,26.1,1006.78,0.01,94,2.10
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.30,08-12-2019,22:00:00,10.00,31.21,28.9,7.4,210,24.8,1008.00,0.00,78,0.01
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1007.80,08-12-2019,22:00:00,10.00,32.71,28.8,0.0,000,25.5,1007.31,0.00,83,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.16,08-12-2019,22:00:00,10.00,32.51,28.7,11.1,190,25.4,1006.75,0.00,83,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.68,08-12-2019,22:00:00,10.00,30.84,26.0,0.0,000,24.6,1001.63,0.00,92,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.31,08-12-2019,22:00:00,10.00,32.27,28.3,0.0,000,25.3,1008.03,0.00,84,0.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.14,08-12-2019,22:00:00,10.00,31.95,28.0,5.6,200,25.1,1005.02,0.00,85,13.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.52,08-12-2019,22:00:00,10.00,32.81,27.3,5.6,230,25.6,1001.58,0.00,90,5.80
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.68,08-12-2019,22:00:00,8.00,32.36,27.5,0.0,000,25.4,1003.08,0.00,88,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.04,08-12-2019,22:00:00,10.00,33.55,26.4,0.0,000,26.0,1007.77,0.00,98,10.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.66,08-12-2019,22:00:00,11.00,30.23,27.4,3.7,270,24.2,1008.23,0.00,83,1.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.03,08-12-2019,22:00:00,10.00,29.46,25.4,0.0,000,23.8,996.68,0.00,91,2.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.48,08-12-2019,22:00:00,10.00,28.90,27.7,7.4,250,23.5,1007.77,0.00,78,4.90
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.94,08-12-2019,22:00:00,10.00,30.43,26.5,7.4,180,24.3,1006.50,0.00,88,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.89,08-12-2019,22:00:00,10.00,32.88,28.6,11.1,230,25.6,1008.38,0.00,84,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.02,08-12-2019,22:00:00,10.00,30.50,27.4,0.0,000,24.4,1003.86,0.00,84,0.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.83,08-12-2019,22:00:00,7.00,33.37,28.0,0.0,000,25.9,1008.42,0.00,88,2.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.29,08-12-2019,22:00:00,8.00,30.97,26.5,0.0,000,24.6,1006.51,0.00,89,0.40
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.18,08-12-2019,22:00:00,10.00,29.85,27.2,0.0,000,24.0,1008.40,0.00,83,7.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.39,08-12-2019,22:00:00,7.00,31.44,25.6,5.6,100,24.9,1008.93,0.00,96,54.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.47,08-12-2019,22:00:00,8.00,29.58,27.2,0.0,000,23.9,1008.79,0.00,82,9.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.15,08-12-2019,22:00:00,7.00,30.34,26.6,1.9,230,24.3,1007.62,0.00,87,8.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.82,08-12-2019,22:00:00,10.00,30.97,27.5,1.9,220,24.6,1008.90,0.00,84,19.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.46,08-12-2019,22:00:00,10.00,32.76,27.7,0.0,000,25.6,1008.77,0.00,88,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.55,08-12-2019,22:00:00,9.00,29.58,25.9,0.0,000,23.9,1008.75,0.00,89,0.01
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.26,08-12-2019,22:00:00,10.00,28.65,28.0,0.0,000,23.3,1008.63,0.00,76,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.57,08-12-2019,22:00:00,10.00,30.12,27.2,0.0,000,24.2,1009.16,0.00,84,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.18,08-12-2019,22:00:00,6.00,28.51,27.2,0.0,000,23.2,1006.96,0.00,79,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.38,08-12-2019,22:00:00,10.00,29.08,26.5,0.0,000,23.6,1007.77,0.00,84,9.90
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.55,08-12-2019,22:00:00,10.00,28.59,25.5,0.0,000,23.3,1006.05,0.00,88,0.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.43,08-12-2019,22:00:00,10.00,29.68,28.4,0.0,000,23.9,1008.07,0.00,77,0.01
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.61,08-12-2019,22:00:00,10.00,31.79,28.2,9.3,240,25.1,1008.73,0.00,83,1.10
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1009.88,08-12-2019,22:00:00,10.00,29.74,25.7,0.0,000,23.9,1006.30,0.00,90,0.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.56,08-12-2019,22:00:00,10.00,31.74,28.6,0.0,000,25.0,1009.12,0.00,81,0.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.17,08-12-2019,22:00:00,10.00,30.96,29.2,0.0,000,24.6,1008.18,0.00,76,1.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.39,08-12-2019,22:00:00,10.00,30.16,26.5,0.0,000,24.2,1008.57,0.00,87,8.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.60,08-12-2019,22:00:00,10.00,31.69,27.3,0.0,000,25.0,1007.79,0.00,87,4.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.62,08-12-2019,22:00:00,10.00,28.70,28.6,5.6,230,23.4,1008.87,0.00,73,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1009.84,08-12-2019,22:00:00,10.00,30.37,26.9,0.0,000,24.3,1005.83,0.00,86,3.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.75,08-12-2019,22:00:00,10.00,31.46,26.9,0.0,000,24.9,1009.07,0.00,89,1.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.64,08-12-2019,22:00:00,10.00,29.56,26.9,0.0,000,23.8,1008.52,0.00,83,4.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1009.90,08-12-2019,22:00:00,10.00,30.56,27.0,0.0,000,24.4,1006.97,0.00,86,1.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.30,08-12-2019,22:00:00,8.00,34.98,27.8,0.0,000,26.7,1008.61,0.00,94,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.02,08-12-2019,22:00:00,7.00,30.72,27.8,0.0,000,24.5,1005.90,0.00,82,0.10
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1009.49,08-12-2019,22:00:00,10.00,31.95,28.0,7.4,270,25.1,1008.90,0.00,85,11.70
