WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,RelativeHumidity,WindDirection,VaporPressure,Rainfall24Hr,DewPoint,LandVisibility,StationPressure,WindSpeed,AirTemperature
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-07-2019,22:00:00,1009.63,91,000,29.82,2.00,24.0,10.00,981.97,0.0,25.6
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-07-2019,22:00:00,1008.07,73,000,26.86,0.00,22.3,10.00,974.64,0.0,27.6
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-07-2019,22:00:00,1008.33,88,270,29.50,0.20,23.8,10.00,989.77,3.7,26.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-07-2019,22:00:00,1007.60,88,000,32.16,0.10,25.3,10.00,984.84,0.0,27.4
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-07-2019,22:00:00,1007.71,90,000,32.21,0.00,25.3,8.00,977.87,0.0,27.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-07-2019,22:00:00,1008.82,96,000,29.77,5.20,24.0,6.00,973.09,0.0,24.7
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-07-2019,22:00:00,1006.92,93,000,30.17,0.00,24.2,12.00,977.13,0.0,25.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-07-2019,22:00:00,1008.69,81,000,29.13,0.00,23.6,10.00,1001.37,0.0,27.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-07-2019,22:00:00,1006.90,85,190,33.99,0.00,26.2,12.00,987.14,3.7,29.0
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-07-2019,22:00:00,1007.59,77,000,26.47,0.00,22.0,12.00,978.91,0.0,26.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-07-2019,22:00:00,1006.85,90,000,32.93,1.80,25.7,12.00,986.73,0.0,27.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-07-2019,22:00:00,1007.52,88,000,31.77,0.00,25.1,12.00,985.81,0.0,27.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-07-2019,22:00:00,1007.19,85,000,32.03,0.00,25.2,12.00,987.77,0.0,27.9
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-07-2019,22:00:00,1007.92,90,000,33.13,1.30,25.8,10.00,991.20,0.0,27.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-07-2019,22:00:00,1008.38,92,000,32.77,0.10,25.6,12.00,990.96,0.0,27.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-07-2019,22:00:00,1006.75,83,000,31.39,0.20,24.8,10.00,981.08,0.0,28.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-07-2019,22:00:00,1008.31,79,000,29.82,0.00,24.0,10.00,1002.54,0.0,27.9
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-07-2019,22:00:00,1007.62,77,000,29.19,0.00,23.6,10.00,1001.45,0.0,28.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-07-2019,22:00:00,1008.98,84,000,30.02,0.00,24.1,10.00,992.51,0.0,27.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-07-2019,22:00:00,1009.23,95,000,29.33,11.00,23.7,10.00,986.69,0.0,24.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-07-2019,22:00:00,1009.91,67,260,25.59,0.00,21.5,10.00,995.54,13.0,28.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-07-2019,22:00:00,1008.66,69,000,26.37,0.00,22.0,8.00,992.32,0.0,28.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,6.20,09-07-2019,22:00:00,1009.08,93,140,29.16,44.80,23.6,10.00,1003.80,5.6,24.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-07-2019,22:00:00,1007.63,91,230,32.89,1.30,25.6,10.00,994.44,7.4,27.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-07-2019,22:00:00,1009.14,96,000,32.59,57.00,25.5,11.00,999.77,0.0,26.2
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-07-2019,22:00:00,1007.72,92,200,32.58,6.90,25.5,10.00,986.01,3.7,26.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-07-2019,22:00:00,1006.43,84,000,30.02,3.80,24.1,10.00,988.94,0.0,27.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-07-2019,22:00:00,1007.07,93,000,31.96,1.40,25.1,10.00,991.20,0.0,26.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-07-2019,22:00:00,1006.94,91,000,31.71,1.80,25.0,10.00,988.04,0.0,26.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-07-2019,22:00:00,1010.97,91,000,25.60,14.70,21.5,7.00,959.10,0.0,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,2.50,09-07-2019,22:00:00,1008.97,95,090,32.71,2.50,25.5,5.00,1004.99,7.4,26.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.20,09-07-2019,22:00:00,1010.86,97,250,23.70,6.10,20.2,.40,915.16,11.1,20.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-07-2019,22:00:00,1007.75,95,000,33.30,8.40,25.8,7.00,991.74,0.0,26.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-07-2019,22:00:00,1009.28,73,000,27.59,0.01,22.7,12.00,1005.25,0.0,28.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-07-2019,22:00:00,1010.06,72,000,27.06,0.00,22.4,5.00,999.39,0.0,28.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-07-2019,22:00:00,1010.76,70,180,26.54,0.00,22.1,8.00,1008.83,7.4,28.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-07-2019,22:00:00,1008.70,80,220,30.48,0.00,24.4,10.00,987.88,3.7,28.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-07-2019,22:00:00,1007.66,94,230,33.54,5.50,26.0,10.00,989.99,3.7,27.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1.40,09-07-2019,22:00:00,1007.58,93,210,33.66,10.20,26.0,10.00,991.43,5.6,27.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-07-2019,22:00:00,1008.76,85,000,31.05,0.00,24.7,10.00,994.73,0.0,27.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-07-2019,22:00:00,1009.09,88,260,30.05,0.90,24.1,10.00,994.20,3.7,26.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-07-2019,22:00:00,1008.66,88,240,32.76,0.01,25.6,10.00,994.00,7.4,27.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-07-2019,22:00:00,1008.87,73,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.06,0.00,23.0,10.00,1005.86,0.0,28.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-07-2019,22:00:00,1008.55,84,000,32.27,6.10,25.3,7.00,1000.62,0.0,28.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-07-2019,22:00:00,1009.53,67,230,26.13,0.00,21.8,8.00,1008.42,14.8,28.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-07-2019,22:00:00,1008.50,85,000,36.05,0.00,27.2,8.00,993.94,0.0,30.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-07-2019,22:00:00,1012.17,98,280,21.65,0.20,18.8,8.00,876.33,9.3,19.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-07-2019,22:00:00,1008.85,85,000,31.95,0.00,25.1,10.00,1002.98,0.0,28.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-07-2019,22:00:00,1010.10,71,230,27.89,0.00,22.9,9.00,1009.30,9.3,28.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-07-2019,22:00:00,1010.00,84,230,33.70,0.00,26.0,10.00,1009.56,16.7,29.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-07-2019,22:00:00,1011.53,90,000,29.38,5.20,23.7,5.00,1000.12,0.0,25.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-07-2019,22:00:00,1010.15,74,320,28.78,0.00,23.4,10.00,1009.14,3.7,28.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-07-2019,22:00:00,1009.75,67,000,25.95,1.00,21.7,8.00,1007.93,0.0,28.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-07-2019,22:00:00,1010.18,70,230,26.54,0.00,22.1,8.00,1009.41,7.4,28.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-07-2019,22:00:00,1010.12,88,230,32.36,0.00,25.4,10.00,1009.41,9.3,27.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-07-2019,22:00:00,1009.76,83,300,33.00,0.00,25.7,7.00,1009.06,3.7,28.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-07-2019,22:00:00,1009.04,74,230,28.22,0.00,23.1,10.00,987.93,3.7,28.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-07-2019,22:00:00,1008.95,87,000,31.22,1.20,24.8,8.00,992.21,0.0,27.2
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-07-2019,22:00:00,1009.46,89,180,30.97,3.30,24.6,7.00,992.96,3.7,26.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-07-2019,22:00:00,1009.38,82,000,30.64,0.00,24.4,10.00,987.54,0.0,27.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-07-2019,22:00:00,1010.14,70,240,23.96,0.00,20.4,10.00,966.66,11.1,26.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-07-2019,22:00:00,1008.49,75,230,29.33,0.00,23.7,10.00,988.00,5.6,28.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-07-2019,22:00:00,1010.33,98,200,34.44,0.00,26.4,9.00,989.42,9.3,26.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-07-2019,22:00:00,1010.44,69,320,27.46,0.00,22.6,10.00,1010.00,7.4,28.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-07-2019,22:00:00,1009.47,87,000,31.22,0.00,24.8,6.00,1008.05,0.0,27.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-07-2019,22:00:00,1009.84,90,000,32.61,0.00,25.5,7.00,1004.90,0.0,27.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-07-2019,22:00:00,1010.71,76,000,28.10,0.10,23.0,10.00,1007.42,0.0,27.7
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-07-2019,22:00:00,1010.48,76,250,28.37,0.00,23.2,11.00,1009.37,3.7,27.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-07-2019,22:00:00,1010.37,74,320,30.13,0.00,24.2,10.00,1010.07,3.7,29.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-07-2019,22:00:00,1010.20,78,000,32.13,0.00,25.2,10.00,1009.71,0.0,29.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-07-2019,22:00:00,1010.45,68,260,27.21,0.00,22.5,10.00,1009.04,13.0,29.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-07-2019,22:00:00,1011.74,89,000,30.59,0.00,24.4,10.00,1003.68,0.0,26.3
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-07-2019,22:00:00,1008.84,81,000,32.55,0.00,25.5,10.00,1008.56,0.0,29.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-07-2019,22:00:00,1010.04,85,000,32.96,0.00,25.7,10.00,1006.92,0.0,28.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-07-2019,22:00:00,1010.22,85,230,33.16,0.00,25.8,10.00,1003.29,5.6,28.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-07-2019,22:00:00,1009.96,85,000,31.25,0.00,24.8,10.00,1004.35,0.0,27.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-07-2019,22:00:00,1011.28,77,270,27.36,0.00,22.6,10.00,1010.01,11.1,27.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-07-2019,22:00:00,1010.24,80,000,29.33,4.20,23.7,11.00,1009.80,0.0,27.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-07-2019,22:00:00,1011.00,82,000,27.40,0.00,22.6,10.00,998.65,0.0,26.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-07-2019,22:00:00,1010.48,74,000,28.78,0.30,23.4,10.00,1009.77,0.0,28.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-07-2019,22:00:00,1010.33,82,200,33.24,0.00,25.8,10.00,1007.90,3.7,29.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-07-2019,22:00:00,1010.37,86,250,34.15,0.00,26.3,10.00,1009.86,9.3,28.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-07-2019,22:00:00,1010.23,85,210,32.96,0.00,25.7,8.00,1005.08,1.9,28.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-07-2019,22:00:00,1010.62,90,170,34.36,0.20,26.4,7.00,1010.21,5.6,28.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-07-2019,22:00:00,1010.83,94,000,32.94,0.00,25.7,8.00,1008.05,0.0,26.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-07-2019,22:00:00,1009.50,76,000,29.03,0.00,23.5,10.00,1008.71,0.0,28.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-07-2019,22:00:00,1010.96,91,000,32.69,4.90,25.5,7.00,1010.50,0.0,27.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-07-2019,22:00:00,1011.24,82,320,30.84,0.00,24.6,8.00,1010.56,3.7,28.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-07-2019,22:00:00,1011.37,86,000,30.56,0.00,24.4,8.00,1009.84,0.0,27.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-07-2019,22:00:00,1012.17,89,000,32.05,0.00,25.2,10.00,1011.25,0.0,27.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.10,09-07-2019,22:00:00,1011.55,85,290,32.84,0.10,25.6,10.00,1010.86,5.6,28.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-07-2019,22:00:00,1011.66,90,000,31.24,0.00,24.8,8.00,1010.86,0.0,26.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.50,09-07-2019,22:00:00,1011.26,91,210,29.82,0.50,24.0,10.00,1010.62,3.7,25.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.90,09-07-2019,22:00:00,1011.85,94,000,31.27,0.90,24.8,8.00,1011.44,0.0,25.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.30,09-07-2019,22:00:00,1014.24,96,000,30.32,0.30,24.3,5.00,1009.98,0.0,25.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-07-2019,22:00:00,1010.66,92,000,31.79,0.00,25.1,8.00,1009.04,0.0,26.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-07-2019,22:00:00,1011.52,87,000,31.61,0.00,25.0,8.00,1008.03,0.0,27.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-07-2019,22:00:00,1011.49,90,330,32.61,0.00,25.5,10.00,1010.13,3.7,27.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-07-2019,22:00:00,1011.51,90,000,32.61,0.00,25.5,10.00,1010.62,0.0,27.2
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-07-2019,22:00:00,1011.46,85,000,31.25,0.00,24.8,10.00,1007.90,0.0,27.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-07-2019,22:00:00,1011.29,80,000,31.06,0.00,24.7,10.00,1010.86,0.0,28.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-07-2019,22:00:00,1011.07,73,000,30.47,0.00,24.4,10.00,1010.08,0.0,29.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-07-2019,22:00:00,1011.83,85,070,30.48,0.00,24.4,10.00,1011.01,7.4,27.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-07-2019,22:00:00,1012.46,83,000,31.99,1.30,25.2,10.00,1010.65,0.0,28.3
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-07-2019,22:00:00,1011.34,72,150,28.72,0.00,23.4,10.00,1010.59,3.7,28.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-07-2019,22:00:00,1011.44,96,260,32.79,12.80,25.6,5.00,1007.41,3.7,26.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-07-2019,22:00:00,1011.85,88,000,33.37,0.00,25.9,10.00,1011.16,0.0,28.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-07-2019,22:00:00,1010.83,93,000,31.38,23.40,24.8,10.00,1009.71,0.0,26.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-07-2019,22:00:00,1011.37,88,000,31.77,0.00,25.1,10.00,1008.45,0.0,27.2
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-07-2019,22:00:00,1011.43,91,000,31.13,0.00,24.7,8.00,1010.73,0.0,26.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,44.60,09-07-2019,22:00:00,1012.24,95,000,27.92,47.20,22.9,6.00,1008.05,0.0,23.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-07-2019,22:00:00,1010.86,80,250,28.31,0.00,23.1,10.00,1010.27,5.6,26.8
