WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall,WindSpeed,Rainfall24Hr,WindDirection,AirTemperature,MeanSeaLevelPressure,DewPoint,StationPressure,RelativeHumidity,VaporPressure
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,08-02-2019,16:00:00,0.00,5.6,5.50,180,33.1,1002.89,23.0,995.76,55,28.04
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,20.00,08-02-2019,16:00:00,0.00,11.1,0.00,270,32.5,999.61,25.5,980.23,67,32.58
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-02-2019,16:00:00,0.00,16.7,0.00,260,32.3,1001.03,20.6,973.07,50,24.32
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,15.00,08-02-2019,16:00:00,0.00,11.1,0.00,240,31.6,1000.41,23.7,980.68,63,29.27
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,08-02-2019,16:00:00,0.00,7.4,2.60,230,30.0,1000.35,23.5,979.00,68,28.91
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,08-02-2019,16:00:00,0.00,13.0,0.00,250,29.6,1000.17,23.5,981.00,70,28.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,08-02-2019,16:00:00,0.80,1.9,3.60,330,28.0,1000.33,25.3,983.76,85,32.23
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,08-02-2019,16:00:00,0.01,3.7,0.90,260,29.1,1000.51,24.7,983.34,77,31.05
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,13.00,08-02-2019,16:00:00,0.00,18.5,0.00,250,30.8,999.16,21.8,973.92,59,26.09
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,08-02-2019,16:00:00,0.00,11.1,0.00,270,33.8,1002.21,22.3,996.58,51,26.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,08-02-2019,16:00:00,0.00,14.8,0.50,270,33.5,1002.38,22.1,996.35,51,26.59
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-02-2019,16:00:00,0.00,0.0,0.30,000,29.2,1003.09,21.4,986.84,63,25.55
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,08-02-2019,16:00:00,3.80,11.1,55.10,210,25.6,1004.24,23.5,981.88,88,29.03
48376,TAK,ตาก,ตาก,16.87833,99.14333,8.00,08-02-2019,16:00:00,0.00,20.4,1.20,270,29.3,1003.95,21.4,989.72,63,25.47
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-02-2019,16:00:00,0.00,11.1,0.30,120,29.8,1003.15,21.1,986.98,60,25.06
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-02-2019,16:00:00,0.00,9.3,3.80,260,33.2,1002.70,21.4,997.60,50,25.46
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-02-2019,16:00:00,0.00,3.7,2.60,120,30.0,1001.70,24.6,988.70,73,30.87
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,12.00,08-02-2019,16:00:00,0.00,5.6,1.50,290,32.0,1003.31,22.3,994.17,57,27.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-02-2019,16:00:00,0.00,25.9,0.00,270,31.5,1000.57,21.1,979.34,54,24.98
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,08-02-2019,16:00:00,0.00,22.2,0.00,210,30.7,1001.96,23.1,984.76,64,28.34
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,12.00,08-02-2019,16:00:00,0.00,3.7,0.00,180,29.5,1000.29,22.9,984.69,68,27.96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,270,31.2,1000.65,23.2,982.15,63,28.48
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,08-02-2019,16:00:00,1.50,0.0,17.30,000,24.2,1008.11,21.6,956.58,86,25.84
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.00,08-02-2019,16:00:00,0.00,0.0,4.20,000,30.8,1003.14,23.3,999.25,64,28.53
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.60,08-02-2019,16:00:00,1.30,22.2,21.40,190,21.0,1005.19,20.2,910.12,95,23.69
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,8.00,08-02-2019,16:00:00,0.00,7.4,0.01,260,29.5,1001.62,23.4,985.85,70,28.78
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,08-02-2019,16:00:00,0.00,5.6,0.20,320,34.3,1003.24,24.5,999.32,57,30.80
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,08-02-2019,16:00:00,0.00,11.1,4.90,240,32.5,1003.93,19.6,993.48,47,22.84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,08-02-2019,16:00:00,0.00,20.4,0.80,240,33.0,1004.03,18.4,1002.14,42,21.14
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,08-02-2019,16:00:00,0.00,9.3,0.00,280,31.0,1002.19,21.7,981.71,58,25.92
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.00,08-02-2019,16:00:00,0.00,7.4,0.00,200,28.9,1001.54,22.4,984.09,68,27.11
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-02-2019,16:00:00,0.00,9.3,0.00,210,29.0,1001.44,22.0,985.48,66,26.50
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-02-2019,16:00:00,0.40,9.3,3.90,280,30.2,1002.08,23.2,988.26,66,28.48
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,08-02-2019,16:00:00,0.80,3.7,6.00,200,29.6,1002.70,24.9,988.06,76,31.48
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,8.00,08-02-2019,16:00:00,0.01,3.7,2.70,260,30.9,1002.66,24.5,988.24,69,30.70
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-02-2019,16:00:00,0.00,0.0,0.40,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",34.8,1003.67,17.9,1000.74,37,20.43
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-02-2019,16:00:00,0.00,18.5,4.50,210,32.8,1002.84,22.5,995.08,55,27.16
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-02-2019,16:00:00,0.00,9.3,0.90,270,33.4,1004.31,20.8,1003.23,48,24.49
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-02-2019,16:00:00,0.00,0.0,0.00,000,31.8,1002.91,25.0,988.52,67,31.68
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,08-02-2019,16:00:00,0.00,11.1,4.80,260,22.1,1004.72,20.1,871.13,88,23.48
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-02-2019,16:00:00,0.00,9.3,5.80,360,34.0,1002.98,20.6,997.26,46,24.26
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,08-02-2019,16:00:00,0.00,11.1,0.20,300,33.7,1004.73,21.5,1003.94,49,25.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-02-2019,16:00:00,0.01,27.8,0.01,230,30.6,1005.19,22.4,1004.75,62,27.06
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,08-02-2019,16:00:00,0.00,5.6,24.20,330,30.9,1006.59,21.7,995.44,58,26.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,08-02-2019,16:00:00,0.00,18.5,0.90,310,33.6,1004.61,21.2,1003.62,48,25.13
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,12.00,08-02-2019,16:00:00,0.00,13.0,1.40,280,34.6,1004.10,20.5,1002.32,44,24.04
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,08-02-2019,16:00:00,0.00,11.1,0.01,270,31.9,1004.79,19.1,1004.04,47,22.04
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-02-2019,16:00:00,0.00,27.8,0.20,250,32.0,1005.08,22.2,1004.39,56,26.72
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,8.00,08-02-2019,16:00:00,0.00,9.3,3.50,240,34.1,1004.12,23.0,1003.44,52,28.06
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,08-02-2019,16:00:00,0.00,11.1,0.20,280,32.6,1002.83,20.8,982.15,50,24.61
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,11.00,08-02-2019,16:00:00,0.00,9.3,0.20,300,32.0,1002.69,22.5,986.32,57,27.27
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.00,08-02-2019,16:00:00,0.00,14.8,0.30,270,31.7,1002.94,22.7,986.82,59,27.52
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-02-2019,16:00:00,0.00,13.0,0.10,270,32.7,1002.91,19.5,981.54,46,22.68
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,14.00,08-02-2019,16:00:00,0.00,29.6,1.60,240,31.0,1003.53,18.7,961.00,48,21.51
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,08-02-2019,16:00:00,0.00,22.2,0.00,250,33.0,1002.30,20.3,982.23,47,23.74
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-02-2019,16:00:00,0.10,13.0,0.30,250,29.4,1004.68,23.9,984.07,72,29.68
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,9.00,08-02-2019,16:00:00,0.01,24.1,1.80,290,30.7,1005.75,21.0,1005.32,56,24.84
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,08-02-2019,16:00:00,0.00,7.4,1.90,250,31.4,1004.25,23.1,1002.86,62,28.32
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,08-02-2019,16:00:00,0.00,3.7,3.20,290,30.3,1004.54,22.9,999.67,65,27.85
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-02-2019,16:00:00,0.01,9.3,0.01,250,32.6,1005.10,21.4,1001.87,52,25.41
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-02-2019,16:00:00,0.00,5.6,0.01,260,33.0,1005.19,20.8,1004.11,49,24.55
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-02-2019,16:00:00,0.00,20.4,0.01,310,32.5,1005.21,20.0,1004.92,48,23.36
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,280,32.5,1004.96,21.4,1004.29,52,25.49
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-02-2019,16:00:00,0.00,11.1,0.20,300,32.5,1005.26,20.4,1004.78,49,23.89
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-02-2019,16:00:00,0.00,31.5,0.80,270,32.6,1004.91,20.8,1003.53,50,24.61
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-02-2019,16:00:00,0.00,27.8,0.00,230,31.3,1005.33,23.3,1003.68,63,28.68
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,12.00,08-02-2019,16:00:00,0.00,11.1,0.01,230,31.6,1006.19,22.5,998.31,59,27.32
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,300,31.0,1005.39,25.4,1005.11,72,32.34
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-02-2019,16:00:00,0.01,9.3,0.01,260,29.3,1005.69,23.5,1002.59,71,28.94
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,08-02-2019,16:00:00,0.00,13.0,0.00,260,29.0,1005.99,22.5,999.10,68,27.30
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,7.00,08-02-2019,16:00:00,0.00,5.6,0.80,320,32.5,1004.05,21.8,998.56,53,26.04
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,12.00,08-02-2019,16:00:00,0.01,18.5,0.01,270,29.4,1006.91,23.4,997.68,70,28.86
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,08-02-2019,16:00:00,0.01,18.5,1.40,210,30.0,1007.05,21.7,1005.80,61,25.94
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-02-2019,16:00:00,0.00,18.5,0.70,220,29.8,1006.39,22.5,1005.96,65,27.17
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-02-2019,16:00:00,0.20,0.0,6.60,000,26.8,1006.96,24.2,994.69,86,30.18
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-02-2019,16:00:00,0.00,5.6,0.10,210,28.9,1006.71,23.2,1006.00,71,28.45
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-02-2019,16:00:00,0.01,14.8,4.50,180,30.4,1007.15,23.3,1004.74,66,28.59
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,8.00,08-02-2019,16:00:00,0.00,18.5,1.20,300,29.5,1006.84,23.9,1006.32,72,29.60
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,230,30.7,1006.10,23.0,1001.02,64,28.06
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,9.00,08-02-2019,16:00:00,0.00,0.0,4.20,000,30.0,1006.00,22.7,1005.59,65,27.55
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-02-2019,16:00:00,0.00,0.0,38.30,000,27.0,1006.02,24.8,1003.25,88,31.38
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-02-2019,16:00:00,0.00,0.0,4.60,000,27.6,1006.53,21.9,1005.75,71,26.34
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.00,08-02-2019,16:00:00,9.60,0.0,35.20,000,26.7,1006.83,25.1,1006.37,91,31.91
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-02-2019,16:00:00,1.20,0.0,13.80,000,25.2,1008.05,23.6,1007.36,91,29.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,08-02-2019,16:00:00,0.80,0.0,30.80,000,26.2,1008.43,23.6,1006.90,85,29.07
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-02-2019,16:00:00,2.70,0.0,92.80,000,26.7,1008.83,24.7,1007.91,89,31.08
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-02-2019,16:00:00,1.00,0.0,1.40,000,26.7,1008.51,22.7,1007.82,79,27.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-02-2019,16:00:00,1.50,3.7,3.40,350,27.0,1008.72,24.1,1007.92,84,30.02
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-02-2019,16:00:00,2.70,7.4,5.20,320,27.2,1008.47,24.8,1007.84,87,31.22
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-02-2019,16:00:00,0.00,11.1,0.00,310,31.6,1008.10,24.6,1007.70,67,30.98
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,4.00,08-02-2019,16:00:00,23.00,0.0,23.00,000,24.4,1010.59,23.2,1006.33,93,28.45
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-02-2019,16:00:00,3.40,0.0,3.40,000,24.3,1009.03,22.7,1007.41,91,27.51
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.00,08-02-2019,16:00:00,2.00,5.6,11.90,020,24.8,1009.36,22.9,1005.85,89,27.87
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,240,33.2,1007.41,22.4,1006.08,53,27.11
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-02-2019,16:00:00,0.00,9.3,0.50,200,30.0,1008.64,25.0,1007.76,75,31.72
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-02-2019,16:00:00,0.00,0.0,3.90,000,29.9,1008.34,24.3,1004.81,72,30.39
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-02-2019,16:00:00,0.00,3.7,0.00,280,31.4,1008.37,24.1,1007.94,65,30.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-02-2019,16:00:00,0.50,9.3,3.50,260,30.0,1008.55,24.4,1007.57,72,30.59
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-02-2019,16:00:00,0.00,16.7,0.00,200,31.3,1008.35,24.3,1007.55,66,30.37
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,08-02-2019,16:00:00,0.00,18.5,1.50,220,31.6,1008.25,24.8,1006.46,67,31.27
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-02-2019,16:00:00,0.00,7.4,0.00,210,34.0,1007.47,22.4,1006.74,51,27.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-02-2019,16:00:00,0.20,14.8,0.20,230,32.3,1008.00,22.2,1004.07,55,26.75
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-02-2019,16:00:00,0.00,9.3,0.00,230,31.5,1009.71,24.4,1009.04,66,30.49
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-02-2019,16:00:00,0.80,9.3,0.80,150,33.0,1007.61,23.3,1006.52,57,28.68
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-02-2019,16:00:00,0.00,18.5,0.00,260,31.9,1008.39,23.4,1005.51,61,28.74
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-02-2019,16:00:00,0.00,5.6,0.00,250,33.1,1007.52,24.1,1006.85,59,30.03
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.00,08-02-2019,16:00:00,0.00,5.6,3.40,230,33.7,1007.69,22.5,1003.66,52,27.26
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-02-2019,16:00:00,0.00,11.1,0.10,050,32.4,1007.41,24.0,1006.83,61,29.75
