WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,VaporPressure,DewPoint,Rainfall24Hr,LandVisibility,WindSpeed,WindDirection,MeanSeaLevelPressure,StationPressure,Rainfall
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,92,08-21-2019,01:00:00,24.6,28.55,23.3,16.00,10.00,0.0,000,1005.60,983.60,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,81,08-21-2019,01:00:00,24.9,25.52,21.4,16.50,10.00,9.3,240,1005.82,962.34,0.10
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,84,08-21-2019,01:00:00,25.7,27.64,22.7,0.60,10.00,3.7,230,1005.46,984.85,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,08-21-2019,01:00:00,24.4,30.54,24.4,33.20,7.00,11.1,190,1006.58,985.59,2.60
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,82,08-21-2019,01:00:00,28.0,30.84,24.6,1.50,10.00,9.3,240,1006.58,1006.15,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,97,08-21-2019,01:00:00,24.9,30.40,24.3,22.20,6.00,0.0,000,1006.25,1004.82,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,97,08-21-2019,01:00:00,24.9,30.40,24.3,51.20,7.00,0.0,000,1006.56,1001.60,0.60
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,80,08-21-2019,01:00:00,27.0,28.41,23.2,0.01,10.00,0.0,000,1005.96,1002.67,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,92,08-21-2019,01:00:00,26.0,30.84,24.6,9.50,10.00,0.0,000,1006.21,1005.10,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,86,08-21-2019,01:00:00,27.6,31.72,25.0,12.60,9.00,0.0,000,1006.40,1006.10,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,95,08-21-2019,01:00:00,26.6,33.10,25.7,11.50,10.00,0.0,000,1006.21,1005.72,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,99,08-21-2019,01:00:00,26.3,33.91,26.1,2.20,10.00,11.1,170,1006.33,1004.92,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,08-21-2019,01:00:00,24.5,29.41,23.8,3.90,10.00,0.0,000,1008.76,1000.68,0.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,87,08-21-2019,01:00:00,27.6,32.28,25.3,7.30,10.00,0.0,000,1005.97,1005.69,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,82,08-21-2019,01:00:00,28.0,31.11,24.7,7.20,10.00,5.6,200,1006.23,1003.11,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,84,08-21-2019,01:00:00,27.6,30.89,24.6,6.20,10.00,7.4,230,1006.52,999.59,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,08-21-2019,01:00:00,26.0,30.84,24.6,2.70,9.00,5.6,260,1007.24,1001.62,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,98,08-21-2019,01:00:00,25.7,32.45,25.4,5.40,10.00,0.0,000,1007.54,1006.27,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,84,08-21-2019,01:00:00,27.3,30.31,24.3,32.20,11.00,5.6,210,1006.75,1006.32,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,90,08-21-2019,01:00:00,25.5,29.38,23.7,0.00,10.00,0.0,000,1006.91,994.59,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,81,08-21-2019,01:00:00,27.0,28.94,23.5,11.90,10.00,0.0,000,1006.75,1006.04,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,74,08-21-2019,01:00:00,28.8,29.35,23.7,0.00,10.00,11.1,230,1006.82,1004.40,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,78,08-21-2019,01:00:00,29.0,31.13,24.7,0.00,10.00,16.7,260,1007.22,1006.70,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,81,08-21-2019,01:00:00,27.6,30.07,24.1,0.01,8.00,0.0,000,1006.94,1001.80,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,93,08-21-2019,01:00:00,25.3,30.07,24.1,27.90,7.00,0.0,000,1007.40,1006.98,0.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,89,08-21-2019,01:00:00,27.6,32.84,25.6,21.60,8.00,0.0,000,1007.41,1004.64,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,71,08-21-2019,01:00:00,28.4,27.52,22.7,0.20,10.00,0.0,000,1008.04,1007.25,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,95,08-21-2019,01:00:00,25.5,30.98,24.6,28.40,6.00,5.6,120,1007.83,1007.37,0.10
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,86,08-21-2019,01:00:00,26.2,29.33,23.7,0.00,10.00,0.0,000,1008.67,1007.98,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,79,08-21-2019,01:00:00,28.0,29.74,23.9,0.00,10.00,0.0,000,1007.95,1006.42,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,93,08-21-2019,01:00:00,25.5,30.17,24.2,6.20,10.00,3.7,020,1009.82,1008.90,6.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,82,08-21-2019,01:00:00,28.2,31.51,24.9,0.00,10.00,0.0,000,1008.81,1008.12,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,95,08-21-2019,01:00:00,24.6,29.33,23.7,0.00,9.00,0.0,000,1009.16,1008.35,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,89,08-21-2019,01:00:00,25.9,29.58,23.9,0.00,10.00,0.0,000,1008.22,1007.58,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,91,08-21-2019,01:00:00,26.1,30.76,24.5,0.00,10.00,0.0,000,1008.58,1008.18,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,88,08-21-2019,01:00:00,25.5,28.59,23.3,0.00,5.00,0.0,000,1010.92,1006.67,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,08-21-2019,01:00:00,24.4,30.02,24.1,0.00,10.00,0.0,000,1009.38,1007.76,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,81,08-21-2019,01:00:00,27.5,29.60,23.9,0.40,8.00,3.7,240,1008.76,1007.40,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,88,08-21-2019,01:00:00,26.5,30.43,24.3,0.00,10.00,0.0,000,1009.07,1008.18,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,93,08-21-2019,01:00:00,24.7,28.98,23.5,0.00,10.00,0.0,000,1009.07,1005.48,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,82,08-21-2019,01:00:00,28.0,30.84,24.6,0.00,10.00,0.0,000,1008.85,1008.41,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,77,08-21-2019,01:00:00,29.4,31.36,24.8,0.00,10.00,0.0,000,1008.57,1007.59,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,79,08-21-2019,01:00:00,29.0,31.69,25.0,0.00,10.00,16.7,270,1009.08,1008.27,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,91,08-21-2019,01:00:00,25.6,29.82,24.0,0.01,10.00,0.0,000,1008.81,1006.99,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,79,08-21-2019,01:00:00,28.0,30.01,24.1,0.00,10.00,0.0,000,1008.97,1008.22,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,92,08-21-2019,01:00:00,26.1,31.03,24.7,0.00,8.00,3.7,120,1009.10,1005.08,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,91,08-21-2019,01:00:00,26.2,30.94,24.6,1.60,10.00,0.0,000,1009.14,1008.46,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,86,08-21-2019,01:00:00,26.6,30.07,24.1,0.00,10.00,0.0,000,1008.55,1007.43,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,91,08-21-2019,01:00:00,26.4,31.33,24.8,0.00,10.00,0.0,000,1009.19,1006.26,0.00
