WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,WindSpeed,Rainfall,Rainfall24Hr,VaporPressure,WindDirection,RelativeHumidity,MinimumTemperature,StationPressure,MeanSeaLevelPressure,DewPoint
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-23-2019,07:00:00,25.0,12.00,0.0,0.00,20.40,30.58,000,97,24.0,986.79,1006.38,24.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-23-2019,07:00:00,25.0,10.00,3.7,0.00,43.70,28.74,120,91,24.0,990.69,1007.54,23.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-23-2019,07:00:00,24.5,10.00,0.0,0.00,41.40,29.41,000,96,22.5,990.03,1007.59,23.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-23-2019,07:00:00,27.0,12.00,0.0,0.00,0.00,30.02,000,84,26.3,979.94,1005.66,24.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-23-2019,07:00:00,27.8,10.00,0.0,0.00,0.00,33.53,000,90,25.4,1000.73,1006.49,26.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-23-2019,07:00:00,27.8,12.00,0.0,0.00,0.00,30.17,000,81,27.0,1000.33,1006.50,24.2
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-23-2019,07:00:00,26.5,10.00,0.0,0.00,0.00,29.89,000,86,25.5,990.40,1006.86,24.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-23-2019,07:00:00,25.5,10.00,0.0,0.00,3.60,30.71,000,94,24.8,983.75,1006.16,24.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-23-2019,07:00:00,26.8,8.00,0.0,0.00,0.01,30.45,000,86,26.3,992.52,1006.91,24.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-23-2019,07:00:00,27.2,10.00,0.0,0.00,0.00,28.51,000,79,27.2,990.29,1006.66,23.2
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-23-2019,07:00:00,27.1,10.00,0.0,0.00,0.00,33.26,000,93,26.7,1001.01,1006.23,25.8
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-23-2019,07:00:00,26.8,10.00,0.0,0.00,0.40,30.18,000,86,26.2,992.35,1005.54,24.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-23-2019,07:00:00,26.8,12.00,0.0,0.00,0.01,32.94,000,94,26.3,996.89,1006.21,25.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-23-2019,07:00:00,26.6,9.00,0.0,0.00,0.00,30.34,000,87,25.9,985.01,1006.71,24.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-23-2019,07:00:00,26.5,10.00,0.0,0.00,0.00,32.07,000,93,25.8,989.43,1006.95,25.2
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-23-2019,07:00:00,25.0,10.00,0.0,0.00,10.10,29.00,000,92,24.5,990.55,1006.47,23.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-23-2019,07:00:00,27.0,10.00,0.0,0.01,0.01,31.66,000,89,26.0,986.75,1005.60,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-23-2019,07:00:00,24.0,7.00,0.0,0.60,0.60,28.01,000,94,23.0,954.50,1005.95,23.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-23-2019,07:00:00,27.9,8.00,0.0,0.00,0.01,33.45,000,89,27.0,1002.23,1006.17,25.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-23-2019,07:00:00,22.1,6.00,11.1,0.00,1.30,24.18,280,91,21.1,912.68,1007.65,20.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-23-2019,07:00:00,25.8,8.00,0.0,0.00,0.00,31.55,000,95,25.0,990.96,1007.01,24.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-23-2019,07:00:00,28.0,9.00,5.6,0.10,0.10,33.37,200,88,27.2,1002.55,1006.57,25.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-23-2019,07:00:00,27.5,9.00,0.0,0.00,0.00,32.36,000,88,27.1,997.36,1008.02,25.4
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-23-2019,07:00:00,27.2,8.00,7.4,0.00,0.30,31.49,180,87,26.4,1004.72,1006.65,24.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-23-2019,07:00:00,28.1,10.00,7.4,0.00,0.00,30.75,220,81,27.7,986.09,1006.87,24.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-23-2019,07:00:00,25.5,10.00,11.1,0.00,0.00,29.91,180,92,24.5,989.23,1006.98,24.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-23-2019,07:00:00,25.8,10.00,0.0,0.00,0.10,31.00,000,93,25.0,990.20,1006.42,24.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-23-2019,07:00:00,24.6,10.00,0.0,0.00,16.00,28.81,000,93,23.5,993.08,1007.22,23.4
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-23-2019,07:00:00,24.5,8.00,0.0,0.00,8.80,29.41,000,96,23.0,993.04,1008.01,23.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-23-2019,07:00:00,25.3,8.00,3.7,0.00,1.80,30.87,180,96,24.0,992.58,1007.34,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-23-2019,07:00:00,28.0,10.00,0.0,0.10,0.40,33.37,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",88,26.8,1003.28,1006.28,25.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-23-2019,07:00:00,28.2,10.00,0.0,0.00,0.01,31.79,000,83,28.0,998.67,1006.59,25.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-23-2019,07:00:00,28.0,7.00,5.6,0.00,0.00,31.95,140,85,26.5,1006.21,1007.31,25.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-23-2019,07:00:00,26.7,9.00,3.7,0.00,4.00,30.26,100,86,23.9,991.16,1005.84,24.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-23-2019,07:00:00,20.0,2.00,14.8,0.00,0.00,22.91,300,98,19.4,873.41,1008.37,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-23-2019,07:00:00,28.2,10.00,5.6,0.00,0.00,34.65,210,91,27.5,1000.98,1006.83,26.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-23-2019,07:00:00,29.0,9.00,7.4,0.00,0.00,33.99,240,85,28.5,1007.23,1008.03,26.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-23-2019,07:00:00,29.5,10.00,9.3,0.00,0.00,31.28,240,76,28.7,1006.86,1007.30,24.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-23-2019,07:00:00,25.5,7.00,0.0,0.00,0.20,30.44,000,93,25.3,996.78,1008.15,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-23-2019,07:00:00,28.2,10.00,5.6,0.00,0.00,29.03,180,76,27.5,1006.36,1007.37,23.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-23-2019,07:00:00,28.0,7.00,0.0,0.01,0.01,31.95,000,85,27.9,1005.57,1007.39,25.1
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-23-2019,07:00:00,27.0,8.00,0.0,0.00,0.00,32.21,000,90,25.8,1007.04,1007.80,25.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-23-2019,07:00:00,28.4,10.00,5.6,0.00,0.00,30.78,280,80,27.7,1007.02,1007.72,24.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-23-2019,07:00:00,28.4,7.00,0.0,0.00,0.00,33.04,000,85,27.6,1007.06,1007.76,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-23-2019,07:00:00,28.2,10.00,5.6,0.00,0.01,31.79,230,83,27.2,986.22,1007.30,25.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-23-2019,07:00:00,25.8,7.00,0.0,0.00,51.30,31.00,000,93,22.2,991.01,1007.81,24.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-23-2019,07:00:00,25.5,9.00,9.3,0.00,28.80,31.25,180,96,22.7,990.91,1007.43,24.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-23-2019,07:00:00,27.1,10.00,0.0,0.00,0.00,29.93,000,84,26.7,985.50,1007.36,24.1
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-23-2019,07:00:00,27.0,12.00,7.4,0.00,0.00,26.06,190,73,26.0,964.55,1007.82,21.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-23-2019,07:00:00,26.5,10.00,0.0,0.00,3.40,30.43,000,88,25.0,986.95,1007.55,24.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-23-2019,07:00:00,26.1,8.00,14.8,0.00,1.40,32.12,200,95,24.4,988.06,1008.98,25.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-23-2019,07:00:00,28.8,10.00,3.7,0.00,0.00,30.46,270,77,27.8,1007.41,1007.84,24.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-23-2019,07:00:00,27.2,8.00,0.0,0.00,0.00,34.03,000,94,26.5,1006.24,1007.66,26.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-23-2019,07:00:00,26.5,8.00,0.0,0.00,0.00,33.19,000,96,25.8,1002.85,1007.79,25.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-23-2019,07:00:00,28.0,12.00,0.0,0.00,0.00,27.85,000,74,25.2,1004.47,1007.76,22.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-23-2019,07:00:00,26.5,10.00,0.0,0.00,0.00,30.43,000,88,26.5,1006.80,1007.91,24.3
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-23-2019,07:00:00,29.0,10.00,5.6,0.00,0.00,31.13,320,78,28.6,1007.54,1007.83,24.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-23-2019,07:00:00,29.2,10.00,3.7,0.00,0.00,30.40,300,75,28.8,1007.00,1007.68,24.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-23-2019,07:00:00,28.8,10.00,0.0,0.00,0.00,29.35,000,74,27.3,1006.92,1007.40,23.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-23-2019,07:00:00,29.6,10.00,13.0,0.00,0.00,28.69,240,69,28.3,1006.61,1008.00,23.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-23-2019,07:00:00,30.0,10.00,11.1,0.00,0.00,31.72,230,75,29.5,1005.84,1007.51,25.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-23-2019,07:00:00,26.8,10.00,3.7,0.00,0.00,32.38,220,92,25.2,1002.00,1010.03,25.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-23-2019,07:00:00,29.5,10.00,5.6,0.00,0.00,34.46,210,84,27.3,1007.31,1007.60,26.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-23-2019,07:00:00,29.5,10.00,0.0,0.00,0.00,31.56,000,77,28.5,1004.56,1007.67,24.9
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-23-2019,07:00:00,29.1,10.00,13.0,0.00,0.00,30.77,240,76,28.1,1000.93,1007.83,24.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-23-2019,07:00:00,27.2,7.00,7.4,0.00,0.20,32.61,300,90,26.2,1002.59,1008.19,25.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-23-2019,07:00:00,29.0,8.00,18.5,0.00,0.00,30.57,260,76,27.6,999.49,1008.76,24.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-23-2019,07:00:00,26.2,12.00,0.0,0.00,0.00,30.13,000,89,25.6,1007.15,1008.42,24.2
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-23-2019,07:00:00,28.2,11.00,0.0,0.00,0.00,28.49,000,75,27.4,1007.51,1007.94,23.2
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-23-2019,07:00:00,25.1,8.00,0.0,0.00,0.00,28.92,000,91,24.5,996.19,1008.54,23.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-23-2019,07:00:00,28.0,10.00,5.6,0.00,0.00,30.28,260,80,27.5,1007.39,1008.10,24.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-23-2019,07:00:00,28.7,10.00,11.1,0.00,0.01,31.94,180,81,28.1,1006.22,1008.64,25.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-23-2019,07:00:00,29.5,10.00,11.1,0.00,0.00,33.58,280,81,29.2,1007.31,1007.83,26.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-23-2019,07:00:00,28.3,12.00,1.9,0.00,0.00,32.27,260,84,28.0,1002.77,1007.90,25.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-23-2019,07:00:00,27.8,7.00,0.0,0.10,0.10,34.69,000,93,26.6,1007.86,1008.27,26.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-23-2019,07:00:00,26.5,8.00,0.0,0.00,0.00,33.19,000,96,26.0,1005.84,1008.61,25.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-23-2019,07:00:00,26.7,10.00,0.0,0.00,0.00,29.45,000,84,26.7,1008.33,1009.12,23.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-23-2019,07:00:00,25.2,7.00,5.6,0.00,10.60,29.36,090,92,24.0,1008.00,1008.46,23.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-23-2019,07:00:00,23.8,8.00,0.0,0.00,0.00,27.92,000,95,23.8,1006.77,1008.32,22.9
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-23-2019,07:00:00,24.9,10.00,0.0,0.00,0.00,28.30,000,90,24.8,1008.70,1009.63,23.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-23-2019,07:00:00,26.5,10.00,0.0,0.00,0.00,32.07,000,93,25.4,1008.59,1009.28,25.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-23-2019,07:00:00,23.9,9.00,3.7,0.00,0.00,28.61,320,97,23.3,1008.57,1009.38,23.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-23-2019,07:00:00,25.4,10.00,0.0,0.00,0.00,30.79,000,95,24.9,1007.75,1008.39,24.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-23-2019,07:00:00,25.5,10.00,0.0,0.00,0.00,31.25,000,96,25.0,1008.68,1009.09,24.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-23-2019,07:00:00,25.1,7.00,0.0,0.00,0.00,30.23,000,95,24.7,1006.53,1010.78,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-23-2019,07:00:00,24.6,4.00,0.0,0.00,0.00,30.38,000,98,23.6,1007.51,1009.14,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-23-2019,07:00:00,24.7,8.00,0.0,0.00,0.00,29.25,000,94,24.5,1005.85,1009.36,23.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-23-2019,07:00:00,24.5,9.00,0.0,0.00,0.00,29.41,000,96,24.5,1007.49,1008.85,23.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-23-2019,07:00:00,24.5,10.00,0.0,0.00,0.00,29.41,000,96,24.2,1007.73,1008.62,23.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-23-2019,07:00:00,24.2,10.00,0.0,0.00,0.00,27.60,000,91,23.1,1005.36,1008.96,22.7
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-23-2019,07:00:00,25.7,10.00,0.0,0.00,0.00,30.28,000,92,25.3,1008.48,1008.92,24.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-23-2019,07:00:00,24.5,10.00,0.0,0.00,0.00,29.41,000,96,22.2,1007.81,1008.81,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-23-2019,07:00:00,25.7,10.00,5.6,0.00,0.00,30.81,090,93,24.5,1008.38,1009.20,24.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-23-2019,07:00:00,24.3,4.00,0.0,0.00,7.60,29.57,000,97,24.0,1007.51,1009.34,23.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-23-2019,07:00:00,26.0,10.00,3.7,0.00,0.00,28.18,270,84,24.7,1008.49,1009.24,23.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-23-2019,07:00:00,23.6,6.00,0.0,0.00,2.40,28.34,000,97,22.4,1005.44,1009.49,23.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-23-2019,07:00:00,25.2,10.00,0.0,0.00,0.00,30.15,000,94,24.3,1009.17,1009.86,24.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-23-2019,07:00:00,23.9,10.00,0.0,0.00,5.00,28.61,000,97,23.2,1008.01,1009.14,23.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-23-2019,07:00:00,23.6,10.00,0.0,0.00,0.01,28.60,000,98,21.9,1006.46,1009.42,23.3
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-23-2019,07:00:00,23.8,7.00,0.0,0.00,0.00,28.69,000,97,23.3,1007.94,1008.63,23.4
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-23-2019,07:00:00,23.6,7.00,11.1,0.00,0.20,26.83,210,92,23.1,1005.57,1009.75,22.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-23-2019,07:00:00,24.0,9.00,0.0,0.00,0.00,26.01,000,87,.0,1008.56,1009.16,21.7
