WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,StationPressure,VaporPressure,AirTemperature,MinimumTemperature,WindSpeed,WindDirection,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.8,10-12-2019,07:00:00,0.00,986.59,27.76,24.0,23.2,0.0,000,93,10.00,1009.17,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,23.5,10-12-2019,07:00:00,0.00,996.44,28.88,24.2,23.7,0.0,000,96,10.00,1011.02,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.8,10-12-2019,07:00:00,0.00,993.69,29.41,24.5,23.5,0.0,000,96,7.00,1010.26,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.8,10-12-2019,07:00:00,0.00,1004.67,31.38,26.0,24.8,0.0,000,93,10.00,1009.93,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.0,10-12-2019,07:00:00,0.00,995.84,29.91,25.5,25.0,0.0,000,92,12.00,1009.13,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.2,10-12-2019,07:00:00,0.00,1000.56,30.23,25.1,24.5,0.0,000,95,12.00,1009.97,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.4,10-12-2019,07:00:00,0.00,988.87,28.85,25.5,25.2,0.0,000,88,9.00,1010.74,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.8,10-12-2019,07:00:00,0.00,993.29,33.19,26.5,26.0,0.0,000,96,10.00,1010.89,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,22.7,10-12-2019,07:00:00,0.00,994.66,27.66,26.0,24.6,3.7,050,82,10.00,1010.60,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,24.7,10-12-2019,07:00:00,0.00,990.70,31.08,25.7,24.5,1.9,050,94,9.00,1009.71,2.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,19.7,10-12-2019,07:00:00,0.00,958.82,22.92,21.1,19.5,0.0,000,92,7.00,1011.02,9.40
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.0,10-12-2019,07:00:00,0.00,1005.69,33.54,27.1,25.9,0.0,000,94,2.00,1009.65,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.0,10-12-2019,07:00:00,0.00,915.57,20.63,18.5,17.9,0.0,000,97,8.00,1012.07,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.0,10-12-2019,07:00:00,0.00,994.32,29.82,25.6,23.8,0.0,000,91,8.00,1010.44,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.4,10-12-2019,07:00:00,0.00,1005.19,32.37,25.8,25.3,0.0,000,97,6.00,1009.25,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.8,10-12-2019,07:00:00,0.00,999.71,31.33,25.4,24.3,0.0,000,97,7.00,1010.48,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,24.5,10-12-2019,07:00:00,0.00,1008.04,30.81,25.7,25.2,1.9,090,93,4.00,1009.98,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,22.8,10-12-2019,07:00:00,0.00,989.15,27.82,25.8,24.4,0.0,000,84,10.00,1010.15,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,24.4,10-12-2019,07:00:00,0.00,992.77,30.51,26.4,25.0,11.1,080,89,10.00,1010.53,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.5,10-12-2019,07:00:00,0.00,993.96,30.67,26.2,25.8,0.0,000,90,8.00,1010.21,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.3,10-12-2019,07:00:00,0.00,996.62,30.38,25.9,25.1,0.0,000,91,8.00,1010.75,0.00
