WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,Rainfall24Hr,WindSpeed,VaporPressure,WindDirection,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,RelativeHumidity
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-04-2019,16:00:00,30.5,0.00,0.0,29.89,000,12.00,990.09,24.0,1007.39,68
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-04-2019,16:00:00,28.6,0.00,3.7,27.36,030,12.00,991.69,22.6,1007.45,70
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,40.10,10-04-2019,16:00:00,26.3,40.10,3.7,33.35,020,7.00,988.75,25.9,1007.68,98
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-04-2019,16:00:00,27.8,0.00,0.0,27.49,000,{'@attributes': {'Unit': 'km'}},953.68,22.6,1004.42,74
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-04-2019,16:00:00,33.6,0.00,5.6,31.67,120,4.00,1002.27,25.0,1006.14,61
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-04-2019,16:00:00,24.9,0.00,0.0,23.08,000,7.00,912.93,19.8,1007.00,73
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.70,10-04-2019,16:00:00,25.5,7.70,0.0,30.71,000,8.00,992.02,24.5,1008.10,94
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-04-2019,16:00:00,34.7,0.00,7.4,30.47,170,10.00,1002.33,24.4,1006.26,55
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-04-2019,16:00:00,34.0,0.00,0.0,29.87,000,9.00,996.79,24.0,1007.22,56
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-04-2019,16:00:00,34.5,0.00,1.9,28.02,190,10.00,1004.64,23.0,1006.53,51
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-04-2019,16:00:00,34.0,0.00,7.4,27.01,100,7.00,986.05,22.4,1006.42,51
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-04-2019,16:00:00,26.9,0.00,3.7,31.46,100,10.00,990.00,24.9,1007.68,89
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-04-2019,16:00:00,27.5,0.00,7.4,31.52,010,10.00,991.28,24.9,1007.42,86
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-04-2019,16:00:00,32.2,0.50,7.4,27.66,360,10.00,993.15,22.7,1006.94,58
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-04-2019,16:00:00,32.8,0.00,0.0,29.42,000,12.00,992.68,23.8,1007.23,59
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-04-2019,16:00:00,32.5,0.00,0.0,33.77,000,10.00,992.92,26.1,1007.33,69
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-04-2019,16:00:00,35.2,0.00,0.0,29.47,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1003.35,23.8,1006.29,52
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-04-2019,16:00:00,34.8,0.00,0.0,30.98,000,10.00,998.33,24.6,1006.07,56
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-04-2019,16:00:00,29.3,0.00,7.4,29.49,310,8.00,1006.17,23.8,1007.27,72
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-04-2019,16:00:00,31.5,0.00,0.0,29.07,000,8.00,992.89,23.6,1007.37,63
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.40,10-04-2019,16:00:00,21.1,49.20,3.7,22.69,170,8.00,874.25,19.5,1008.81,91
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-04-2019,16:00:00,31.0,26.60,3.7,28.65,210,8.00,1001.25,23.3,1007.05,64
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.40,10-04-2019,16:00:00,28.0,31.40,0.0,31.95,000,8.00,1006.17,25.1,1006.97,85
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-04-2019,16:00:00,30.0,3.40,14.8,33.17,150,10.00,1006.64,25.8,1007.09,78
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-04-2019,16:00:00,31.3,0.00,5.6,30.08,330,10.00,995.83,24.1,1006.97,66
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-04-2019,16:00:00,35.1,0.00,3.7,30.73,200,10.00,1005.49,24.5,1006.47,54
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-04-2019,16:00:00,32.4,0.00,3.7,29.18,100,7.00,1004.89,23.6,1006.68,60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-04-2019,16:00:00,35.0,0.00,0.0,27.32,000,12.00,1005.41,22.5,1006.16,49
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-04-2019,16:00:00,30.5,0.00,25.9,31.31,170,8.00,1006.89,24.8,1007.58,72
