WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.7,07-17-2019,07:00:00,87,0.00,25.9,1004.31,0.0,27.1,987.64,31.02,0.00,000,8.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.0,07-17-2019,07:00:00,90,0.00,25.4,1004.98,5.6,26.7,988.57,31.63,0.00,230,9.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,07-17-2019,07:00:00,84,0.00,26.7,1003.89,0.0,27.0,982.11,30.02,0.00,000,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.3,07-17-2019,07:00:00,75,0.00,24.7,1004.75,11.1,26.0,961.48,25.36,0.00,250,14.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.4,07-17-2019,07:00:00,86,0.00,26.7,1003.86,0.0,27.0,983.37,30.56,0.00,000,9.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.7,07-17-2019,07:00:00,88,0.00,26.1,1005.43,11.1,27.8,984.70,32.96,0.00,210,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.5,07-17-2019,07:00:00,75,0.00,26.4,1004.43,16.7,28.4,1004.00,28.86,0.00,260,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.0,07-17-2019,07:00:00,93,0.00,26.1,1004.40,0.0,26.3,1002.99,31.68,0.00,000,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.7,07-17-2019,07:00:00,90,0.00,26.7,1004.33,0.0,27.4,999.42,33.01,0.00,000,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.8,07-17-2019,07:00:00,78,0.00,24.7,1004.28,7.4,26.9,1001.00,27.70,0.00,220,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.4,07-17-2019,07:00:00,85,0.00,24.0,1004.23,0.0,26.0,1003.12,28.70,0.00,000,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.3,07-17-2019,07:00:00,79,0.00,27.4,1004.58,0.0,28.3,1004.28,30.31,0.00,000,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.7,07-17-2019,07:00:00,75,0.00,28.0,1004.36,3.7,28.5,1003.68,29.33,0.00,210,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,23.8,07-17-2019,07:00:00,79,0.00,27.7,1004.31,0.0,27.7,1003.83,29.44,0.00,000,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.2,07-17-2019,07:00:00,73,0.00,27.9,1004.65,14.8,28.5,1003.25,28.51,0.00,240,10.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.6,07-17-2019,07:00:00,73,0.00,29.4,1004.40,18.5,30.0,1002.74,30.87,0.00,220,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.7,07-17-2019,07:00:00,93,0.00,25.4,1006.07,3.7,26.0,998.04,31.11,0.00,180,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.9,07-17-2019,07:00:00,77,0.00,28.4,1004.34,0.0,29.3,1004.05,31.45,0.00,000,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.5,07-17-2019,07:00:00,75,0.00,28.2,1004.25,5.6,29.5,1001.16,30.72,0.00,200,12.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.0,07-17-2019,07:00:00,75,0.00,27.9,1004.43,9.3,28.9,997.56,29.82,0.00,240,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.8,07-17-2019,07:00:00,83,0.00,27.1,1004.68,5.6,28.0,999.11,31.39,0.00,240,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.0,07-17-2019,07:00:00,76,0.00,28.3,1006.95,7.4,28.8,997.70,29.90,0.00,230,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,23.6,07-17-2019,07:00:00,84,0.00,25.6,1005.04,3.7,26.5,1003.78,29.08,0.00,230,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.4,07-17-2019,07:00:00,81,0.00,26.7,1004.89,0.0,27.1,1004.45,28.86,0.00,000,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.0,07-17-2019,07:00:00,90,0.00,24.2,1005.18,0.0,24.8,992.86,28.13,0.00,000,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.6,07-17-2019,07:00:00,79,0.00,27.0,1005.56,0.0,27.7,1004.85,29.17,0.00,000,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.0,07-17-2019,07:00:00,72,0.00,28.5,1005.43,14.8,29.5,1003.02,29.88,0.00,200,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.5,07-17-2019,07:00:00,75,0.00,29.0,1004.69,14.8,29.5,1004.18,30.72,0.00,260,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.4,07-17-2019,07:00:00,82,0.00,26.8,1004.52,1.9,27.9,999.40,30.64,0.00,260,12.00
