WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,LandVisibility
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.4,09-03-2019,16:00:00,000,24.6,30.65,985.29,43.00,8.20,99,1001.49,0.0,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.8,09-03-2019,16:00:00,310,24.4,29.49,986.36,81.30,18.30,97,1000.42,9.3,6.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,23.8,09-03-2019,16:00:00,000,24.4,29.49,986.12,65.60,13.80,97,1000.99,0.0,5.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.0,09-03-2019,16:00:00,290,24.2,29.92,987.23,57.90,12.20,99,1001.96,16.7,2.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,23.9,09-03-2019,16:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.4,29.72,1000.75,3.40,0.10,65,1003.72,0.0,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.2,09-03-2019,16:00:00,210,30.2,30.14,995.43,37.00,0.00,70,1003.27,5.6,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.6,09-03-2019,16:00:00,000,29.8,34.80,1003.16,12.00,0.60,83,1004.25,0.0,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.0,09-03-2019,16:00:00,090,25.0,29.79,988.90,35.00,3.90,94,1003.63,3.7,6.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.5,09-03-2019,16:00:00,260,19.5,22.65,870.70,51.00,2.00,100,1005.48,7.4,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.0,09-03-2019,16:00:00,000,26.7,31.63,998.59,48.80,0.60,90,1004.46,0.0,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.0,09-03-2019,16:00:00,240,30.5,29.89,1003.60,8.20,0.00,68,1004.40,11.1,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.2,09-03-2019,16:00:00,230,26.2,32.04,1004.67,36.60,28.90,94,1005.11,7.4,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,09-03-2019,16:00:00,000,26.7,31.35,994.76,24.00,1.20,90,1006.06,0.0,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,23.8,09-03-2019,16:00:00,310,29.3,29.49,1003.84,3.70,0.01,72,1004.84,9.3,8.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.8,09-03-2019,16:00:00,270,30.5,31.31,1002.44,10.40,0.00,72,1004.23,3.7,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.9,09-03-2019,16:00:00,270,29.0,27.83,1004.51,1.50,0.00,70,1005.26,3.7,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.1,09-03-2019,16:00:00,250,27.0,30.02,1004.27,11.30,5.30,84,1004.98,13.0,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.9,09-03-2019,16:00:00,300,29.6,33.50,1003.33,14.80,0.50,81,1004.03,5.6,6.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.4,09-03-2019,16:00:00,270,26.0,30.57,983.00,34.00,0.10,91,1004.16,11.1,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.5,09-03-2019,16:00:00,260,24.9,30.67,985.98,39.20,12.10,97,1002.73,11.1,5.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.1,09-03-2019,16:00:00,270,24.8,29.95,986.89,35.00,7.90,96,1003.38,9.3,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.3,09-03-2019,16:00:00,000,26.0,30.30,982.44,32.30,4.40,90,1004.31,0.0,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.2,09-03-2019,16:00:00,220,25.8,28.34,961.21,31.10,0.01,85,1004.51,14.8,6.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.1,09-03-2019,16:00:00,260,25.3,30.07,982.87,24.80,11.60,93,1003.47,11.1,5.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,24.2,09-03-2019,16:00:00,260,24.2,30.18,983.19,30.20,3.40,100,1004.14,13.0,3.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.1,09-03-2019,16:00:00,330,28.2,31.79,1004.71,1.80,0.70,83,1005.14,1.9,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.0,09-03-2019,16:00:00,000,27.8,33.53,1003.00,24.50,6.90,90,1004.41,0.0,8.00
