WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,LandVisibility,RelativeHumidity,StationPressure,Rainfall24Hr,VaporPressure
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-21-2019,10:00:00,3.7,180,1006.55,24.9,0.00,31.4,10.00,68,987.95,6.30,31.43
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-21-2019,10:00:00,0.0,000,1008.43,23.2,0.00,28.0,11.00,75,957.52,10.80,28.39
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-21-2019,10:00:00,7.4,180,1006.94,25.1,0.00,30.8,8.00,72,1003.03,0.00,31.93
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-21-2019,10:00:00,5.6,230,1007.53,21.9,0.00,25.2,8.00,82,913.50,0.00,26.27
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-21-2019,10:00:00,3.7,180,1007.69,25.9,0.00,31.2,10.00,73,991.92,2.00,33.35
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-21-2019,10:00:00,11.1,180,1007.60,27.0,0.00,31.4,12.00,77,1003.62,0.00,35.59
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-21-2019,10:00:00,7.4,200,1008.61,24.3,0.00,31.6,9.00,65,998.08,0.00,30.41
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-21-2019,10:00:00,3.7,180,1008.43,24.8,0.00,30.5,10.00,72,1006.52,0.00,31.31
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-21-2019,10:00:00,7.4,210,1007.67,24.1,0.00,32.0,10.00,63,987.14,4.20,30.08
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-21-2019,10:00:00,14.8,270,1007.53,24.2,0.00,31.5,10.00,65,990.12,0.00,30.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-21-2019,10:00:00,7.4,190,1007.20,25.3,0.00,31.8,10.00,69,991.29,6.60,32.27
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-21-2019,10:00:00,7.4,230,1008.16,24.1,0.00,31.4,10.00,65,994.31,0.00,30.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-21-2019,10:00:00,0.0,000,1008.67,24.6,0.00,31.0,10.00,69,994.01,0.00,30.90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-21-2019,10:00:00,18.5,280,1009.40,24.4,0.00,31.8,10.00,65,994.93,0.00,30.53
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-21-2019,10:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1007.74,24.8,0.00,31.9,10.00,66,1004.77,0.00,31.31
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-21-2019,10:00:00,9.3,170,1007.54,25.0,0.00,32.2,10.00,66,999.72,0.00,31.65
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-21-2019,10:00:00,11.1,230,1008.22,25.0,0.00,31.2,9.00,70,1007.13,0.00,31.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-21-2019,10:00:00,3.7,100,1006.17,26.6,0.00,31.2,9.00,77,991.69,0.00,34.84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-21-2019,10:00:00,11.1,190,1008.49,20.4,0.00,20.7,.10,98,873.81,1.40,23.93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-21-2019,10:00:00,7.4,170,1008.03,26.6,0.00,31.5,10.00,76,1002.23,0.00,34.90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-21-2019,10:00:00,9.3,180,1008.24,27.4,0.00,31.5,8.00,79,1007.45,0.00,36.42
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-21-2019,10:00:00,14.8,210,1008.32,25.5,0.00,30.7,10.00,74,1007.88,0.00,32.59
