WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,MeanSeaLevelPressure,WindSpeed,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,WindDirection,DewPoint,RelativeHumidity
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.01,09-07-2019,04:00:00,7.00,1008.29,0.0,32.86,1007.87,0.20,26.9,000,25.6,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-07-2019,04:00:00,8.00,1008.30,0.0,31.38,1005.52,0.30,26.0,000,24.8,93
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-07-2019,04:00:00,10.00,1007.12,0.0,29.05,1006.33,0.50,25.9,000,23.6,87
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-07-2019,04:00:00,6.00,1008.89,3.7,31.25,1008.43,0.50,25.5,090,24.8,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-07-2019,04:00:00,8.00,1008.87,0.0,31.55,1008.18,0.00,25.8,000,24.9,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-07-2019,04:00:00,6.00,1007.81,0.0,31.33,1006.27,0.00,25.4,000,24.8,97
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-07-2019,04:00:00,10.00,1009.61,0.0,31.65,1008.69,0.00,26.0,000,25.0,94
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-07-2019,04:00:00,10.00,1009.33,0.0,31.63,1008.64,0.00,26.7,000,25.0,90
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-07-2019,04:00:00,7.00,1009.32,0.0,29.41,1008.52,0.00,24.5,000,23.8,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-07-2019,04:00:00,10.00,1008.82,0.0,28.97,1008.18,0.00,24.4,000,23.5,95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-07-2019,04:00:00,10.00,1009.17,0.0,28.29,1008.76,0.00,24.6,000,23.1,92
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-07-2019,04:00:00,5.00,1011.16,0.0,28.53,1006.89,0.00,24.0,000,23.3,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-07-2019,04:00:00,6.00,1009.31,0.0,28.77,1007.68,0.00,23.7,000,23.4,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-07-2019,04:00:00,6.00,1009.54,0.0,28.69,1006.02,0.00,23.8,000,23.4,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-07-2019,04:00:00,8.00,1008.95,0.0,29.33,1007.58,0.00,24.6,000,23.7,95
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-07-2019,04:00:00,10.00,1009.21,0.0,31.25,1008.32,0.00,25.5,000,24.8,96
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-07-2019,04:00:00,10.00,1009.33,0.0,28.88,1005.73,0.00,24.2,000,23.5,96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-07-2019,04:00:00,10.00,1009.47,0.0,28.70,1009.04,0.00,26.0,000,23.4,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-07-2019,04:00:00,10.00,1008.80,0.0,30.85,1007.80,0.00,25.0,000,24.6,97
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-07-2019,04:00:00,10.00,1009.32,9.3,30.42,1008.50,0.00,25.2,090,24.3,95
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-07-2019,04:00:00,10.00,1009.41,0.0,29.52,1007.58,0.00,25.0,000,23.8,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-07-2019,04:00:00,8.00,1009.50,3.7,29.74,1008.74,0.00,25.7,250,23.9,90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-07-2019,04:00:00,4.00,1009.83,0.0,28.16,1005.77,0.00,23.2,000,23.0,99
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-07-2019,04:00:00,10.00,1009.71,0.0,30.87,1009.02,0.00,25.3,000,24.6,96
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-07-2019,04:00:00,10.00,1008.95,0.0,30.38,1007.82,0.00,24.6,000,24.3,98
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-07-2019,04:00:00,10.00,1009.68,0.0,30.79,1006.74,0.00,25.4,000,24.5,95
