WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,3.90,10-11-2019,01:00:00,24.3,23.7,97,29.31,0.0,3.90,1010.56,000,1009.78,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-11-2019,01:00:00,27.3,24.7,86,31.14,5.6,11.00,1011.06,080,1010.35,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-11-2019,01:00:00,27.0,25.1,90,31.94,0.0,0.00,1011.00,000,1010.29,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-11-2019,01:00:00,24.6,24.0,97,29.85,0.0,45.90,1011.41,000,990.00,2.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-11-2019,01:00:00,25.0,23.5,92,29.00,0.0,0.01,1011.28,000,994.38,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-11-2019,01:00:00,25.0,24.3,96,30.32,0.0,0.60,1011.82,000,995.20,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-11-2019,01:00:00,24.4,23.5,95,28.97,0.0,14.00,1011.66,000,989.51,6.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-11-2019,01:00:00,22.5,21.7,95,26.01,0.0,1.00,1011.78,000,967.70,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-11-2019,01:00:00,25.0,23.5,92,29.00,0.0,0.00,1010.83,000,990.06,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-11-2019,01:00:00,24.0,24.0,100,29.82,7.4,0.00,1012.45,250,991.32,8.00
