WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindSpeed,MeanSeaLevelPressure,WindDirection,DewPoint,StationPressure,Rainfall24Hr,VaporPressure,LandVisibility,AirTemperature,Rainfall
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,46,10-14-2019,13:00:00,7.4,1011.11,130,21.2,1010.42,0.30,25.21,9.00,34.5,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,60,10-14-2019,13:00:00,3.7,1012.64,060,22.8,991.68,0.00,27.76,8.00,31.4,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,66,10-14-2019,13:00:00,5.6,1012.18,060,24.1,995.60,2.70,29.96,10.00,31.1,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,64,10-14-2019,13:00:00,3.7,1012.89,010,24.5,996.64,2.70,30.65,14.00,32.0,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,62,10-14-2019,13:00:00,7.4,1012.14,090,23.5,990.51,0.00,28.91,10.00,31.7,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,56,10-14-2019,13:00:00,11.1,1011.39,080,21.3,968.54,0.00,25.31,12.00,31.1,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,68,10-14-2019,13:00:00,3.7,1012.37,070,24.5,991.99,5.00,30.73,12.00,31.2,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,65,10-14-2019,13:00:00,11.1,1014.27,070,24.2,993.62,0.00,30.20,9.00,31.5,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,72,10-14-2019,13:00:00,0.0,1010.90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",23.8,1010.47,54.60,29.41,10.00,29.4,0.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,61,10-14-2019,13:00:00,0.0,1009.54,000,24.9,1008.15,0.20,31.54,11.00,33.4,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,65,10-14-2019,13:00:00,3.7,1011.62,090,24.8,1006.75,17.00,31.35,12.00,32.2,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,71,10-14-2019,13:00:00,7.4,1012.02,140,24.3,1008.74,9.30,30.31,12.00,30.0,9.30
