WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall,VaporPressure,MeanSeaLevelPressure,LandVisibility,StationPressure,DewPoint,Rainfall24Hr,AirTemperature,WindDirection,RelativeHumidity
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-21-2019,04:00:00,2.20,31.22,1003.59,10.00,976.06,24.8,47.30,25.2,000,97
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-21-2019,04:00:00,0.00,29.70,1003.37,10.00,969.82,23.9,2.80,25.1,000,93
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.0,08-21-2019,04:00:00,0.20,31.85,1003.02,6.00,984.56,25.1,0.20,26.1,000,94
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-21-2019,04:00:00,12.30,29.05,1004.35,4.00,981.43,23.6,40.30,24.3,000,96
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-21-2019,04:00:00,25.90,26.09,1004.45,3.00,974.32,21.8,48.90,23.0,000,93
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-21-2019,04:00:00,0.01,29.13,1003.25,4.00,967.65,23.6,28.80,24.2,000,97
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-21-2019,04:00:00,0.00,29.30,1003.53,10.00,973.70,23.7,5.00,24.0,000,98
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-21-2019,04:00:00,0.00,30.70,1003.95,7.00,996.65,24.5,0.00,26.5,000,89
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,08-21-2019,04:00:00,57.00,31.68,1004.22,4.00,984.28,25.0,60.20,25.3,070,98
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-21-2019,04:00:00,0.00,29.51,1003.59,10.00,974.86,23.8,16.60,24.7,000,95
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,08-21-2019,04:00:00,38.80,30.52,1004.44,10.00,984.23,24.4,39.10,25.4,130,94
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.0,08-21-2019,04:00:00,22.50,29.69,1004.74,10.00,982.92,23.9,41.90,24.8,000,95
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,08-21-2019,04:00:00,2.20,30.56,1004.26,10.00,984.69,24.4,26.50,24.7,130,98
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-21-2019,04:00:00,0.20,28.37,1005.72,8.00,988.87,23.2,13.80,24.5,000,92
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-21-2019,04:00:00,2.40,28.53,1006.01,8.00,988.45,23.3,25.40,24.0,000,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-21-2019,04:00:00,0.00,31.71,1003.81,8.00,978.02,25.0,0.01,25.6,000,97
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,3.7,08-21-2019,04:00:00,0.00,32.53,1003.30,10.00,997.51,25.4,0.60,25.6,140,99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-21-2019,04:00:00,0.00,31.38,1002.48,10.00,996.30,24.8,0.00,26.0,000,93
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-21-2019,04:00:00,0.00,28.53,1004.91,8.00,988.34,23.3,4.00,24.0,000,96
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,08-21-2019,04:00:00,0.00,28.13,1003.22,10.00,980.83,23.0,0.50,24.8,000,90
48376,TAK,ตาก,ตาก,16.87833,99.14333,11.1,08-21-2019,04:00:00,0.00,26.33,1004.21,10.00,989.88,21.9,0.30,27.3,260,73
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-21-2019,04:00:00,0.00,27.36,1003.13,7.00,986.81,22.6,3.00,27.0,000,77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,08-21-2019,04:00:00,0.00,30.46,1004.19,10.00,998.96,24.3,0.00,25.8,000,92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-21-2019,04:00:00,0.00,29.41,1003.23,10.00,989.97,23.8,4.50,24.5,000,96
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,08-21-2019,04:00:00,0.00,31.63,1003.54,11.00,994.21,25.0,0.00,25.7,000,96
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,08-21-2019,04:00:00,0.00,29.66,1004.55,8.00,982.84,23.9,0.00,25.8,180,89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-21-2019,04:00:00,0.00,30.02,1003.57,10.00,986.13,24.1,0.00,27.0,000,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-21-2019,04:00:00,16.00,29.41,1002.46,10.00,986.57,23.8,16.90,24.5,000,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,5.6,08-21-2019,04:00:00,0.00,27.82,1003.57,8.00,984.68,22.8,0.00,25.8,200,84
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-21-2019,04:00:00,0.00,26.09,1006.62,6.00,954.87,21.8,25.70,22.4,000,96
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,7.4,08-21-2019,04:00:00,0.00,30.52,1004.06,5.00,1000.09,24.4,0.10,25.4,120,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,11.1,08-21-2019,04:00:00,0.10,23.33,1005.16,3.00,909.97,20.0,0.10,20.6,240,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.4,08-21-2019,04:00:00,1.20,30.83,1004.85,6.00,988.78,24.5,41.70,24.7,190,99
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.4,08-21-2019,04:00:00,0.00,31.52,1003.86,9.00,999.82,24.9,50.20,25.5,160,97
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,08-21-2019,04:00:00,0.00,30.58,1005.19,5.00,994.46,24.4,1.40,25.0,000,97
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,08-21-2019,04:00:00,0.00,30.44,1005.29,8.00,1003.36,24.3,0.00,25.5,000,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,3.7,08-21-2019,04:00:00,0.00,29.16,1004.60,10.00,983.64,23.6,4.60,24.8,260,93
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.1,08-21-2019,04:00:00,0.40,29.16,1004.90,10.00,987.15,23.6,3.60,24.8,200,93
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,08-21-2019,04:00:00,0.00,30.05,1004.79,10.00,988.56,24.1,2.80,25.0,160,95
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,08-21-2019,04:00:00,0.00,30.69,1006.16,10.00,992.06,24.5,12.00,25.2,170,96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,08-21-2019,04:00:00,0.00,30.22,1006.83,8.00,991.90,24.2,39.80,24.8,000,97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.6,08-21-2019,04:00:00,0.10,31.00,1006.08,7.00,991.36,24.6,0.30,25.8,240,93
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-21-2019,04:00:00,0.00,31.55,1003.86,10.00,1000.83,24.9,32.20,25.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",95
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,08-21-2019,04:00:00,0.00,29.41,1004.39,7.00,996.39,23.8,50.60,24.5,000,96
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,08-21-2019,04:00:00,0.00,30.44,1005.04,7.00,1003.92,24.3,12.60,25.5,160,93
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-21-2019,04:00:00,0.00,28.11,1005.28,8.00,990.50,23.0,6.70,24.5,000,91
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,08-21-2019,04:00:00,0.00,22.15,1006.65,.10,871.62,19.1,67.60,19.3,230,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-21-2019,04:00:00,0.00,30.48,1004.90,10.00,998.99,24.4,14.80,24.8,000,97
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,08-21-2019,04:00:00,0.00,32.99,1005.05,8.00,1004.24,25.7,3.30,26.4,000,96
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,9.3,08-21-2019,04:00:00,0.00,29.19,1005.09,10.00,1004.64,23.6,2.40,28.0,240,77
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-21-2019,04:00:00,0.30,29.67,1006.29,3.00,994.90,23.9,21.80,24.5,000,97
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-21-2019,04:00:00,0.00,29.08,1004.63,10.00,1003.62,23.6,13.10,26.5,170,84
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,08-21-2019,04:00:00,0.00,31.33,1004.81,7.00,1002.98,24.8,1.00,25.4,200,97
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-21-2019,04:00:00,0.00,28.51,1004.61,3.00,1003.85,23.2,0.00,25.6,000,87
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,08-21-2019,04:00:00,0.00,29.83,1005.29,9.00,1004.59,24.0,0.20,26.9,220,84
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-21-2019,04:00:00,0.00,31.25,1005.41,7.00,1004.71,24.8,91.10,25.5,000,96
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,08-21-2019,04:00:00,0.00,29.33,1005.48,10.00,984.19,23.7,3.80,24.6,000,95
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-21-2019,04:00:00,0.00,29.77,1005.89,6.00,989.07,24.0,8.50,24.7,000,96
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.9,08-21-2019,04:00:00,0.00,29.25,1006.11,5.00,989.57,23.7,16.90,24.7,180,94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-21-2019,04:00:00,0.00,28.03,1005.31,10.00,983.32,23.0,16.00,24.6,000,91
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,08-21-2019,04:00:00,0.00,26.43,1005.25,12.00,961.81,22.0,15.30,25.0,000,83
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,08-21-2019,04:00:00,0.00,27.73,1005.16,10.00,984.54,22.8,0.60,25.6,000,85
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.0,08-21-2019,04:00:00,0.00,30.73,1006.69,7.00,985.71,24.5,33.20,24.5,000,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,9.3,08-21-2019,04:00:00,0.00,29.17,1005.49,10.00,1005.05,23.6,1.50,27.7,240,79
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-21-2019,04:00:00,0.00,30.32,1005.71,6.00,1004.29,24.3,21.60,25.0,000,96
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-21-2019,04:00:00,0.00,30.67,1006.18,7.00,1001.22,24.5,51.20,24.9,000,97
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,7.4,08-21-2019,04:00:00,0.00,28.70,1005.24,10.00,1001.95,23.4,0.01,26.0,210,85
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-21-2019,04:00:00,0.00,30.07,1005.16,10.00,1004.05,24.1,9.50,25.3,000,93
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-21-2019,04:00:00,0.00,29.98,1005.00,10.00,1004.70,24.1,12.60,27.7,000,81
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-21-2019,04:00:00,0.00,31.16,1005.51,10.00,1005.02,24.7,11.50,26.6,000,90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,7.4,08-21-2019,04:00:00,0.00,29.99,1005.17,10.00,1003.76,24.1,2.20,26.7,210,86
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-21-2019,04:00:00,0.00,30.48,1007.66,10.00,999.59,24.4,3.90,24.8,000,97
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-21-2019,04:00:00,0.00,32.45,1005.27,10.00,1004.98,25.4,0.01,27.4,000,89
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,08-21-2019,04:00:00,0.00,31.87,1005.17,10.00,1002.05,25.1,7.20,28.1,000,84
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,9.3,08-21-2019,04:00:00,0.00,31.05,1005.41,10.00,998.49,24.7,6.20,27.4,240,85
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-21-2019,04:00:00,1.10,30.79,1005.88,8.00,1000.26,24.5,3.80,25.4,000,95
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,08-21-2019,04:00:00,0.00,30.85,1006.65,10.00,1005.38,24.6,5.40,25.0,000,97
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,5.6,08-21-2019,04:00:00,0.00,29.39,1005.61,11.00,1005.17,23.8,32.20,27.1,210,82
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-21-2019,04:00:00,0.00,28.51,1006.10,10.00,993.80,23.2,0.00,25.6,000,87
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-21-2019,04:00:00,0.00,28.82,1005.83,10.00,1005.11,23.4,11.90,26.5,240,83
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,08-21-2019,04:00:00,0.00,30.23,1006.38,10.00,1003.96,24.2,0.00,28.4,220,78
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,18.5,08-21-2019,04:00:00,0.01,31.29,1006.14,10.00,1005.63,24.8,0.01,28.8,210,79
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-21-2019,04:00:00,0.00,29.85,1005.52,7.00,1000.38,24.0,0.01,27.2,000,83
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-21-2019,04:00:00,0.00,30.79,1006.40,7.00,1005.99,24.5,27.70,25.4,000,95
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-21-2019,04:00:00,0.00,32.77,1006.62,8.00,1003.85,25.6,3.30,27.0,000,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-21-2019,04:00:00,0.00,27.49,1006.59,10.00,1005.80,22.6,0.20,27.8,000,74
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,08-21-2019,04:00:00,7.00,30.05,1007.90,4.00,1007.44,24.1,35.40,25.0,060,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-21-2019,04:00:00,0.01,28.42,1007.96,9.00,1007.27,23.2,0.01,25.7,000,86
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,08-21-2019,04:00:00,0.00,30.81,1006.34,10.00,1004.81,24.5,0.00,26.7,000,88
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,08-21-2019,04:00:00,7.10,28.72,1008.81,10.00,1007.88,23.4,13.30,24.7,000,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-21-2019,04:00:00,0.00,29.69,1008.03,10.00,1007.34,23.9,0.00,27.4,000,81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.9,08-21-2019,04:00:00,0.00,29.16,1008.86,8.00,1008.05,23.6,0.00,24.8,320,93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-21-2019,04:00:00,0.00,29.91,1007.44,10.00,1006.81,24.0,0.00,25.5,000,92
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-21-2019,04:00:00,0.00,29.00,1007.41,10.00,1007.00,23.5,0.00,25.0,000,92
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-21-2019,04:00:00,0.00,28.01,1010.12,5.00,1005.85,23.0,0.00,24.0,000,94
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-21-2019,04:00:00,0.00,28.77,1008.74,10.00,1007.11,23.4,0.00,23.7,000,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-21-2019,04:00:00,0.00,29.41,1008.36,6.00,1004.86,23.8,0.00,24.5,000,96
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.6,08-21-2019,04:00:00,0.00,30.46,1007.37,9.00,1006.01,24.3,0.40,25.8,300,92
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-21-2019,04:00:00,0.00,30.30,1008.15,10.00,1007.26,24.3,0.00,26.0,000,90
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-21-2019,04:00:00,0.00,28.36,1008.56,10.00,1004.96,23.2,0.00,24.2,000,94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-21-2019,04:00:00,0.00,30.42,1007.90,10.00,1007.46,24.3,0.00,27.5,000,83
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-21-2019,04:00:00,0.00,29.82,1007.74,10.00,1006.76,24.0,0.00,28.9,000,75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,08-21-2019,04:00:00,0.00,30.28,1008.08,10.00,1007.26,24.3,0.00,28.0,000,80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-21-2019,04:00:00,0.00,29.61,1008.07,10.00,1006.25,23.9,0.01,24.9,000,94
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.9,08-21-2019,04:00:00,0.00,30.29,1008.70,10.00,1007.94,24.3,0.00,27.0,230,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,08-21-2019,04:00:00,0.00,30.98,1008.36,5.00,1004.34,24.6,0.00,25.5,120,95
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-21-2019,04:00:00,0.00,31.30,1008.48,10.00,1007.79,24.8,1.60,26.1,000,93
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-21-2019,04:00:00,0.00,29.72,1008.45,10.00,1007.33,23.9,0.00,25.4,000,92
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-21-2019,04:00:00,0.00,30.34,1008.48,10.00,1005.54,24.3,0.00,25.3,000,94
