WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,RelativeHumidity,LandVisibility,Rainfall,DewPoint,MeanSeaLevelPressure
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,37.40,08-17-2019,22:00:00,1009.66,0.0,31.08,25.7,000,94,10.00,0.00,24.7,1010.55
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.90,08-17-2019,22:00:00,1007.26,0.0,31.17,25.6,000,95,10.00,0.00,24.7,1010.85
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,4.20,08-17-2019,22:00:00,1009.98,0.0,31.54,28.5,000,81,10.00,0.00,24.9,1010.42
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,42.70,08-17-2019,22:00:00,1009.50,0.0,29.64,25.5,000,91,10.00,0.00,23.9,1010.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.20,08-17-2019,22:00:00,1010.00,7.4,29.28,25.3,260,91,10.00,0.00,23.7,1010.82
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,2.50,08-17-2019,22:00:00,1009.16,0.0,33.10,26.6,000,95,10.00,0.00,25.7,1010.98
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.30,08-17-2019,22:00:00,1010.90,1.9,28.23,26.9,140,80,11.00,0.00,23.1,1011.65
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-17-2019,22:00:00,1007.35,3.7,32.20,27.7,060,87,10.00,0.00,25.3,1011.35
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-17-2019,22:00:00,1011.48,0.0,31.79,26.5,000,92,10.00,0.00,25.1,1012.16
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-17-2019,22:00:00,1009.91,0.0,31.54,28.5,000,81,10.00,0.00,24.9,1011.02
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-17-2019,22:00:00,1007.80,0.0,33.29,27.4,000,91,10.00,0.00,25.8,1010.72
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,18.80,08-17-2019,22:00:00,1009.92,0.0,30.85,25.0,000,97,8.00,0.00,24.6,1010.62
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.60,08-17-2019,22:00:00,1007.78,0.0,29.49,24.4,000,97,7.00,0.20,23.8,1011.96
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,2.70,08-17-2019,22:00:00,1010.57,11.1,26.84,24.5,150,87,8.00,0.00,22.3,1011.16
