WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,MeanSeaLevelPressure,WindDirection,DewPoint,LandVisibility,WindSpeed,VaporPressure
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,64,07-24-2019,13:00:00,0.00,32.7,1007.53,0.00,1009.11,000,25.1,12.00,0.0,31.82
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,61,07-24-2019,13:00:00,0.00,33.0,1005.57,0.00,1008.98,000,24.5,12.00,0.0,30.69
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,67,07-24-2019,13:00:00,0.00,32.1,1007.54,0.00,1008.88,090,25.2,8.00,5.6,32.02
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,71,07-24-2019,13:00:00,0.00,31.8,1008.84,0.00,1009.71,240,25.8,10.00,14.8,33.15
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,63,07-24-2019,13:00:00,0.00,31.4,1005.72,0.00,1009.24,250,23.5,10.00,7.4,28.87
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,62,07-24-2019,13:00:00,23.80,33.0,1008.72,0.00,1009.15,160,24.6,10.00,5.6,30.99
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,68,07-24-2019,13:00:00,18.20,32.2,1008.35,0.00,1009.32,260,25.4,10.00,13.0,32.53
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,71,07-24-2019,13:00:00,0.00,29.3,1009.21,0.00,1010.02,140,23.5,10.00,5.6,28.94
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,60,07-24-2019,13:00:00,6.80,32.6,1007.38,0.00,1009.16,220,23.9,10.00,13.0,29.58
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,54,07-24-2019,13:00:00,0.00,33.4,1008.36,0.00,1009.10,260,22.8,12.00,7.4,27.79
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,58,07-24-2019,13:00:00,0.40,33.0,1005.07,0.00,1008.99,210,23.7,10.00,13.0,29.25
48570,SATUN,สตูล,สตูล,6.65000,100.08333,68,07-24-2019,13:00:00,3.90,31.4,1009.50,0.00,1010.18,120,24.9,10.00,9.3,31.43
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,58,07-24-2019,13:00:00,1.00,33.7,1008.09,0.00,1009.18,000,24.3,12.00,0.0,30.41
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,61,07-24-2019,13:00:00,14.90,33.0,1006.29,0.00,1009.16,250,24.5,12.00,11.1,30.69
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,67,07-24-2019,13:00:00,0.00,32.2,1007.93,0.00,1008.61,270,25.3,10.00,9.3,32.23
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,63,07-24-2019,13:00:00,22.10,33.4,1005.08,0.00,1009.12,300,25.4,10.00,7.4,32.43
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,58,07-24-2019,13:00:00,0.00,33.7,1008.51,0.00,1009.08,070,24.2,10.00,14.8,30.12
