WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,LandVisibility,AirTemperature,WindSpeed,WindDirection,VaporPressure,Rainfall24Hr,MeanSeaLevelPressure
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-29-2019,01:00:00,80,22.3,964.83,10.00,26.0,7.4,180,26.88,0.00,1008.26
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-29-2019,01:00:00,71,22.6,987.36,10.00,28.3,7.4,150,27.34,0.01,1007.85
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,15.00,07-29-2019,01:00:00,99,24.1,987.69,7.00,24.3,14.8,160,30.10,23.20,1008.73
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-29-2019,01:00:00,75,23.5,1007.76,10.00,28.3,5.6,300,28.95,0.01,1008.19
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1.80,07-29-2019,01:00:00,93,24.3,1006.69,6.00,25.5,0.0,000,30.44,19.60,1008.12
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-29-2019,01:00:00,91,25.8,1003.85,7.00,27.4,0.0,000,33.29,0.10,1008.79
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-29-2019,01:00:00,70,22.2,1005.06,10.00,28.3,0.0,000,26.81,0.00,1008.34
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-29-2019,01:00:00,76,22.8,1006.98,10.00,27.5,3.7,230,27.73,0.00,1008.08
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-29-2019,01:00:00,64,22.1,1007.88,10.00,29.6,3.7,230,26.54,0.00,1008.18
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-29-2019,01:00:00,78,24.7,1009.61,10.00,29.0,0.0,000,31.13,0.00,1010.10
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-29-2019,01:00:00,64,22.1,1006.61,10.00,29.6,16.7,240,26.54,0.00,1008.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-29-2019,01:00:00,87,24.7,1002.06,10.00,27.0,3.7,130,31.11,0.01,1010.09
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-29-2019,01:00:00,84,26.4,1007.48,10.00,29.5,3.7,270,34.46,2.00,1007.76
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-29-2019,01:00:00,78,24.7,1004.72,10.00,29.0,0.0,000,31.13,0.00,1007.83
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-29-2019,01:00:00,68,22.9,1001.38,10.00,29.5,11.1,270,27.96,0.00,1008.28
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-29-2019,01:00:00,81,24.4,1003.04,7.00,28.0,0.0,000,30.56,0.00,1008.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-29-2019,01:00:00,77,22.6,1007.13,10.00,27.0,3.7,270,27.36,1.90,1008.39
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-29-2019,01:00:00,70,21.9,1007.99,11.00,28.0,11.1,220,26.28,0.00,1008.42
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-29-2019,01:00:00,71,21.6,996.72,8.00,27.3,0.0,000,25.82,0.00,1008.99
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-29-2019,01:00:00,71,23.0,1008.03,10.00,28.7,0.0,000,28.08,0.00,1008.74
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-29-2019,01:00:00,70,23.6,1006.37,10.00,29.7,7.4,260,29.16,0.00,1008.79
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.30,07-29-2019,01:00:00,85,26.7,1007.63,10.00,29.5,9.3,230,35.05,0.30,1008.14
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-29-2019,01:00:00,80,25.7,1002.98,9.00,29.5,5.6,270,33.00,0.00,1008.09
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-29-2019,01:00:00,85,25.6,1008.19,7.00,28.3,7.4,210,32.84,1.10,1008.60
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-29-2019,01:00:00,94,25.5,1006.25,8.00,26.5,0.0,000,32.63,2.70,1009.03
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-29-2019,01:00:00,67,21.3,1008.08,10.00,28.0,0.0,000,25.24,0.00,1008.86
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.40,07-29-2019,01:00:00,93,22.7,1008.99,4.00,23.9,7.4,080,27.59,34.70,1009.46
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-29-2019,01:00:00,89,23.7,1009.50,8.00,25.6,0.0,000,29.29,0.01,1010.18
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-29-2019,01:00:00,93,24.0,1008.99,8.00,25.2,0.0,000,29.89,0.60,1010.53
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-29-2019,01:00:00,92,24.0,1008.99,10.00,25.5,0.0,000,29.91,29.20,1009.91
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.01,07-29-2019,01:00:00,88,25.2,1009.65,8.00,27.3,13.0,280,31.97,1.20,1010.33
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-29-2019,01:00:00,93,24.4,1010.02,8.00,25.6,0.0,000,30.63,0.10,1010.82
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-29-2019,01:00:00,89,24.4,1009.08,10.00,26.4,0.0,000,30.51,0.01,1009.72
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-29-2019,01:00:00,95,24.9,1009.59,10.00,25.8,0.0,000,31.55,0.00,1010.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-29-2019,01:00:00,92,24.0,1007.93,6.00,25.5,0.0,000,29.91,0.00,1012.18
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-29-2019,01:00:00,96,24.3,1007.28,8.00,25.0,0.0,000,30.32,4.20,1008.90
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-29-2019,01:00:00,95,25.1,1007.44,7.00,26.0,0.0,000,31.93,12.00,1010.94
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-29-2019,01:00:00,98,24.7,1009.19,10.00,25.0,0.0,000,31.12,0.00,1010.56
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-29-2019,01:00:00,92,24.9,1010.28,10.00,26.3,0.0,000,31.41,1.60,1011.18
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-29-2019,01:00:00,97,24.6,1007.23,10.00,25.0,0.0,000,30.85,7.10,1010.83
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-29-2019,01:00:00,82,24.6,1009.89,10.00,28.0,0.0,000,30.84,0.00,1010.32
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-29-2019,01:00:00,86,23.5,1009.54,10.00,26.0,0.0,000,28.97,0.01,1010.53
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-29-2019,01:00:00,77,24.2,1010.06,10.00,28.7,13.0,270,30.26,0.00,1010.87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-29-2019,01:00:00,91,24.0,1009.18,10.00,25.6,0.0,000,29.82,0.00,1011.01
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-29-2019,01:00:00,80,23.3,1009.81,10.00,27.0,5.6,250,28.67,0.00,1010.56
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-29-2019,01:00:00,91,23.3,1006.98,10.00,24.9,0.0,000,28.56,0.00,1011.02
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-29-2019,01:00:00,96,23.8,1010.84,10.00,24.5,0.0,000,29.41,0.00,1011.53
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-29-2019,01:00:00,90,23.6,1009.37,10.00,25.4,0.0,000,29.19,0.00,1010.50
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-29-2019,01:00:00,93,23.7,1008.08,10.00,24.9,0.0,000,29.34,0.00,1011.03
