WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,StationPressure,MeanSeaLevelPressure,Rainfall,WindSpeed,LandVisibility,WindDirection,RelativeHumidity,VaporPressure,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,24.2,09-18-2019,13:00:00,33.5,981.62,1008.55,0.00,0.0,10.00,000,59,30.28,1.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.9,09-18-2019,13:00:00,32.0,975.86,1008.85,0.00,0.0,15.00,000,66,31.52,23.60
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,23.7,09-18-2019,13:00:00,33.7,990.27,1008.37,0.00,1.9,8.00,090,56,29.25,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.3,09-18-2019,13:00:00,33.4,986.10,1008.44,0.00,0.0,10.00,000,59,30.37,9.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,09-18-2019,13:00:00,33.5,979.46,1008.70,0.00,0.0,12.00,000,59,30.28,31.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.7,09-18-2019,13:00:00,31.5,974.20,1009.16,0.00,0.0,8.00,000,67,31.06,18.60
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,27.3,09-18-2019,13:00:00,32.0,978.62,1007.81,0.00,0.0,15.00,000,76,36.32,2.90
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,25.2,09-18-2019,13:00:00,35.0,1000.83,1007.95,0.00,0.0,10.00,000,57,32.01,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,25.5,09-18-2019,13:00:00,34.5,988.60,1008.02,0.00,11.1,9.00,110,60,32.73,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,24.9,09-18-2019,13:00:00,34.2,979.93,1007.91,0.00,5.6,15.00,150,59,31.47,2.80
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.4,09-18-2019,13:00:00,33.5,988.55,1008.31,0.00,7.4,10.00,080,56,28.84,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,22.9,09-18-2019,13:00:00,30.9,987.78,1009.26,0.00,7.4,12.00,040,62,27.90,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,23.6,09-18-2019,13:00:00,31.4,989.02,1008.23,0.00,7.4,10.00,340,63,29.15,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,22.6,09-18-2019,13:00:00,31.8,992.36,1008.87,0.00,1.9,12.00,320,58,27.43,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,22.7,09-18-2019,13:00:00,32.0,991.81,1008.96,0.00,0.0,12.00,000,58,27.55,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.2,09-18-2019,13:00:00,33.0,982.48,1007.75,0.00,5.6,12.00,120,60,30.11,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.1,09-18-2019,13:00:00,34.7,1002.37,1008.02,0.00,11.1,10.00,360,65,35.97,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.7,09-18-2019,13:00:00,32.8,1002.27,1008.35,0.00,0.0,12.00,000,66,32.92,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,23.4,09-18-2019,13:00:00,35.3,991.98,1007.99,0.00,5.6,12.00,270,50,28.80,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,09-18-2019,13:00:00,33.0,984.53,1006.40,0.00,0.0,10.00,000,61,30.69,2.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.9,09-18-2019,13:00:00,34.2,994.72,1008.80,0.00,0.0,7.00,000,59,31.47,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.6,09-18-2019,13:00:00,35.0,992.08,1008.05,0.00,0.0,12.00,000,52,29.05,3.40
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,25.4,09-18-2019,13:00:00,33.3,1003.38,1008.51,0.00,11.1,10.00,320,64,32.51,15.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.7,09-18-2019,13:00:00,34.1,993.91,1006.80,0.00,3.7,12.00,030,62,33.06,5.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.4,09-18-2019,13:00:00,33.3,999.57,1008.72,0.00,3.7,11.00,320,64,32.51,7.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,23.1,09-18-2019,13:00:00,33.9,986.51,1007.73,0.00,9.3,10.00,350,53,28.23,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.8,09-18-2019,13:00:00,31.0,990.88,1008.17,0.00,13.0,12.00,100,66,29.48,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.8,09-18-2019,13:00:00,31.0,991.64,1007.27,0.00,9.3,12.00,010,66,29.48,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.7,09-18-2019,13:00:00,34.1,988.63,1007.08,0.00,7.4,10.00,020,62,33.06,14.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.5,09-18-2019,13:00:00,31.0,956.40,1006.74,0.00,0.0,11.00,000,57,25.65,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.3,09-18-2019,13:00:00,33.0,1004.20,1008.08,0.00,3.7,6.00,320,64,32.16,0.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.7,09-18-2019,13:00:00,27.1,914.86,1008.41,0.00,7.4,9.00,040,68,24.46,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.3,09-18-2019,13:00:00,28.9,992.57,1008.47,0.00,3.7,9.00,040,76,30.37,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.7,09-18-2019,13:00:00,33.3,1004.51,1008.46,0.00,9.3,8.00,030,68,34.94,6.50
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.9,09-18-2019,13:00:00,32.0,998.41,1008.93,0.00,3.7,9.00,020,66,31.52,2.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.7,09-18-2019,13:00:00,31.5,1007.10,1009.01,0.00,0.0,9.00,000,72,33.10,0.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,20.7,09-18-2019,13:00:00,34.1,987.20,1007.59,0.00,18.5,10.00,040,46,24.45,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.7,09-18-2019,13:00:00,29.2,990.72,1008.27,0.00,11.1,10.00,040,72,29.30,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.4,09-18-2019,13:00:00,28.5,991.88,1007.98,0.10,5.6,9.00,340,74,28.78,0.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.7,09-18-2019,13:00:00,31.9,993.63,1007.44,0.00,3.7,10.00,040,66,31.02,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.9,09-18-2019,13:00:00,31.5,993.41,1008.04,0.00,0.0,10.00,000,72,33.40,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.6,09-18-2019,13:00:00,31.5,994.27,1008.75,0.00,14.8,10.00,060,76,34.90,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.6,09-18-2019,13:00:00,32.9,1005.23,1008.20,0.00,0.0,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",66,32.84,29.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.0,09-18-2019,13:00:00,32.2,1000.11,1007.93,0.00,5.6,10.00,230,66,31.65,5.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.6,09-18-2019,13:00:00,33.4,1007.63,1008.71,0.00,5.6,8.00,170,68,34.86,0.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.7,09-18-2019,13:00:00,32.5,993.73,1008.17,0.00,0.0,8.00,000,76,37.15,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.7,09-18-2019,13:00:00,22.6,874.04,1007.84,1.80,5.6,7.00,060,95,25.93,32.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.8,09-18-2019,13:00:00,33.5,1001.88,1007.64,0.00,3.7,10.00,070,64,33.25,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,26.4,09-18-2019,13:00:00,34.0,1007.10,1007.89,0.00,3.7,9.00,320,65,34.36,2.70
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.3,09-18-2019,13:00:00,31.7,1007.15,1007.59,0.00,7.4,10.00,210,65,30.32,1.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,09-18-2019,13:00:00,30.5,997.64,1008.83,0.00,0.0,7.00,000,72,31.31,4.40
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,25.5,09-18-2019,13:00:00,34.3,1006.78,1007.77,0.00,5.6,12.00,360,60,32.59,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.5,09-18-2019,13:00:00,32.8,1006.09,1007.88,1.20,0.0,9.00,000,66,32.63,1.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.5,09-18-2019,13:00:00,35.1,1006.74,1007.49,0.00,3.7,9.00,040,51,28.96,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.5,09-18-2019,13:00:00,32.4,1007.10,1007.79,0.00,13.0,10.00,070,59,28.89,18.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.3,09-18-2019,13:00:00,34.1,1006.80,1007.48,0.00,7.4,8.00,270,64,34.28,0.30
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.0,09-18-2019,13:00:00,33.7,986.79,1007.50,0.00,11.1,12.00,060,51,26.42,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.9,09-18-2019,13:00:00,32.0,991.19,1007.65,0.00,9.3,11.00,010,66,31.52,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.5,09-18-2019,13:00:00,32.5,992.20,1008.35,0.00,7.4,14.00,050,67,32.58,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.9,09-18-2019,13:00:00,33.5,985.63,1007.03,0.00,9.3,10.00,090,54,27.99,0.20
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.7,09-18-2019,13:00:00,30.9,964.77,1007.48,0.00,7.4,12.00,350,66,29.28,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.4,09-18-2019,13:00:00,32.5,987.04,1007.23,0.00,14.8,10.00,010,59,28.81,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.7,09-18-2019,13:00:00,31.6,989.17,1009.73,0.00,24.1,9.00,050,71,33.02,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,23.2,09-18-2019,13:00:00,33.6,1007.27,1007.70,0.00,9.3,11.00,100,55,28.47,1.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.9,09-18-2019,13:00:00,34.0,1005.53,1006.92,0.00,0.0,11.00,000,63,33.44,0.30
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.4,09-18-2019,13:00:00,33.9,1001.92,1006.74,0.00,0.0,9.00,000,65,34.44,24.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.8,09-18-2019,13:00:00,33.8,1004.13,1007.35,0.00,13.0,12.00,330,56,29.46,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.8,09-18-2019,13:00:00,33.7,1006.76,1007.84,0.00,3.7,10.00,120,60,31.29,0.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.5,09-18-2019,13:00:00,33.2,1007.09,1007.38,0.00,7.4,10.00,040,61,30.82,2.70
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,24.7,09-18-2019,13:00:00,33.5,1006.54,1007.22,0.00,7.4,10.00,030,60,31.16,3.70
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.1,09-18-2019,13:00:00,33.8,1006.97,1007.45,0.00,3.7,10.00,100,64,33.91,6.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.5,09-18-2019,13:00:00,33.3,1006.31,1007.69,0.00,7.4,10.00,060,60,30.74,0.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.4,09-18-2019,13:00:00,32.6,1006.12,1007.77,0.00,0.0,4.00,000,79,38.66,1.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.7,09-18-2019,13:00:00,32.4,1000.96,1008.84,0.00,0.0,12.00,000,64,31.19,1.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.4,09-18-2019,13:00:00,32.0,1006.97,1007.25,0.00,3.7,10.00,290,68,32.40,0.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.7,09-18-2019,13:00:00,33.8,1004.59,1007.66,0.00,0.0,10.00,000,63,33.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.7,09-18-2019,13:00:00,31.1,1001.15,1008.00,0.00,11.1,7.00,330,69,31.10,21.70
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.5,09-18-2019,13:00:00,33.6,1001.61,1007.09,0.00,7.4,10.00,280,67,34.69,44.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.2,09-18-2019,13:00:00,33.3,999.50,1008.63,0.00,5.6,9.00,350,67,34.02,0.30
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.2,09-18-2019,13:00:00,33.6,1007.20,1008.44,0.00,11.1,14.00,020,58,30.20,0.10
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.8,09-18-2019,13:00:00,34.5,1006.92,1007.35,0.00,7.4,11.00,070,64,35.19,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.8,09-18-2019,13:00:00,31.7,995.70,1007.77,0.00,0.0,9.00,000,63,29.47,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.9,09-18-2019,13:00:00,31.5,1007.50,1008.20,0.00,9.3,10.00,140,72,33.40,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,25.5,09-18-2019,13:00:00,26.4,1006.01,1008.45,12.90,7.4,2.00,090,95,32.71,13.20
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.8,09-18-2019,13:00:00,30.0,1007.78,1008.29,0.00,3.7,10.00,230,78,33.17,1.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.1,09-18-2019,13:00:00,25.6,1002.75,1007.93,35.50,1.9,7.00,260,92,30.09,35.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.9,09-18-2019,13:00:00,31.5,1007.27,1007.68,0.00,11.1,8.00,180,72,33.40,0.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.1,09-18-2019,13:00:00,28.9,1005.34,1008.09,0.80,0.0,8.00,000,85,33.78,7.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.4,09-18-2019,13:00:00,31.0,1008.01,1008.79,0.00,5.6,10.00,150,72,32.34,0.01
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.2,09-18-2019,13:00:00,28.5,1008.07,1008.52,1.90,3.7,7.00,320,88,34.11,27.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.1,09-18-2019,13:00:00,25.7,1009.33,1010.02,1.40,11.1,7.00,280,91,30.01,3.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.6,09-18-2019,13:00:00,28.6,1007.98,1009.50,0.60,5.6,8.00,280,79,30.90,1.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,09-18-2019,13:00:00,25.0,1010.14,1011.07,22.70,0.0,7.00,000,92,29.00,53.70
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.6,09-18-2019,13:00:00,30.7,1008.62,1009.30,0.00,11.1,12.00,270,70,30.86,0.80
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,09-18-2019,13:00:00,32.0,1008.87,1009.66,0.00,3.7,10.00,240,64,30.36,5.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.7,09-18-2019,13:00:00,32.2,1008.10,1008.73,0.00,0.0,10.00,000,61,29.34,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.7,09-18-2019,13:00:00,33.0,1008.51,1008.91,0.00,7.4,10.00,270,66,33.06,17.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.7,09-18-2019,13:00:00,30.5,1006.87,1011.04,0.00,5.6,7.00,260,67,29.33,2.90
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.1,09-18-2019,13:00:00,30.5,1008.44,1010.04,0.00,7.4,12.00,230,65,28.23,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.3,09-18-2019,13:00:00,31.0,1006.47,1009.91,0.00,3.7,10.00,270,68,30.33,2.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.1,09-18-2019,13:00:00,29.7,1008.02,1009.37,0.00,5.6,8.00,310,68,28.34,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.2,09-18-2019,13:00:00,29.5,1009.53,1010.41,0.00,0.0,10.00,000,73,30.16,16.10
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.2,09-18-2019,13:00:00,29.8,1005.95,1009.48,0.00,0.0,10.00,000,72,30.19,29.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.6,09-18-2019,13:00:00,29.2,1009.75,1010.18,0.20,0.0,10.00,000,76,30.96,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.6,09-18-2019,13:00:00,29.2,1008.88,1009.87,0.01,7.4,10.00,270,76,30.96,53.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.3,09-18-2019,13:00:00,27.3,1009.43,1010.25,0.00,5.6,10.00,270,89,32.25,23.60
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,09-18-2019,13:00:00,29.4,1008.20,1010.00,0.00,5.6,10.00,250,74,30.24,0.20
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.1,09-18-2019,13:00:00,31.8,1008.34,1009.08,0.01,3.7,7.00,220,60,28.27,0.70
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.2,09-18-2019,13:00:00,32.7,1005.18,1009.11,0.00,13.0,4.00,240,54,26.69,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.8,09-18-2019,13:00:00,32.3,1009.12,1009.79,0.00,0.0,7.00,000,61,29.54,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.7,09-18-2019,13:00:00,32.9,1007.77,1008.86,0.00,0.0,10.00,000,59,29.33,6.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.6,09-18-2019,13:00:00,33.2,1006.34,1009.21,0.00,13.0,12.00,210,57,29.09,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,26.3,09-18-2019,13:00:00,32.3,1008.34,1009.02,0.00,0.0,7.00,000,71,34.24,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.9,09-18-2019,13:00:00,33.0,1005.88,1009.93,0.00,3.7,6.00,140,55,27.84,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.6,09-18-2019,13:00:00,31.5,1008.78,1009.36,0.00,11.1,10.00,160,63,29.07,0.00
