WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,Rainfall24Hr,AirTemperature,VaporPressure,DewPoint,LandVisibility,MaximumTemperature,MeanSeaLevelPressure,Rainfall,WindSpeed,StationPressure,RelativeHumidity
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,07-13-2019,19:00:00,0.00,30.7,21.01,18.3,10.00,35.7,1007.87,0.00,0.0,1007.09,48
48501,TRAD,ตราด,ตราด,11.76667,102.88333,000,07-13-2019,19:00:00,10.90,29.1,32.46,25.4,8.00,32.4,1007.87,0.00,0.0,1007.42,81
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,290,07-13-2019,19:00:00,0.00,29.8,27.71,22.8,8.00,34.8,1008.81,0.00,7.4,1008.13,66
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,200,07-13-2019,19:00:00,0.00,30.0,27.55,22.7,8.00,35.4,1008.70,0.00,3.7,1007.19,65
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,200,07-13-2019,19:00:00,0.01,29.4,29.41,23.8,10.00,32.8,1009.87,0.01,5.6,1008.96,72
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,07-13-2019,19:00:00,0.00,29.4,29.96,24.1,10.00,35.7,1009.27,0.00,0.0,1008.59,73
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,07-13-2019,19:00:00,0.70,26.6,32.26,25.3,10.00,36.7,1009.38,0.70,0.0,1008.59,93
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,07-13-2019,19:00:00,8.60,26.1,31.30,24.8,10.00,35.8,1009.27,8.60,0.0,1008.63,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",07-13-2019,19:00:00,0.01,27.4,29.69,23.9,10.00,34.9,1009.50,0.00,0.0,1009.10,81
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,110,07-13-2019,19:00:00,15.90,25.0,30.32,24.3,6.00,35.0,1010.91,15.90,3.7,1006.65,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,07-13-2019,19:00:00,14.60,27.0,30.02,24.1,8.00,34.0,1009.46,0.01,0.0,1007.85,84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,07-13-2019,19:00:00,0.00,29.0,31.13,24.7,10.00,34.5,1010.93,0.00,0.0,1007.47,78
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,07-13-2019,19:00:00,2.90,25.9,32.01,25.2,8.00,34.0,1009.39,0.30,0.0,1008.03,96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,07-13-2019,19:00:00,0.00,29.2,30.96,24.6,10.00,32.3,1008.84,0.00,0.0,1007.96,76
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,07-13-2019,19:00:00,4.80,27.6,30.89,24.6,10.00,33.5,1009.25,0.00,0.0,1005.69,84
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,07-13-2019,19:00:00,15.00,29.8,32.17,25.3,10.00,33.5,1009.22,0.00,0.0,1008.79,77
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,310,07-13-2019,19:00:00,15.60,29.9,30.67,24.5,9.00,32.5,1008.73,0.00,3.7,1007.74,73
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,07-13-2019,19:00:00,4.00,26.1,29.41,23.8,10.00,31.7,1009.78,0.00,0.0,1008.96,87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,07-13-2019,19:00:00,0.40,26.1,29.41,23.8,12.00,33.9,1010.17,0.01,0.0,1008.35,87
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,280,07-13-2019,19:00:00,7.60,27.9,28.20,23.1,10.00,33.2,1009.64,0.40,7.4,1008.89,75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,240,07-13-2019,19:00:00,1.60,28.3,28.41,23.2,10.00,33.9,1009.96,0.00,16.7,1005.97,74
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,07-13-2019,19:00:00,1.50,25.5,27.29,22.5,10.00,33.0,1010.33,1.40,0.0,1009.65,84
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,07-13-2019,19:00:00,0.00,28.7,28.62,23.3,10.00,34.8,1009.53,0.00,0.0,1008.42,73
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,280,07-13-2019,19:00:00,0.00,28.8,30.46,24.3,10.00,33.9,1009.88,0.00,5.6,1006.97,77
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,07-13-2019,19:00:00,4.20,26.7,32.18,25.3,6.00,34.6,1009.17,4.20,0.0,1008.48,92
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,07-13-2019,19:00:00,45.00,25.0,30.05,24.1,7.00,34.0,1010.49,10.40,0.0,1006.32,95
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,260,07-13-2019,19:00:00,0.00,28.5,26.13,21.8,10.00,33.6,1009.53,0.00,7.4,1008.94,67
