WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,WindDirection,DewPoint
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.35,07-12-2019,10:00:00,32.8,57,28.28,983.04,9.3,0.00,11.00,0.00,240,23.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1009.45,07-12-2019,10:00:00,32.2,60,29.06,1003.75,0.0,0.00,10.00,0.00,000,23.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.88,07-12-2019,10:00:00,32.5,61,29.66,1003.78,9.3,0.00,12.00,0.00,250,23.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1010.02,07-12-2019,10:00:00,32.5,56,27.41,993.84,0.0,0.00,10.00,0.00,000,22.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.36,07-12-2019,10:00:00,28.8,71,28.00,988.11,3.7,1.00,10.00,0.00,240,22.9
48376,TAK,ตาก,ตาก,16.87833,99.14333,1010.86,07-12-2019,10:00:00,31.0,61,27.27,996.61,18.5,0.00,10.00,0.00,270,22.5
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1010.26,07-12-2019,10:00:00,29.5,68,27.96,993.96,5.6,0.00,7.00,0.00,240,22.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1010.46,07-12-2019,10:00:00,31.7,62,28.91,1005.29,5.6,0.00,10.00,0.00,250,23.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.48,07-12-2019,10:00:00,32.5,64,31.11,995.50,0.0,0.00,12.00,0.00,000,24.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1010.08,07-12-2019,10:00:00,32.2,56,27.11,1000.89,1.9,0.00,12.00,0.00,090,22.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.78,07-12-2019,10:00:00,33.1,56,28.32,987.49,11.1,1.80,10.00,0.00,260,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1009.05,07-12-2019,10:00:00,33.4,56,28.92,991.88,13.0,0.01,12.00,0.00,230,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.53,07-12-2019,10:00:00,33.3,56,28.44,993.00,5.6,0.00,12.00,0.00,250,23.2
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.09,07-12-2019,10:00:00,33.4,59,30.37,989.58,0.0,0.01,10.00,0.00,000,24.3
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1011.09,07-12-2019,10:00:00,26.2,79,26.72,959.75,0.0,0.70,10.00,0.00,000,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1010.21,07-12-2019,10:00:00,31.6,63,29.27,1006.30,0.0,0.00,7.00,0.00,000,23.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1011.17,07-12-2019,10:00:00,22.9,86,24.00,916.11,9.3,0.90,6.00,0.00,250,20.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1008.63,07-12-2019,10:00:00,33.2,60,30.53,992.94,7.4,0.00,10.00,0.00,350,24.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.77,07-12-2019,10:00:00,32.5,61,29.66,1006.79,0.0,0.00,12.00,0.00,000,23.9
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1011.55,07-12-2019,10:00:00,31.5,63,29.07,1000.99,0.0,0.00,9.00,0.00,000,23.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.17,07-12-2019,10:00:00,31.8,64,29.96,1009.26,5.6,0.00,12.00,0.00,150,24.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.31,07-12-2019,10:00:00,32.0,57,27.27,988.74,5.6,0.00,10.00,0.00,240,22.5
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.44,07-12-2019,10:00:00,32.8,57,28.28,991.09,14.8,0.00,10.00,0.00,270,23.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1009.13,07-12-2019,10:00:00,33.3,58,29.58,993.27,9.3,0.00,10.00,0.00,220,23.9
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.70,07-12-2019,10:00:00,31.9,54,25.72,995.85,11.1,0.00,10.00,0.00,220,21.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1010.57,07-12-2019,10:00:00,31.5,60,27.68,995.91,0.0,0.00,10.00,0.00,000,22.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1010.46,07-12-2019,10:00:00,31.8,58,27.43,995.97,7.4,0.00,10.00,0.00,270,22.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.76,07-12-2019,10:00:00,32.3,63,30.40,1007.78,0.0,0.00,10.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.3
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1010.37,07-12-2019,10:00:00,31.3,60,27.57,1002.51,0.0,0.00,10.00,0.00,000,22.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.94,07-12-2019,10:00:00,33.0,54,27.28,1009.85,5.6,0.00,9.00,0.00,210,22.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.49,07-12-2019,10:00:00,32.2,64,30.77,996.00,7.4,0.00,10.00,0.00,170,24.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1008.85,07-12-2019,10:00:00,24.6,76,23.56,875.74,7.4,0.00,8.00,0.00,200,20.1
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1010.81,07-12-2019,10:00:00,33.0,64,32.16,1005.03,5.6,0.00,10.00,0.00,270,25.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.31,07-12-2019,10:00:00,32.1,72,34.40,1010.52,1.9,0.00,8.00,0.00,320,26.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.13,07-12-2019,10:00:00,32.2,59,28.50,1010.69,11.1,0.00,10.00,0.00,240,23.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.85,07-12-2019,10:00:00,29.2,79,31.81,1000.57,5.6,0.00,7.00,0.00,010,25.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.16,07-12-2019,10:00:00,32.4,58,28.05,1010.16,5.6,0.00,12.00,0.00,270,23.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1011.22,07-12-2019,10:00:00,31.5,59,27.41,1009.41,3.7,0.00,9.00,0.00,170,22.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.88,07-12-2019,10:00:00,32.4,53,25.58,1010.12,0.0,0.00,10.00,0.00,000,21.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.34,07-12-2019,10:00:00,32.3,50,24.32,1010.65,13.0,0.00,10.00,0.00,270,20.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.17,07-12-2019,10:00:00,32.2,60,29.06,1010.47,5.6,0.00,12.00,0.00,290,23.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1010.11,07-12-2019,10:00:00,33.0,55,27.84,989.31,9.3,0.00,10.00,0.00,270,22.9
