WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,WindSpeed,WindDirection,Rainfall,LandVisibility,VaporPressure,AirTemperature,DewPoint
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,997.76,09-11-2019,22:00:00,93,18.10,1014.42,0.0,000,0.40,10.00,29.52,25.0,23.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,990.45,09-11-2019,22:00:00,93,6.60,1013.17,0.0,000,1.00,8.00,26.75,23.4,22.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,999.45,09-11-2019,22:00:00,84,1.60,1014.02,0.0,000,0.00,6.00,26.95,25.3,22.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,997.14,09-11-2019,22:00:00,97,5.00,1013.79,0.0,000,1.00,7.00,29.04,24.0,23.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.11,09-11-2019,22:00:00,97,0.10,1013.40,0.0,000,0.10,8.00,30.96,25.2,24.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,998.88,09-11-2019,22:00:00,92,6.50,1012.19,0.0,000,0.00,10.00,30.84,26.0,24.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.84,09-11-2019,22:00:00,94,0.60,1013.27,0.0,000,0.01,10.00,30.71,25.5,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,984.66,09-11-2019,22:00:00,92,18.20,1006.40,5.6,010,0.01,8.00,30.84,26.0,24.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,994.50,09-11-2019,22:00:00,80,3.10,1012.09,5.6,230,0.00,10.00,28.67,27.0,23.3
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,996.72,09-11-2019,22:00:00,95,6.80,1012.69,0.0,000,0.00,10.00,31.93,26.0,25.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,993.04,09-11-2019,22:00:00,94,11.50,1012.08,0.0,000,0.00,8.00,31.65,26.0,25.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,963.54,09-11-2019,22:00:00,93,9.90,1015.87,0.0,000,0.60,7.00,24.19,21.8,20.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1009.31,09-11-2019,22:00:00,95,27.40,1013.32,3.7,020,2.10,5.00,29.51,24.7,23.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,918.36,09-11-2019,22:00:00,97,6.00,1014.84,11.1,270,0.50,1.50,21.84,19.4,18.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,997.16,09-11-2019,22:00:00,94,3.30,1013.27,0.0,000,0.00,6.00,32.63,26.5,25.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1009.70,09-11-2019,22:00:00,83,0.00,1013.77,1.9,340,0.00,10.00,28.55,26.5,23.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1003.93,09-11-2019,22:00:00,91,1.80,1014.76,0.0,000,1.80,7.00,28.38,24.8,23.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1011.88,09-11-2019,22:00:00,88,0.20,1013.83,0.0,000,0.20,8.00,29.50,26.0,23.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,992.08,09-11-2019,22:00:00,87,3.80,1013.11,0.0,000,0.00,10.00,29.78,26.3,24.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,995.28,09-11-2019,22:00:00,95,15.10,1013.07,0.0,000,0.00,10.00,33.10,26.6,25.7
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,996.40,09-11-2019,22:00:00,93,7.90,1012.64,0.0,000,0.00,10.00,33.26,27.1,25.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,998.94,09-11-2019,22:00:00,88,3.00,1013.06,0.0,000,0.00,10.00,31.38,27.0,24.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,998.32,09-11-2019,22:00:00,95,1.40,1013.27,0.0,000,0.00,7.00,32.91,26.5,25.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,998.61,09-11-2019,22:00:00,94,1.80,1013.36,0.0,000,0.00,6.00,34.03,27.2,26.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.65,09-11-2019,22:00:00,93,0.40,1012.69,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,10.00,31.68,26.3,25.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1005.57,09-11-2019,22:00:00,91,1.20,1013.58,0.0,000,0.70,7.00,31.52,26.5,24.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.67,09-11-2019,22:00:00,96,22.20,1013.79,3.7,270,22.20,5.00,30.32,25.0,24.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,999.06,09-11-2019,22:00:00,80,0.00,1013.87,0.0,000,0.00,8.00,27.77,26.5,22.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,879.24,09-11-2019,22:00:00,100,8.60,1015.63,7.4,270,0.00,.05,21.82,18.9,18.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.35,09-11-2019,22:00:00,98,6.90,1014.29,5.6,240,4.50,7.00,32.76,26.0,25.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1013.06,09-11-2019,22:00:00,79,0.01,1013.87,5.6,230,0.00,8.00,28.69,27.3,23.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1012.98,09-11-2019,22:00:00,73,0.00,1013.43,3.7,230,0.00,10.00,26.06,27.0,21.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1003.58,09-11-2019,22:00:00,91,4.60,1015.08,0.0,000,0.00,5.00,27.25,24.0,22.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1012.85,09-11-2019,22:00:00,89,1.40,1013.87,0.0,000,0.00,10.00,31.85,27.1,25.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1012.19,09-11-2019,22:00:00,95,8.50,1014.04,3.7,030,8.50,6.00,29.15,24.5,23.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1012.69,09-11-2019,22:00:00,77,0.10,1013.46,0.0,000,0.01,7.00,27.08,26.7,22.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1013.40,09-11-2019,22:00:00,82,0.60,1014.11,9.3,250,0.60,10.00,27.30,25.8,22.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1013.74,09-11-2019,22:00:00,87,4.30,1014.45,7.4,310,1.10,7.00,28.87,25.8,23.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,992.09,09-11-2019,22:00:00,79,0.00,1013.32,0.0,000,0.00,10.00,29.36,27.8,23.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,996.90,09-11-2019,22:00:00,91,2.80,1013.93,0.0,000,2.20,6.00,26.42,23.5,22.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,997.43,09-11-2019,22:00:00,91,21.30,1014.16,7.4,170,20.50,3.00,26.42,23.5,22.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,991.27,09-11-2019,22:00:00,86,0.20,1013.28,0.0,000,0.00,10.00,30.26,26.7,24.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,970.99,09-11-2019,22:00:00,97,10.30,1015.26,7.4,190,10.30,8.00,26.17,22.3,21.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,992.39,09-11-2019,22:00:00,93,0.30,1013.12,3.7,120,0.01,8.00,31.96,26.3,25.1
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,993.75,09-11-2019,22:00:00,94,2.40,1014.79,3.7,170,0.00,8.00,31.85,26.1,25.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1013.20,09-11-2019,22:00:00,85,0.50,1013.64,0.0,000,0.00,10.00,31.25,27.5,24.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1011.29,09-11-2019,22:00:00,90,0.30,1012.72,0.0,000,0.00,6.00,31.16,26.6,24.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.13,09-11-2019,22:00:00,93,2.70,1013.11,0.0,000,0.00,7.00,31.19,25.9,24.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1010.40,09-11-2019,22:00:00,66,0.00,1013.69,0.0,000,0.00,10.00,25.61,28.5,21.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1012.68,09-11-2019,22:00:00,100,16.40,1013.80,0.0,000,0.40,7.00,33.20,25.8,25.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1013.54,09-11-2019,22:00:00,92,7.60,1013.84,0.0,000,7.60,7.00,29.00,25.0,23.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1012.74,09-11-2019,22:00:00,89,1.80,1013.23,0.0,000,1.80,10.00,29.66,25.8,23.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1012.67,09-11-2019,22:00:00,85,1.20,1014.09,0.0,000,1.20,10.00,28.34,25.8,23.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1008.23,09-11-2019,22:00:00,84,0.20,1016.32,5.6,230,0.20,3.00,29.08,26.5,23.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1013.59,09-11-2019,22:00:00,77,0.00,1013.87,0.0,000,0.00,10.00,29.76,28.3,24.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.46,09-11-2019,22:00:00,74,0.00,1013.59,5.6,270,0.00,10.00,30.04,29.3,24.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1006.49,09-11-2019,22:00:00,77,0.00,1013.44,0.0,000,0.00,10.00,30.26,28.7,24.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1007.88,09-11-2019,22:00:00,85,0.00,1013.52,0.0,000,0.00,10.00,29.91,26.8,24.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.58,09-11-2019,22:00:00,89,0.01,1013.85,0.0,000,0.00,10.00,30.70,26.5,24.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1013.28,09-11-2019,22:00:00,81,0.00,1013.71,5.6,270,0.00,11.00,32.55,29.0,25.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1001.69,09-11-2019,22:00:00,83,0.00,1014.09,0.0,000,0.00,10.00,27.21,25.6,22.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1012.93,09-11-2019,22:00:00,84,0.00,1013.65,0.0,000,0.00,10.00,31.87,28.1,25.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.21,09-11-2019,22:00:00,74,0.00,1013.64,5.6,210,0.00,10.00,29.65,29.1,23.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1013.09,09-11-2019,22:00:00,72,0.00,1013.61,5.6,260,0.00,10.00,28.54,28.8,23.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.60,09-11-2019,22:00:00,78,0.00,1013.77,1.9,220,0.00,11.00,30.42,28.5,24.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1013.10,09-11-2019,22:00:00,86,0.40,1013.52,0.0,000,0.00,7.00,30.75,27.1,24.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1010.79,09-11-2019,22:00:00,93,2.10,1013.58,7.4,030,0.00,8.00,32.26,26.6,25.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1013.34,09-11-2019,22:00:00,80,0.00,1014.13,0.0,000,0.00,10.00,28.67,27.0,23.3
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1013.16,09-11-2019,22:00:00,86,2.50,1013.63,7.4,050,0.00,7.00,26.68,24.7,22.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1013.65,09-11-2019,22:00:00,94,2.80,1014.34,0.0,000,0.00,7.00,30.71,25.5,24.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1012.74,09-11-2019,22:00:00,95,6.80,1014.29,1.9,080,0.00,7.00,30.05,25.0,24.1
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1013.85,09-11-2019,22:00:00,94,0.00,1014.78,3.7,070,0.00,10.00,30.15,25.2,24.2
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1013.68,09-11-2019,22:00:00,84,0.10,1014.37,9.3,360,0.00,10.00,30.59,27.3,24.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1014.04,09-11-2019,22:00:00,93,9.00,1014.85,0.0,000,0.00,7.00,27.42,23.8,22.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1013.22,09-11-2019,22:00:00,92,2.20,1013.86,5.6,270,0.00,10.00,31.79,26.5,25.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1013.52,09-11-2019,22:00:00,95,0.01,1013.93,0.0,000,0.00,10.00,31.17,25.6,24.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1011.89,09-11-2019,22:00:00,97,3.10,1016.16,0.0,000,0.00,6.00,30.85,25.0,24.6
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.12,09-11-2019,22:00:00,93,2.30,1012.75,0.0,000,0.30,10.00,30.73,25.8,24.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.61,09-11-2019,22:00:00,92,0.00,1014.14,0.0,000,0.00,10.00,29.00,25.0,23.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1012.38,09-11-2019,22:00:00,96,2.50,1013.76,0.0,000,0.00,7.00,28.88,24.2,23.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1012.47,09-11-2019,22:00:00,90,0.00,1013.36,0.0,000,0.00,10.00,31.63,26.7,25.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.48,09-11-2019,22:00:00,88,0.00,1014.06,0.0,000,0.00,10.00,30.81,26.7,24.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1013.13,09-11-2019,22:00:00,88,0.00,1013.56,0.0,000,0.00,10.00,31.77,27.2,25.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1011.94,09-11-2019,22:00:00,92,1.20,1012.94,0.0,000,0.00,10.00,30.84,26.0,24.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.84,09-11-2019,22:00:00,85,0.00,1013.66,9.3,080,0.00,10.00,27.90,25.7,22.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.95,09-11-2019,22:00:00,91,0.00,1013.78,0.0,000,0.00,8.00,32.49,27.0,25.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1013.30,09-11-2019,22:00:00,83,0.00,1014.06,3.7,200,0.00,6.00,28.82,26.5,23.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.09,09-11-2019,22:00:00,93,1.40,1014.14,3.7,300,0.00,7.00,30.63,25.6,24.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.56,09-11-2019,22:00:00,88,0.00,1013.25,0.0,000,0.00,10.00,30.43,26.5,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1013.53,09-11-2019,22:00:00,96,2.40,1014.66,0.0,000,0.00,10.00,29.77,24.7,24.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.88,09-11-2019,22:00:00,91,1.60,1013.84,0.0,000,0.00,10.00,29.64,25.5,23.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1012.62,09-11-2019,22:00:00,92,0.30,1013.31,0.0,000,0.00,7.00,33.99,27.6,26.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.01,09-11-2019,22:00:00,86,0.00,1014.16,0.0,000,0.00,6.00,30.56,27.0,24.4
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.87,09-11-2019,22:00:00,76,0.00,1012.46,0.0,000,0.00,10.00,29.79,28.6,24.0
