WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,LandVisibility,MeanSeaLevelPressure,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,VaporPressure,StationPressure,AirTemperature
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,6.80,07-31-2019,16:00:00,0.0,7.00,1001.64,000,24.3,93,9.90,30.44,985.82,25.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-31-2019,16:00:00,5.6,10.00,1000.35,180,23.3,60,4.60,28.66,981.90,32.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-31-2019,16:00:00,11.1,10.00,1005.95,260,20.4,68,7.30,23.96,954.97,26.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-31-2019,16:00:00,3.7,8.00,1001.76,170,24.8,66,0.80,31.23,997.89,32.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,07-31-2019,16:00:00,22.2,5.00,1004.01,240,20.5,87,4.20,24.08,909.60,22.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-31-2019,16:00:00,0.0,8.00,1001.56,000,24.4,71,2.20,30.62,985.83,30.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-31-2019,16:00:00,7.4,12.00,1001.63,210,24.0,56,0.00,29.87,997.71,34.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-31-2019,16:00:00,9.3,10.00,1003.23,210,21.8,50,0.20,26.04,992.82,33.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1.20,07-31-2019,16:00:00,7.4,9.00,1003.53,270,23.4,74,1.20,28.78,1001.62,28.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-31-2019,16:00:00,9.3,10.00,1001.60,200,21.0,52,5.90,24.83,981.19,32.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-31-2019,16:00:00,0.0,10.00,1001.55,000,24.9,76,7.90,31.48,984.13,29.6
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-31-2019,16:00:00,5.6,10.00,1000.88,150,24.7,73,7.90,31.15,984.98,30.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.20,07-31-2019,16:00:00,0.0,10.00,1002.76,000,23.7,77,36.50,29.30,988.85,28.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.01,07-31-2019,16:00:00,0.0,10.00,1003.19,000,24.5,79,33.50,30.70,988.50,28.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.01,07-31-2019,16:00:00,7.4,8.00,1002.58,300,23.9,67,2.90,29.65,988.16,30.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,07-31-2019,16:00:00,0.0,10.00,1002.84,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",21.9,52,0.00,26.28,999.89,33.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-31-2019,16:00:00,9.3,10.00,1001.90,320,23.8,61,8.00,29.46,994.13,32.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-31-2019,16:00:00,27.8,8.00,1003.13,230,21.1,48,0.00,24.94,1002.05,33.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-31-2019,16:00:00,0.0,8.00,1002.08,000,23.0,66,13.30,28.09,987.61,30.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,4.60,07-31-2019,16:00:00,5.6,2.00,1004.43,250,20.3,98,4.60,23.78,870.25,20.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-31-2019,16:00:00,3.7,10.00,1001.66,230,22.7,49,0.20,27.61,995.96,35.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-31-2019,16:00:00,14.8,10.00,1003.58,270,21.1,45,0.00,24.97,1002.80,34.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-31-2019,16:00:00,11.1,10.00,1004.16,230,22.5,57,0.00,27.27,1003.73,32.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,6.00,07-31-2019,16:00:00,5.6,6.00,1006.68,020,23.4,92,7.70,28.72,995.29,24.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-31-2019,16:00:00,5.6,12.00,1003.71,270,21.3,45,0.00,25.27,1002.73,35.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-31-2019,16:00:00,11.1,10.00,1003.00,220,21.9,47,0.00,26.19,1001.23,35.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-31-2019,16:00:00,5.6,8.00,1003.64,300,22.6,58,0.00,27.43,1002.89,31.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-31-2019,16:00:00,20.4,9.00,1003.66,200,21.4,52,0.00,25.49,1002.97,32.5
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-31-2019,16:00:00,7.4,10.00,1002.97,270,22.8,50,0.00,27.69,1002.29,34.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-31-2019,16:00:00,9.3,10.00,1001.52,280,22.4,51,0.00,27.01,980.96,34.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-31-2019,16:00:00,0.0,11.00,1001.91,000,23.0,61,2.00,28.15,985.52,31.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-31-2019,16:00:00,3.7,9.00,1002.34,270,23.8,63,2.00,29.39,986.24,31.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-31-2019,16:00:00,14.8,10.00,1001.56,290,19.9,43,4.00,23.29,980.33,34.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-31-2019,16:00:00,22.2,10.00,1002.30,210,20.5,54,0.00,24.07,959.82,31.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-31-2019,16:00:00,9.3,12.00,1001.26,240,20.3,44,0.00,23.85,981.31,34.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-31-2019,16:00:00,7.4,10.00,1003.57,250,25.1,72,3.20,31.80,983.07,30.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-31-2019,16:00:00,9.3,11.00,1004.04,280,20.4,45,0.00,23.99,1003.61,34.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-31-2019,16:00:00,5.6,11.00,1002.95,300,24.0,63,0.00,29.87,1001.56,31.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-31-2019,16:00:00,3.7,9.00,1003.30,270,21.1,49,0.00,25.00,998.49,33.1
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-31-2019,16:00:00,9.3,10.00,1004.84,270,22.7,62,0.30,27.63,1001.60,30.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-31-2019,16:00:00,14.8,10.00,1003.98,280,21.6,50,0.00,25.84,1002.90,33.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-31-2019,16:00:00,11.1,10.00,1003.78,230,21.3,49,0.00,25.30,1003.49,33.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-31-2019,16:00:00,11.1,10.00,1004.33,230,22.5,57,0.00,27.27,1003.65,32.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-31-2019,16:00:00,5.6,10.00,1003.48,240,22.3,51,0.00,26.90,1003.00,33.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-31-2019,16:00:00,27.8,10.00,1003.59,260,21.4,48,0.00,25.43,1002.22,33.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-31-2019,16:00:00,13.0,10.00,1004.37,210,23.1,60,0.00,28.27,1002.72,31.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-31-2019,16:00:00,5.6,10.00,1005.35,270,20.4,48,0.00,24.01,997.52,33.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-31-2019,16:00:00,14.8,12.00,1004.31,280,23.6,57,0.00,29.09,1004.03,33.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-31-2019,16:00:00,0.0,10.00,1003.73,000,22.8,60,0.00,27.68,1000.65,31.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-31-2019,16:00:00,7.4,10.00,1004.74,240,23.3,56,0.00,28.52,997.96,33.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-31-2019,16:00:00,16.7,7.00,1002.81,290,23.5,52,1.70,28.92,997.38,34.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-31-2019,16:00:00,5.6,12.00,1005.09,270,23.1,49,0.00,28.22,996.05,35.3
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-31-2019,16:00:00,11.1,14.00,1005.42,300,21.1,52,0.00,25.02,1004.18,32.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-31-2019,16:00:00,22.2,11.00,1004.05,270,20.6,45,0.00,24.18,1003.63,34.1
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,07-31-2019,16:00:00,7.4,10.00,1004.89,240,22.3,55,0.01,26.86,992.88,32.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-31-2019,16:00:00,13.0,10.00,1004.40,270,23.2,52,0.00,28.39,1003.71,34.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-31-2019,16:00:00,7.4,10.00,1005.41,200,22.1,49,0.00,26.60,1003.04,34.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-31-2019,16:00:00,18.5,12.00,1004.89,220,25.4,72,0.10,32.34,1004.38,31.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-31-2019,16:00:00,5.6,11.00,1004.52,250,22.8,60,0.00,27.68,999.45,31.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-31-2019,16:00:00,7.4,10.00,1004.77,180,24.2,65,0.01,30.20,1004.36,31.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-31-2019,16:00:00,0.0,10.00,1004.90,000,24.5,67,0.00,30.65,1002.18,31.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-31-2019,16:00:00,18.5,10.00,1005.30,270,21.4,52,0.00,25.49,1004.53,32.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-31-2019,16:00:00,3.7,8.00,1005.50,320,25.6,72,0.50,32.89,1005.05,31.4
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-31-2019,16:00:00,5.6,8.00,1005.93,250,22.6,53,0.20,27.43,1005.26,33.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-31-2019,16:00:00,7.4,8.00,1006.01,270,23.0,55,1.60,28.07,1004.51,33.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-31-2019,16:00:00,14.8,10.00,1007.46,230,23.9,60,1.90,29.58,1006.56,32.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-31-2019,16:00:00,7.4,10.00,1005.86,270,23.6,54,0.00,29.04,1005.19,34.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-31-2019,16:00:00,11.1,10.00,1006.81,300,22.5,47,0.00,27.19,1006.03,35.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-31-2019,16:00:00,13.0,10.00,1005.85,330,21.6,45,0.00,25.78,1005.23,35.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-31-2019,16:00:00,14.8,10.00,1006.17,220,24.5,55,0.00,30.81,1005.77,35.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-31-2019,16:00:00,7.4,8.00,1007.89,250,21.2,49,0.00,25.22,1003.77,33.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-31-2019,16:00:00,11.1,12.00,1006.88,230,23.1,58,0.00,28.25,1005.30,32.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-31-2019,16:00:00,0.0,12.00,1007.39,000,24.5,61,11.80,30.69,1003.98,33.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-31-2019,16:00:00,11.1,10.00,1006.49,270,20.8,46,0.00,24.53,1005.17,34.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-31-2019,16:00:00,13.0,10.00,1007.97,270,25.4,72,0.00,32.34,1007.09,31.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-31-2019,16:00:00,9.3,10.00,1007.59,240,24.8,68,0.00,31.35,1004.08,31.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-31-2019,16:00:00,13.0,10.00,1007.90,270,24.4,61,0.00,30.57,1007.47,32.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-31-2019,16:00:00,16.7,10.00,1007.84,270,23.8,65,0.00,29.40,1006.86,31.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-31-2019,16:00:00,24.1,10.00,1008.14,270,25.9,74,0.00,33.43,1007.34,31.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-31-2019,16:00:00,7.4,10.00,1007.46,250,22.2,54,0.00,26.69,1005.68,32.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-31-2019,16:00:00,14.8,10.00,1006.69,240,22.4,51,0.00,27.10,1005.96,33.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-31-2019,16:00:00,16.7,10.00,1007.50,230,22.3,57,0.00,26.89,1003.56,31.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-31-2019,16:00:00,9.3,10.00,1007.63,260,23.8,63,0.00,29.47,1006.95,31.7
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-31-2019,16:00:00,11.1,10.00,1007.03,230,22.5,56,0.00,27.22,1005.93,32.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-31-2019,16:00:00,16.7,10.00,1007.54,270,22.8,56,0.00,27.72,1004.68,32.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-31-2019,16:00:00,0.0,10.00,1006.71,000,24.4,59,0.00,30.57,1006.04,33.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-31-2019,16:00:00,9.3,10.00,1007.03,260,23.9,58,0.00,29.66,1003.00,33.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-31-2019,16:00:00,11.1,12.00,1006.73,340,22.2,48,0.00,26.75,1006.15,35.0
