WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,WindSpeed,StationPressure,WindDirection,RelativeHumidity,LandVisibility,VaporPressure,MeanSeaLevelPressure,MaximumTemperature,Rainfall,DewPoint
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-16-2019,19:00:00,30.6,0.0,988.02,000,74,10.00,32.67,1005.19,34.8,0.00,25.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-16-2019,19:00:00,33.0,3.7,974.51,080,61,12.00,30.69,999.58,36.7,0.00,24.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-16-2019,19:00:00,32.5,0.0,995.12,000,64,10.00,31.11,1000.77,37.0,0.00,24.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-16-2019,19:00:00,30.0,0.0,995.68,000,75,8.00,31.72,1001.77,36.2,0.00,25.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-16-2019,19:00:00,31.5,0.0,984.45,000,66,10.00,30.49,1000.54,36.5,0.00,24.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.20,07-16-2019,19:00:00,26.2,0.0,981.59,000,84,10.00,28.54,1003.89,31.0,0.00,23.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,2.00,07-16-2019,19:00:00,29.7,16.7,988.87,260,67,8.00,27.80,1003.07,35.5,0.00,22.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-16-2019,19:00:00,29.7,11.1,985.83,240,67,7.00,27.80,1001.99,35.5,0.00,22.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-16-2019,19:00:00,33.0,0.0,996.30,000,59,10.00,29.83,1001.39,35.6,0.00,24.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-16-2019,19:00:00,33.2,0.0,986.86,000,59,12.00,30.24,999.70,36.9,0.00,24.2
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-16-2019,19:00:00,30.7,0.0,992.41,000,67,12.00,29.73,1001.57,37.4,0.00,23.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-16-2019,19:00:00,34.2,3.7,979.21,070,53,10.00,28.26,1000.25,36.6,0.00,23.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-16-2019,19:00:00,33.0,0.0,985.82,000,61,12.00,30.69,1002.91,36.8,0.00,24.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-16-2019,19:00:00,33.0,0.0,985.36,000,58,10.00,29.25,1000.79,37.0,0.00,23.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-16-2019,19:00:00,34.0,0.0,981.22,000,62,10.00,33.14,999.53,37.5,0.00,25.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.10,07-16-2019,19:00:00,26.0,0.0,952.65,000,78,10.00,26.12,1003.65,30.3,0.00,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-16-2019,19:00:00,32.7,0.0,997.11,000,69,10.00,33.91,1000.97,35.3,0.00,26.1
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,14.30,07-16-2019,19:00:00,21.7,22.2,909.68,210,94,4.00,24.51,1004.47,27.2,0.00,20.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-16-2019,19:00:00,34.0,0.0,985.25,000,61,10.00,32.53,1000.78,38.7,0.00,25.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-16-2019,19:00:00,33.3,0.0,1003.84,000,66,10.00,33.72,1007.79,37.3,0.00,26.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-16-2019,19:00:00,32.2,0.0,991.95,000,62,8.00,29.91,1002.40,36.3,0.00,24.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-16-2019,19:00:00,31.5,11.1,1000.09,210,69,9.00,31.93,1001.99,36.5,0.00,25.1
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-16-2019,19:00:00,33.8,5.6,980.82,240,48,10.00,25.24,1001.11,38.9,0.00,21.2
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.20,07-16-2019,19:00:00,32.8,0.0,983.62,000,60,10.00,29.70,1000.85,36.8,0.00,23.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-16-2019,19:00:00,33.0,0.0,985.20,000,59,10.00,29.54,1000.95,37.7,0.00,23.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-16-2019,19:00:00,33.6,5.6,988.05,150,58,10.00,30.20,1001.71,35.8,0.00,24.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,07-16-2019,19:00:00,31.5,0.0,988.14,000,70,10.00,32.52,1002.69,35.6,0.00,25.4
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-16-2019,19:00:00,33.2,0.0,988.05,000,54,10.00,27.67,1002.36,37.0,0.00,22.8
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.30,07-16-2019,19:00:00,33.1,0.0,998.22,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",59,5.00,29.74,1001.16,37.1,0.30,24.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-16-2019,19:00:00,32.8,3.7,993.58,330,61,10.00,30.28,1001.34,35.5,0.00,24.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-16-2019,19:00:00,32.4,7.4,1000.73,220,59,6.00,28.89,1001.81,35.4,0.00,23.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-16-2019,19:00:00,32.0,0.0,988.26,000,51,8.00,24.30,1002.64,36.1,0.00,20.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-16-2019,19:00:00,21.4,0.0,869.64,000,97,8.00,24.76,1003.34,25.9,0.00,20.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-16-2019,19:00:00,33.4,7.4,995.97,220,60,10.00,30.95,1001.70,38.2,0.00,24.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-16-2019,19:00:00,33.6,7.4,1001.66,240,64,10.00,33.17,1002.44,37.0,0.00,25.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.30,07-16-2019,19:00:00,30.4,22.2,1002.58,230,73,10.00,31.68,1003.02,32.4,0.00,25.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-16-2019,19:00:00,28.5,0.0,992.93,000,71,10.00,27.44,1004.15,32.7,0.00,22.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-16-2019,19:00:00,32.6,3.7,1001.38,250,57,12.00,27.89,1002.37,36.7,0.00,22.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-16-2019,19:00:00,32.6,3.7,1000.41,180,58,9.00,28.73,1002.19,35.4,0.00,23.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-16-2019,19:00:00,32.0,0.0,1001.60,000,54,9.00,25.91,1002.35,35.5,0.00,21.7
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,07-16-2019,19:00:00,30.2,5.6,1002.64,200,72,10.00,30.99,1003.33,34.0,0.00,24.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.60,07-16-2019,19:00:00,33.3,0.0,1001.88,000,68,10.00,34.63,1002.57,36.6,0.00,26.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-16-2019,19:00:00,34.1,7.4,980.71,250,52,12.00,27.78,1001.26,38.4,0.00,22.8
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.30,07-16-2019,19:00:00,32.4,0.0,985.36,000,63,12.00,30.61,1001.69,36.1,0.00,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,20.40,07-16-2019,19:00:00,33.2,3.7,985.63,140,61,9.00,31.11,1001.64,36.7,0.00,24.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-16-2019,19:00:00,33.7,0.0,980.22,000,55,10.00,28.68,1001.49,37.5,0.00,23.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-16-2019,19:00:00,29.5,7.4,960.01,240,65,10.00,26.62,1002.71,33.3,0.00,22.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-16-2019,19:00:00,32.3,3.7,981.48,120,59,10.00,28.41,1001.57,38.8,0.00,23.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,46.20,07-16-2019,19:00:00,31.2,9.3,982.46,160,73,9.00,33.35,1002.91,35.9,0.00,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,07-16-2019,19:00:00,31.0,11.1,1002.64,200,69,10.00,31.19,1003.07,34.0,0.00,24.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-16-2019,19:00:00,31.0,0.0,1000.97,000,72,9.00,32.34,1002.36,34.9,0.00,25.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-16-2019,19:00:00,31.5,0.0,997.93,000,74,8.00,34.30,1002.77,35.4,0.00,26.3
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-16-2019,19:00:00,31.5,3.7,1000.09,300,59,12.00,27.13,1003.33,36.0,0.00,22.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-16-2019,19:00:00,32.0,14.8,1001.65,290,55,10.00,26.18,1002.73,36.2,0.00,21.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.20,07-16-2019,19:00:00,31.0,9.3,1002.97,200,69,10.00,31.19,1003.27,35.2,0.00,24.7
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-16-2019,19:00:00,29.9,5.6,1002.54,200,73,10.00,30.67,1003.22,34.3,0.00,24.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-16-2019,19:00:00,31.2,0.0,1003.07,000,73,10.00,33.35,1003.55,35.3,0.00,25.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,07-16-2019,19:00:00,31.5,11.1,1001.46,190,69,10.00,31.93,1002.84,.0,0.00,25.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-16-2019,19:00:00,30.3,27.8,1001.44,180,74,12.00,32.05,1003.10,32.2,0.00,25.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-16-2019,19:00:00,31.4,0.0,997.13,000,63,10.00,29.15,1005.01,34.9,0.00,23.6
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-16-2019,19:00:00,31.8,5.6,1002.92,250,69,10.00,32.56,1003.20,35.2,0.00,25.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-16-2019,19:00:00,30.0,5.6,1000.29,200,71,10.00,30.31,1003.38,32.3,0.00,24.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-16-2019,19:00:00,30.4,0.0,996.76,000,69,10.00,29.98,1003.60,33.2,0.00,24.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-16-2019,19:00:00,33.0,0.0,997.59,000,62,8.00,30.99,1003.06,36.1,0.00,24.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-16-2019,19:00:00,31.0,14.8,998.20,210,66,10.00,29.48,1007.40,34.2,0.00,23.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-16-2019,19:00:00,31.0,7.4,1002.41,270,64,14.00,28.92,1003.65,34.7,0.00,23.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-16-2019,19:00:00,32.2,22.2,1002.86,240,55,11.00,26.28,1003.28,36.5,0.00,21.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-16-2019,19:00:00,29.5,3.7,992.13,280,65,10.00,26.62,1004.25,33.5,0.00,22.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-16-2019,19:00:00,31.7,5.6,1003.09,280,57,10.00,26.42,1003.79,36.0,0.00,22.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-16-2019,19:00:00,30.6,14.8,1002.73,190,71,10.00,31.23,1005.13,35.2,0.00,24.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-16-2019,19:00:00,30.4,16.7,1003.99,250,75,10.00,32.55,1004.50,32.3,0.00,25.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-16-2019,19:00:00,30.0,0.0,998.83,000,71,11.00,30.31,1003.92,35.3,0.00,24.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-16-2019,19:00:00,30.2,7.4,1004.24,210,74,7.00,31.56,1004.65,33.5,0.00,24.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-16-2019,19:00:00,29.5,0.0,1002.21,000,78,10.00,32.13,1004.95,32.7,0.00,25.2
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-16-2019,19:00:00,29.7,0.0,1004.54,000,67,10.00,27.80,1005.32,33.7,0.00,22.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.00,07-16-2019,19:00:00,29.0,5.6,1004.52,260,81,8.00,32.55,1004.97,32.2,0.00,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,07-16-2019,19:00:00,29.3,3.7,1005.19,240,68,10.00,27.85,1005.87,33.3,0.00,22.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,07-16-2019,19:00:00,28.0,0.0,1004.40,000,77,8.00,29.19,1005.92,32.0,0.00,23.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,40.30,07-16-2019,19:00:00,26.3,3.7,1006.30,200,88,10.00,30.05,1007.22,28.2,0.10,24.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1.60,07-16-2019,19:00:00,28.7,13.0,1005.78,280,78,10.00,30.54,1006.46,35.0,0.00,24.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,13.20,07-16-2019,19:00:00,27.2,0.0,1006.62,000,87,8.00,31.22,1007.41,32.0,0.10,24.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,13.70,07-16-2019,19:00:00,25.5,0.0,1005.81,000,92,10.00,29.91,1006.45,36.4,0.20,24.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.10,07-16-2019,19:00:00,24.5,0.0,1006.58,000,98,10.00,30.20,1006.99,35.8,1.60,24.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,15.40,07-16-2019,19:00:00,25.5,0.0,1004.33,000,93,6.00,30.17,1008.57,33.4,6.70,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.60,07-16-2019,19:00:00,24.8,0.0,1006.10,000,96,12.00,29.95,1007.72,32.9,0.00,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,16.90,07-16-2019,19:00:00,25.0,0.0,1004.82,000,96,7.00,30.32,1008.33,33.0,0.00,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.01,07-16-2019,19:00:00,26.0,3.7,1006.49,240,87,8.00,29.23,1007.85,34.3,0.00,23.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,68.50,07-16-2019,19:00:00,24.1,0.0,1006.79,000,99,8.00,29.74,1007.68,29.2,19.20,23.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,35.00,07-16-2019,19:00:00,23.6,0.0,1004.45,000,97,8.00,28.34,1008.05,30.3,31.30,23.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,69.60,07-16-2019,19:00:00,24.6,7.4,1007.55,050,94,6.00,29.07,1007.99,32.8,38.60,23.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.50,07-16-2019,19:00:00,24.0,0.0,1006.64,000,96,7.00,28.53,1007.64,31.5,21.20,23.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,88.20,07-16-2019,19:00:00,23.2,9.3,1007.75,280,98,9.00,27.91,1008.57,31.2,47.80,22.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.80,07-16-2019,19:00:00,24.5,0.0,1007.27,000,96,8.00,29.41,1009.10,33.0,4.10,23.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,07-16-2019,19:00:00,28.6,13.0,1007.16,280,76,10.00,29.79,1007.91,33.3,0.01,24.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.40,07-16-2019,19:00:00,27.0,7.4,1004.20,240,83,10.00,29.48,1008.20,33.0,0.01,23.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.30,07-16-2019,19:00:00,26.5,9.3,1009.76,250,88,6.00,30.43,1010.45,31.0,0.50,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-16-2019,19:00:00,28.2,5.6,1006.67,220,77,10.00,29.57,1007.78,32.5,0.00,23.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-16-2019,19:00:00,26.9,5.6,1005.44,220,83,10.00,29.56,1008.37,31.5,0.00,23.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,13.70,07-16-2019,19:00:00,26.9,0.0,1007.18,000,83,10.00,29.56,1007.87,33.0,0.00,23.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-16-2019,19:00:00,26.0,11.1,1004.14,220,78,8.00,26.12,1008.28,31.8,0.00,21.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-16-2019,19:00:00,28.5,5.6,1006.84,260,67,10.00,26.13,1007.42,34.2,0.00,21.8
