WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,VaporPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,Rainfall,MeanSeaLevelPressure,StationPressure,WindDirection,LandVisibility
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,08-02-2019,22:00:00,22.7,27.63,2.40,71,28.6,0.00,1006.25,1001.05,260,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-02-2019,22:00:00,23.5,28.96,0.00,80,27.3,0.00,1004.56,991.41,000,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1.9,08-02-2019,22:00:00,22.8,27.69,0.01,72,28.2,0.00,1006.05,996.77,100,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,11.1,08-02-2019,22:00:00,21.9,26.21,0.00,68,28.4,0.00,1004.06,982.54,240,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,13.0,08-02-2019,22:00:00,23.2,28.43,0.00,78,27.3,0.00,1004.36,986.93,210,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,08-02-2019,22:00:00,23.0,28.02,0.00,75,27.8,0.00,1002.42,986.70,000,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,3.7,08-02-2019,22:00:00,24.2,30.18,0.00,76,28.8,0.00,1003.26,984.56,180,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,08-02-2019,22:00:00,21.5,25.60,9.90,91,23.0,2.10,1010.45,958.60,000,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,08-02-2019,22:00:00,26.4,34.40,0.00,88,28.5,0.00,1005.98,1002.05,000,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.4,08-02-2019,22:00:00,19.2,22.24,11.50,95,20.0,1.80,1007.54,911.94,240,1.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,08-02-2019,22:00:00,22.1,26.63,0.01,70,28.2,0.00,1003.65,987.79,270,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1.9,08-02-2019,22:00:00,23.2,28.42,0.00,69,29.6,0.00,1006.38,1002.39,270,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.4,08-02-2019,22:00:00,20.5,24.16,0.60,61,28.7,0.00,1007.12,996.51,210,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,08-02-2019,22:00:00,21.3,25.35,0.00,65,28.5,0.00,1006.54,1004.63,000,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,08-02-2019,22:00:00,20.7,24.38,0.00,66,27.5,0.00,1005.07,984.29,290,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,20.4,08-02-2019,22:00:00,20.7,24.43,0.00,60,29.3,0.00,1003.67,986.20,250,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,13.0,08-02-2019,22:00:00,21.1,24.95,0.00,61,29.3,0.00,1003.79,987.80,250,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,08-02-2019,22:00:00,25.3,32.16,2.50,88,27.4,2.00,1005.29,991.30,000,8.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,3.7,08-02-2019,22:00:00,24.6,31.00,1.80,93,25.8,1.00,1005.82,990.95,230,7.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,18.5,08-02-2019,22:00:00,23.6,29.19,0.10,77,28.0,0.00,1004.95,990.36,240,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-02-2019,22:00:00,21.1,25.07,0.10,59,30.1,0.00,1005.98,1003.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.4,08-02-2019,22:00:00,23.7,29.37,1.90,83,26.8,0.30,1006.00,998.06,170,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,13.0,08-02-2019,22:00:00,21.2,25.18,0.90,64,28.7,0.00,1006.91,1005.81,230,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,08-02-2019,22:00:00,24.4,30.56,0.00,81,28.0,0.00,1005.69,991.07,000,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,11.1,08-02-2019,22:00:00,18.1,20.73,2.80,90,19.7,0.00,1008.11,873.06,280,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,08-02-2019,22:00:00,20.4,24.01,3.20,58,29.5,0.00,1006.02,1000.20,230,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,08-02-2019,22:00:00,22.1,26.60,0.20,66,29.2,0.00,1007.17,1006.38,230,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,11.1,08-02-2019,22:00:00,21.5,25.58,0.01,61,29.8,0.00,1007.20,1006.76,230,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-02-2019,22:00:00,23.6,29.19,12.00,90,25.4,1.50,1009.33,997.94,000,5.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-02-2019,22:00:00,21.4,25.48,0.90,61,29.6,0.00,1007.17,1006.17,320,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,08-02-2019,22:00:00,21.8,26.13,1.30,67,28.5,0.00,1006.48,1004.67,200,8.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,7.4,08-02-2019,22:00:00,20.9,24.68,0.01,62,29.0,0.00,1007.08,1006.32,230,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,08-02-2019,22:00:00,22.5,27.18,0.20,70,28.5,0.00,1007.66,1006.96,210,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,08-02-2019,22:00:00,23.7,29.38,0.20,77,28.1,0.00,1006.94,1006.24,000,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.3,08-02-2019,22:00:00,20.7,24.34,0.10,60,29.1,0.00,1005.78,984.80,270,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,13.0,08-02-2019,22:00:00,21.5,25.70,0.20,65,28.7,0.00,1005.34,988.75,220,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,08-02-2019,22:00:00,21.0,24.92,0.30,63,28.7,0.00,1006.01,989.69,270,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-02-2019,22:00:00,19.9,23.15,0.10,58,29.0,0.00,1005.99,984.30,000,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.9,08-02-2019,22:00:00,19.2,22.25,1.60,64,26.5,0.00,1007.05,963.74,230,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,14.8,08-02-2019,22:00:00,21.3,25.35,0.00,65,28.5,0.00,1005.68,985.26,230,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,08-02-2019,22:00:00,23.1,28.20,0.30,75,27.9,0.00,1006.57,985.82,230,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,08-02-2019,22:00:00,24.0,29.82,1.80,79,27.9,0.00,1007.69,1007.25,250,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-02-2019,22:00:00,23.9,29.66,0.40,83,27.1,0.00,1006.82,1005.40,000,11.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-02-2019,22:00:00,23.4,28.80,0.00,78,27.5,0.00,1007.55,1002.62,000,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,5.6,08-02-2019,22:00:00,22.2,26.80,0.01,71,28.0,0.01,1007.27,1003.99,250,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1.9,08-02-2019,22:00:00,22.0,26.37,0.01,69,28.2,0.00,1008.65,1007.54,260,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,08-02-2019,22:00:00,23.4,28.78,0.01,70,29.5,0.00,1007.65,1007.35,000,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.9,08-02-2019,22:00:00,22.2,26.78,0.20,66,29.3,0.00,1007.19,1006.71,290,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,16.7,08-02-2019,22:00:00,22.2,26.70,0.80,65,29.4,0.00,1007.24,1005.84,240,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,08-02-2019,22:00:00,23.3,28.59,0.01,80,27.1,0.00,1008.73,1000.71,230,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-02-2019,22:00:00,24.8,31.29,0.00,79,28.8,0.00,1007.35,1007.07,000,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-02-2019,22:00:00,23.6,29.16,0.01,74,28.7,0.00,1007.68,1004.56,240,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,11.1,08-02-2019,22:00:00,24.4,30.48,0.00,80,28.1,0.00,1007.80,1000.88,240,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,9.3,08-02-2019,22:00:00,23.2,28.43,0.30,78,27.3,0.00,1006.72,1001.13,280,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,08-02-2019,22:00:00,25.1,31.91,1.40,91,26.7,0.00,1008.31,1007.04,180,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,08-02-2019,22:00:00,23.6,29.10,0.70,83,26.8,0.01,1008.07,1007.64,000,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-02-2019,22:00:00,23.8,29.41,7.50,96,24.5,0.40,1008.33,995.96,000,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,7.4,08-02-2019,22:00:00,24.8,31.22,1.10,92,26.2,0.60,1008.25,1007.53,230,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,08-02-2019,22:00:00,23.0,28.16,4.50,72,28.6,0.00,1008.24,1005.82,260,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,08-02-2019,22:00:00,24.6,30.90,1.20,79,28.6,0.00,1008.19,1007.67,280,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,08-02-2019,22:00:00,23.5,28.98,0.00,79,27.6,0.00,1007.93,1002.79,270,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,08-02-2019,22:00:00,23.8,29.44,4.20,79,27.7,0.00,1008.47,1008.06,000,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-02-2019,22:00:00,23.4,28.84,38.30,82,26.8,0.00,1008.50,1005.72,000,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-02-2019,22:00:00,23.7,29.23,5.20,87,26.0,0.50,1008.96,1008.17,000,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,08-02-2019,22:00:00,24.6,30.89,35.20,84,27.6,0.00,1008.75,1008.29,300,7.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-02-2019,22:00:00,24.3,30.42,14.00,95,25.2,0.00,1009.94,1009.25,000,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,3.7,08-02-2019,22:00:00,24.3,30.30,30.80,90,26.0,0.00,1009.89,1008.35,260,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,08-02-2019,22:00:00,24.0,29.91,91.10,92,25.5,0.00,1010.43,1009.51,000,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-02-2019,22:00:00,24.5,30.83,1.40,87,27.0,0.00,1010.19,1009.50,000,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.9,08-02-2019,22:00:00,24.4,30.58,3.60,97,25.0,0.00,1010.70,1009.89,150,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,3.7,08-02-2019,22:00:00,23.9,29.70,8.10,93,25.1,0.00,1010.13,1009.49,050,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-02-2019,22:00:00,23.7,29.35,0.00,85,26.5,0.00,1010.36,1009.95,000,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-02-2019,22:00:00,23.8,29.41,23.00,96,24.5,0.00,1012.69,1008.42,000,4.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-02-2019,22:00:00,23.3,28.53,3.40,96,24.0,0.00,1010.30,1008.67,000,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-02-2019,22:00:00,23.8,29.41,11.00,96,24.5,0.00,1010.64,1007.12,000,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-02-2019,22:00:00,23.6,29.06,0.00,79,27.5,0.00,1009.85,1008.49,000,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-02-2019,22:00:00,25.4,32.36,0.50,88,27.5,0.00,1010.29,1009.40,000,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-02-2019,22:00:00,24.2,30.17,3.90,93,25.5,0.00,1010.45,1006.87,000,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-02-2019,22:00:00,24.9,31.51,0.00,82,28.2,0.00,1010.39,1009.96,000,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-02-2019,22:00:00,25.3,32.20,3.50,96,26.0,0.00,1009.84,1008.85,000,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.6,08-02-2019,22:00:00,23.7,29.27,0.00,84,26.6,0.00,1010.09,1009.27,050,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-02-2019,22:00:00,25.5,32.58,0.00,92,26.9,0.00,1010.35,1008.54,000,9.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.9,08-02-2019,22:00:00,23.5,28.89,0.00,73,28.7,0.00,1009.62,1008.87,210,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,08-02-2019,22:00:00,24.1,30.10,0.20,85,26.9,0.00,1010.10,1006.09,000,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-02-2019,22:00:00,24.8,31.24,0.00,90,26.5,0.00,1010.63,1009.94,000,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-02-2019,22:00:00,24.5,30.81,0.80,83,27.7,0.00,1009.44,1008.32,000,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-02-2019,22:00:00,24.9,31.46,0.00,89,26.9,0.00,1009.96,1007.03,000,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,08-02-2019,22:00:00,24.2,30.26,0.00,81,27.7,0.00,1009.91,1009.22,000,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,08-02-2019,22:00:00,24.0,29.85,0.00,83,27.2,0.00,1010.30,1006.16,000,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.6,08-02-2019,22:00:00,21.9,26.27,0.00,63,29.6,0.00,1010.92,1010.34,170,10.00
