WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,DewPoint,WindDirection,Rainfall,Rainfall24Hr,AirTemperature,RelativeHumidity,VaporPressure,StationPressure,MeanSeaLevelPressure,WindSpeed
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,8.00,09-24-2019,16:00:00,24.0,000,0.00,0.00,29.5,72,29.88,976.43,1011.71,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.00,09-24-2019,16:00:00,20.4,100,0.00,0.00,31.2,53,23.91,982.66,1012.05,7.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.00,09-24-2019,16:00:00,19.4,000,0.00,0.00,34.5,41,22.51,1003.72,1010.87,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,8.00,09-24-2019,16:00:00,20.4,050,0.00,0.00,32.8,48,23.91,992.30,1011.91,13.0
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,09-24-2019,16:00:00,19.9,080,0.00,0.00,32.1,48,23.17,983.36,1011.64,9.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,8.00,09-24-2019,16:00:00,19.2,080,0.00,0.00,32.3,46,22.23,992.32,1012.23,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,8.00,09-24-2019,16:00:00,20.8,080,0.00,0.00,31.4,53,24.53,991.34,1012.87,11.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,9.00,09-24-2019,16:00:00,19.7,080,0.00,0.00,32.0,48,22.99,992.76,1012.01,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,12.00,09-24-2019,16:00:00,19.0,050,0.00,0.00,32.6,45,21.98,996.30,1012.82,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,09-24-2019,16:00:00,21.6,000,0.00,0.00,31.8,55,25.80,995.68,1012.91,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,09-24-2019,16:00:00,19.7,000,0.00,0.00,31.8,49,22.90,986.10,1011.57,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10.00,09-24-2019,16:00:00,23.7,040,0.00,0.00,32.3,61,29.26,1005.12,1010.82,3.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,12.00,09-24-2019,16:00:00,23.6,000,0.00,0.00,32.5,59,29.09,1004.82,1010.92,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,12.00,09-24-2019,16:00:00,18.1,020,0.00,0.00,33.5,40,20.73,995.31,1011.47,7.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10.00,09-24-2019,16:00:00,21.1,100,0.00,0.00,30.9,56,24.94,987.47,1009.56,11.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.00,09-24-2019,16:00:00,25.3,000,0.00,0.00,30.0,76,32.30,997.86,1012.17,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,09-24-2019,16:00:00,21.9,000,0.00,0.00,31.5,57,26.32,995.06,1011.27,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,09-24-2019,16:00:00,22.5,250,0.00,0.00,33.3,53,27.31,1006.23,1011.37,11.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,09-24-2019,16:00:00,20.9,360,0.00,0.00,34.4,46,24.75,996.61,1009.52,3.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,8.00,09-24-2019,16:00:00,23.0,200,0.00,0.00,32.6,57,28.17,1002.35,1011.55,13.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,09-24-2019,16:00:00,20.0,100,0.00,0.00,32.2,49,23.35,990.27,1011.68,11.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,09-24-2019,16:00:00,24.6,070,0.00,0.00,32.7,63,30.94,995.00,1012.26,11.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,13.00,09-24-2019,16:00:00,20.8,060,0.00,0.00,32.0,52,24.57,994.78,1010.40,11.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,09-24-2019,16:00:00,22.2,000,0.00,0.00,32.6,54,26.78,992.46,1011.07,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,11.00,09-24-2019,16:00:00,19.0,000,0.00,0.00,28.0,58,21.99,959.34,1010.35,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,8.00,09-24-2019,16:00:00,21.8,230,0.00,0.00,33.5,50,26.04,1007.28,1011.17,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,8.00,09-24-2019,16:00:00,19.3,070,0.00,0.00,24.0,75,22.39,917.18,1011.98,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10.00,09-24-2019,16:00:00,21.2,090,0.00,0.00,32.2,52,25.20,995.86,1011.65,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,7.00,09-24-2019,16:00:00,24.0,000,0.00,1.00,32.2,62,29.91,1007.69,1011.67,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,09-24-2019,16:00:00,19.0,090,0.00,0.50,32.0,46,21.96,1001.74,1012.30,9.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,09-24-2019,16:00:00,23.9,000,0.00,0.90,31.5,64,29.63,1009.97,1011.88,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,09-24-2019,16:00:00,18.7,070,0.00,0.00,31.8,46,21.61,991.16,1011.79,7.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,09-24-2019,16:00:00,20.4,040,0.00,0.00,31.2,53,23.91,993.98,1011.48,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,09-24-2019,16:00:00,21.0,060,0.00,0.00,33.2,49,24.92,995.46,1011.36,9.3
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,09-24-2019,16:00:00,21.3,330,0.00,0.00,32.0,53,25.37,997.30,1011.16,11.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,09-24-2019,16:00:00,23.0,000,0.00,0.00,31.0,63,28.09,997.03,1011.73,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,09-24-2019,16:00:00,24.2,040,0.00,0.00,31.5,65,30.20,997.82,1012.35,16.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,09-24-2019,16:00:00,21.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.10,32.9,50,25.17,1008.22,1011.19,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,09-24-2019,16:00:00,18.1,040,0.00,0.00,33.4,40,20.81,1003.01,1010.83,9.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-24-2019,16:00:00,23.2,040,0.00,5.60,32.7,57,28.36,1009.54,1010.63,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,09-24-2019,16:00:00,25.2,000,0.00,0.00,31.4,70,32.01,997.34,1011.88,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,8.00,09-24-2019,16:00:00,18.8,050,0.00,11.50,23.8,73,21.63,876.65,1010.28,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,09-24-2019,16:00:00,21.7,140,0.00,0.00,32.0,54,25.91,1005.32,1011.13,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-24-2019,16:00:00,23.3,100,0.00,23.90,33.8,54,28.59,1010.08,1010.87,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-24-2019,16:00:00,23.7,120,0.00,0.00,31.2,65,29.32,1009.99,1010.44,13.0
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10.00,09-24-2019,16:00:00,23.0,140,0.00,0.50,31.1,62,28.01,1000.02,1011.22,5.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,09-24-2019,16:00:00,24.0,030,0.00,1.60,27.2,83,29.85,1010.00,1011.01,11.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,12.00,09-24-2019,16:00:00,21.4,050,0.00,3.80,32.6,52,25.41,1009.52,1011.32,9.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,9.00,09-24-2019,16:00:00,22.5,040,0.00,1.00,32.0,57,27.27,1010.12,1010.88,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,8.00,09-24-2019,16:00:00,23.5,070,0.00,0.60,32.6,59,29.01,1009.84,1010.54,16.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,12.00,09-24-2019,16:00:00,23.1,090,0.00,0.80,32.9,56,28.20,1009.65,1010.35,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,8.00,09-24-2019,16:00:00,21.8,080,0.00,0.01,30.8,59,26.09,990.45,1011.43,11.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.00,09-24-2019,16:00:00,22.8,040,0.00,0.60,30.4,64,27.76,995.02,1011.63,7.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,12.00,09-24-2019,16:00:00,22.4,350,0.00,0.00,30.6,62,27.06,995.94,1012.26,11.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,9.00,09-24-2019,16:00:00,22.1,060,0.00,7.60,31.1,59,26.65,989.55,1011.20,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,09-24-2019,16:00:00,20.9,020,0.00,17.70,28.6,63,24.75,968.05,1011.24,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.00,09-24-2019,16:00:00,23.4,030,0.00,3.40,30.1,68,28.83,990.81,1011.25,13.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,09-24-2019,16:00:00,22.7,060,0.00,0.00,29.7,66,27.53,992.88,1013.64,18.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,9.00,09-24-2019,16:00:00,26.5,130,0.00,7.60,30.7,78,34.66,1010.64,1011.07,9.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.00,09-24-2019,16:00:00,24.6,000,0.80,4.00,30.9,69,30.98,1009.14,1010.54,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,09-24-2019,16:00:00,24.5,000,0.00,13.20,31.3,67,30.65,1005.70,1010.58,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,09-24-2019,16:00:00,22.0,050,0.00,7.80,31.3,58,26.48,1007.73,1010.98,7.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-24-2019,16:00:00,23.2,120,0.00,5.40,31.9,60,28.46,1009.89,1010.98,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-24-2019,16:00:00,23.2,080,0.00,0.20,32.3,59,28.41,1010.26,1010.56,9.3
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,12.00,09-24-2019,16:00:00,24.0,090,0.00,0.50,32.4,61,29.75,1009.60,1010.28,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-24-2019,16:00:00,24.3,090,0.00,0.10,32.0,64,30.36,1009.97,1010.45,1.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-24-2019,16:00:00,23.4,100,0.00,0.40,32.2,60,28.78,1009.27,1010.66,14.8
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-24-2019,16:00:00,26.9,060,0.00,0.00,30.9,79,35.39,1008.61,1010.27,20.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-24-2019,16:00:00,24.4,230,0.00,1.60,31.5,66,30.49,1004.14,1012.06,7.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-24-2019,16:00:00,24.0,040,0.00,0.00,33.0,59,29.83,1009.36,1009.64,14.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-24-2019,16:00:00,25.1,000,0.00,0.00,33.4,62,31.83,1007.10,1010.18,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-24-2019,16:00:00,25.3,270,5.80,5.80,28.0,85,32.23,1002.90,1009.84,5.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,09-24-2019,16:00:00,24.8,040,0.00,1.30,32.3,65,31.27,1005.63,1011.15,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,09-24-2019,16:00:00,24.0,040,0.00,0.00,30.5,68,29.89,1002.03,1011.27,11.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,7.00,09-24-2019,16:00:00,24.8,270,0.00,50.20,30.9,70,31.27,1010.49,1011.74,3.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-24-2019,16:00:00,24.8,080,0.00,3.00,31.9,66,31.31,1009.78,1010.20,9.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,09-24-2019,16:00:00,23.8,000,0.00,0.00,31.0,66,29.48,998.32,1010.46,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,8.00,09-24-2019,16:00:00,25.3,040,0.00,0.00,30.5,74,32.17,1009.71,1010.42,9.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,09-24-2019,16:00:00,24.7,360,0.00,0.00,29.0,78,31.13,1008.05,1010.48,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-24-2019,16:00:00,24.0,350,0.00,0.10,27.2,83,29.85,1010.22,1010.74,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,4.00,09-24-2019,16:00:00,23.5,070,1.60,1.60,25.7,88,28.95,1006.21,1011.41,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,09-24-2019,16:00:00,23.9,040,0.00,0.50,32.8,60,29.70,1009.64,1010.05,11.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-24-2019,16:00:00,26.6,050,0.00,0.70,29.8,83,34.80,1007.32,1010.07,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-24-2019,16:00:00,25.0,100,0.00,0.40,30.7,72,31.72,1009.28,1010.06,5.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,8.00,09-24-2019,16:00:00,24.5,320,0.00,0.70,29.9,73,30.67,1009.47,1009.92,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10.00,09-24-2019,16:00:00,24.5,070,0.00,0.00,31.3,67,30.65,1009.55,1010.22,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,9.00,09-24-2019,16:00:00,25.2,070,0.00,0.00,32.0,68,32.10,1008.12,1009.62,7.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-24-2019,16:00:00,23.2,080,0.00,0.00,33.0,56,28.40,1008.27,1009.17,9.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.00,09-24-2019,16:00:00,24.7,080,4.70,5.00,28.1,82,31.03,1009.72,1010.40,11.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,09-24-2019,16:00:00,24.4,030,0.00,2.80,28.0,81,30.56,1009.50,1010.30,7.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,8.00,09-24-2019,16:00:00,25.7,330,1.00,1.50,28.5,85,32.96,1008.66,1009.30,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-24-2019,16:00:00,26.1,030,0.00,4.50,29.6,82,33.79,1009.15,1009.56,11.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,09-24-2019,16:00:00,26.7,110,0.10,4.70,28.5,90,34.99,1007.97,1012.18,18.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,09-24-2019,16:00:00,23.9,350,0.00,0.00,27.5,81,29.60,1007.42,1009.03,11.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,12.00,09-24-2019,16:00:00,24.2,000,0.00,0.00,30.2,70,30.14,1005.35,1008.79,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-24-2019,16:00:00,26.0,090,0.00,0.00,31.0,75,33.52,1007.71,1009.05,14.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,6.00,09-24-2019,16:00:00,25.9,300,0.00,0.00,31.5,72,33.40,1007.51,1008.38,14.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,8.00,09-24-2019,16:00:00,24.1,000,2.40,2.40,29.3,74,30.04,1005.02,1008.55,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,09-24-2019,16:00:00,24.1,000,0.00,0.00,33.8,57,30.04,1007.53,1007.96,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,8.00,09-24-2019,16:00:00,23.0,100,0.00,0.00,33.0,56,28.12,1006.47,1007.45,11.1
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,8.00,09-24-2019,16:00:00,24.5,000,0.00,0.00,32.9,62,30.78,1007.28,1008.08,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.00,09-24-2019,16:00:00,24.6,090,0.00,0.00,31.3,68,30.94,1006.58,1008.37,14.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,9.00,09-24-2019,16:00:00,25.1,060,0.00,1.80,30.6,72,31.80,1008.66,1009.40,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-24-2019,16:00:00,23.9,060,0.00,4.20,30.7,67,29.73,1005.18,1009.13,25.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,8.00,09-24-2019,16:00:00,23.0,080,0.00,0.00,31.6,61,28.15,1007.69,1008.37,7.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.00,09-24-2019,16:00:00,24.9,070,0.00,0.00,30.0,74,31.44,1007.95,1009.05,11.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,8.00,09-24-2019,16:00:00,24.9,080,0.00,1.00,30.6,72,31.51,1006.00,1008.89,3.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,8.00,09-24-2019,16:00:00,25.5,080,0.00,10.00,32.5,67,32.58,1007.51,1008.19,5.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,9.00,09-24-2019,16:00:00,22.4,110,0.00,5.00,31.8,58,27.16,1005.20,1009.27,3.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,09-24-2019,16:00:00,24.0,120,0.00,12.50,30.5,68,29.89,1008.63,1009.21,16.7
