WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,WindDirection,AirTemperature,VaporPressure,RelativeHumidity,WindSpeed,Rainfall24Hr,LandVisibility,Rainfall,DewPoint
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1007.04,09-01-2019,10:00:00,977.49,000,28.0,31.95,85,0.0,3.70,15.00,0.00,25.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.03,09-01-2019,10:00:00,1000.69,000,25.7,32.45,98,0.0,32.20,6.00,18.70,25.4
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1007.40,09-01-2019,10:00:00,987.67,320,29.5,31.85,77,9.3,0.40,20.00,0.00,25.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1007.31,09-01-2019,10:00:00,978.78,140,28.0,29.74,79,3.7,3.40,15.00,0.00,23.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1007.12,09-01-2019,10:00:00,987.06,260,28.4,33.33,86,5.6,0.40,12.00,0.00,25.9
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.50,09-01-2019,10:00:00,985.92,300,29.0,30.85,77,3.7,3.90,15.00,0.00,24.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1007.18,09-01-2019,10:00:00,987.80,290,28.6,30.07,77,5.6,0.90,15.00,0.00,24.1
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1008.15,09-01-2019,10:00:00,991.45,000,28.0,31.11,82,0.0,26.60,10.00,0.00,24.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1008.17,09-01-2019,10:00:00,990.76,270,27.2,31.22,87,3.7,3.00,10.00,0.00,24.8
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1006.81,09-01-2019,10:00:00,981.18,210,28.5,31.54,81,3.7,0.20,12.00,0.00,24.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1006.98,09-01-2019,10:00:00,1001.22,150,28.5,33.24,85,9.3,6.00,10.00,0.00,25.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.66,09-01-2019,10:00:00,1001.49,000,28.0,33.37,88,0.0,5.80,8.00,0.20,25.9
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.37,09-01-2019,10:00:00,992.00,000,28.5,28.78,74,0.0,4.00,10.00,0.00,23.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1005.82,09-01-2019,10:00:00,983.52,170,26.9,30.10,85,3.7,28.10,10.00,0.50,24.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.17,09-01-2019,10:00:00,993.80,000,27.5,32.36,88,0.0,23.60,10.00,0.00,25.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1006.96,09-01-2019,10:00:00,990.55,000,26.5,30.43,88,0.0,10.00,6.00,0.00,24.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.92,09-01-2019,10:00:00,1002.71,180,28.5,32.10,83,11.1,0.20,10.00,0.00,25.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.98,09-01-2019,10:00:00,993.86,150,28.7,32.51,83,5.6,24.40,12.00,0.00,25.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.36,09-01-2019,10:00:00,998.09,100,28.8,31.29,79,9.3,10.40,13.00,0.00,24.8
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.70,09-01-2019,10:00:00,986.11,210,28.5,32.96,85,9.3,0.10,9.00,0.00,25.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.59,09-01-2019,10:00:00,990.28,230,30.5,31.31,72,11.1,11.20,12.00,0.00,24.8
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.97,09-01-2019,10:00:00,991.24,250,29.0,29.74,74,3.7,9.00,12.00,0.00,23.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.85,09-01-2019,10:00:00,988.14,240,29.6,29.80,72,3.7,1.20,10.00,0.00,24.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.77,09-01-2019,10:00:00,957.68,000,27.0,27.36,77,0.0,12.50,11.00,0.00,22.6
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.54,09-01-2019,10:00:00,1003.61,210,29.0,31.41,78,11.1,4.20,8.00,0.00,24.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1007.79,09-01-2019,10:00:00,913.07,210,23.0,25.36,90,5.6,42.60,6.00,0.40,21.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.65,09-01-2019,10:00:00,991.72,000,28.3,31.70,82,0.0,5.60,10.00,0.00,25.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.69,09-01-2019,10:00:00,1003.69,170,29.8,33.04,79,11.1,0.10,10.00,0.00,25.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.71,09-01-2019,10:00:00,998.06,210,28.2,30.12,79,3.7,1.80,8.00,0.00,24.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.44,09-01-2019,10:00:00,1006.52,180,28.6,31.46,80,5.6,1.90,10.00,0.00,24.9
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.92,09-01-2019,10:00:00,987.21,280,29.4,29.41,72,5.6,1.10,10.00,0.00,23.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.42,09-01-2019,10:00:00,989.86,220,28.9,29.82,75,14.8,7.50,10.00,0.00,24.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1007.24,09-01-2019,10:00:00,991.22,220,29.7,30.55,73,14.8,4.30,10.00,0.00,24.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1008.34,09-01-2019,10:00:00,994.37,230,28.7,29.71,75,11.1,11.90,10.00,0.00,23.9
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.70,09-01-2019,10:00:00,993.94,000,28.8,31.29,79,0.0,7.00,8.00,0.00,24.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.47,09-01-2019,10:00:00,993.90,220,29.6,32.34,78,11.1,8.10,10.00,0.00,25.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.38,09-01-2019,10:00:00,1004.38,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",28.5,31.26,80,0.0,5.40,10.00,0.00,24.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.13,09-01-2019,10:00:00,1000.22,130,28.8,32.14,81,5.6,3.40,10.00,0.00,25.2
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.33,09-01-2019,10:00:00,1007.23,180,30.3,30.91,72,18.5,0.00,9.00,0.00,24.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1008.45,09-01-2019,10:00:00,993.86,210,29.5,29.05,70,3.7,0.00,8.00,0.00,23.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.70,09-01-2019,10:00:00,874.52,190,19.9,22.99,99,11.1,46.60,.05,6.20,19.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.49,09-01-2019,10:00:00,1002.66,210,30.0,32.30,76,7.4,0.00,10.00,0.00,25.3
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.47,09-01-2019,10:00:00,1007.67,150,30.4,31.11,72,13.0,0.00,10.00,0.00,24.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.58,09-01-2019,10:00:00,1008.14,210,29.4,30.24,74,13.0,1.00,10.00,0.00,24.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1008.23,09-01-2019,10:00:00,996.97,000,28.5,30.98,80,0.0,21.60,6.00,0.00,24.6
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.49,09-01-2019,10:00:00,1007.49,180,29.6,31.20,75,5.6,0.01,12.00,0.00,24.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.73,09-01-2019,10:00:00,1006.92,160,29.8,31.03,74,5.6,0.00,8.00,0.00,24.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.22,09-01-2019,10:00:00,1007.46,000,30.5,30.18,69,0.0,0.00,9.00,0.00,24.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.55,09-01-2019,10:00:00,1007.85,210,29.3,29.77,73,22.2,2.60,10.00,0.00,24.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.98,09-01-2019,10:00:00,1008.28,210,29.2,31.53,78,3.7,6.40,8.00,0.10,24.9
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.01,09-01-2019,10:00:00,987.08,250,30.6,28.70,65,11.1,0.10,12.00,0.00,23.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.39,09-01-2019,10:00:00,991.76,240,29.0,28.91,72,7.4,25.30,9.00,0.00,23.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.79,09-01-2019,10:00:00,992.44,270,29.0,29.74,74,7.4,11.40,9.00,0.00,23.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.34,09-01-2019,10:00:00,986.61,000,29.2,29.30,72,0.0,1.40,10.00,0.00,23.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1008.22,09-01-2019,10:00:00,965.22,250,29.0,27.03,68,11.1,0.00,15.00,0.00,22.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.05,09-01-2019,10:00:00,987.67,170,30.0,30.31,71,13.0,2.00,10.00,0.00,24.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.94,09-01-2019,10:00:00,989.24,210,29.6,32.34,78,20.4,2.20,9.00,0.00,25.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.52,09-01-2019,10:00:00,1008.09,210,27.9,30.64,82,13.0,0.50,10.00,0.00,24.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.75,09-01-2019,10:00:00,1007.33,000,28.3,34.28,89,0.0,3.50,8.00,2.00,26.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.93,09-01-2019,10:00:00,1004.03,250,29.6,30.63,74,3.7,0.01,10.00,0.01,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.26,09-01-2019,10:00:00,1004.98,240,29.0,30.85,77,5.6,0.00,12.00,0.00,24.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.73,09-01-2019,10:00:00,1007.63,000,29.0,31.98,80,0.0,0.20,10.00,0.01,25.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.89,09-01-2019,10:00:00,1008.59,100,29.6,32.05,77,7.4,0.01,8.00,0.00,25.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.62,09-01-2019,10:00:00,1007.94,260,29.5,30.72,75,3.7,1.50,10.00,0.00,24.5
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.30,09-01-2019,10:00:00,1005.81,000,29.2,31.53,78,0.0,1.70,10.00,0.00,24.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.60,09-01-2019,10:00:00,1007.20,190,29.7,31.40,75,14.8,6.60,10.00,0.00,24.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.53,09-01-2019,10:00:00,1006.86,200,28.8,36.82,93,31.5,0.40,10.00,0.01,27.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.92,09-01-2019,10:00:00,1002.93,240,28.7,31.38,80,7.4,2.40,10.00,1.40,24.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.57,09-01-2019,10:00:00,1008.28,000,29.3,30.32,74,0.0,5.10,10.00,0.00,24.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.75,09-01-2019,10:00:00,1005.63,300,28.4,31.62,82,5.6,0.00,10.00,0.00,25.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.85,09-01-2019,10:00:00,1001.93,210,28.6,31.18,80,14.8,5.10,10.00,0.01,24.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.19,09-01-2019,10:00:00,1003.62,280,29.0,31.13,78,5.6,1.20,10.00,0.00,24.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1008.81,09-01-2019,10:00:00,999.54,200,28.8,32.42,82,9.3,0.70,10.00,0.00,25.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.71,09-01-2019,10:00:00,1007.45,140,28.3,31.42,82,3.7,3.30,15.00,0.00,24.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.81,09-01-2019,10:00:00,1008.38,210,27.7,31.36,84,25.9,4.60,11.00,1.60,24.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.87,09-01-2019,10:00:00,996.62,230,27.6,31.16,84,3.7,6.60,10.00,0.01,24.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.85,09-01-2019,10:00:00,1008.13,210,27.0,32.21,90,9.3,7.80,10.00,0.90,25.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.18,09-01-2019,10:00:00,1006.74,000,27.0,31.66,89,0.0,12.30,7.00,9.20,25.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.27,09-01-2019,10:00:00,1008.75,270,29.5,32.13,78,14.8,1.40,10.00,0.01,25.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.45,09-01-2019,10:00:00,1004.28,260,26.9,32.58,92,11.1,6.70,9.00,6.10,25.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.40,09-01-2019,10:00:00,1008.99,000,28.7,33.08,84,0.0,33.70,6.00,0.90,25.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.58,09-01-2019,10:00:00,1006.83,210,29.8,31.03,74,7.4,5.10,8.00,0.00,24.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.58,09-01-2019,10:00:00,1008.79,280,27.8,29.90,80,11.1,6.60,10.00,1.00,24.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.70,09-01-2019,10:00:00,1009.24,300,31.0,32.05,71,5.6,18.30,10.00,0.00,25.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.63,09-01-2019,10:00:00,1009.94,000,27.5,30.15,82,0.0,4.80,8.00,0.00,24.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.62,09-01-2019,10:00:00,1009.10,250,28.0,26.54,70,3.7,0.80,8.00,0.00,22.1
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.34,09-01-2019,10:00:00,1010.42,210,25.5,30.71,94,5.6,9.00,10.00,0.01,24.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.52,09-01-2019,10:00:00,1009.83,300,29.2,27.40,68,9.3,0.90,12.00,0.00,22.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.66,09-01-2019,10:00:00,1010.86,240,27.5,32.36,88,3.7,4.70,8.00,0.00,25.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.40,09-01-2019,10:00:00,1009.77,000,28.9,30.37,76,0.0,9.90,12.00,0.00,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.06,09-01-2019,10:00:00,1010.66,220,29.2,31.81,79,7.4,9.30,10.00,0.00,25.1
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1013.35,09-01-2019,10:00:00,1009.12,230,27.2,28.51,79,9.3,5.60,7.00,0.00,23.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.39,09-01-2019,10:00:00,1010.76,000,25.0,29.00,92,0.0,14.20,8.00,3.00,23.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.88,09-01-2019,10:00:00,1008.38,000,26.5,31.79,92,0.0,13.30,7.00,0.50,25.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.77,09-01-2019,10:00:00,1010.42,280,28.2,27.16,71,13.0,2.10,10.00,0.00,22.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.94,09-01-2019,10:00:00,1011.05,210,24.0,29.82,100,11.1,67.00,8.00,40.40,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.37,09-01-2019,10:00:00,1008.75,260,23.8,28.69,97,5.6,29.20,7.00,4.20,23.4
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1012.54,09-01-2019,10:00:00,1012.10,280,24.1,28.44,95,9.3,69.20,8.00,16.40,23.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1012.01,09-01-2019,10:00:00,1011.01,230,24.1,28.44,95,16.7,73.60,4.00,23.00,23.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.63,09-01-2019,10:00:00,1011.81,270,26.7,31.63,90,38.9,46.40,10.00,0.60,25.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.57,09-01-2019,10:00:00,1010.75,290,26.6,28.74,83,5.6,25.00,10.00,0.90,23.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.38,09-01-2019,10:00:00,1010.63,120,30.1,23.52,55,7.4,0.01,10.00,0.00,20.1
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.71,09-01-2019,10:00:00,1007.69,240,27.0,26.32,74,7.4,0.00,10.00,0.00,21.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1013.70,09-01-2019,10:00:00,1013.01,000,25.5,29.91,92,0.0,37.00,10.00,0.50,24.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.13,09-01-2019,10:00:00,1010.02,160,28.2,26.37,69,11.1,0.00,10.00,0.00,22.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.96,09-01-2019,10:00:00,1009.03,260,27.3,28.43,78,14.8,0.01,10.00,0.01,23.2
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.44,09-01-2019,10:00:00,1009.76,010,29.7,31.97,77,5.6,0.00,7.00,0.00,25.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.21,09-01-2019,10:00:00,1007.12,000,30.5,30.18,69,0.0,0.01,7.00,0.00,24.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.53,09-01-2019,10:00:00,1009.95,000,31.0,29.48,66,0.0,11.40,12.00,0.00,23.8
