WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindDirection,DewPoint,Rainfall24Hr,StationPressure,LandVisibility,VaporPressure,WindSpeed,AirTemperature
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,36.5,10-02-2019,19:00:00,1007.45,0.00,79,000,23.9,0.00,977.89,7.00,29.74,0.0,28.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,36.6,10-02-2019,19:00:00,1007.25,0.00,65,000,24.8,0.00,1000.07,8.00,31.35,0.0,32.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,36.3,10-02-2019,19:00:00,1007.30,0.00,66,120,25.4,0.00,987.78,6.00,32.41,3.7,32.7
48353,LOEI,เลย,เลย,17.45000,101.73333,36.6,10-02-2019,19:00:00,1007.51,0.00,65,230,22.9,0.00,979.19,4.00,27.85,5.6,30.3
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,35.2,10-02-2019,19:00:00,1008.01,0.00,76,000,25.3,0.00,988.04,8.00,32.30,0.0,30.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,35.0,10-02-2019,19:00:00,1008.33,0.00,80,000,25.1,0.00,986.73,6.00,31.77,0.0,28.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,34.2,10-02-2019,19:00:00,1007.67,0.00,68,000,23.7,0.00,988.39,8.00,29.30,0.0,30.2
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,34.5,10-02-2019,19:00:00,1008.41,0.00,67,000,22.9,0.00,991.80,8.00,27.98,0.0,29.8
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,34.6,10-02-2019,19:00:00,1008.56,0.00,69,000,23.2,0.00,991.28,8.00,28.50,0.0,29.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,35.8,10-02-2019,19:00:00,1006.45,0.00,71,110,24.3,0.00,980.95,7.00,30.31,3.7,30.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,35.5,10-02-2019,19:00:00,1007.29,0.00,80,000,26.9,0.00,1001.58,7.00,35.48,0.0,30.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,35.4,10-02-2019,19:00:00,1007.43,0.00,82,000,27.0,0.00,1001.31,7.00,35.72,0.0,30.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,36.0,10-02-2019,19:00:00,1008.77,0.00,69,000,22.3,0.00,992.39,8.00,26.91,0.0,28.5
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,34.5,10-02-2019,19:00:00,1007.47,0.00,71,240,23.7,0.00,985.33,10.00,29.33,3.7,29.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,36.4,10-02-2019,19:00:00,1008.69,0.00,72,000,25.4,0.00,994.47,10.00,32.34,0.0,31.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,36.2,10-02-2019,19:00:00,1007.75,0.00,69,000,24.7,0.00,991.57,7.00,31.19,0.0,31.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,35.3,10-02-2019,19:00:00,1008.22,0.00,74,000,25.8,0.00,1003.06,6.00,33.22,0.0,31.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,36.5,10-02-2019,19:00:00,1006.98,0.00,71,000,23.1,0.00,993.87,10.00,28.18,0.0,28.9
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,35.1,10-02-2019,19:00:00,1008.36,0.00,66,230,24.4,0.00,999.17,6.00,30.49,1.9,31.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,35.5,10-02-2019,19:00:00,1007.78,0.00,68,110,23.6,0.00,986.30,7.00,29.11,3.7,30.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.5,10-02-2019,19:00:00,1008.42,0.00,70,000,24.9,0.00,991.12,10.00,31.47,0.0,31.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,34.6,10-02-2019,19:00:00,1007.72,0.00,65,000,22.7,0.00,992.04,10.00,27.55,0.0,30.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,35.5,10-02-2019,19:00:00,1007.47,0.00,79,000,25.3,0.00,988.73,7.00,32.22,0.0,29.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,32.6,10-02-2019,19:00:00,1009.60,0.00,82,000,21.1,0.00,958.02,7.00,25.02,0.0,24.3
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.1,10-02-2019,19:00:00,1007.66,0.00,80,070,26.8,0.00,1003.75,4.00,35.26,7.4,30.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,28.7,10-02-2019,19:00:00,1009.33,0.00,82,210,21.2,0.00,914.93,7.00,25.10,5.6,24.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,35.0,10-02-2019,19:00:00,1008.34,0.00,80,000,25.4,0.00,992.45,8.00,32.38,0.0,29.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,36.2,10-02-2019,19:00:00,1008.05,0.00,74,000,25.8,0.00,1004.07,6.00,33.22,0.0,31.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,34.8,10-02-2019,19:00:00,1009.17,0.10,93,000,25.1,21.70,998.45,5.00,31.96,0.0,26.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,35.6,10-02-2019,19:00:00,1008.54,0.00,73,150,26.4,0.00,1006.64,9.00,34.49,3.7,32.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,35.1,10-02-2019,19:00:00,1008.02,0.00,68,000,24.4,0.00,987.42,8.00,30.53,0.0,31.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,34.0,10-02-2019,19:00:00,1008.29,0.00,81,000,25.5,0.00,990.72,10.00,32.55,0.0,29.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,34.3,10-02-2019,19:00:00,1007.44,0.00,71,000,25.0,0.00,991.48,10.00,31.76,0.0,31.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,32.9,10-02-2019,19:00:00,1009.05,0.00,64,000,22.7,0.00,995.14,9.00,27.57,0.0,30.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,35.0,10-02-2019,19:00:00,1009.57,0.00,78,000,24.7,0.00,994.80,10.00,31.13,0.0,29.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,34.8,10-02-2019,19:00:00,1009.47,0.00,88,000,27.8,0.00,994.91,10.00,37.35,0.0,30.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,36.0,10-02-2019,19:00:00,1008.13,0.00,75,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.5,0.00,1005.16,6.00,34.68,0.0,31.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,35.5,10-02-2019,19:00:00,1008.31,0.00,80,000,25.1,0.00,1000.40,10.00,31.86,0.0,28.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,35.1,10-02-2019,19:00:00,1007.48,0.00,78,110,26.3,0.00,1006.39,7.00,34.22,5.6,30.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,33.0,10-02-2019,19:00:00,1009.84,0.00,59,000,20.2,0.00,995.21,8.00,23.66,0.0,29.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,24.0,10-02-2019,19:00:00,1011.42,0.00,96,000,19.3,23.00,876.01,4.00,22.32,0.0,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,36.4,10-02-2019,19:00:00,1008.61,0.00,77,000,24.1,0.00,1002.74,8.00,29.96,0.0,28.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,36.2,10-02-2019,19:00:00,1008.61,0.00,73,140,25.0,0.20,1007.82,8.00,31.68,5.6,30.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,33.0,10-02-2019,19:00:00,1008.87,0.00,81,210,25.9,0.00,1008.43,10.00,33.37,7.4,29.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,35.7,10-02-2019,19:00:00,1009.27,0.00,74,000,23.9,0.00,998.02,8.00,29.74,0.0,29.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,36.4,10-02-2019,19:00:00,1008.73,0.00,71,150,25.8,0.00,1007.73,7.00,33.15,3.7,31.8
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,35.3,10-02-2019,19:00:00,1008.54,0.00,73,140,25.5,0.00,1006.74,9.00,32.72,3.7,30.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,34.1,10-02-2019,19:00:00,1008.78,0.00,68,000,23.3,0.00,1008.02,8.00,28.64,0.0,30.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,33.9,10-02-2019,19:00:00,1009.26,0.00,80,200,25.6,0.00,1008.56,9.00,32.79,11.1,29.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,35.5,10-02-2019,19:00:00,1009.01,0.00,78,240,26.4,0.00,1008.32,7.00,34.36,3.7,30.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,34.5,10-02-2019,19:00:00,1008.54,0.00,72,000,24.4,0.00,987.56,7.00,30.59,0.0,30.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,34.4,10-02-2019,19:00:00,1008.57,0.00,73,000,25.3,0.01,992.04,8.00,32.22,0.0,30.8
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,35.2,10-02-2019,19:00:00,1009.23,0.00,78,000,24.7,0.00,992.87,8.00,31.13,0.0,29.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.9,10-02-2019,19:00:00,1008.71,0.00,71,000,23.0,0.01,986.94,10.00,28.08,0.0,28.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,32.0,10-02-2019,19:00:00,1009.62,0.00,92,070,23.5,0.60,965.99,4.00,29.00,7.4,25.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,34.9,10-02-2019,19:00:00,1009.35,0.00,85,180,25.1,0.00,988.82,10.00,31.95,3.7,28.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.3,10-02-2019,19:00:00,1010.32,0.00,91,000,25.5,0.00,989.45,5.00,32.69,0.0,27.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.2,10-02-2019,19:00:00,1008.47,0.00,76,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.9,0.00,1008.04,10.00,33.47,0.0,30.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,34.6,10-02-2019,19:00:00,1008.94,0.20,85,000,25.1,0.20,1007.52,8.00,31.95,0.0,28.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,34.4,10-02-2019,19:00:00,1010.97,4.70,89,180,23.9,17.00,1006.00,7.00,29.58,3.7,25.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,36.2,10-02-2019,19:00:00,1008.32,0.00,64,000,24.5,6.50,1005.07,10.00,30.65,0.0,32.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,35.6,10-02-2019,19:00:00,1008.33,0.00,75,130,26.1,0.00,1007.24,10.00,33.81,1.9,31.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,34.0,10-02-2019,19:00:00,1008.80,0.00,80,170,26.1,0.00,1008.50,10.00,33.75,5.6,30.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,34.5,10-02-2019,19:00:00,1008.68,0.00,79,150,25.9,0.00,1007.99,10.00,33.33,3.7,29.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,34.7,10-02-2019,19:00:00,1008.62,0.00,81,150,26.0,0.00,1008.13,8.00,33.58,3.7,29.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,34.0,10-02-2019,19:00:00,1008.99,0.00,75,180,24.9,0.01,1007.59,8.00,31.52,11.1,29.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,30.7,10-02-2019,19:00:00,1008.76,0.00,86,170,27.0,1.20,1007.10,7.00,35.56,22.2,29.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,34.6,10-02-2019,19:00:00,1010.81,0.00,83,000,24.2,0.00,1002.78,10.00,30.23,0.0,27.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,34.8,10-02-2019,19:00:00,1009.11,0.00,91,120,26.5,18.20,1008.82,8.00,34.65,11.1,28.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.2,10-02-2019,19:00:00,1009.20,0.00,87,270,26.1,0.00,1006.08,10.00,33.82,5.6,28.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,31.5,10-02-2019,19:00:00,1009.18,0.00,84,000,25.6,0.01,1002.26,10.00,32.88,0.0,28.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,35.2,10-02-2019,19:00:00,1009.25,1.30,77,000,24.3,2.70,1003.67,7.00,30.46,0.0,28.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,33.7,10-02-2019,19:00:00,1010.28,0.00,87,170,25.7,0.50,1000.97,4.00,33.00,11.1,28.1
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,35.1,10-02-2019,19:00:00,1009.23,0.00,77,140,25.3,0.00,1007.98,10.00,32.17,7.4,29.8
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,35.6,10-02-2019,19:00:00,1009.32,0.00,78,170,26.3,0.00,1008.89,11.00,34.14,18.5,30.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,34.4,10-02-2019,19:00:00,1009.82,0.00,80,190,23.8,0.00,997.55,10.00,29.52,11.1,27.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,32.1,10-02-2019,19:00:00,1009.52,0.00,70,000,22.9,0.00,1008.80,10.00,27.91,0.0,28.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,33.3,10-02-2019,19:00:00,1010.05,0.00,85,160,25.5,0.00,1007.62,10.00,32.55,11.1,28.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.5,10-02-2019,19:00:00,1009.55,0.00,81,000,25.6,0.00,1009.03,8.00,32.87,0.0,29.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.7,10-02-2019,19:00:00,1009.48,0.00,83,000,25.4,78.40,1004.34,8.00,32.39,0.0,28.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,34.2,10-02-2019,19:00:00,1009.87,0.00,77,000,25.3,0.00,1009.46,7.00,32.17,0.0,29.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.6,10-02-2019,19:00:00,1009.82,0.00,84,000,25.1,3.10,1007.05,8.00,31.87,0.0,28.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,34.0,10-02-2019,19:00:00,1010.09,0.00,74,210,25.5,0.00,1009.31,10.00,32.59,5.6,30.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.8,10-02-2019,19:00:00,1010.20,0.00,86,080,25.6,1.90,1009.75,7.00,32.92,5.6,28.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,33.5,10-02-2019,19:00:00,1010.00,0.00,86,000,24.2,0.01,1009.31,8.00,30.26,0.0,26.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.8,10-02-2019,19:00:00,1011.27,0.20,92,000,25.4,0.20,1009.73,8.00,32.38,0.0,26.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.0,10-02-2019,19:00:00,1010.70,0.00,75,000,24.5,0.00,1009.78,10.00,30.72,0.0,29.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,31.5,10-02-2019,19:00:00,1010.26,0.00,81,000,25.7,0.00,1009.57,10.00,32.96,0.0,29.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.5,10-02-2019,19:00:00,1010.56,0.00,80,090,22.8,2.00,1009.76,9.00,27.77,3.7,26.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.5,10-02-2019,19:00:00,1009.95,0.00,77,000,23.3,0.00,1009.32,10.00,28.63,0.0,27.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,33.2,10-02-2019,19:00:00,1010.22,0.00,86,000,24.2,0.00,1009.81,10.00,30.26,0.0,26.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,33.8,10-02-2019,19:00:00,1012.24,0.00,83,000,23.0,0.90,1008.00,6.00,28.10,0.0,26.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,34.1,10-02-2019,19:00:00,1010.81,0.60,97,000,23.7,0.80,1009.18,10.00,29.22,0.0,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.3,10-02-2019,19:00:00,1010.89,0.30,92,000,23.4,0.30,1007.37,7.00,28.72,0.0,24.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.2,10-02-2019,19:00:00,1010.42,0.00,85,000,23.5,0.00,1009.05,8.00,28.98,0.0,26.3
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.0,10-02-2019,19:00:00,1010.09,0.20,92,000,26.6,0.20,1009.20,10.00,34.81,0.0,28.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.4,10-02-2019,19:00:00,1010.93,4.70,98,000,25.7,7.30,1007.34,10.00,33.04,0.0,26.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,32.5,10-02-2019,19:00:00,1010.10,0.00,81,000,24.9,3.20,1009.66,10.00,31.54,0.0,28.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.1,10-02-2019,19:00:00,1009.61,0.01,85,000,25.8,0.01,1008.62,9.00,33.24,0.0,28.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.0,10-02-2019,19:00:00,1010.79,0.00,85,080,23.4,19.40,1009.97,10.00,28.80,5.6,26.2
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.6,10-02-2019,19:00:00,1010.99,0.00,93,000,24.5,2.70,1009.16,12.00,30.81,0.0,25.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,33.4,10-02-2019,19:00:00,1011.04,0.00,74,200,22.4,0.01,1010.29,11.00,27.03,3.7,27.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.9,10-02-2019,19:00:00,1011.06,0.01,93,000,23.6,5.60,1007.02,10.00,29.16,0.0,24.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.7,10-02-2019,19:00:00,1010.93,0.00,92,000,24.0,20.80,1010.24,10.00,29.91,0.0,25.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.5,10-02-2019,19:00:00,1010.66,0.00,96,000,23.6,73.20,1009.53,10.00,29.05,0.0,24.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,33.0,10-02-2019,19:00:00,1011.09,0.00,93,000,24.6,0.80,1008.15,10.00,30.92,0.0,25.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,34.0,10-02-2019,19:00:00,1010.87,0.00,89,000,23.3,0.00,1010.17,10.00,28.57,0.0,25.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.6,10-02-2019,19:00:00,1012.06,38.40,93,000,22.8,54.30,1007.87,6.00,27.76,0.0,24.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,34.2,10-02-2019,19:00:00,1011.03,0.00,71,240,21.9,0.00,1010.45,10.00,26.26,11.1,27.7
