WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindSpeed,WindDirection,VaporPressure,StationPressure,Rainfall24Hr,AirTemperature,LandVisibility
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-08-2019,01:00:00,24.2,82,1006.82,0.0,000,30.15,1000.64,0.00,27.5,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-08-2019,01:00:00,22.0,83,1008.52,0.0,000,26.43,991.95,0.00,25.0,10.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.20,09-08-2019,01:00:00,23.6,95,1008.53,0.0,000,29.15,985.99,8.50,24.5,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-08-2019,01:00:00,22.3,73,1009.27,11.1,250,26.95,994.88,0.00,27.5,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-08-2019,01:00:00,21.9,71,1007.86,0.0,000,26.34,991.50,0.00,27.6,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-08-2019,01:00:00,24.0,93,1008.88,0.0,000,29.89,1003.61,44.80,25.2,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-08-2019,01:00:00,23.2,90,1007.40,0.0,000,28.48,994.11,1.30,25.0,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-08-2019,01:00:00,24.9,96,1008.41,1.9,200,31.44,999.03,57.00,25.6,11.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-08-2019,01:00:00,25.3,94,1007.24,0.0,000,32.23,985.50,6.20,26.3,10.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-08-2019,01:00:00,23.8,88,1004.71,0.0,000,29.50,987.19,2.80,26.0,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-08-2019,01:00:00,24.6,93,1006.54,0.0,000,31.00,990.65,1.40,25.8,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-08-2019,01:00:00,24.7,87,1005.99,1.9,200,31.11,987.13,1.60,27.0,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-08-2019,01:00:00,21.8,93,1011.60,0.0,000,26.09,959.70,12.60,23.0,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.40,09-08-2019,01:00:00,25.5,94,1008.36,3.7,220,32.63,1004.39,2.90,26.5,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,09-08-2019,01:00:00,20.3,98,1010.58,11.1,200,23.78,914.88,4.00,20.6,.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-08-2019,01:00:00,25.2,93,1007.07,5.6,260,32.07,991.06,8.40,26.5,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-08-2019,01:00:00,25.0,87,1008.76,0.0,000,31.69,1004.72,0.01,27.3,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-08-2019,01:00:00,23.9,84,1009.42,0.0,000,29.64,998.71,0.00,26.8,5.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-08-2019,01:00:00,22.4,79,1009.13,9.3,180,27.15,1007.19,0.00,26.3,8.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-08-2019,01:00:00,23.1,80,1007.77,5.6,200,28.23,986.89,0.00,26.9,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-08-2019,01:00:00,24.7,86,1006.80,3.7,240,31.14,989.16,5.50,27.3,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-08-2019,01:00:00,24.7,85,1006.81,7.4,230,31.05,990.67,10.20,27.4,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-08-2019,01:00:00,24.3,87,1007.85,3.7,220,30.34,993.79,0.00,26.6,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-08-2019,01:00:00,24.5,93,1008.26,0.0,000,30.73,993.36,0.90,25.8,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-08-2019,01:00:00,25.4,91,1008.27,5.6,220,32.49,993.59,0.01,27.0,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-08-2019,01:00:00,24.0,83,1008.23,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.85,1005.21,0.00,27.2,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-08-2019,01:00:00,24.6,92,1008.56,0.0,000,30.84,1000.57,6.10,26.0,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-08-2019,01:00:00,24.3,84,1009.23,11.1,230,30.39,1008.12,0.00,27.2,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-08-2019,01:00:00,27.1,91,1008.70,0.0,000,35.92,994.08,0.00,28.8,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-08-2019,01:00:00,19.9,100,1010.78,9.3,280,23.22,875.46,0.20,19.9,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-08-2019,01:00:00,24.2,86,1008.62,0.0,000,30.26,1002.72,0.00,26.7,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-08-2019,01:00:00,23.3,78,1009.58,9.3,230,28.53,1008.78,0.00,27.5,9.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-08-2019,01:00:00,23.0,73,1009.51,9.3,230,28.06,1009.06,0.00,28.4,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.80,09-08-2019,01:00:00,24.0,96,1011.15,0.0,000,29.77,999.72,6.80,24.7,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-08-2019,01:00:00,23.8,82,1009.48,5.6,220,29.39,1008.47,0.00,27.1,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-08-2019,01:00:00,22.7,78,1009.12,3.7,170,27.52,1007.29,0.00,26.8,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-08-2019,01:00:00,22.2,78,1009.60,3.7,230,26.81,1008.83,0.00,26.4,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-08-2019,01:00:00,22.1,73,1009.79,11.1,260,26.59,1009.08,0.00,27.3,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-08-2019,01:00:00,25.9,88,1009.36,3.7,310,33.37,1008.66,0.00,28.0,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-08-2019,01:00:00,21.4,72,1008.55,9.3,240,25.55,987.37,0.00,27.0,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-08-2019,01:00:00,25.0,90,1008.17,0.0,000,31.63,991.42,1.20,26.7,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-08-2019,01:00:00,24.5,90,1008.75,5.6,180,30.67,992.25,3.30,26.2,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-08-2019,01:00:00,21.5,74,1008.57,9.3,270,25.71,986.65,0.00,26.5,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-08-2019,01:00:00,20.3,72,1009.38,14.8,240,23.79,965.88,0.00,25.8,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-08-2019,01:00:00,23.8,83,1008.32,7.4,230,29.48,987.74,0.00,27.0,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-08-2019,01:00:00,26.0,100,1009.56,9.3,220,33.60,988.63,0.00,26.0,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-08-2019,01:00:00,22.2,73,1010.02,3.7,310,26.69,1009.59,0.00,27.5,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-08-2019,01:00:00,24.8,87,1009.47,0.0,000,31.22,1008.05,0.00,27.2,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-08-2019,01:00:00,25.5,96,1009.21,0.0,000,32.59,1004.25,0.00,26.2,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-08-2019,01:00:00,22.9,82,1009.99,3.7,220,27.93,1006.68,0.10,26.3,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-08-2019,01:00:00,23.9,89,1009.90,0.0,000,29.66,1008.78,0.00,25.8,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-08-2019,01:00:00,22.9,74,1009.56,5.6,300,27.85,1009.26,0.00,28.0,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-08-2019,01:00:00,24.5,78,1009.22,0.0,000,30.82,1008.73,0.00,28.7,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-08-2019,01:00:00,22.9,76,1009.80,11.1,250,27.92,1008.39,0.00,27.6,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-08-2019,01:00:00,24.8,98,1011.32,0.0,000,31.31,1003.23,0.00,25.1,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-08-2019,01:00:00,24.2,78,1009.54,3.7,290,30.15,1009.26,0.00,28.5,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-08-2019,01:00:00,24.4,78,1009.50,5.6,300,30.62,1006.38,0.00,28.6,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-08-2019,01:00:00,24.5,80,1009.82,5.6,240,30.78,1002.89,0.00,28.4,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-08-2019,01:00:00,24.8,90,1009.50,0.0,000,31.24,1003.88,0.00,26.5,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-08-2019,01:00:00,23.2,87,1010.83,3.7,300,28.51,1009.56,0.00,25.6,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-08-2019,01:00:00,23.5,79,1009.85,0.0,000,28.88,1009.42,4.20,27.4,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-08-2019,01:00:00,22.6,88,1010.67,0.0,000,27.44,998.27,0.00,24.7,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-08-2019,01:00:00,23.2,78,1010.47,0.0,000,28.43,1009.75,0.30,27.3,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-08-2019,01:00:00,23.2,71,1009.95,7.4,270,28.45,1007.52,0.00,28.9,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-08-2019,01:00:00,25.5,81,1009.98,11.1,270,32.55,1009.46,0.00,29.0,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-08-2019,01:00:00,25.3,87,1009.98,0.0,000,32.28,1004.82,0.00,27.6,7.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,17.80,09-08-2019,01:00:00,25.7,95,1009.74,5.6,300,33.10,1009.33,18.00,26.6,2.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-08-2019,01:00:00,25.3,95,1009.92,0.0,000,32.32,1007.14,0.00,26.2,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-08-2019,01:00:00,24.0,82,1008.47,0.0,000,29.77,1007.68,0.00,27.3,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-08-2019,01:00:00,25.6,94,1010.49,0.0,000,32.74,1010.03,4.90,26.7,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-08-2019,01:00:00,24.7,87,1010.52,0.0,000,31.02,1009.84,0.00,27.1,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-08-2019,01:00:00,25.0,92,1010.38,0.0,000,31.60,1008.85,0.00,26.4,8.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-08-2019,01:00:00,24.7,93,1011.43,0.0,000,31.11,1010.51,0.00,26.0,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-08-2019,01:00:00,25.0,87,1010.81,0.0,000,31.69,1010.12,0.10,27.3,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-08-2019,01:00:00,24.6,93,1011.36,0.0,000,31.00,1010.56,0.00,25.8,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-08-2019,01:00:00,23.7,89,1010.86,0.0,000,29.29,1010.22,0.50,25.6,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-08-2019,01:00:00,24.8,96,1011.02,0.0,000,31.25,1010.61,0.90,25.5,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-08-2019,01:00:00,23.5,92,1013.07,0.0,000,29.00,1008.81,0.30,25.0,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-08-2019,01:00:00,25.1,98,1010.60,0.0,000,31.87,1008.98,0.00,25.4,7.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-08-2019,01:00:00,24.3,98,1010.92,0.0,000,30.38,1007.41,0.00,24.6,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-08-2019,01:00:00,24.8,92,1010.22,0.0,000,31.22,1008.86,0.00,26.2,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-08-2019,01:00:00,25.4,92,1011.12,0.0,000,32.38,1010.23,0.00,26.8,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-08-2019,01:00:00,24.5,87,1010.78,0.0,000,30.72,1007.20,0.00,26.8,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-08-2019,01:00:00,24.9,85,1010.84,0.0,000,31.44,1010.40,0.00,27.6,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-08-2019,01:00:00,24.9,81,1009.75,0.0,000,31.54,1008.76,0.00,28.5,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-08-2019,01:00:00,24.6,89,1010.82,7.4,080,30.97,1010.00,0.00,26.5,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-08-2019,01:00:00,25.4,90,1010.69,0.0,000,32.53,1008.87,1.30,27.3,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-08-2019,01:00:00,24.4,82,1010.54,1.9,200,30.53,1009.79,0.00,27.7,6.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-08-2019,01:00:00,25.0,98,1010.83,0.0,000,31.68,1006.80,12.80,25.3,5.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-08-2019,01:00:00,25.6,92,1011.21,0.0,000,32.77,1010.52,0.00,27.0,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-08-2019,01:00:00,25.1,95,1010.61,0.0,000,31.93,1009.48,23.40,26.0,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-08-2019,01:00:00,24.6,92,1010.76,0.0,000,30.84,1007.82,0.00,26.0,10.00
