WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,VaporPressure,MeanSeaLevelPressure,WindDirection,RelativeHumidity,WindSpeed
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.0,09-23-2019,16:00:00,997.64,8.10,10.00,23.5,0.00,28.92,1009.89,190,77,7.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.5,09-23-2019,16:00:00,1009.44,33.90,10.00,24.8,0.00,31.26,1010.15,140,80,13.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.0,09-23-2019,16:00:00,1008.21,46.70,10.00,23.6,0.01,29.19,1010.64,180,77,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,27.0,09-23-2019,16:00:00,1009.47,17.50,12.00,24.3,0.00,30.29,1009.99,250,85,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.0,09-23-2019,16:00:00,1004.58,15.60,10.00,22.7,0.00,27.62,1009.75,000,77,0.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.8,09-23-2019,16:00:00,1009.45,15.70,10.00,23.1,0.00,28.26,1009.86,180,64,7.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.0,09-23-2019,16:00:00,1007.20,11.00,8.00,26.5,0.00,34.64,1009.95,180,82,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,09-23-2019,16:00:00,1009.62,29.50,10.00,24.3,0.90,30.43,1010.41,000,88,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.0,09-23-2019,16:00:00,1010.02,0.60,10.00,24.7,0.00,31.13,1010.48,310,78,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.4,09-23-2019,16:00:00,1009.18,9.20,7.00,24.2,0.00,30.23,1009.86,100,78,7.4
