WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,Rainfall24Hr,Rainfall,RelativeHumidity,MeanSeaLevelPressure,DewPoint,LandVisibility,WindSpeed,AirTemperature,StationPressure
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,09-22-2019,16:00:00,24.89,0.00,0.00,59,1009.87,21.0,10.00,0.0,30.0,976.64
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,120,09-22-2019,16:00:00,26.61,0.00,0.00,54,1008.35,22.1,10.00,3.7,32.8,990.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,09-22-2019,16:00:00,27.59,14.40,0.00,54,1008.79,22.7,10.00,0.0,33.3,986.44
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,09-22-2019,16:00:00,29.38,0.00,0.00,60,1008.03,23.7,12.00,0.0,32.5,978.71
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,09-22-2019,16:00:00,28.59,12.80,0.00,62,1008.84,23.3,8.00,0.0,31.4,973.88
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,080,09-22-2019,16:00:00,27.74,0.00,0.00,61,1008.58,22.8,15.00,7.4,31.1,979.28
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,09-22-2019,16:00:00,26.01,0.00,0.00,48,1008.12,21.7,9.00,0.0,34.2,1000.98
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,130,09-22-2019,16:00:00,26.12,0.00,0.00,51,1008.66,21.8,9.00,14.8,33.4,989.15
48353,LOEI,เลย,เลย,17.45000,101.73333,110,09-22-2019,16:00:00,22.84,0.00,0.00,47,1009.30,19.6,12.00,5.6,32.5,981.13
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,110,09-22-2019,16:00:00,24.93,0.00,0.00,52,1009.94,21.1,12.00,9.3,32.2,990.06
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,090,09-22-2019,16:00:00,24.66,0.00,0.00,56,1010.64,20.9,12.00,7.4,30.6,989.11
