WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,StationPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindSpeed,AirTemperature,RelativeHumidity,WindDirection,VaporPressure,DewPoint
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-04-2019,13:00:00,1008.58,0.00,1009.39,10.00,18.5,29.7,83,270,34.59,26.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-04-2019,13:00:00,1006.78,0.00,1008.56,12.00,14.8,33.0,58,230,29.25,23.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-04-2019,13:00:00,1007.20,0.00,1007.93,10.00,5.6,34.5,50,250,27.45,22.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-04-2019,13:00:00,1004.60,0.00,1008.51,10.00,20.4,34.0,50,240,26.46,22.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-04-2019,13:00:00,1008.57,0.00,1009.24,10.00,5.6,33.3,60,260,30.45,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-04-2019,13:00:00,1006.90,0.00,1007.99,12.00,14.8,33.9,51,260,26.82,22.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-04-2019,13:00:00,1005.70,0.00,1008.56,12.00,16.7,33.4,61,250,31.54,24.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-04-2019,13:00:00,1006.89,0.00,1007.56,10.00,5.6,34.0,63,260,33.75,26.1
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,2.00,09-04-2019,13:00:00,1004.30,0.00,1008.34,6.00,11.1,33.5,59,210,30.28,24.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.20,09-04-2019,13:00:00,1007.80,0.00,1008.38,10.00,9.3,31.5,66,030,30.49,24.4
