WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility,Rainfall24Hr,DewPoint
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,09-10-2019,04:00:00,975.02,000,0.00,24.2,94,1004.88,28.36,10.00,0.00,23.2
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-10-2019,04:00:00,998.49,000,0.00,26.5,84,1005.80,29.08,8.00,0.00,23.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,5.6,09-10-2019,04:00:00,984.80,250,0.00,27.5,87,1004.60,31.80,11.00,0.00,25.1
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,09-10-2019,04:00:00,976.48,000,0.00,25.9,89,1005.14,29.58,12.00,0.00,23.9
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.0,09-10-2019,04:00:00,984.76,000,0.00,26.9,84,1004.88,29.83,10.00,0.00,24.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.6,09-10-2019,04:00:00,983.43,190,0.00,27.0,84,1005.10,30.02,12.00,4.10,24.1
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,3.7,09-10-2019,04:00:00,985.22,210,0.00,27.7,82,1004.60,30.53,10.00,0.00,24.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,09-10-2019,04:00:00,989.82,000,0.01,26.8,91,1006.56,32.10,9.00,0.01,25.2
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,09-10-2019,04:00:00,988.61,000,0.00,26.0,92,1006.05,30.84,10.00,0.00,24.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,09-10-2019,04:00:00,979.13,000,0.00,27.1,95,1004.82,34.11,9.00,0.00,26.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,09-10-2019,04:00:00,1000.76,240,0.00,27.0,80,1006.54,28.41,10.00,0.00,23.2
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,09-10-2019,04:00:00,999.04,000,0.00,27.0,83,1005.22,29.48,10.00,0.00,23.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-10-2019,04:00:00,990.14,000,0.00,26.8,86,1006.58,30.18,10.00,0.00,24.2
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.0,09-10-2019,04:00:00,983.77,000,0.30,23.3,94,1006.35,26.83,10.00,15.40,22.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.0,09-10-2019,04:00:00,992.20,000,0.00,26.2,75,1006.62,25.45,6.00,2.00,21.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-10-2019,04:00:00,989.25,000,0.00,27.5,66,1005.58,24.38,8.00,0.00,20.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.0,09-10-2019,04:00:00,1001.42,000,0.00,26.8,86,1006.65,30.18,10.00,0.00,24.2
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-10-2019,04:00:00,991.76,000,0.00,26.3,89,1004.95,30.59,10.00,0.00,24.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.0,09-10-2019,04:00:00,996.71,000,0.00,25.3,93,1006.08,30.07,10.00,0.00,24.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,09-10-2019,04:00:00,983.63,210,0.00,26.4,89,1005.32,30.78,8.00,0.90,24.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,09-10-2019,04:00:00,989.08,000,0.00,26.7,83,1006.59,28.92,7.00,23.40,23.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.0,09-10-2019,04:00:00,988.73,000,0.20,25.5,96,1004.60,31.25,9.00,0.20,24.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,11.1,09-10-2019,04:00:00,985.75,200,0.00,27.0,84,1004.59,30.02,8.00,0.00,24.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-10-2019,04:00:00,957.94,000,0.00,22.2,94,1009.89,25.05,6.00,14.90,21.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,3.7,09-10-2019,04:00:00,1002.32,140,0.00,27.0,88,1006.28,31.38,6.00,0.00,24.8
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,18.5,09-10-2019,04:00:00,912.29,240,0.00,20.0,97,1007.92,22.68,1.50,4.40,19.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,9.3,09-10-2019,04:00:00,989.89,180,0.00,27.3,86,1005.84,31.14,7.00,0.00,24.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-10-2019,04:00:00,1002.40,000,0.00,26.2,84,1006.44,28.54,10.00,0.00,23.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,09-10-2019,04:00:00,997.09,000,0.00,24.8,89,1007.85,27.87,7.00,0.00,22.9
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,09-10-2019,04:00:00,1005.93,150,0.00,25.2,90,1007.87,28.83,7.00,0.00,23.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,5.6,09-10-2019,04:00:00,985.86,230,0.00,25.6,86,1006.81,28.25,10.00,0.00,23.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,9.3,09-10-2019,04:00:00,987.97,200,0.00,26.9,89,1005.62,31.46,10.00,0.01,24.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,11.1,09-10-2019,04:00:00,989.75,180,0.00,27.2,87,1005.88,31.22,10.00,3.10,24.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.0,09-10-2019,04:00:00,993.31,000,1.10,25.0,93,1007.44,29.52,10.00,5.10,23.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-10-2019,04:00:00,993.36,000,1.60,24.6,97,1008.33,30.12,9.00,5.20,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.7,09-10-2019,04:00:00,993.11,180,1.50,25.6,97,1007.86,31.71,4.00,4.50,25.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-10-2019,04:00:00,1003.70,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,25.9,87,1006.73,29.05,10.00,0.10,23.6
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,09-10-2019,04:00:00,998.85,000,0.00,26.3,88,1006.82,30.05,7.00,0.00,24.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,11.1,09-10-2019,04:00:00,1006.33,200,0.00,26.1,89,1007.45,30.22,7.00,9.70,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,09-10-2019,04:00:00,991.28,100,0.00,26.2,90,1005.99,30.67,8.00,0.00,24.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.3,09-10-2019,04:00:00,873.97,280,1.80,19.8,91,1009.11,21.08,.10,56.60,18.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,09-10-2019,04:00:00,1001.24,000,0.00,25.9,89,1007.14,29.58,10.00,0.00,23.9
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.7,09-10-2019,04:00:00,1007.70,240,0.00,27.5,88,1008.50,32.36,8.00,0.00,25.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.0,09-10-2019,04:00:00,1005.62,000,0.00,26.6,87,1006.07,30.34,10.00,0.50,24.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-10-2019,04:00:00,997.58,000,0.50,24.5,96,1009.00,29.41,4.00,2.00,23.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,5.6,09-10-2019,04:00:00,1006.27,210,0.00,26.6,83,1007.28,28.74,10.00,2.10,23.4
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,09-10-2019,04:00:00,1005.41,000,0.00,26.0,88,1007.24,29.50,7.00,0.01,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-10-2019,04:00:00,1006.61,000,0.00,26.0,81,1007.38,27.14,7.00,0.00,22.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,09-10-2019,04:00:00,1007.26,240,0.00,26.4,83,1007.96,28.64,10.00,0.20,23.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-10-2019,04:00:00,1007.02,000,1.70,26.7,94,1007.73,33.02,7.00,7.20,25.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,09-10-2019,04:00:00,986.01,000,0.00,26.2,85,1007.22,28.80,10.00,0.00,23.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,09-10-2019,04:00:00,990.60,000,0.00,26.0,91,1007.38,30.57,7.00,0.01,24.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,09-10-2019,04:00:00,991.20,180,0.00,26.0,92,1007.69,30.84,6.00,0.00,24.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-10-2019,04:00:00,985.32,000,0.00,26.5,80,1007.21,27.77,10.00,0.00,22.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,09-10-2019,04:00:00,964.24,000,0.00,25.0,80,1007.79,25.43,10.00,1.20,21.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,09-10-2019,04:00:00,986.55,000,0.00,26.0,88,1007.18,29.50,10.00,0.30,23.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,13.0,09-10-2019,04:00:00,987.44,190,0.00,25.9,98,1008.35,32.84,7.00,0.00,25.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,09-10-2019,04:00:00,1007.95,000,0.00,27.1,82,1008.39,29.39,10.00,0.00,23.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-10-2019,04:00:00,1006.41,000,0.00,25.4,94,1007.84,30.52,6.00,0.10,24.4
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,09-10-2019,04:00:00,1003.13,000,0.00,26.1,99,1008.09,33.51,7.00,37.40,25.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,09-10-2019,04:00:00,1004.61,000,0.00,26.5,80,1007.91,27.77,10.00,0.90,22.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,09-10-2019,04:00:00,1006.80,000,0.00,25.5,88,1007.91,28.85,10.00,0.01,23.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,09-10-2019,04:00:00,1007.54,000,0.00,27.0,83,1007.84,29.48,10.00,2.10,23.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,09-10-2019,04:00:00,1007.54,000,0.00,27.0,89,1008.03,31.66,10.00,29.20,25.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,09-10-2019,04:00:00,1006.57,210,0.00,27.3,75,1007.98,27.37,10.00,0.00,22.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.7,09-10-2019,04:00:00,1001.16,180,0.00,25.7,94,1009.22,31.08,10.00,0.00,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,09-10-2019,04:00:00,1007.75,000,0.00,27.9,82,1008.03,30.64,10.00,0.00,24.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,09-10-2019,04:00:00,1004.77,000,0.00,28.2,80,1007.90,30.40,10.00,0.00,24.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,7.4,09-10-2019,04:00:00,1001.32,240,0.00,27.5,81,1008.26,29.60,10.00,0.00,23.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,09-10-2019,04:00:00,1002.63,000,0.00,26.7,94,1008.24,33.02,7.00,0.00,25.7
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,09-10-2019,04:00:00,1007.71,000,0.00,25.8,90,1008.98,29.93,10.00,0.01,24.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,09-10-2019,04:00:00,1007.28,000,0.00,27.3,80,1007.71,28.96,11.00,0.01,23.5
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,09-10-2019,04:00:00,995.97,000,0.00,24.5,91,1008.35,28.11,8.00,0.00,23.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,09-10-2019,04:00:00,1007.34,000,0.00,26.9,80,1008.05,28.23,10.00,0.00,23.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.1,09-10-2019,04:00:00,1005.79,230,0.00,27.7,79,1008.22,29.17,10.00,0.00,23.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,13.0,09-10-2019,04:00:00,1007.83,250,0.00,28.2,81,1008.34,30.95,10.00,0.00,24.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,09-10-2019,04:00:00,1003.16,000,0.00,27.0,87,1008.32,31.11,8.00,0.00,24.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.4,09-10-2019,04:00:00,1008.27,210,0.00,27.7,84,1008.69,31.36,7.00,0.00,24.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,09-10-2019,04:00:00,1006.00,000,0.00,27.2,87,1008.77,31.22,8.00,0.00,24.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,09-10-2019,04:00:00,1008.22,000,0.00,25.8,88,1009.01,29.13,10.00,13.80,23.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.6,09-10-2019,04:00:00,1008.90,170,65.00,24.0,91,1009.37,27.25,3.00,165.50,22.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,09-10-2019,04:00:00,1009.03,000,0.00,24.6,91,1009.72,28.03,7.00,0.90,23.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,09-10-2019,04:00:00,1007.86,000,0.00,24.8,93,1009.40,29.16,7.00,8.80,23.6
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,09-10-2019,04:00:00,1009.64,000,0.70,24.0,96,1010.56,28.53,7.00,48.50,23.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,09-10-2019,04:00:00,1009.09,000,0.00,25.5,89,1009.79,29.11,10.00,30.10,23.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,09-10-2019,04:00:00,1009.02,000,0.00,23.6,96,1009.83,27.83,7.00,15.80,22.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,09-10-2019,04:00:00,1008.81,000,0.00,24.1,97,1009.45,29.22,10.00,14.00,23.7
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,09-10-2019,04:00:00,1009.55,000,0.00,23.5,97,1009.96,28.17,7.00,34.80,23.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-10-2019,04:00:00,1007.22,000,0.00,23.4,96,1011.50,27.75,5.00,42.20,22.8
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-10-2019,04:00:00,1007.02,000,0.00,23.8,96,1008.65,28.18,6.00,8.80,23.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,09-10-2019,04:00:00,1006.78,000,0.00,23.5,96,1010.31,27.92,5.00,41.50,22.9
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,09-10-2019,04:00:00,1008.32,000,0.00,24.7,97,1009.69,30.03,7.00,0.01,24.1
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-10-2019,04:00:00,1008.87,000,0.00,24.3,97,1009.77,29.57,10.00,7.30,23.9
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,09-10-2019,04:00:00,1005.81,000,0.00,23.2,98,1009.42,27.91,10.00,52.20,22.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,3.7,09-10-2019,04:00:00,1009.05,310,0.00,24.5,95,1009.49,29.15,10.00,43.20,23.6
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-10-2019,04:00:00,1008.85,000,0.00,24.5,96,1009.85,29.41,10.00,2.00,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,09-10-2019,04:00:00,1008.67,000,0.00,23.7,96,1009.50,28.01,10.00,29.60,23.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,09-10-2019,04:00:00,1007.92,000,0.00,24.4,97,1009.76,29.49,7.00,45.80,23.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,09-10-2019,04:00:00,1008.98,000,0.00,25.5,90,1009.74,29.38,8.00,7.00,23.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,09-10-2019,04:00:00,1005.88,000,0.00,24.4,96,1009.92,29.23,7.00,0.00,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,09-10-2019,04:00:00,1009.23,000,0.00,25.1,93,1009.92,29.70,10.00,0.00,23.9
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,09-10-2019,04:00:00,1008.24,000,0.00,25.0,96,1009.37,30.32,8.00,0.00,24.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,09-10-2019,04:00:00,1006.88,000,0.00,24.8,95,1009.83,29.69,10.00,0.00,23.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,09-10-2019,04:00:00,1008.96,000,0.00,24.3,97,1009.66,29.57,6.00,1.50,23.9
