WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,LandVisibility,RelativeHumidity,WindDirection,VaporPressure,DewPoint,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,AirTemperature
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-04-2019,10:00:00,1011.78,10.00,69,000,30.90,24.6,0.20,0.0,1012.21,31.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-04-2019,10:00:00,1010.99,10.00,83,000,32.39,25.4,1.60,0.0,1011.98,28.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-04-2019,10:00:00,1011.80,12.00,84,160,35.62,27.0,3.80,14.8,1012.61,29.9
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-04-2019,10:00:00,1010.92,10.00,75,170,32.75,25.6,36.20,7.4,1012.72,30.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-04-2019,10:00:00,1011.52,12.00,64,250,29.24,23.7,0.01,5.6,1012.26,31.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,10-04-2019,10:00:00,1008.39,10.00,73,230,29.77,24.0,13.80,13.0,1012.38,29.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,10-04-2019,10:00:00,1011.65,10.00,71,000,30.42,24.3,25.30,0.0,1012.33,30.2
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,10-04-2019,10:00:00,1011.17,10.00,68,160,30.21,24.2,0.00,11.1,1012.28,30.8
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-04-2019,10:00:00,1009.45,12.00,75,210,31.93,25.1,6.60,9.3,1012.36,30.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-04-2019,10:00:00,1011.54,11.00,70,000,29.75,24.0,1.90,0.0,1012.22,30.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-04-2019,10:00:00,1008.76,7.00,67,000,27.98,22.9,111.00,0.0,1012.87,29.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-04-2019,10:00:00,1011.68,12.00,62,140,27.14,22.4,0.00,5.6,1012.26,30.5
