WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,DewPoint,RelativeHumidity,MeanSeaLevelPressure,WindDirection,VaporPressure,MinimumTemperature,StationPressure,WindSpeed,Rainfall,Rainfall24Hr
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.8,07-15-2019,07:00:00,7.00,22.5,73,1005.17,270,27.22,27.0,990.85,5.6,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.5,07-15-2019,07:00:00,7.00,21.3,65,1004.58,000,25.35,26.0,988.32,0.0,0.00,2.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.1,07-15-2019,07:00:00,10.00,23.9,88,1004.74,000,29.68,24.6,999.51,0.0,0.00,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.2,07-15-2019,07:00:00,10.00,24.5,90,1003.53,000,30.67,25.5,990.35,0.0,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.8,07-15-2019,07:00:00,10.00,22.0,75,1004.75,000,26.48,26.3,995.44,0.0,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.6,07-15-2019,07:00:00,10.00,23.2,77,1004.87,000,28.45,26.5,983.28,0.0,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.0,07-15-2019,07:00:00,10.00,23.9,74,1004.55,260,29.74,27.3,987.21,9.3,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,07-15-2019,07:00:00,10.00,24.1,84,1003.70,000,30.02,26.0,987.92,0.0,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.1,07-15-2019,07:00:00,10.00,24.5,81,1003.32,000,30.75,27.1,984.58,0.0,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.5,07-15-2019,07:00:00,7.00,21.4,94,1007.49,000,25.52,21.7,955.71,0.0,0.00,1.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.6,07-15-2019,07:00:00,6.00,24.9,90,1004.64,000,31.44,26.0,1000.69,0.0,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,07-15-2019,07:00:00,3.00,19.9,94,1005.30,280,23.16,19.7,910.16,7.4,0.00,1.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.0,07-15-2019,07:00:00,10.00,23.9,79,1004.12,000,29.74,26.6,988.23,0.0,0.00,0.20
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.4,07-15-2019,07:00:00,10.00,24.4,89,1004.63,000,30.51,25.8,1000.60,0.0,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.6,07-15-2019,07:00:00,8.00,22.6,84,1006.36,000,27.47,25.1,995.64,0.0,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,26.1,07-15-2019,07:00:00,10.00,23.3,85,1005.55,000,28.62,25.4,1003.62,0.0,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.8,07-15-2019,07:00:00,10.00,22.7,78,1004.68,000,27.52,26.2,983.86,0.0,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,27.6,07-15-2019,07:00:00,10.00,23.7,79,1004.19,000,29.25,26.5,986.62,0.0,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,28.2,07-15-2019,07:00:00,10.00,24.2,79,1003.99,210,30.12,27.7,987.94,7.4,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.4,07-15-2019,07:00:00,10.00,24.4,89,1004.96,000,30.51,24.8,990.93,0.0,0.00,40.50
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.5,07-15-2019,07:00:00,9.00,24.5,94,1005.66,140,30.71,23.9,990.78,3.7,0.00,11.90
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.0,07-15-2019,07:00:00,10.00,24.5,87,1004.73,190,30.83,25.6,990.10,7.4,0.00,0.01
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.5,07-15-2019,07:00:00,10.00,22.5,74,1004.45,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.21,26.4,1001.44,0.0,0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,25.8,07-15-2019,07:00:00,10.00,23.2,85,1004.77,000,28.34,25.6,996.81,0.0,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,26.3,07-15-2019,07:00:00,8.00,22.9,82,1005.95,150,27.93,25.0,1004.84,5.6,0.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.6,07-15-2019,07:00:00,8.00,24.3,87,1004.39,000,30.34,26.0,989.72,0.0,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.5,07-15-2019,07:00:00,3.00,19.0,97,1005.60,290,21.98,18.3,870.80,9.3,0.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.6,07-15-2019,07:00:00,10.00,24.1,92,1005.49,000,30.09,24.7,999.59,0.0,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.8,07-15-2019,07:00:00,8.00,24.9,84,1005.79,230,31.56,27.0,1004.99,11.1,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.0,07-15-2019,07:00:00,10.00,23.6,77,1005.96,230,29.19,28.0,1005.52,9.3,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.5,07-15-2019,07:00:00,2.00,24.2,98,1007.16,000,30.20,24.2,995.76,0.0,4.00,5.60
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.0,07-15-2019,07:00:00,10.00,22.9,78,1005.95,190,27.88,26.2,1004.94,3.7,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.4,07-15-2019,07:00:00,8.00,23.2,82,1005.44,130,28.37,26.0,1003.61,3.7,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.1,07-15-2019,07:00:00,8.00,21.9,73,1005.81,000,26.24,26.2,1005.04,0.0,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.4,07-15-2019,07:00:00,10.00,22.4,74,1006.27,230,27.03,26.5,1005.57,11.1,0.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,27.5,07-15-2019,07:00:00,7.00,23.4,78,1005.52,000,28.80,26.7,1004.82,0.0,0.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.4,07-15-2019,07:00:00,10.00,22.5,75,1005.19,270,27.29,26.2,984.11,7.4,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.9,07-15-2019,07:00:00,7.00,23.8,83,1004.87,000,29.56,25.5,988.19,0.0,0.00,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.3,07-15-2019,07:00:00,8.00,23.7,86,1005.51,000,29.25,24.8,989.07,0.0,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.0,07-15-2019,07:00:00,10.00,22.6,82,1005.26,000,27.40,25.1,983.37,0.0,0.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.5,07-15-2019,07:00:00,15.00,21.7,80,1015.95,000,26.02,24.4,972.12,0.0,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.5,07-15-2019,07:00:00,10.00,22.0,77,1005.40,000,26.47,25.8,984.84,0.0,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.2,07-15-2019,07:00:00,8.00,23.9,82,1006.60,240,29.58,26.0,985.81,9.3,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.5,07-15-2019,07:00:00,10.00,23.6,79,1006.46,250,29.06,26.4,1006.03,5.6,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,07-15-2019,07:00:00,8.00,24.8,96,1005.90,000,31.25,25.4,1004.48,0.0,0.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.9,07-15-2019,07:00:00,7.00,24.7,93,1005.82,000,31.19,25.5,1000.88,0.0,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.0,07-15-2019,07:00:00,12.00,22.7,77,1006.31,000,27.62,25.0,1003.02,0.0,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.3,07-15-2019,07:00:00,10.00,23.4,89,1006.65,000,28.75,24.0,1005.54,0.0,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.4,07-15-2019,07:00:00,10.00,23.0,77,1006.29,000,28.08,26.8,1005.99,0.0,0.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,28.7,07-15-2019,07:00:00,10.00,22.8,71,1005.94,000,27.81,28.0,1005.25,0.0,0.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.3,07-15-2019,07:00:00,10.00,22.9,77,1005.65,000,27.90,27.3,1005.16,0.0,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.9,07-15-2019,07:00:00,10.00,22.8,74,1006.00,240,27.67,27.7,1004.60,14.8,0.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.5,07-15-2019,07:00:00,10.00,22.9,68,1006.15,240,27.96,29.0,1004.49,9.3,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.4,07-15-2019,07:00:00,10.00,23.8,86,1007.21,180,29.43,25.1,999.19,3.7,0.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.0,07-15-2019,07:00:00,10.00,23.9,74,1005.76,000,29.74,28.0,1005.48,0.0,0.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,29.7,07-15-2019,07:00:00,10.00,25.9,80,1006.26,000,33.41,28.2,1003.16,0.0,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,07-15-2019,07:00:00,10.00,23.4,74,1006.60,000,28.78,28.5,999.69,0.0,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.0,07-15-2019,07:00:00,7.00,24.8,88,1006.16,000,31.38,25.7,1000.57,0.0,0.00,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,28.5,07-15-2019,07:00:00,10.00,23.4,74,1008.61,000,28.78,28.2,999.33,0.0,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,27.0,07-15-2019,07:00:00,12.00,23.3,80,1007.21,180,28.67,24.3,1005.95,3.7,0.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.0,07-15-2019,07:00:00,11.00,21.8,73,1006.32,150,26.06,26.1,1005.89,3.7,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.8,07-15-2019,07:00:00,8.00,22.6,93,1006.80,000,27.42,23.0,994.42,0.0,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.8,07-15-2019,07:00:00,10.00,23.1,80,1006.36,000,28.31,26.1,1005.64,0.0,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.4,07-15-2019,07:00:00,10.00,23.3,74,1006.73,200,28.59,27.4,1004.31,5.6,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.1,07-15-2019,07:00:00,10.00,23.9,74,1006.38,270,29.65,28.5,1005.86,9.3,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.9,07-15-2019,07:00:00,12.00,23.1,80,1006.30,000,28.23,26.2,1001.15,0.0,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.4,07-15-2019,07:00:00,7.00,25.7,96,1006.61,000,32.99,25.5,1006.20,0.0,0.00,18.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.4,07-15-2019,07:00:00,8.00,25.1,93,1006.92,000,31.88,25.5,1004.15,0.0,0.00,8.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.9,07-15-2019,07:00:00,12.00,22.3,76,1007.16,000,26.92,24.5,1006.37,0.0,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.6,07-15-2019,07:00:00,7.00,23.7,95,1006.54,000,29.33,23.5,1006.08,0.0,78.50,89.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,26.5,07-15-2019,07:00:00,7.00,24.0,86,1007.74,000,29.89,25.4,1007.06,0.0,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.6,07-15-2019,07:00:00,8.00,23.4,93,1008.83,000,28.81,24.4,1007.29,0.0,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.4,07-15-2019,07:00:00,10.00,23.3,88,1008.66,000,28.67,25.2,1007.74,0.0,0.00,0.60
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.7,07-15-2019,07:00:00,12.00,24.2,86,1008.18,000,30.26,25.3,1007.50,0.0,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.0,07-15-2019,07:00:00,10.00,23.3,96,1008.71,000,28.53,23.2,1007.91,0.0,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.1,07-15-2019,07:00:00,10.00,23.7,97,1008.18,000,29.22,23.5,1007.54,0.0,0.00,0.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.3,07-15-2019,07:00:00,8.00,23.7,97,1008.45,000,29.31,23.5,1008.04,0.0,0.00,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.1,07-15-2019,07:00:00,5.00,22.8,98,1010.24,000,27.74,22.4,1005.96,0.0,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.8,07-15-2019,07:00:00,6.00,24.2,97,1009.19,000,30.22,23.2,1007.56,0.0,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,07-15-2019,07:00:00,7.00,22.8,96,1009.24,000,27.66,23.0,1005.72,0.0,0.00,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.0,07-15-2019,07:00:00,8.00,24.3,90,1008.38,270,30.30,26.0,1007.02,5.6,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,27.0,07-15-2019,07:00:00,10.00,23.3,80,1008.05,000,28.67,25.0,1007.16,0.0,1.70,2.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.4,07-15-2019,07:00:00,10.00,24.1,92,1008.57,000,29.99,22.9,1004.99,0.0,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,27.5,07-15-2019,07:00:00,10.00,24.6,84,1008.24,000,30.97,26.5,1007.81,0.0,0.00,5.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.3,07-15-2019,07:00:00,10.00,23.0,69,1007.92,260,28.12,25.5,1006.94,13.0,0.60,10.20
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.2,07-15-2019,07:00:00,10.00,24.5,76,1008.67,290,30.68,24.5,1007.86,20.4,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.2,07-15-2019,07:00:00,8.00,24.2,94,1008.84,000,30.15,24.4,1007.01,0.0,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.3,07-15-2019,07:00:00,10.00,23.5,85,1008.69,250,28.98,24.8,1007.94,3.7,0.00,22.40
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.0,07-15-2019,07:00:00,10.00,23.3,96,1009.14,000,28.53,22.0,1005.10,0.0,0.00,2.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,07-15-2019,07:00:00,10.00,24.0,94,1010.09,000,29.79,23.8,1009.40,0.0,0.00,0.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,07-15-2019,07:00:00,10.00,23.6,97,1008.64,000,29.04,23.5,1007.51,0.0,0.00,1.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.4,07-15-2019,07:00:00,10.00,23.1,98,1009.33,000,28.25,22.7,1006.37,0.0,0.00,2.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.8,07-15-2019,07:00:00,10.00,23.8,94,1008.23,000,29.42,24.4,1007.54,0.0,0.00,20.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.5,07-15-2019,07:00:00,8.00,22.7,90,1010.42,250,27.60,23.3,1006.25,7.4,0.00,9.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.6,07-15-2019,07:00:00,10.00,22.7,89,1008.91,210,27.52,.0,1008.32,3.7,0.00,0.50
