WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,AirTemperature,Rainfall24Hr,VaporPressure,DewPoint,LandVisibility,WindSpeed,Rainfall,StationPressure,MeanSeaLevelPressure,RelativeHumidity
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,240,08-17-2019,10:00:00,31.3,10.10,33.86,26.1,7.00,5.6,0.00,1007.87,1008.56,74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,210,08-17-2019,10:00:00,31.2,0.50,30.16,24.2,10.00,9.3,0.00,986.95,1007.83,66
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,200,08-17-2019,10:00:00,29.5,0.00,31.00,24.6,10.00,16.7,0.00,992.71,1009.33,75
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,08-17-2019,10:00:00,30.0,0.00,31.15,24.7,9.00,16.7,0.00,993.31,1009.62,73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,08-17-2019,10:00:00,30.4,0.90,30.82,24.5,10.00,0.0,0.00,986.91,1008.55,71
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,240,08-17-2019,10:00:00,28.0,14.90,27.59,22.7,12.00,11.1,0.00,965.50,1008.66,73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,110,08-17-2019,10:00:00,31.0,0.00,28.92,23.5,10.00,11.1,0.00,987.85,1008.17,64
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,200,08-17-2019,10:00:00,29.9,0.00,33.54,26.0,9.00,22.2,0.00,989.70,1010.38,80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,190,08-17-2019,10:00:00,30.3,0.01,30.91,24.6,10.00,11.1,0.00,1008.17,1008.60,72
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,08-17-2019,10:00:00,30.5,0.00,35.12,26.7,10.00,0.0,0.00,1007.40,1008.80,80
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,08-17-2019,10:00:00,31.0,15.70,33.81,26.1,9.00,0.0,0.00,1004.31,1009.19,75
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,200,08-17-2019,10:00:00,30.4,0.00,28.59,23.3,12.00,11.1,0.00,1005.16,1008.42,66
