WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,RelativeHumidity,WindDirection,Rainfall24Hr,MeanSeaLevelPressure,DewPoint,Rainfall,AirTemperature,VaporPressure,LandVisibility,MaximumTemperature
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.19,07-24-2019,19:00:00,9.3,86,190,26.40,1007.90,24.1,5.80,26.6,30.07,10.00,32.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1007.33,07-24-2019,19:00:00,5.6,82,330,2.40,1008.03,25.0,0.00,28.3,31.70,7.00,34.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.92,07-24-2019,19:00:00,11.1,88,260,1.90,1007.08,24.7,1.90,26.9,31.19,10.00,35.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,989.53,07-24-2019,19:00:00,0.0,88,000,3.50,1006.23,24.8,3.50,27.0,31.38,7.00,34.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.95,07-24-2019,19:00:00,0.0,84,000,1.50,1006.34,24.6,1.40,27.5,30.97,8.00,34.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.59,07-24-2019,19:00:00,0.0,74,000,0.01,1006.33,23.3,0.01,28.4,28.59,10.00,34.6
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,964.52,07-24-2019,19:00:00,22.2,96,260,5.60,1008.35,22.6,5.50,23.2,27.41,7.00,30.6
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.98,07-24-2019,19:00:00,5.6,79,270,0.20,1006.46,24.1,0.20,28.0,30.01,10.00,35.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.67,07-24-2019,19:00:00,11.1,91,330,0.00,1007.51,25.2,0.00,26.8,32.10,8.00,33.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.11,07-24-2019,19:00:00,3.7,89,250,25.90,1007.54,25.9,0.10,27.9,33.45,9.00,32.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1006.20,07-24-2019,19:00:00,3.7,92,300,17.90,1007.62,24.9,6.20,26.3,31.41,6.00,33.2
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1003.13,07-24-2019,19:00:00,0.0,93,000,9.60,1008.08,25.2,0.70,26.5,32.07,6.00,31.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.04,07-24-2019,19:00:00,3.7,66,270,0.20,1007.30,23.0,0.00,30.1,28.01,11.00,32.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.25,07-24-2019,19:00:00,3.7,77,270,0.10,1007.34,25.3,0.01,29.7,32.26,10.00,32.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.49,07-24-2019,19:00:00,0.0,90,000,18.90,1007.79,25.0,1.80,26.7,31.63,8.00,33.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1006.83,07-24-2019,19:00:00,5.6,81,130,5.70,1007.51,24.0,0.10,27.5,29.88,10.00,32.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1006.96,07-24-2019,19:00:00,3.7,81,120,1.60,1007.44,24.0,0.10,27.6,29.79,10.00,33.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.33,07-24-2019,19:00:00,7.4,70,190,0.01,1007.73,23.1,0.00,29.1,28.29,10.00,33.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.89,07-24-2019,19:00:00,5.6,76,240,0.80,1007.56,24.0,0.80,28.8,29.90,10.00,31.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1002.37,07-24-2019,19:00:00,7.4,92,220,4.40,1010.46,23.5,4.40,25.0,29.00,10.00,34.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.64,07-24-2019,19:00:00,5.6,94,140,18.50,1007.93,26.5,3.00,27.5,34.64,4.00,34.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.50,07-24-2019,19:00:00,9.3,81,300,0.00,1008.62,24.9,0.00,28.5,31.54,10.00,32.7
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.34,07-24-2019,19:00:00,0.0,88,000,0.80,1008.29,24.8,0.80,27.0,31.38,10.00,32.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.87,07-24-2019,19:00:00,0.0,80,000,1.80,1007.46,23.7,0.00,27.5,29.33,8.00,33.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,999.68,07-24-2019,19:00:00,0.0,82,000,0.00,1008.96,25.1,0.00,28.5,31.82,8.00,34.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.31,07-24-2019,19:00:00,3.7,94,230,33.00,1008.57,26.5,1.50,27.6,34.56,8.00,33.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.69,07-24-2019,19:00:00,0.0,90,000,33.90,1008.12,25.3,2.10,27.0,32.21,11.00,36.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,995.93,07-24-2019,19:00:00,0.0,87,000,0.50,1008.16,25.6,0.50,28.0,32.80,10.00,34.4
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.35,07-24-2019,19:00:00,0.0,87,000,0.00,1008.05,27.2,0.00,29.6,36.16,10.00,34.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.61,07-24-2019,19:00:00,7.4,76,220,0.01,1008.02,25.1,0.01,29.8,31.89,9.00,34.9
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.31,07-24-2019,19:00:00,9.3,80,280,0.01,1007.83,25.7,0.01,29.5,33.00,7.00,32.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.82,07-24-2019,19:00:00,0.0,79,000,0.01,1007.94,25.4,0.01,29.4,32.50,11.00,34.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.42,07-24-2019,19:00:00,0.0,76,000,27.50,1007.83,25.1,0.00,29.8,31.89,7.00,33.2
