WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,DewPoint,WindSpeed,Rainfall24Hr,WindDirection,MaximumTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,AirTemperature
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-17-2019,19:00:00,7.00,78,26.1,0.0,3.60,000,32.8,33.80,997.93,1005.14,30.3
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-17-2019,19:00:00,15.00,92,27.0,7.4,9.60,060,31.8,35.66,985.07,1004.82,28.4
48353,LOEI,เลย,เลย,17.45000,101.73333,0.10,08-17-2019,19:00:00,12.00,80,23.8,5.6,10.80,230,32.4,29.52,976.57,1005.08,27.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,2.50,08-17-2019,19:00:00,8.00,89,25.4,0.0,9.10,000,33.5,32.45,984.91,1004.99,27.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1.00,08-17-2019,19:00:00,12.00,86,24.4,0.0,25.10,000,32.7,30.64,985.05,1006.76,26.9
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.10,08-17-2019,19:00:00,10.00,93,24.7,0.0,23.20,000,33.1,31.11,986.01,1005.52,26.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.20,08-17-2019,19:00:00,9.00,90,26.2,0.0,51.80,000,30.8,33.94,989.54,1006.21,28.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.20,08-17-2019,19:00:00,7.00,86,24.9,0.0,14.10,000,30.3,31.52,989.14,1006.51,27.5
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.80,08-17-2019,19:00:00,9.00,98,24.7,9.3,16.20,100,32.7,31.12,979.08,1004.95,25.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-17-2019,19:00:00,10.00,72,24.4,5.6,0.00,210,33.7,30.59,1000.22,1005.95,30.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-17-2019,19:00:00,10.00,71,24.7,0.0,0.00,000,32.9,31.15,999.82,1005.92,30.7
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,3.00,08-17-2019,19:00:00,10.00,89,24.4,0.0,6.20,000,34.2,30.59,990.37,1006.84,26.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,08-17-2019,19:00:00,10.00,75,22.4,3.7,33.80,210,31.3,27.11,982.88,1005.13,27.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-17-2019,19:00:00,8.00,69,23.0,9.3,0.00,260,32.0,28.12,992.26,1006.53,29.3
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-17-2019,19:00:00,7.00,71,23.2,0.0,0.00,000,33.5,28.37,989.46,1005.71,29.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.30,08-17-2019,19:00:00,8.00,87,24.2,5.6,2.80,140,33.4,30.16,1001.05,1006.29,26.5
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-17-2019,19:00:00,10.00,82,24.3,0.0,0.00,000,35.3,30.45,991.83,1004.97,27.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,4.80,08-17-2019,19:00:00,8.00,91,25.4,0.0,4.80,000,33.5,32.49,996.90,1006.22,27.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.80,08-17-2019,19:00:00,8.00,75,23.6,7.4,1.20,180,35.0,29.05,983.96,1005.50,28.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-17-2019,19:00:00,10.00,84,24.6,7.4,0.00,180,35.0,30.97,988.90,1006.36,27.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-17-2019,19:00:00,10.00,85,25.1,0.0,30.50,000,32.2,31.95,989.64,1005.39,28.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-17-2019,19:00:00,8.00,70,23.4,9.3,0.00,180,34.2,28.78,985.96,1004.65,29.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,08-17-2019,19:00:00,7.00,90,23.2,0.0,10.00,000,28.7,28.48,955.50,1006.82,25.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,29.60,08-17-2019,19:00:00,4.00,95,24.3,0.0,29.60,000,33.5,30.42,1002.29,1006.27,25.2
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.01,08-17-2019,19:00:00,.70,95,21.6,0.0,6.40,000,24.1,25.85,911.12,1005.83,22.4
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.80,08-17-2019,19:00:00,6.00,97,24.1,9.3,2.20,180,32.8,30.03,991.00,1007.10,24.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,08-17-2019,19:00:00,7.00,84,24.8,0.0,0.01,000,35.0,31.36,1002.23,1006.25,27.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.01,08-17-2019,19:00:00,7.00,77,23.9,3.7,3.80,210,33.6,29.57,996.29,1006.92,28.2
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-17-2019,19:00:00,9.00,68,22.9,9.3,0.80,210,33.9,27.96,1004.61,1006.52,29.5
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-17-2019,19:00:00,10.00,64,23.0,7.4,0.00,240,34.9,28.06,985.20,1005.78,30.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,71.20,08-17-2019,19:00:00,9.00,97,24.6,5.6,71.20,210,32.5,30.85,989.47,1007.25,25.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,8.20,08-17-2019,19:00:00,8.00,97,25.1,9.3,9.90,210,32.8,31.90,990.97,1007.21,25.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-17-2019,19:00:00,10.00,90,25.4,3.7,8.30,160,30.7,32.53,992.70,1006.72,27.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-17-2019,19:00:00,10.00,90,25.0,0.0,9.60,000,32.3,31.74,992.79,1007.64,26.9
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-17-2019,19:00:00,10.00,82,25.2,3.7,0.00,180,32.4,32.02,992.01,1006.60,28.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.90,08-17-2019,19:00:00,8.00,94,26.2,0.0,13.90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",34.6,34.03,1003.19,1006.20,27.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1.60,08-17-2019,19:00:00,8.00,84,24.5,7.4,1.60,300,33.6,30.78,998.13,1006.07,27.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-17-2019,19:00:00,7.00,73,24.4,14.8,1.20,230,33.4,30.55,1005.72,1006.82,29.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-17-2019,19:00:00,8.00,79,24.8,0.0,0.00,000,32.8,31.29,992.23,1006.83,28.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,08-17-2019,19:00:00,.05,100,20.2,13.0,25.60,200,21.1,23.65,872.89,1007.67,20.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-17-2019,19:00:00,10.00,77,25.2,7.4,0.00,220,33.9,31.97,1000.25,1006.07,29.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-17-2019,19:00:00,8.00,75,25.0,7.4,8.20,180,34.6,31.72,1006.31,1007.11,30.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-17-2019,19:00:00,10.00,77,24.8,22.2,0.00,210,32.0,31.36,1006.15,1006.59,29.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-17-2019,19:00:00,5.00,92,25.1,0.0,4.70,000,31.3,31.79,996.75,1008.08,26.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.80,08-17-2019,19:00:00,10.00,89,26.1,0.0,3.80,000,35.5,33.86,1005.89,1006.90,28.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.70,08-17-2019,19:00:00,8.00,88,24.3,3.7,8.70,040,34.7,30.43,1005.34,1007.17,26.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-17-2019,19:00:00,6.00,82,24.5,0.0,4.00,000,34.4,30.72,1006.24,1007.00,27.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-17-2019,19:00:00,10.00,77,24.6,14.8,0.01,190,31.7,30.85,1006.41,1007.11,29.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-17-2019,19:00:00,7.00,81,25.6,0.0,11.00,000,33.1,32.87,1005.87,1006.56,29.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1.90,08-17-2019,19:00:00,10.00,89,24.6,3.7,26.90,270,35.1,30.97,985.42,1006.60,26.5
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.01,08-17-2019,19:00:00,9.00,86,24.2,5.6,0.01,220,32.7,30.26,989.92,1006.65,26.7
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1.20,08-17-2019,19:00:00,6.00,86,23.9,9.3,1.20,180,34.7,29.62,991.12,1007.59,26.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-17-2019,19:00:00,10.00,77,24.0,0.0,0.90,000,34.6,29.87,984.62,1006.35,28.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1.30,08-17-2019,19:00:00,10.00,81,22.9,7.4,9.40,230,31.5,27.85,963.63,1006.94,26.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-17-2019,19:00:00,10.00,77,23.1,0.0,0.00,000,34.7,28.26,985.95,1006.46,27.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.40,08-17-2019,19:00:00,9.00,98,25.2,9.3,27.20,200,33.1,32.07,987.21,1008.15,25.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-17-2019,19:00:00,10.00,70,24.3,5.6,0.00,260,31.6,30.34,1006.28,1006.71,30.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-17-2019,19:00:00,6.00,93,25.1,0.0,0.00,000,33.0,31.96,1001.40,1002.81,26.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1.40,08-17-2019,19:00:00,9.00,96,25.3,0.0,2.10,000,32.0,32.20,1001.97,1006.92,26.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-17-2019,19:00:00,12.00,71,24.2,9.3,0.00,260,33.6,30.11,1003.90,1007.16,29.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-17-2019,19:00:00,10.00,84,25.1,7.4,1.50,270,34.4,31.87,1006.15,1007.25,28.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-17-2019,19:00:00,10.00,77,25.1,0.0,0.00,000,33.1,31.85,1006.75,1007.05,29.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-17-2019,19:00:00,10.00,76,24.6,5.6,0.00,190,32.7,30.88,1006.09,1006.77,29.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-17-2019,19:00:00,10.00,77,25.0,0.0,0.00,000,33.3,31.65,1005.81,1006.30,29.4
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-17-2019,19:00:00,10.00,80,25.4,11.1,12.00,190,33.3,32.38,1005.69,1007.09,29.2
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-17-2019,19:00:00,10.00,85,26.7,22.2,0.00,200,30.6,35.05,1006.37,1008.03,29.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-17-2019,19:00:00,10.00,80,24.0,0.0,3.40,000,32.5,29.90,1001.04,1009.04,27.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-17-2019,19:00:00,10.00,78,25.2,0.0,0.60,000,33.0,32.13,1006.23,1006.51,29.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-17-2019,19:00:00,10.00,78,24.7,5.6,0.00,250,32.0,31.13,1003.90,1007.02,29.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-17-2019,19:00:00,12.00,81,24.9,0.0,0.00,000,31.2,31.54,1000.59,1007.50,28.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-17-2019,19:00:00,7.00,85,25.4,0.0,11.20,000,34.4,32.43,1001.49,1007.07,28.1
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-17-2019,19:00:00,10.00,81,24.9,18.5,0.00,210,31.5,31.54,997.37,1006.64,28.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.90,08-17-2019,19:00:00,6.00,92,25.5,3.7,5.60,230,32.5,32.58,1006.63,1007.90,26.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-17-2019,19:00:00,11.00,73,24.2,0.0,0.40,000,33.9,30.27,1006.28,1006.71,29.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-17-2019,19:00:00,10.00,77,23.1,3.7,0.01,200,31.5,28.26,995.47,1007.72,27.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-17-2019,19:00:00,10.00,74,23.4,9.3,0.00,240,32.5,28.78,1006.70,1007.42,28.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-17-2019,19:00:00,10.00,77,24.6,7.4,0.01,180,33.6,30.85,1006.13,1008.55,29.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-17-2019,19:00:00,10.00,83,25.8,18.5,0.00,250,31.2,33.12,1007.22,1007.73,29.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-17-2019,19:00:00,10.00,79,24.5,3.7,0.00,220,32.0,30.70,1002.17,1007.30,28.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-17-2019,19:00:00,7.00,83,25.1,0.0,4.80,000,30.1,31.79,1007.99,1008.40,28.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-17-2019,19:00:00,8.00,88,25.4,0.0,14.20,000,30.5,32.36,1006.00,1008.77,27.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-17-2019,19:00:00,10.00,77,23.6,0.0,0.00,000,31.0,29.19,1008.15,1008.94,28.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.50,08-17-2019,19:00:00,5.00,95,25.3,3.7,84.00,080,27.0,32.32,1008.72,1009.18,26.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,08-17-2019,19:00:00,9.00,92,24.7,0.0,18.80,000,33.7,31.03,1008.32,1009.01,26.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-17-2019,19:00:00,8.00,88,24.3,0.0,15.20,000,29.5,30.43,1007.52,1009.05,26.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,08-17-2019,19:00:00,10.00,92,24.4,0.0,170.80,000,28.0,30.65,1008.88,1009.80,25.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-17-2019,19:00:00,12.00,76,24.6,0.0,0.00,000,33.5,30.88,1008.48,1009.16,29.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-17-2019,19:00:00,8.00,79,24.6,0.0,0.00,000,33.2,30.90,1008.60,1009.40,28.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-17-2019,19:00:00,10.00,75,24.5,0.0,0.01,000,34.4,30.80,1007.94,1008.57,29.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-17-2019,19:00:00,10.00,84,25.6,0.0,0.00,000,33.6,32.88,1008.02,1008.42,28.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-17-2019,19:00:00,5.00,81,24.4,0.0,0.00,000,32.8,30.56,1007.20,1011.41,28.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-17-2019,19:00:00,10.00,85,25.7,0.0,3.60,000,32.7,32.96,1007.48,1009.08,28.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-17-2019,19:00:00,10.00,88,25.4,0.0,8.00,000,32.0,32.36,1006.25,1009.72,27.5
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-17-2019,19:00:00,10.00,71,24.0,7.4,0.00,280,33.8,29.91,1007.77,1009.11,29.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-17-2019,19:00:00,10.00,86,25.4,0.0,38.40,000,30.7,32.52,1008.01,1008.90,28.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-17-2019,19:00:00,10.00,84,24.9,0.0,5.90,000,30.7,31.56,1005.58,1009.13,27.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-17-2019,19:00:00,10.00,77,24.9,0.0,4.40,000,32.5,31.45,1008.61,1009.04,29.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-17-2019,19:00:00,10.00,78,24.3,5.6,45.10,270,31.1,30.34,1008.41,1009.40,28.6
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-17-2019,19:00:00,10.00,82,24.2,0.0,23.20,000,30.2,30.15,1008.54,1009.36,27.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-17-2019,19:00:00,10.00,87,26.3,0.0,2.50,000,31.2,34.24,1007.67,1009.47,28.7
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-17-2019,19:00:00,11.00,90,25.6,9.3,0.30,070,34.3,32.81,1009.06,1009.81,27.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-17-2019,19:00:00,10.00,77,24.8,13.0,0.00,070,33.9,31.36,1005.48,1009.45,29.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-17-2019,19:00:00,10.00,76,25.2,0.0,0.00,000,32.8,32.09,1009.83,1010.51,29.9
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-17-2019,19:00:00,10.00,77,25.3,0.0,0.00,000,34.4,32.26,1008.32,1009.43,29.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-17-2019,19:00:00,10.00,83,26.9,3.7,0.00,050,34.4,35.45,1006.33,1009.23,30.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.60,08-17-2019,19:00:00,6.00,96,23.9,9.3,18.80,130,34.2,29.59,1008.65,1009.35,24.6
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.80,08-17-2019,19:00:00,6.00,92,24.1,0.0,10.40,000,34.4,30.09,1006.53,1010.69,25.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1.60,08-17-2019,19:00:00,8.00,90,22.4,7.4,2.90,150,33.0,27.09,1008.90,1009.50,24.2
