WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MinimumTemperature,LandVisibility,WindDirection,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,AirTemperature,StationPressure,Rainfall
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,08-13-2019,07:00:00,25.2,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",94,1007.28,33.42,25.9,0.20,26.9,1004.26,0.20
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,3.7,08-13-2019,07:00:00,26.3,10.00,030,92,1007.72,32.18,25.3,0.00,26.7,999.76,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,08-13-2019,07:00:00,25.6,7.00,160,93,1007.42,32.35,25.4,0.00,26.5,1006.31,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,08-13-2019,07:00:00,25.8,9.00,120,95,1006.27,34.31,26.3,0.00,27.2,991.61,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,08-13-2019,07:00:00,18.4,.05,200,99,1010.27,22.01,19.0,25.40,19.2,874.72,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,08-13-2019,07:00:00,25.3,8.00,000,96,1008.20,33.19,25.8,5.80,26.5,1002.30,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,08-13-2019,07:00:00,26.5,9.00,000,90,1008.29,32.61,25.5,0.00,27.2,1007.49,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,14.8,08-13-2019,07:00:00,28.7,10.00,210,78,1007.96,31.13,24.7,0.00,29.0,1007.51,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,08-13-2019,07:00:00,25.0,4.00,000,97,1008.48,31.14,24.7,3.40,25.3,997.10,0.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,08-13-2019,07:00:00,25.7,10.00,180,93,1008.49,32.26,25.3,2.10,26.6,1007.48,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,08-13-2019,07:00:00,26.5,7.00,000,92,1007.94,32.38,25.4,0.00,26.8,1006.12,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,08-13-2019,07:00:00,24.5,6.00,000,94,1007.47,32.43,25.4,13.10,26.4,1006.70,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,08-13-2019,07:00:00,26.2,9.00,210,83,1008.44,30.81,24.5,0.00,27.7,1007.74,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,08-13-2019,07:00:00,26.5,7.00,090,89,1008.48,31.85,25.1,0.01,27.1,1007.77,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,08-13-2019,07:00:00,26.2,10.00,000,84,1008.01,30.02,24.1,9.40,27.0,986.84,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,08-13-2019,07:00:00,24.9,8.00,000,91,1008.21,30.76,24.5,0.00,26.1,991.43,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,08-13-2019,07:00:00,24.8,9.00,180,92,1008.42,30.84,24.6,0.01,26.0,991.91,0.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,08-13-2019,07:00:00,26.5,10.00,000,85,1008.02,30.10,24.1,0.00,26.9,986.14,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,08-13-2019,07:00:00,24.4,15.00,000,88,1008.43,27.70,22.8,0.01,25.0,964.85,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,08-13-2019,07:00:00,26.1,10.00,210,83,1008.17,29.10,23.6,0.00,26.8,987.57,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.3,08-13-2019,07:00:00,25.2,8.00,200,98,1009.71,32.65,25.5,0.40,25.8,988.76,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,5.6,08-13-2019,07:00:00,27.6,10.00,250,82,1008.37,31.70,25.0,0.40,28.3,1007.94,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-13-2019,07:00:00,25.5,8.00,000,96,1008.46,31.82,25.1,2.00,25.8,1007.03,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-13-2019,07:00:00,25.4,8.00,000,96,1008.49,32.20,25.3,0.01,26.0,1003.53,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,08-13-2019,07:00:00,24.4,12.00,000,91,1008.40,30.57,24.4,0.40,26.0,1005.10,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,08-13-2019,07:00:00,25.2,10.00,000,98,1008.39,33.04,25.7,0.50,26.0,1007.28,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.7,08-13-2019,07:00:00,26.7,10.00,210,85,1008.35,31.95,25.1,0.01,28.0,1008.05,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,08-13-2019,07:00:00,27.0,10.00,000,84,1008.11,32.47,25.4,0.00,28.4,1007.43,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,08-13-2019,07:00:00,27.6,10.00,000,86,1008.06,32.52,25.4,0.00,28.0,1007.57,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,5.6,08-13-2019,07:00:00,27.2,10.00,160,80,1008.51,31.06,24.7,0.00,28.4,1007.11,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,20.4,08-13-2019,07:00:00,28.4,10.00,210,83,1008.63,33.41,25.9,0.00,29.0,1006.96,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,08-13-2019,07:00:00,24.7,10.00,000,96,1010.30,31.63,25.0,0.00,25.7,1002.24,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.0,08-13-2019,07:00:00,26.8,10.00,000,86,1008.13,33.12,25.8,0.20,28.3,1007.85,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,5.6,08-13-2019,07:00:00,28.0,10.00,300,78,1008.70,30.82,24.5,13.00,28.7,1005.58,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,08-13-2019,07:00:00,26.5,10.00,270,86,1008.50,31.92,25.1,5.80,27.7,1001.57,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,08-13-2019,07:00:00,25.6,8.00,000,96,1008.91,33.19,25.8,0.00,26.5,1003.29,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,5.6,08-13-2019,07:00:00,26.8,10.00,200,85,1008.32,32.23,25.3,7.40,28.0,999.03,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,08-13-2019,07:00:00,24.8,10.00,180,98,1009.03,32.07,25.2,10.20,25.5,1007.75,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.7,08-13-2019,07:00:00,26.0,11.00,210,86,1008.44,30.26,24.2,1.80,26.7,1008.01,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,08-13-2019,07:00:00,24.0,8.00,000,94,1008.98,29.79,24.0,1.90,25.0,996.62,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,3.7,08-13-2019,07:00:00,26.3,10.00,250,86,1008.74,30.56,24.4,4.90,27.0,1008.03,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,7.4,08-13-2019,07:00:00,24.0,10.00,220,88,1007.91,32.36,25.4,0.00,27.5,1005.48,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.3,08-13-2019,07:00:00,28.1,10.00,230,85,1008.80,33.24,25.8,0.00,28.5,1008.28,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,08-13-2019,07:00:00,26.8,11.00,000,86,1008.57,31.33,24.8,0.30,27.4,1003.42,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,3.7,08-13-2019,07:00:00,25.7,7.00,180,93,1009.24,31.96,25.1,2.20,26.3,1008.82,1.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,08-13-2019,07:00:00,25.5,8.00,000,93,1009.56,31.00,24.6,0.20,25.8,1006.77,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,08-13-2019,07:00:00,25.0,10.00,000,93,1009.14,30.54,24.4,7.00,25.7,1008.34,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,08-13-2019,07:00:00,24.1,5.00,000,97,1010.69,29.93,24.1,61.70,24.5,1010.22,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,08-13-2019,07:00:00,25.4,7.00,000,93,1009.39,31.96,25.1,5.50,26.3,1008.70,1.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1.9,08-13-2019,07:00:00,25.2,8.00,130,95,1009.23,30.79,24.5,1.60,25.4,1007.69,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,08-13-2019,07:00:00,24.5,10.00,000,91,1009.77,29.64,23.9,0.50,25.5,1008.85,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,08-13-2019,07:00:00,24.8,10.00,000,85,1009.63,29.17,23.6,0.00,26.4,1008.94,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,3.7,08-13-2019,07:00:00,24.0,9.00,190,98,1009.90,30.38,24.3,0.01,24.6,1009.10,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,08-13-2019,07:00:00,23.7,10.00,000,92,1010.91,29.00,23.5,0.00,25.0,1010.27,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,08-13-2019,07:00:00,23.8,8.00,000,96,1009.82,28.70,23.4,0.00,24.1,1009.41,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,08-13-2019,07:00:00,23.8,6.00,000,94,1011.36,28.36,23.2,0.00,24.2,1007.09,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,08-13-2019,07:00:00,22.3,5.00,000,96,1007.89,29.95,24.1,0.00,24.8,1006.27,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,08-13-2019,07:00:00,23.5,8.00,000,96,1010.13,28.53,23.3,0.00,24.0,1006.61,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,08-13-2019,07:00:00,24.8,8.00,000,95,1009.45,29.69,23.9,0.00,24.8,1008.08,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,08-13-2019,07:00:00,24.3,10.00,000,97,1009.18,30.85,24.6,5.40,25.0,1008.29,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,08-13-2019,07:00:00,23.0,10.00,000,96,1009.68,28.35,23.2,0.00,23.9,1006.07,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,08-13-2019,07:00:00,26.0,10.00,000,91,1009.21,31.71,25.0,0.00,26.6,1008.77,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,08-13-2019,07:00:00,22.6,10.00,000,97,1009.28,31.41,24.9,30.60,25.3,1008.28,30.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,9.3,08-13-2019,07:00:00,24.5,10.00,090,93,1009.69,30.17,24.2,0.00,25.5,1008.86,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,08-13-2019,07:00:00,24.4,8.00,000,97,1009.73,30.03,24.1,0.00,24.7,1007.89,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1.9,08-13-2019,07:00:00,26.0,7.00,240,86,1009.73,30.56,24.4,0.00,27.0,1008.98,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,08-13-2019,07:00:00,22.9,7.00,290,97,1009.70,30.12,24.2,0.20,24.6,1005.66,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,08-13-2019,07:00:00,24.7,8.00,000,93,1009.77,29.89,24.0,0.80,25.2,1009.08,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,08-13-2019,07:00:00,24.6,10.00,000,96,1009.52,32.20,25.3,0.00,26.0,1008.39,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,08-13-2019,07:00:00,22.4,.30,000,98,1009.94,29.66,23.9,0.50,24.2,1006.98,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,08-13-2019,07:00:00,25.0,7.00,000,97,1009.44,31.98,25.2,0.00,25.6,1008.75,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,08-13-2019,07:00:00,24.8,6.00,000,98,1009.98,31.31,24.8,0.01,25.1,1005.82,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,5.6,08-13-2019,07:00:00,.0,7.00,170,90,1008.82,31.05,24.7,0.60,26.4,1008.23,0.00
