WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,MeanSeaLevelPressure,MaximumTemperature,AirTemperature,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,WindDirection,WindSpeed,Rainfall,Rainfall24Hr
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-05-2019,19:00:00,1007.31,1007.72,28.5,24.1,23.7,97,29.22,5.00,000,0.0,3.00,60.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-05-2019,19:00:00,1005.90,1008.70,29.0,23.8,23.4,97,28.69,8.00,000,0.0,4.30,59.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-05-2019,19:00:00,1006.80,1007.59,30.2,26.7,23.8,84,29.45,6.00,260,3.7,0.60,1.60
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-05-2019,19:00:00,1007.80,1008.27,28.4,25.0,23.5,92,29.00,6.00,090,3.7,0.00,17.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-05-2019,19:00:00,1006.54,1007.22,32.9,29.6,24.1,73,30.08,10.00,000,0.0,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-05-2019,19:00:00,1005.69,1007.21,32.5,28.5,23.7,75,29.33,8.00,000,0.0,0.00,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-05-2019,19:00:00,1006.93,1007.84,33.0,29.7,23.3,69,28.61,10.00,000,0.0,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-05-2019,19:00:00,1006.64,1007.32,33.6,30.2,25.7,77,33.00,10.00,100,5.6,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-05-2019,19:00:00,1006.13,1006.92,35.7,30.0,24.4,72,30.59,10.00,280,3.7,0.01,0.01
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-05-2019,19:00:00,1005.88,1006.51,37.3,29.6,27.1,87,35.86,10.00,000,0.0,5.50,5.50
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-05-2019,19:00:00,1006.13,1006.53,36.5,30.7,26.8,80,35.26,10.00,000,0.0,0.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-05-2019,19:00:00,1004.69,1008.86,35.2,30.5,25.6,75,32.75,6.00,000,0.0,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-05-2019,19:00:00,1006.25,1007.85,35.8,29.0,23.2,71,28.37,10.00,000,0.0,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-05-2019,19:00:00,1003.72,1007.16,35.2,29.9,25.1,75,31.80,10.00,000,0.0,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-05-2019,19:00:00,1005.37,1006.71,34.5,30.5,26.3,78,34.22,10.00,000,0.0,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-05-2019,19:00:00,1006.39,1007.27,34.0,29.5,24.5,75,30.72,12.00,000,0.0,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-05-2019,19:00:00,1003.60,1007.14,33.6,29.0,24.6,77,30.85,10.00,000,0.0,0.00,0.00
