WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,WindDirection,WindSpeed,RelativeHumidity,LandVisibility,DewPoint,VaporPressure,Rainfall
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,09-26-2019,16:00:00,995.67,34.3,1011.80,0.00,000,0.0,42,12.00,19.5,22.68,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,09-26-2019,16:00:00,986.85,33.5,1008.74,0.00,050,14.8,48,10.00,20.9,24.67,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,09-26-2019,16:00:00,998.00,33.2,1012.17,0.00,000,0.0,58,6.00,23.7,29.37,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,09-26-2019,16:00:00,995.07,31.5,1011.27,0.00,000,0.0,63,7.00,23.6,29.07,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,09-26-2019,16:00:00,1007.18,33.4,1012.33,0.00,270,5.6,50,10.00,21.6,25.84,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,09-26-2019,16:00:00,996.89,35.3,1009.76,0.00,040,3.7,45,12.00,21.7,25.94,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,09-26-2019,16:00:00,1002.64,33.5,1011.81,0.00,000,0.0,53,8.00,22.6,27.43,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,09-26-2019,16:00:00,990.50,33.2,1011.85,0.00,110,11.1,47,10.00,20.3,23.85,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,09-26-2019,16:00:00,995.15,33.1,1012.39,0.00,000,0.0,52,10.00,22.0,26.37,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,09-26-2019,16:00:00,996.01,32.5,1011.63,0.00,050,9.3,52,12.00,21.4,25.49,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,09-26-2019,16:00:00,992.63,33.5,1011.19,0.00,050,1.9,59,10.00,24.2,30.28,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,09-26-2019,16:00:00,958.96,30.2,1009.57,0.00,000,0.0,53,11.00,19.5,22.67,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,09-26-2019,16:00:00,1007.67,33.1,1011.57,0.00,000,0.0,58,3.00,23.8,29.46,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,09-26-2019,16:00:00,917.66,26.1,1011.82,0.00,060,9.3,72,8.00,20.6,24.28,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-26-2019,16:00:00,996.15,32.7,1011.91,0.00,100,11.1,58,10.00,23.5,28.93,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-26-2019,16:00:00,1007.58,34.0,1011.54,0.00,020,3.7,55,8.00,23.7,29.29,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-26-2019,16:00:00,1001.72,33.7,1012.21,0.00,030,7.4,48,10.00,21.1,25.05,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-26-2019,16:00:00,1009.93,33.0,1011.83,0.00,060,5.6,55,10.00,22.9,27.84,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-26-2019,16:00:00,990.99,32.7,1011.55,0.00,020,13.0,48,10.00,20.2,23.73,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-26-2019,16:00:00,994.52,30.5,1012.07,0.00,070,7.4,62,10.00,22.4,27.14,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-26-2019,16:00:00,995.38,33.3,1011.28,0.00,090,13.0,52,10.00,22.0,26.48,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-26-2019,16:00:00,997.42,33.1,1011.23,0.00,020,11.1,55,10.00,23.0,28.04,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-26-2019,16:00:00,997.11,32.5,1011.74,0.00,000,0.0,58,10.00,23.1,28.25,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-26-2019,16:00:00,998.27,32.4,1012.77,0.00,050,14.8,64,10.00,24.7,31.19,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-26-2019,16:00:00,1008.28,33.8,1011.25,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,50,10.00,21.9,26.34,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,09-26-2019,16:00:00,1003.43,34.3,1011.23,0.00,050,11.1,52,10.00,22.9,27.90,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,09-26-2019,16:00:00,1009.80,34.0,1010.89,0.00,090,16.7,57,10.00,24.2,30.16,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,09-26-2019,16:00:00,997.16,32.0,1011.67,0.00,000,0.0,50,8.00,20.3,23.77,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,09-26-2019,16:00:00,879.19,22.7,1013.73,0.00,000,0.0,77,8.00,18.4,21.15,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,09-26-2019,16:00:00,1005.68,33.0,1011.47,0.00,060,7.4,59,10.00,23.8,29.54,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,09-26-2019,16:00:00,1010.42,35.9,1011.20,0.01,070,5.6,51,12.00,24.1,30.07,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,09-26-2019,16:00:00,1010.42,32.0,1010.86,0.00,120,9.3,60,10.00,23.3,28.66,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,09-26-2019,16:00:00,999.68,33.8,1010.77,0.00,000,0.0,56,8.00,23.8,29.46,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,09-26-2019,16:00:00,1010.43,34.0,1011.42,0.00,000,0.0,51,10.00,22.4,27.01,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,09-26-2019,16:00:00,1009.30,34.0,1011.09,0.00,020,14.8,51,13.00,22.4,27.01,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,09-26-2019,16:00:00,1010.76,33.5,1011.52,0.00,000,0.0,54,9.00,22.9,27.99,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,09-26-2019,16:00:00,1010.27,34.0,1010.96,0.00,060,9.3,53,10.00,23.0,28.14,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,09-26-2019,16:00:00,1009.56,35.5,1010.24,0.00,060,7.4,47,12.00,22.3,26.91,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,09-26-2019,16:00:00,990.60,32.3,1011.48,0.00,080,9.3,58,10.00,23.0,28.13,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,09-26-2019,16:00:00,994.77,32.0,1011.29,0.00,020,9.3,61,11.00,23.7,29.22,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,09-26-2019,16:00:00,995.59,32.7,1011.79,0.00,360,7.4,60,10.00,23.8,29.50,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,09-26-2019,16:00:00,989.82,32.9,1011.35,0.00,060,9.3,58,10.00,23.4,28.77,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,09-26-2019,16:00:00,968.38,30.4,1011.32,0.00,050,25.9,58,14.00,21.3,25.35,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,09-26-2019,16:00:00,991.01,31.3,1011.37,0.00,020,5.6,61,12.00,22.9,27.85,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,09-26-2019,16:00:00,992.86,30.6,1013.56,0.00,050,14.8,68,9.00,24.0,29.81,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,09-26-2019,16:00:00,1010.39,32.7,1010.81,0.00,170,9.3,63,9.00,24.6,30.94,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-26-2019,16:00:00,1008.85,32.5,1010.24,0.00,060,3.7,68,11.00,25.8,33.17,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-26-2019,16:00:00,1006.91,31.5,1011.79,0.00,000,0.0,70,10.00,25.4,32.52,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-26-2019,16:00:00,1007.87,34.0,1011.10,0.00,120,3.7,51,8.00,22.4,27.01,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-26-2019,16:00:00,1010.19,33.5,1011.28,0.00,000,0.0,59,10.00,24.2,30.28,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-26-2019,16:00:00,1010.21,34.9,1010.51,0.00,090,5.6,51,10.00,23.1,28.26,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,09-26-2019,16:00:00,1009.66,34.9,1010.33,0.00,070,5.6,50,12.00,22.8,27.69,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-26-2019,16:00:00,1009.71,34.5,1010.19,0.00,300,3.7,54,10.00,23.8,29.46,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-26-2019,16:00:00,1009.61,33.7,1011.00,0.00,040,13.0,53,10.00,22.8,27.82,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,09-26-2019,16:00:00,1009.03,32.4,1010.69,0.00,060,9.3,65,10.00,25.1,31.77,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-26-2019,16:00:00,1004.33,34.0,1012.20,0.00,000,0.0,56,10.00,24.0,29.87,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-26-2019,16:00:00,1009.88,34.7,1010.16,0.00,000,0.0,56,10.00,24.5,30.76,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-26-2019,16:00:00,1006.57,34.0,1009.64,0.00,200,5.6,65,12.00,26.4,34.36,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-26-2019,16:00:00,1003.47,31.4,1010.33,0.00,270,7.4,71,10.00,25.5,32.60,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-26-2019,16:00:00,1005.32,34.0,1010.81,0.00,000,0.0,59,10.00,24.8,31.34,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,09-26-2019,16:00:00,1001.80,33.0,1010.96,0.00,010,7.4,64,9.00,25.3,32.16,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-26-2019,16:00:00,1010.76,33.0,1012.00,2.30,310,14.8,58,12.00,23.7,29.25,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-26-2019,16:00:00,1010.34,34.4,1010.77,0.00,120,5.6,61,11.00,25.7,33.11,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-26-2019,16:00:00,998.95,32.6,1011.03,0.00,090,11.1,49,10.00,20.5,24.07,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-26-2019,16:00:00,1010.68,31.5,1011.39,0.00,060,5.6,68,7.00,24.8,31.35,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-26-2019,16:00:00,1008.73,33.4,1011.13,0.01,270,7.4,62,6.00,25.1,31.83,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-26-2019,16:00:00,1010.43,31.4,1010.94,0.00,300,13.0,72,12.00,25.6,32.89,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-26-2019,16:00:00,1005.18,32.4,1010.26,0.00,170,3.7,54,11.00,22.0,26.39,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-26-2019,16:00:00,1009.55,35.5,1009.95,0.00,050,9.3,51,10.00,23.7,29.22,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-26-2019,16:00:00,1007.74,33.5,1010.46,0.00,000,0.0,60,10.00,24.6,30.87,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-26-2019,16:00:00,1009.72,32.3,1010.49,0.00,060,5.6,63,6.00,24.3,30.40,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-26-2019,16:00:00,1010.09,30.2,1010.55,0.01,230,3.7,78,7.00,26.0,33.59,0.01
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-26-2019,16:00:00,1010.39,31.0,1011.07,0.00,080,9.3,74,7.00,25.8,33.22,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-26-2019,16:00:00,1008.82,30.5,1010.34,0.20,040,7.4,75,8.00,25.6,32.75,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-26-2019,16:00:00,1009.94,30.9,1010.85,0.00,080,5.6,64,10.00,23.2,28.45,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-26-2019,16:00:00,1010.45,29.1,1011.14,8.50,090,11.1,82,9.00,25.7,33.04,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-26-2019,16:00:00,1010.11,30.5,1010.90,1.30,020,9.3,72,10.00,24.8,31.31,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-26-2019,16:00:00,1010.25,29.8,1010.88,26.20,000,0.0,78,10.00,25.6,32.75,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-26-2019,16:00:00,1010.41,28.6,1010.81,13.00,000,0.0,78,10.00,24.3,30.34,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-26-2019,16:00:00,1008.39,29.2,1012.59,16.10,000,0.0,81,6.00,25.7,32.96,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-26-2019,16:00:00,1008.26,32.0,1009.85,0.00,000,0.0,58,10.00,22.7,27.55,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-26-2019,16:00:00,1006.81,32.0,1010.24,0.00,320,7.4,65,10.00,24.6,30.94,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-26-2019,16:00:00,1009.46,29.7,1010.80,0.01,120,18.5,75,10.00,24.7,31.12,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-26-2019,16:00:00,1008.57,31.8,1009.44,0.00,000,0.0,63,10.00,23.9,29.67,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-26-2019,16:00:00,1006.45,30.4,1009.98,0.00,070,18.5,65,10.00,23.1,28.31,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-26-2019,16:00:00,1009.43,28.8,1009.87,3.20,000,0.0,81,10.00,25.2,32.14,3.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-26-2019,16:00:00,1008.57,29.1,1009.56,0.00,110,9.3,81,9.00,25.6,32.75,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-26-2019,16:00:00,1008.98,32.0,1009.78,0.00,010,9.3,64,10.00,24.3,30.36,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-26-2019,16:00:00,1008.49,31.9,1010.28,2.40,060,14.8,61,10.00,23.4,28.74,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-26-2019,16:00:00,1010.16,27.7,1010.92,15.50,080,3.7,77,12.00,23.3,28.63,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-26-2019,16:00:00,1007.03,27.8,1011.03,0.60,990,3.7,83,10.00,24.6,31.00,0.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-26-2019,16:00:00,1009.48,26.2,1010.16,10.90,000,0.0,90,10.00,24.5,30.67,10.90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-26-2019,16:00:00,1009.63,28.0,1010.75,7.00,000,0.0,84,10.00,25.0,31.67,0.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-26-2019,16:00:00,1008.10,26.4,1011.03,11.80,030,3.7,92,10.00,25.0,31.60,11.80
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,09-26-2019,16:00:00,1010.12,29.0,1010.81,0.80,000,0.0,81,8.00,25.5,32.55,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,09-26-2019,16:00:00,1006.69,30.2,1010.79,5.30,100,7.4,66,10.00,23.2,28.48,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,09-26-2019,16:00:00,1009.52,29.5,1010.11,14.80,040,3.7,72,10.00,23.9,29.60,0.00
