WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall24Hr,WindDirection,RelativeHumidity,StationPressure,Rainfall,LandVisibility,DewPoint,AirTemperature,WindSpeed,VaporPressure
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1008.84,09-10-2019,16:00:00,8.90,000,78,1006.09,0.00,8.00,25.2,29.5,0.0,32.13
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.39,09-10-2019,16:00:00,0.50,000,64,1011.61,0.00,10.00,22.6,30.2,0.0,27.39
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.23,09-10-2019,16:00:00,169.10,070,87,1008.77,10.40,8.00,25.2,27.6,7.4,32.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1008.76,09-10-2019,16:00:00,1.90,080,81,1008.09,1.00,7.00,25.5,29.2,7.4,32.67
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.26,09-10-2019,16:00:00,7.20,270,54,1006.76,0.00,9.00,22.1,32.8,7.4,26.61
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.52,09-10-2019,16:00:00,36.80,260,59,1008.62,0.00,10.00,22.8,31.8,9.3,27.71
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.90,09-10-2019,16:00:00,30.10,090,73,1008.22,0.00,12.00,24.6,29.9,9.3,30.95
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.19,09-10-2019,16:00:00,0.90,270,56,1007.41,0.60,10.00,23.9,34.0,5.6,29.58
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.92,09-10-2019,16:00:00,7.10,050,61,1007.30,0.00,10.00,24.1,32.7,5.6,30.07
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.84,09-10-2019,16:00:00,1.00,240,68,1007.44,0.00,10.00,25.5,32.1,7.4,32.61
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.34,09-10-2019,16:00:00,16.90,000,68,1006.18,0.00,7.00,24.7,31.2,0.0,31.02
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.30,09-10-2019,16:00:00,6.80,230,51,1006.72,0.00,10.00,21.4,33.1,9.3,25.54
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1009.29,09-10-2019,16:00:00,17.40,000,48,1005.88,0.00,10.00,20.9,33.5,0.0,24.67
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.05,09-10-2019,16:00:00,0.01,280,65,1007.69,0.01,7.00,20.8,28.0,11.1,24.48
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1008.88,09-10-2019,16:00:00,5.50,250,71,1008.01,0.00,12.00,25.3,31.1,7.4,32.26
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.63,09-10-2019,16:00:00,2.00,190,56,1005.13,0.00,10.00,22.1,32.1,5.6,26.64
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.81,09-10-2019,16:00:00,0.60,000,69,1008.38,0.00,10.00,25.7,32.0,0.0,32.99
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.60,09-10-2019,16:00:00,0.20,250,66,1007.62,0.00,10.00,24.2,31.2,7.4,30.16
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1009.19,09-10-2019,16:00:00,4.00,220,74,1008.39,0.00,10.00,27.3,32.5,7.4,36.22
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.02,09-10-2019,16:00:00,0.30,140,57,1007.24,0.00,10.00,23.6,33.2,25.9,29.09
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.83,09-10-2019,16:00:00,34.60,000,91,1008.07,34.60,7.00,24.8,26.4,0.0,31.33
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.88,09-10-2019,16:00:00,0.00,290,75,1004.91,0.00,10.00,24.5,29.5,9.3,30.72
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.27,09-10-2019,16:00:00,0.00,000,60,1008.60,0.00,10.00,22.2,30.9,0.0,26.81
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.16,09-10-2019,16:00:00,0.00,030,72,1008.04,0.00,10.00,22.7,28.3,5.6,27.61
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.52,09-10-2019,16:00:00,0.00,230,58,1005.65,0.00,10.00,23.1,32.5,16.7,28.25
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.85,09-10-2019,16:00:00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",76,1007.17,0.00,8.00,26.6,31.5,0.0,34.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.95,09-10-2019,16:00:00,0.00,000,71,1004.86,0.00,5.00,24.5,30.4,0.0,30.82
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.81,09-10-2019,16:00:00,0.00,060,60,1007.23,0.00,10.00,22.9,31.5,9.3,27.96
