WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,AirTemperature,LandVisibility,StationPressure,WindDirection,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall,Rainfall24Hr,RelativeHumidity,MaximumTemperature
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.7,08-15-2019,19:00:00,30.5,10.00,1004.34,210,14.8,1004.78,33.05,0.00,0.00,76,32.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.6,08-15-2019,19:00:00,27.6,6.00,994.86,000,0.0,1006.13,30.89,0.20,0.20,84,33.5
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.1,08-15-2019,19:00:00,30.3,10.00,1003.49,000,0.0,1004.48,35.89,0.30,0.30,83,37.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.0,08-15-2019,19:00:00,31.7,9.00,1002.37,000,0.0,1004.16,31.77,0.00,0.70,68,34.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,22.6,08-15-2019,19:00:00,32.2,7.00,1003.72,230,3.7,1004.47,27.38,0.00,0.00,57,36.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.5,08-15-2019,19:00:00,29.9,10.00,1004.59,200,16.7,1005.28,30.67,0.00,0.00,73,33.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.6,08-15-2019,19:00:00,32.0,8.00,1003.85,000,0.0,1004.54,34.79,0.00,32.60,73,35.2
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.3,08-15-2019,19:00:00,32.0,10.00,982.81,260,3.7,1003.55,28.66,0.00,0.70,60,36.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.6,08-15-2019,19:00:00,30.2,8.00,987.21,000,0.0,1003.69,30.99,0.00,3.80,72,35.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.9,08-15-2019,19:00:00,30.2,8.00,987.53,000,0.0,1003.73,31.56,0.00,9.50,74,35.9
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.4,08-15-2019,19:00:00,30.7,10.00,982.32,000,0.0,1003.84,30.58,0.01,0.01,69,35.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.5,08-15-2019,19:00:00,28.4,8.00,961.71,160,7.4,1004.65,28.86,0.00,17.70,75,31.1
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,24.9,08-15-2019,19:00:00,28.5,10.00,983.10,120,3.7,1003.49,31.54,11.00,11.00,81,36.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,27.3,08-15-2019,19:00:00,28.4,9.00,984.24,180,9.3,1004.91,36.25,0.80,1.20,94,35.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.0,08-15-2019,19:00:00,29.4,10.00,1004.61,210,9.3,1005.04,33.66,0.00,5.50,82,32.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.7,08-15-2019,19:00:00,30.5,8.00,1003.51,000,0.0,1004.91,33.05,0.00,14.10,76,33.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.4,08-15-2019,19:00:00,30.0,7.00,1000.41,000,0.0,1005.28,34.34,0.00,0.00,81,34.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,23.8,08-15-2019,19:00:00,31.7,12.00,1001.90,230,7.4,1005.13,29.47,0.00,0.00,63,35.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.2,08-15-2019,19:00:00,31.0,10.00,1003.87,000,0.0,1004.96,32.05,0.00,0.00,71,35.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.0,08-15-2019,19:00:00,30.3,10.00,1004.91,190,16.7,1005.21,31.76,0.00,0.01,74,34.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,25.6,08-15-2019,19:00:00,30.5,10.00,1004.02,230,9.3,1004.70,32.75,0.00,0.00,75,35.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,08-15-2019,19:00:00,30.6,10.00,1005.16,000,0.0,1005.64,31.80,0.00,0.00,72,35.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,24.8,08-15-2019,19:00:00,30.6,10.00,1003.25,210,18.5,1004.63,31.23,0.00,0.00,71,35.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,27.1,08-15-2019,19:00:00,29.6,10.00,1003.37,180,31.5,1005.03,35.86,0.00,0.00,87,30.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,23.5,08-15-2019,19:00:00,30.6,10.00,998.87,000,0.0,1006.78,28.97,0.00,0.00,66,35.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.2,08-15-2019,19:00:00,31.3,10.00,1004.81,000,0.0,1005.09,32.10,0.00,7.70,70,34.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,25.0,08-15-2019,19:00:00,30.0,10.00,1001.94,250,9.3,1005.04,31.72,0.00,8.90,75,32.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.4,08-15-2019,19:00:00,29.4,10.00,998.35,220,5.6,1005.22,32.50,0.00,1.40,79,31.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,08-15-2019,19:00:00,30.1,7.00,999.31,220,7.4,1004.83,31.64,0.00,0.00,74,35.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.4,08-15-2019,19:00:00,29.5,10.00,995.95,240,9.3,1005.17,32.42,0.00,8.30,79,31.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.3,08-15-2019,19:00:00,27.7,10.00,1004.77,170,3.7,1006.03,32.20,0.01,5.60,87,34.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.6,08-15-2019,19:00:00,29.7,11.00,1004.70,210,3.7,1005.12,36.99,16.80,16.80,89,34.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.6,08-15-2019,19:00:00,28.4,10.00,993.70,000,0.0,1005.89,29.14,0.00,0.00,75,33.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.3,08-15-2019,19:00:00,30.7,10.00,1004.71,240,7.4,1005.41,30.29,0.00,0.00,69,35.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.8,08-15-2019,19:00:00,29.8,10.00,1003.91,220,11.1,1006.32,31.32,0.00,0.00,75,34.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.1,08-15-2019,19:00:00,29.2,10.00,1005.49,240,13.0,1006.01,33.83,0.00,0.00,83,32.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.8,08-15-2019,19:00:00,29.2,10.00,1000.82,250,1.9,1005.93,31.25,0.00,0.00,77,34.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.5,08-15-2019,19:00:00,28.8,7.00,1006.13,210,5.6,1006.54,32.71,0.00,0.00,83,32.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.7,08-15-2019,19:00:00,27.8,8.00,1003.99,150,3.7,1006.75,32.96,0.00,0.00,88,31.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.5,08-15-2019,19:00:00,29.6,10.00,1005.83,210,5.6,1006.61,28.97,0.00,0.20,70,34.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.5,08-15-2019,19:00:00,28.3,8.00,1006.57,260,5.6,1007.03,32.55,0.00,5.80,85,31.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.0,08-15-2019,19:00:00,27.0,8.00,1006.70,000,0.0,1007.38,31.66,0.40,4.80,89,33.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.6,08-15-2019,19:00:00,28.2,10.00,1007.60,000,0.0,1009.13,30.95,0.00,0.00,81,33.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.6,08-15-2019,19:00:00,26.0,10.00,1007.83,000,0.0,1008.75,30.84,5.50,7.40,92,32.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.6,08-15-2019,19:00:00,27.0,10.00,1008.12,000,0.0,1008.81,32.77,5.50,5.50,92,35.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.3,08-15-2019,19:00:00,26.7,10.00,1008.17,180,3.7,1008.97,32.18,0.00,3.80,92,33.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.0,08-15-2019,19:00:00,26.7,10.00,1008.06,180,5.6,1008.70,31.63,2.60,2.60,90,35.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.6,08-15-2019,19:00:00,27.3,10.00,1008.91,000,0.0,1009.31,30.86,0.00,0.00,85,33.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.2,08-15-2019,19:00:00,26.2,6.00,1006.20,000,0.0,1010.44,30.13,0.50,3.10,89,33.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,25.1,08-15-2019,19:00:00,25.8,10.00,1007.88,000,0.0,1009.50,31.82,1.20,6.50,96,31.7
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.6,08-15-2019,19:00:00,26.0,7.00,1006.25,000,0.0,1009.74,30.84,0.00,2.40,92,32.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,23.3,08-15-2019,19:00:00,26.4,10.00,1007.84,330,7.4,1009.20,28.64,0.00,0.00,83,32.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.2,08-15-2019,19:00:00,27.5,10.00,1007.99,240,18.5,1008.87,30.15,0.40,13.70,82,29.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.6,08-15-2019,19:00:00,24.9,10.00,1005.97,190,5.6,1009.56,30.93,10.70,14.20,98,31.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,08-15-2019,19:00:00,26.5,8.00,1009.00,000,0.0,1009.44,31.24,5.50,15.10,90,31.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.6,08-15-2019,19:00:00,28.3,8.00,1007.67,270,5.6,1008.66,30.87,1.00,31.20,80,30.7
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.3,08-15-2019,19:00:00,25.9,8.00,1008.76,240,14.8,1009.58,30.38,30.60,42.60,91,29.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,08-15-2019,19:00:00,24.7,8.00,1008.47,000,0.0,1010.30,29.25,3.80,39.50,94,30.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.4,08-15-2019,19:00:00,28.9,10.00,1008.19,230,11.1,1008.94,27.11,0.00,4.60,68,33.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.6,08-15-2019,19:00:00,26.9,10.00,1005.27,240,5.6,1009.28,30.91,0.00,0.01,87,30.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.6,08-15-2019,19:00:00,27.5,10.00,1008.70,000,0.0,1009.38,30.97,0.00,16.30,84,28.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.1,08-15-2019,19:00:00,27.4,10.00,1007.93,270,3.7,1009.05,29.96,0.00,0.00,82,31.9
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.7,08-15-2019,19:00:00,27.6,10.00,1006.28,210,3.7,1009.19,31.16,0.00,15.00,84,30.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.2,08-15-2019,19:00:00,28.5,10.00,1008.18,000,0.0,1008.86,30.15,0.00,0.00,78,32.5
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.9,08-15-2019,19:00:00,27.0,10.00,1005.50,250,5.6,1009.63,27.88,0.00,0.00,78,31.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.9,08-15-2019,19:00:00,28.0,10.00,1008.33,000,0.0,1008.92,27.85,0.00,3.00,74,33.5
