WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,StationPressure,WindSpeed,Rainfall24Hr,LandVisibility,DewPoint,AirTemperature,WindDirection,Rainfall,MinimumTemperature,RelativeHumidity
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1010.86,10-02-2019,07:00:00,30.32,1004.60,0.0,0.00,6.00,24.3,25.0,000,0.00,24.5,96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1012.10,10-02-2019,07:00:00,30.84,995.53,0.0,0.00,9.00,24.6,26.0,000,0.00,24.8,92
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.64,10-02-2019,07:00:00,26.42,987.99,3.7,0.00,8.00,22.0,23.5,180,0.00,22.5,91
48376,TAK,ตาก,ตาก,16.87833,99.14333,1011.64,10-02-2019,07:00:00,27.27,997.07,0.0,0.00,10.00,22.5,24.6,000,0.00,23.8,88
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1011.27,10-02-2019,07:00:00,28.51,994.74,0.0,0.00,7.00,23.2,25.6,000,0.00,25.0,87
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1010.99,10-02-2019,07:00:00,31.93,1005.72,0.0,0.00,6.00,25.1,26.0,000,0.00,25.5,95
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1010.01,10-02-2019,07:00:00,30.01,996.72,0.0,0.00,7.00,24.1,25.7,000,0.00,24.8,91
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1011.24,10-02-2019,07:00:00,31.22,1001.82,0.0,2.40,6.00,24.8,25.2,000,0.00,24.6,97
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1011.03,10-02-2019,07:00:00,30.60,989.14,0.0,0.00,4.00,24.4,25.3,000,0.00,25.1,95
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1011.05,10-02-2019,07:00:00,28.59,993.40,0.0,0.00,8.00,23.3,25.5,000,0.00,25.0,88
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1011.22,10-02-2019,07:00:00,29.38,995.24,0.0,0.00,10.00,23.7,25.5,000,0.00,24.0,90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1010.24,10-02-2019,07:00:00,30.40,991.16,0.0,0.00,1.00,24.3,24.9,000,0.00,24.1,97
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1011.91,10-02-2019,07:00:00,25.28,959.96,0.0,16.70,7.00,21.3,22.8,000,0.00,21.8,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1010.86,10-02-2019,07:00:00,34.03,1006.89,7.4,0.00,2.00,26.2,27.2,120,0.00,26.4,94
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1013.41,10-02-2019,07:00:00,20.50,916.76,0.0,0.00,8.00,17.9,18.4,000,0.00,17.8,97
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1011.18,10-02-2019,07:00:00,31.82,995.07,0.0,0.00,10.00,25.1,25.8,000,0.00,24.1,96
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1010.74,10-02-2019,07:00:00,33.74,1006.69,0.0,0.00,3.00,26.1,27.2,000,0.00,26.4,94
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1011.58,10-02-2019,07:00:00,31.88,1000.84,0.0,0.30,5.00,25.1,26.4,000,0.00,25.5,93
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1010.98,10-02-2019,07:00:00,32.86,1009.04,3.7,0.40,4.00,25.6,26.9,090,0.00,25.5,93
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1011.00,10-02-2019,07:00:00,29.58,989.98,0.0,0.00,7.00,23.9,25.9,000,0.00,25.3,89
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1011.03,10-02-2019,07:00:00,31.25,993.21,3.7,0.00,4.00,24.8,25.5,060,0.00,23.7,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1010.98,10-02-2019,07:00:00,32.37,994.70,0.0,0.00,8.00,25.4,25.8,000,0.00,25.5,97
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1011.49,10-02-2019,07:00:00,29.58,997.35,0.0,0.00,5.00,23.9,25.9,000,0.00,24.9,89
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1012.16,10-02-2019,07:00:00,29.05,997.12,0.0,0.00,5.00,23.6,24.3,000,0.00,23.2,96
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1011.65,10-02-2019,07:00:00,32.09,996.85,0.0,0.00,1.00,25.2,25.8,000,0.00,24.4,97
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1010.12,10-02-2019,07:00:00,34.73,1007.10,0.0,0.00,2.00,26.6,27.4,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,26.5,95
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1010.91,10-02-2019,07:00:00,32.10,1002.92,0.0,0.00,8.00,25.2,26.8,000,0.00,26.3,91
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1010.90,10-02-2019,07:00:00,32.61,1009.78,5.6,0.00,4.00,25.5,27.2,150,0.00,25.7,90
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1012.04,10-02-2019,07:00:00,27.29,997.21,0.0,0.00,8.00,22.5,25.5,000,0.00,24.5,84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1013.47,10-02-2019,07:00:00,21.33,877.28,3.7,0.01,3.00,18.5,18.7,160,0.00,18.2,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1011.22,10-02-2019,07:00:00,32.35,1005.31,0.0,0.00,5.00,25.4,26.5,000,0.00,25.5,93
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.16,10-02-2019,07:00:00,33.62,1010.36,7.4,0.00,9.00,26.0,27.0,150,0.00,26.4,94
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1010.75,10-02-2019,07:00:00,29.96,1010.31,0.0,2.30,9.00,24.1,27.4,000,0.00,25.9,82
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1011.99,10-02-2019,07:00:00,28.53,1000.52,0.0,0.00,.50,23.3,24.0,000,0.00,23.4,96
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1010.84,10-02-2019,07:00:00,32.81,1009.82,0.0,0.00,6.00,25.6,27.3,000,0.00,26.7,90
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1010.83,10-02-2019,07:00:00,32.61,1009.00,5.6,0.00,4.00,25.5,27.2,160,0.00,26.9,90
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1010.82,10-02-2019,07:00:00,29.31,1010.05,0.0,0.00,8.00,23.7,25.9,000,0.00,25.0,88
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.35,10-02-2019,07:00:00,28.96,1010.65,5.6,0.00,10.00,23.5,27.3,110,0.00,24.8,80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1011.03,10-02-2019,07:00:00,31.11,1010.33,0.0,0.00,7.00,24.7,27.0,000,0.00,26.3,87
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1011.25,10-02-2019,07:00:00,30.40,989.96,0.0,0.00,6.00,24.3,26.2,000,0.00,25.1,89
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1011.38,10-02-2019,07:00:00,30.98,994.51,0.0,0.00,5.00,24.6,25.5,000,0.00,23.7,95
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1011.80,10-02-2019,07:00:00,29.93,995.16,0.0,0.00,6.00,24.1,24.5,000,0.00,23.0,97
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1011.15,10-02-2019,07:00:00,31.06,989.09,0.0,50.50,4.00,24.7,25.4,000,0.00,24.0,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1011.89,10-02-2019,07:00:00,27.66,967.95,14.8,0.00,2.00,22.8,23.5,040,0.00,22.0,96
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1011.08,10-02-2019,07:00:00,30.69,990.32,0.0,3.60,7.00,24.5,25.2,000,0.00,24.4,96
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1012.64,10-02-2019,07:00:00,30.73,991.54,1.9,0.00,4.00,24.5,24.5,100,0.00,23.4,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1010.76,10-02-2019,07:00:00,32.79,1010.32,0.0,0.00,10.00,25.6,28.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,27.5,83
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1010.92,10-02-2019,07:00:00,31.11,1009.49,0.0,0.00,8.00,24.7,26.0,000,0.00,25.6,93
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1011.11,10-02-2019,07:00:00,33.19,1006.15,0.0,12.60,7.00,25.8,26.5,000,0.00,25.6,96
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1010.78,10-02-2019,07:00:00,28.92,1007.48,5.6,6.50,10.00,23.5,26.7,250,0.00,24.5,83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.22,10-02-2019,07:00:00,32.32,1010.10,0.0,0.00,10.00,25.3,26.2,000,0.00,25.0,95
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.03,10-02-2019,07:00:00,28.62,1010.72,0.0,0.00,10.00,23.3,26.1,000,0.00,25.2,85
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1010.90,10-02-2019,07:00:00,28.19,1010.21,0.0,0.00,8.00,23.1,26.3,000,0.00,26.0,82
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1010.85,10-02-2019,07:00:00,28.54,1010.35,0.0,0.00,7.00,23.3,26.2,000,0.00,26.0,84
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.12,10-02-2019,07:00:00,33.87,1009.71,5.6,57.20,8.00,26.1,26.7,110,0.00,25.9,97
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1010.87,10-02-2019,07:00:00,30.40,1009.20,11.1,1.20,8.00,24.3,29.2,120,1.20,25.3,75
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1012.79,10-02-2019,07:00:00,30.20,1004.67,0.0,0.90,5.00,24.2,24.5,000,0.00,24.2,98
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1010.69,10-02-2019,07:00:00,32.36,1010.41,0.0,0.00,10.00,25.4,27.5,000,0.00,26.0,88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1010.80,10-02-2019,07:00:00,30.43,1007.65,0.0,0.00,10.00,24.3,26.5,000,0.00,26.0,88
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1011.41,10-02-2019,07:00:00,29.50,1004.41,0.0,0.00,10.00,23.8,26.0,000,0.00,25.5,88
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1011.76,10-02-2019,07:00:00,33.02,1006.13,0.0,1.40,7.00,25.7,26.7,000,1.40,26.0,94
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1011.78,10-02-2019,07:00:00,26.55,1002.39,13.0,0.00,6.00,22.1,26.1,180,0.00,25.7,79
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1011.61,10-02-2019,07:00:00,32.12,1010.34,0.0,0.00,6.00,25.2,26.1,000,0.00,25.8,95
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1010.76,10-02-2019,07:00:00,30.43,1010.32,0.0,0.00,11.00,24.3,26.5,000,0.00,25.8,88
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1011.61,10-02-2019,07:00:00,28.26,999.16,0.0,6.60,2.00,23.1,23.7,000,0.00,23.3,96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1010.87,10-02-2019,07:00:00,30.03,1010.15,0.0,0.00,7.00,24.1,26.0,000,0.00,25.6,89
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1011.11,10-02-2019,07:00:00,32.35,1008.66,7.4,0.00,6.00,25.4,26.5,030,0.00,26.0,93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.27,10-02-2019,07:00:00,32.71,1010.76,5.6,0.00,8.00,25.5,28.8,140,0.00,28.3,83
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.15,10-02-2019,07:00:00,33.02,1005.97,1.9,2.50,4.00,25.7,26.7,150,2.50,26.4,94
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1011.78,10-02-2019,07:00:00,32.02,1011.36,0.0,0.00,7.00,25.2,26.9,000,0.00,26.1,90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1011.80,10-02-2019,07:00:00,31.33,1009.00,0.0,3.10,8.00,24.8,25.4,000,0.00,25.0,97
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.48,10-02-2019,07:00:00,29.26,1011.69,3.7,0.00,10.00,23.7,25.0,300,0.00,24.5,92
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.81,10-02-2019,07:00:00,30.69,1011.35,5.6,3.40,7.00,24.5,25.2,080,0.00,24.3,96
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.13,10-02-2019,07:00:00,30.15,1010.44,0.0,0.00,8.00,24.2,25.2,000,0.00,24.7,94
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.48,10-02-2019,07:00:00,29.41,1009.93,0.0,0.00,8.00,23.8,24.5,000,0.00,24.2,96
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.50,10-02-2019,07:00:00,29.00,1010.57,0.0,0.00,8.00,23.5,25.0,000,0.00,24.9,92
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.73,10-02-2019,07:00:00,31.11,1011.04,0.0,0.00,12.00,24.7,26.0,000,0.00,24.5,93
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.18,10-02-2019,07:00:00,27.16,1011.37,0.0,4.50,7.00,22.4,23.2,000,0.00,23.0,96
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.52,10-02-2019,07:00:00,29.52,1010.87,3.7,0.00,10.00,23.8,25.0,300,0.00,24.0,93
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.96,10-02-2019,07:00:00,29.69,1011.56,0.0,0.00,8.00,23.9,24.8,000,0.00,24.2,95
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1014.01,10-02-2019,07:00:00,28.69,1009.73,0.0,2.80,5.00,23.4,23.8,000,0.00,23.3,97
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1012.11,10-02-2019,07:00:00,28.60,1010.48,0.0,9.20,10.00,23.3,23.6,000,0.20,22.8,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.91,10-02-2019,07:00:00,28.78,1008.38,0.0,0.01,6.00,23.4,24.0,000,0.00,23.5,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.45,10-02-2019,07:00:00,29.49,1010.08,0.0,0.00,8.00,23.8,24.4,000,0.00,24.4,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.04,10-02-2019,07:00:00,30.56,1010.14,0.0,9.60,10.00,24.4,24.7,000,0.00,24.4,98
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1012.16,10-02-2019,07:00:00,29.66,1008.55,0.0,1.40,10.00,23.9,24.2,000,0.00,23.3,98
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1011.41,10-02-2019,07:00:00,30.84,1010.97,0.0,4.20,10.00,24.6,26.0,000,0.00,25.5,92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.66,10-02-2019,07:00:00,30.23,1008.66,0.0,0.20,10.00,24.2,25.1,000,0.00,22.2,95
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1012.13,10-02-2019,07:00:00,29.07,1011.31,0.0,19.00,14.00,23.6,24.6,000,0.00,24.1,94
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1012.21,10-02-2019,07:00:00,29.92,1010.37,0.0,0.00,.10,24.0,24.2,000,0.00,23.8,99
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.86,10-02-2019,07:00:00,28.70,1011.10,7.4,0.01,10.00,23.4,26.0,240,0.00,24.6,85
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1012.25,10-02-2019,07:00:00,28.77,1008.19,0.0,5.80,9.00,23.4,23.7,000,0.00,22.1,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.11,10-02-2019,07:00:00,29.33,1011.42,0.0,17.80,10.00,23.7,24.6,000,0.00,23.7,95
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.06,10-02-2019,07:00:00,29.66,1009.93,0.0,44.20,8.00,23.9,24.2,000,0.00,22.5,98
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1012.16,10-02-2019,07:00:00,28.86,1009.19,0.0,0.00,10.00,23.5,23.9,000,0.00,22.8,97
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.67,10-02-2019,07:00:00,27.75,1010.97,0.0,0.00,9.00,22.8,23.4,000,0.00,22.9,96
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1012.41,10-02-2019,07:00:00,27.32,1008.21,5.6,43.70,8.00,22.5,23.0,220,0.00,22.6,97
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.69,10-02-2019,07:00:00,26.84,1011.10,0.0,0.00,9.00,22.3,24.5,000,0.00,.0,87
