WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,LandVisibility,RelativeHumidity,Rainfall,DewPoint,AirTemperature,WindSpeed,WindDirection,StationPressure,VaporPressure,MeanSeaLevelPressure
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-16-2019,13:00:00,12.00,60,0.00,24.4,33.2,3.7,270,979.84,30.53,1005.04
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-16-2019,13:00:00,10.00,67,0.00,26.2,33.2,3.7,240,1000.74,34.10,1006.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1.00,09-16-2019,13:00:00,10.00,62,0.00,25.6,34.0,0.0,000,1000.67,32.84,1006.71
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-16-2019,13:00:00,12.00,51,0.00,23.0,34.5,5.6,180,990.51,28.02,1006.54
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-16-2019,13:00:00,10.00,46,0.00,20.6,34.0,11.1,070,982.21,24.26,1003.95
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.40,09-16-2019,13:00:00,8.00,60,0.00,24.3,33.3,5.6,070,992.92,30.45,1007.01
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-16-2019,13:00:00,12.00,63,0.00,24.0,32.0,0.0,000,990.12,29.79,1006.22
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.80,09-16-2019,13:00:00,10.00,61,0.00,24.7,33.2,9.3,280,1001.69,31.11,1006.81
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.40,09-16-2019,13:00:00,12.00,53,0.00,23.4,34.3,0.0,000,991.86,28.76,1004.72
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-16-2019,13:00:00,12.00,59,0.00,24.2,33.5,1.9,360,997.37,30.28,1006.49
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-16-2019,13:00:00,10.00,57,0.00,23.8,33.5,5.6,050,984.59,29.41,1005.80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-16-2019,13:00:00,12.00,56,0.00,24.0,34.0,14.8,120,988.97,29.87,1006.06
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-16-2019,13:00:00,12.00,50,0.00,21.1,33.0,9.3,050,989.69,25.08,1005.18
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-16-2019,13:00:00,10.00,59,0.00,24.5,33.6,3.7,350,986.71,30.78,1005.15
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-16-2019,13:00:00,11.00,64,0.00,22.4,30.0,0.0,000,955.84,27.01,1006.32
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1.70,09-16-2019,13:00:00,9.00,56,0.00,24.1,34.1,7.4,110,1002.33,30.08,1006.19
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-16-2019,13:00:00,8.00,69,0.00,21.5,27.6,9.3,020,912.97,25.57,1006.17
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-16-2019,13:00:00,10.00,65,0.00,25.2,32.5,7.4,120,990.30,31.98,1005.98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-16-2019,13:00:00,10.00,55,0.00,24.7,35.0,1.9,090,1002.37,31.11,1006.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-16-2019,13:00:00,10.00,59,0.00,24.0,33.0,3.7,030,996.64,29.83,1007.11
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,12.60,09-16-2019,13:00:00,12.00,66,0.00,25.3,32.5,3.7,270,1004.63,32.28,1006.52
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-16-2019,13:00:00,10.00,53,0.00,22.6,33.5,5.6,060,984.85,27.43,1005.23
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-16-2019,13:00:00,10.00,60,0.00,23.3,32.0,11.1,060,988.46,28.66,1005.82
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-16-2019,13:00:00,10.00,60,0.00,23.6,32.2,7.4,020,989.94,29.06,1005.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-16-2019,13:00:00,10.00,70,0.00,24.5,30.6,5.6,160,992.10,30.66,1005.95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-16-2019,13:00:00,10.00,77,0.00,24.9,29.5,0.0,000,991.80,31.56,1006.50
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-16-2019,13:00:00,10.00,72,0.00,26.0,31.6,3.7,150,991.87,33.62,1006.31
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-16-2019,13:00:00,10.00,58,0.00,24.5,34.0,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1003.15,30.75,1006.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-16-2019,13:00:00,10.00,58,0.00,23.5,33.0,0.0,000,998.05,28.97,1005.84
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,4.40,09-16-2019,13:00:00,9.00,62,0.00,25.4,33.7,3.7,310,1004.97,32.48,1006.05
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,17.50,09-16-2019,13:00:00,8.00,75,0.00,27.1,32.2,0.0,000,990.54,35.85,1004.95
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,2.20,09-16-2019,13:00:00,7.00,85,0.00,21.1,23.7,0.0,000,872.19,25.03,1005.19
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-16-2019,13:00:00,10.00,62,0.00,25.6,34.0,3.7,020,999.85,32.84,1005.58
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.70,09-16-2019,13:00:00,8.00,61,0.00,24.4,33.1,5.6,230,1005.12,30.61,1005.90
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,12.30,09-16-2019,13:00:00,10.00,70,0.00,25.7,31.7,20.4,230,1005.48,32.94,1005.92
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.30,09-16-2019,13:00:00,10.00,66,0.00,25.7,33.0,0.0,000,995.06,33.06,1006.13
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-16-2019,13:00:00,12.00,59,0.00,24.8,34.0,0.0,000,1005.33,31.34,1006.32
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,46.90,09-16-2019,13:00:00,7.00,64,0.00,25.7,33.5,3.7,310,1004.26,32.95,1006.04
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.40,09-16-2019,13:00:00,12.00,52,0.00,23.2,34.4,3.7,140,1005.45,28.39,1006.20
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.40,09-16-2019,13:00:00,9.00,67,0.00,23.6,30.4,11.1,030,1005.01,29.14,1005.71
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,11.00,09-16-2019,13:00:00,12.00,60,0.00,26.0,34.9,5.6,270,1004.93,33.62,1005.62
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-16-2019,13:00:00,12.00,56,0.00,23.6,33.6,7.4,120,984.95,29.04,1005.62
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.70,09-16-2019,13:00:00,11.00,64,0.00,24.0,31.7,0.0,000,989.49,29.75,1005.93
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.20,09-16-2019,13:00:00,10.00,65,0.00,24.3,31.6,7.4,040,990.66,30.41,1006.84
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-16-2019,13:00:00,10.00,53,0.00,22.2,33.0,0.0,000,984.29,26.72,1005.69
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.60,09-16-2019,13:00:00,10.00,68,0.00,23.5,30.2,7.4,120,963.00,29.03,1005.73
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.40,09-16-2019,13:00:00,10.00,61,0.00,23.9,32.5,9.3,090,985.29,29.66,1005.45
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,2.40,09-16-2019,13:00:00,10.00,75,0.00,25.3,30.3,11.1,050,987.30,32.34,1007.91
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-16-2019,13:00:00,10.00,71,0.00,25.3,31.1,20.4,160,1005.88,32.26,1006.31
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,11.50,09-16-2019,13:00:00,11.00,63,0.00,25.4,33.4,0.0,000,1004.04,32.43,1005.43
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,4.20,09-16-2019,13:00:00,9.00,63,0.00,24.7,32.8,3.7,170,1000.86,31.15,1005.69
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-16-2019,13:00:00,11.00,59,0.00,23.8,33.0,0.0,000,1002.78,29.54,1006.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.30,09-16-2019,13:00:00,10.00,65,0.00,25.7,33.3,0.0,000,1005.40,33.11,1006.48
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,4.20,09-16-2019,13:00:00,10.00,66,0.00,25.6,32.9,11.1,230,1005.58,32.84,1005.88
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-16-2019,13:00:00,10.00,65,0.00,25.2,32.5,7.4,240,1005.18,31.98,1005.85
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,53.20,09-16-2019,13:00:00,10.00,76,0.00,26.5,31.2,5.6,150,1004.82,34.54,1005.30
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,30.00,09-16-2019,13:00:00,10.00,63,0.00,24.9,32.8,11.1,330,1004.46,31.44,1005.84
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,11.40,09-16-2019,13:00:00,10.00,84,0.00,26.9,30.0,18.5,210,1004.84,35.53,1006.50
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,36.90,09-16-2019,13:00:00,12.00,59,0.00,24.0,33.0,3.7,310,999.29,29.83,1007.14
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,43.40,09-16-2019,13:00:00,10.00,83,0.20,26.1,29.3,13.0,260,1006.08,33.74,1006.36
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-16-2019,13:00:00,10.00,78,0.00,25.2,29.5,0.0,000,1003.14,32.13,1006.25
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-16-2019,13:00:00,12.00,78,0.00,24.2,28.5,11.1,270,1000.09,30.15,1007.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-16-2019,13:00:00,9.00,59,0.00,24.8,33.8,5.6,050,1000.39,31.21,1005.85
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-16-2019,13:00:00,10.00,68,0.00,24.9,31.4,14.8,270,997.94,31.43,1007.12
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-16-2019,13:00:00,14.00,59,0.00,24.4,33.5,3.7,150,1005.93,30.57,1007.16
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-16-2019,13:00:00,11.00,62,0.00,26.5,34.8,7.4,170,1006.28,34.63,1006.70
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-16-2019,13:00:00,10.00,59,0.00,24.2,33.5,11.1,230,994.50,30.28,1006.49
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-16-2019,13:00:00,10.00,52,0.00,22.5,33.7,5.6,150,1005.40,27.26,1006.10
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,3.70,09-16-2019,13:00:00,10.00,84,0.01,25.5,28.5,7.4,180,1004.69,32.67,1007.11
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,16.80,09-16-2019,13:00:00,10.00,82,0.30,24.8,28.1,14.8,270,1006.31,31.31,1006.82
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,22.90,09-16-2019,13:00:00,11.00,82,1.10,24.9,28.3,7.4,260,1001.67,31.42,1006.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,70.80,09-16-2019,13:00:00,7.00,86,0.00,26.5,29.2,5.6,180,1006.13,34.70,1006.54
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,411.30,09-16-2019,13:00:00,8.00,92,0.00,25.6,27.0,3.7,230,1003.78,32.77,1006.55
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,23.40,09-16-2019,13:00:00,10.00,93,4.70,25.5,26.6,0.0,000,1009.01,32.54,1009.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,114.00,09-16-2019,13:00:00,5.00,93,8.20,24.8,26.0,7.4,320,1006.56,31.38,1007.02
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,4.60,09-16-2019,13:00:00,7.00,80,0.01,24.8,28.5,9.3,250,1006.95,31.26,1007.63
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.20,09-16-2019,13:00:00,9.00,74,0.00,23.4,28.5,7.4,270,1007.31,28.78,1008.84
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,82.10,09-16-2019,13:00:00,8.00,92,9.20,24.0,25.5,5.6,190,1008.73,29.91,1009.66
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,2.90,09-16-2019,13:00:00,12.00,68,0.00,23.3,29.8,7.4,240,1007.69,28.53,1008.38
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,5.80,09-16-2019,13:00:00,8.00,83,0.01,25.2,28.5,3.7,220,1007.95,32.10,1008.74
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,3.40,09-16-2019,13:00:00,10.00,65,0.01,23.9,31.2,5.6,320,1007.08,29.60,1007.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1.60,09-16-2019,13:00:00,10.00,66,0.00,24.3,31.4,7.4,240,1007.33,30.28,1007.73
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,4.80,09-16-2019,13:00:00,7.00,70,0.00,23.3,29.4,13.0,240,1006.15,28.59,1010.34
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,7.50,09-16-2019,13:00:00,12.00,71,0.00,23.0,28.7,0.0,000,1007.09,28.08,1008.69
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,4.00,09-16-2019,13:00:00,12.00,71,0.00,23.7,29.5,0.0,000,1005.70,29.33,1009.15
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.40,09-16-2019,13:00:00,10.00,64,0.00,23.5,31.0,11.1,270,1006.35,28.92,1007.69
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,47.00,09-16-2019,13:00:00,10.00,79,0.00,25.3,29.3,14.8,300,1008.11,32.30,1008.99
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,12.00,09-16-2019,13:00:00,10.00,64,0.00,23.2,30.9,9.3,320,1004.57,28.45,1008.08
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.20,09-16-2019,13:00:00,10.00,66,0.00,23.8,31.0,9.3,270,1008.28,29.48,1008.71
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.70,09-16-2019,13:00:00,10.00,71,0.00,23.7,29.5,7.4,320,1007.48,29.33,1008.47
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,3.80,09-16-2019,13:00:00,10.00,73,0.00,24.6,30.0,18.5,310,1007.62,30.87,1008.43
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,7.40,09-16-2019,13:00:00,10.00,66,0.00,23.5,30.4,7.4,280,1006.62,28.86,1008.41
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,15.20,09-16-2019,13:00:00,12.00,65,0.00,23.2,30.5,9.3,230,1007.41,28.50,1008.15
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,6.00,09-16-2019,13:00:00,10.00,76,0.00,24.9,29.6,7.4,210,1004.47,31.48,1008.44
48570,SATUN,สตูล,สตูล,6.65000,100.08333,9.90,09-16-2019,13:00:00,10.00,90,4.50,23.9,25.7,0.0,000,1008.53,29.74,1009.22
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,22.40,09-16-2019,13:00:00,10.00,67,0.00,23.9,30.8,13.0,280,1006.94,29.65,1008.04
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,2.70,09-16-2019,13:00:00,11.00,75,0.00,25.0,29.8,14.8,210,1005.87,31.60,1008.76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,22.80,09-16-2019,13:00:00,10.00,72,0.00,26.2,31.8,9.3,230,1006.61,34.05,1007.29
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,35.80,09-16-2019,13:00:00,10.00,58,0.00,23.1,32.4,11.1,220,1004.80,28.33,1008.86
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.10,09-16-2019,13:00:00,10.00,57,0.00,22.1,31.8,9.3,330,1007.27,26.61,1007.85
