WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,LandVisibility,WindDirection,VaporPressure,Rainfall
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,22.3,07-12-2019,13:00:00,0.0,1009.49,0.00,1009.77,33.2,53,12.00,000,26.84,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,23.6,07-12-2019,13:00:00,0.0,1006.44,0.00,1009.53,31.5,63,12.00,000,29.07,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,23.8,07-12-2019,13:00:00,5.6,1003.15,0.00,1010.02,31.0,66,12.00,270,29.48,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,07-12-2019,13:00:00,9.3,1003.86,0.00,1009.34,34.1,57,7.00,290,30.37,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.5,07-12-2019,13:00:00,7.4,1001.73,0.00,1010.90,33.0,61,12.00,230,30.69,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,22.8,07-12-2019,13:00:00,3.7,1008.98,0.00,1010.21,34.5,51,15.00,360,27.73,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.8,07-12-2019,13:00:00,5.6,1009.19,0.00,1009.62,32.7,60,11.00,120,29.50,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,21.7,07-12-2019,13:00:00,9.3,997.16,0.00,1009.16,34.3,48,10.00,040,25.93,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.3,07-12-2019,13:00:00,14.8,1009.32,0.00,1010.02,32.0,60,10.00,120,28.66,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.4,07-12-2019,13:00:00,14.8,1007.59,0.00,1009.97,34.3,53,10.00,230,28.76,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.4,07-12-2019,13:00:00,9.3,1009.63,0.00,1010.14,31.5,66,12.00,250,30.49,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,22.5,07-12-2019,13:00:00,3.7,1004.48,0.00,1009.54,33.1,54,16.00,090,27.20,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.5,07-12-2019,13:00:00,7.4,1009.39,1.30,1009.79,33.4,60,9.00,160,30.66,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.7,07-12-2019,13:00:00,3.7,1007.34,0.50,1010.07,32.6,63,8.00,310,31.02,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.5,07-12-2019,13:00:00,14.8,1009.47,0.00,1010.24,34.8,55,12.00,180,30.68,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.1,07-12-2019,13:00:00,5.6,1010.08,0.00,1010.53,32.0,71,10.00,210,33.88,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,21.4,07-12-2019,13:00:00,7.4,1010.00,0.00,1010.67,34.2,47,8.00,220,25.46,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,21.3,07-12-2019,13:00:00,0.0,1008.97,0.00,1010.47,34.3,47,10.00,000,25.38,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.3,07-12-2019,13:00:00,9.3,1010.48,0.00,1011.38,33.3,60,10.00,320,30.45,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.7,07-12-2019,13:00:00,7.4,1010.46,0.00,1011.14,31.0,73,10.00,170,32.93,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.0,07-12-2019,13:00:00,1.9,1009.69,0.00,1010.47,33.9,60,10.00,270,31.72,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.9,07-12-2019,13:00:00,7.4,1009.69,1.20,1010.31,34.6,51,10.00,240,27.94,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.5,07-12-2019,13:00:00,0.0,1009.64,4.70,1010.04,34.8,55,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.68,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.0,07-12-2019,13:00:00,3.7,1008.47,1.20,1012.61,33.5,61,7.00,280,31.75,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,20.7,07-12-2019,13:00:00,11.1,1008.99,0.00,1010.57,33.8,46,10.00,250,24.43,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.3,07-12-2019,13:00:00,0.0,1007.86,0.00,1011.28,32.8,57,12.00,000,28.56,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.7,07-12-2019,13:00:00,11.1,1009.13,0.01,1010.46,33.2,61,10.00,120,31.11,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.3,07-12-2019,13:00:00,9.3,1010.34,0.10,1011.22,30.5,74,12.00,290,32.17,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.9,07-12-2019,13:00:00,11.1,1006.48,0.00,1009.98,33.0,55,10.00,200,27.84,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,07-12-2019,13:00:00,11.1,1010.43,0.00,1010.86,34.0,59,10.00,120,31.34,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.1,07-12-2019,13:00:00,9.3,1009.79,1.40,1010.77,32.4,62,10.00,260,30.03,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.8,07-12-2019,13:00:00,9.3,1011.02,0.00,1011.83,29.4,77,10.00,260,31.36,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.8,07-12-2019,13:00:00,5.6,1010.02,4.90,1011.83,29.0,83,3.00,280,33.12,3.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.1,07-12-2019,13:00:00,13.0,1010.61,4.80,1011.36,31.3,70,12.00,270,31.80,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.3,07-12-2019,13:00:00,14.8,1007.81,0.01,1011.84,25.7,81,10.00,250,26.87,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.2,07-12-2019,13:00:00,7.4,1011.68,3.10,1012.36,28.0,90,7.00,270,33.94,0.10
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.4,07-12-2019,13:00:00,7.4,1010.97,2.20,1012.10,25.6,88,10.00,080,28.77,2.20
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.9,07-12-2019,13:00:00,13.0,1008.28,18.50,1011.22,25.9,89,10.00,300,29.58,18.50
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,25.1,07-12-2019,13:00:00,0.0,1009.78,0.00,1010.46,33.4,62,10.00,000,31.83,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.8,07-12-2019,13:00:00,9.3,1006.88,50.20,1010.94,33.0,59,10.00,270,29.54,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,23.9,07-12-2019,13:00:00,0.0,1009.78,1.60,1010.36,32.5,61,12.00,000,29.66,0.00
