WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,Rainfall,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,Rainfall24Hr,AirTemperature,LandVisibility,RelativeHumidity,StationPressure
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,30.40,08-23-2019,16:00:00,0.00,7.4,24.3,210,1005.80,0.10,33.0,12.00,60,1004.81
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.73,08-23-2019,16:00:00,0.00,5.6,23.4,240,1006.08,0.00,32.6,8.00,58,1004.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.56,08-23-2019,16:00:00,0.00,7.4,22.7,230,1005.68,0.30,33.0,9.00,55,1004.93
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.61,08-23-2019,16:00:00,0.00,13.0,24.4,200,1006.44,0.01,31.0,10.00,68,1005.75
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.98,08-23-2019,16:00:00,0.01,3.7,26.2,010,1006.44,1.10,30.8,7.00,77,1005.74
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.36,08-23-2019,16:00:00,0.00,9.3,22.0,270,1004.71,0.00,34.8,12.00,47,984.13
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.84,08-23-2019,16:00:00,0.00,0.0,24.0,000,1005.09,1.30,31.6,11.00,64,988.65
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,31.35,08-23-2019,16:00:00,0.00,0.0,24.8,000,1005.36,1.20,32.2,10.00,65,989.24
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,33.37,08-23-2019,16:00:00,11.60,0.0,25.9,000,1005.61,11.60,28.0,10.00,88,983.86
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.97,08-23-2019,16:00:00,1.00,14.8,22.9,240,1006.14,4.80,28.5,10.00,72,963.15
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.43,08-23-2019,16:00:00,15.50,7.4,24.3,130,1005.96,15.50,26.5,10.00,88,985.39
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.24,08-23-2019,16:00:00,0.00,5.6,25.8,140,1006.73,0.60,31.7,10.00,71,986.24
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.82,08-23-2019,16:00:00,2.10,9.3,26.1,190,1006.78,26.00,28.5,9.00,87,1006.35
