WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,Rainfall,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,MinimumTemperature
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,50.60,08-21-2019,07:00:00,24.3,1005.39,7.00,000,997.40,0.00,0.0,25.0,96,30.32,24.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,12.60,08-21-2019,07:00:00,24.8,1005.93,7.00,100,1004.82,0.00,3.7,26.1,93,31.30,24.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,6.70,08-21-2019,07:00:00,22.8,1006.05,8.00,000,991.28,0.00,0.0,25.0,88,27.70,24.2
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,67.60,08-21-2019,07:00:00,19.1,1007.68,.05,190,872.52,0.00,5.6,19.3,99,22.15,18.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,14.60,08-21-2019,07:00:00,24.4,1005.69,10.00,200,999.78,0.00,3.7,24.8,97,30.48,23.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,3.30,08-21-2019,07:00:00,25.1,1006.21,8.00,000,1005.40,0.00,0.0,26.3,93,31.96,25.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,2.40,08-21-2019,07:00:00,23.9,1005.78,10.00,210,1005.34,0.00,11.1,29.0,74,29.74,26.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,21.30,08-21-2019,07:00:00,23.6,1006.57,4.00,000,995.17,0.00,0.0,24.2,97,29.13,23.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,13.10,08-21-2019,07:00:00,23.7,1006.21,10.00,000,1005.20,0.00,0.0,26.5,85,29.35,25.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1.00,08-21-2019,07:00:00,24.9,1006.20,7.00,160,1004.37,0.00,3.7,25.9,94,31.46,25.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-21-2019,07:00:00,23.1,1005.84,8.00,000,1005.07,0.00,0.0,26.0,84,28.18,25.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.20,08-21-2019,07:00:00,24.4,1006.36,10.00,200,1005.66,0.00,3.7,28.1,80,30.48,24.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,91.10,08-21-2019,07:00:00,24.6,1006.66,7.00,090,1005.95,0.00,3.7,25.5,95,30.98,24.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,3.80,08-21-2019,07:00:00,23.6,1006.24,10.00,150,985.02,0.00,3.7,25.8,88,29.13,24.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.50,08-21-2019,07:00:00,23.5,1006.83,8.00,000,990.01,0.00,0.0,25.0,92,29.00,23.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,16.90,08-21-2019,07:00:00,23.6,1007.28,8.00,000,990.73,0.00,0.0,24.8,93,29.16,24.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,16.00,08-21-2019,07:00:00,23.5,1005.97,10.00,000,984.00,0.00,0.0,25.1,91,28.92,24.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,15.30,08-21-2019,07:00:00,21.5,1006.24,15.00,000,962.82,0.00,0.0,25.4,79,25.60,23.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.60,08-21-2019,07:00:00,23.0,1006.43,10.00,150,985.83,0.00,3.7,26.2,82,28.01,25.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.20,08-21-2019,07:00:00,24.5,1007.89,9.00,180,986.90,0.00,11.1,24.7,99,30.83,24.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1.50,08-21-2019,07:00:00,23.6,1006.43,10.00,260,1006.00,0.00,7.4,27.5,79,29.06,27.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,21.60,08-21-2019,07:00:00,24.3,1006.47,6.00,000,1005.05,0.00,0.0,24.9,97,30.40,24.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,51.20,08-21-2019,07:00:00,24.8,1007.13,7.00,000,1002.16,0.00,0.0,25.0,99,31.39,24.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-21-2019,07:00:00,22.7,1006.47,12.00,000,1003.17,0.00,0.0,26.0,82,27.66,23.9
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,9.50,08-21-2019,07:00:00,24.3,1006.42,10.00,000,1005.31,0.00,0.0,25.0,96,30.32,24.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,12.60,08-21-2019,07:00:00,24.1,1006.06,10.00,000,1005.76,0.00,0.0,28.3,78,30.04,27.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,7.80,08-21-2019,07:00:00,25.1,1005.82,10.00,200,1005.14,1.30,3.7,27.0,90,31.94,25.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,11.50,08-21-2019,07:00:00,24.8,1006.21,10.00,000,1005.72,0.00,0.0,27.0,88,31.38,26.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,2.20,08-21-2019,07:00:00,25.1,1006.40,10.00,000,1004.99,0.00,0.0,27.2,88,31.77,26.0
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,8.30,08-21-2019,07:00:00,25.9,1005.98,10.00,210,1004.32,0.00,22.2,29.0,83,33.41,27.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,3.90,08-21-2019,07:00:00,24.4,1008.29,10.00,000,1000.22,0.00,0.0,25.0,97,30.58,24.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.01,08-21-2019,07:00:00,25.3,1006.06,10.00,000,1005.78,0.00,0.0,28.1,85,32.15,26.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,7.20,08-21-2019,07:00:00,25.7,1005.69,10.00,270,1002.58,0.00,9.3,28.5,85,32.96,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,6.20,08-21-2019,07:00:00,24.7,1005.96,10.00,220,999.04,0.00,7.4,27.7,84,31.08,25.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.80,08-21-2019,07:00:00,24.8,1007.13,8.00,000,1001.50,0.00,0.0,25.5,96,31.25,24.8
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,3.20,08-21-2019,07:00:00,24.8,1005.51,10.00,000,996.24,0.00,0.0,27.8,84,31.28,27.2
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,5.40,08-21-2019,07:00:00,24.9,1007.19,12.00,000,1005.92,0.00,0.0,25.2,98,31.49,24.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.20,08-21-2019,07:00:00,23.9,1006.17,11.00,270,1005.74,0.00,5.6,27.4,81,29.69,26.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-21-2019,07:00:00,22.8,1006.57,10.00,000,994.26,0.00,0.0,25.5,85,27.81,24.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,11.90,08-21-2019,07:00:00,23.2,1006.49,10.00,000,1005.78,0.00,0.0,27.0,80,28.41,26.2
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-21-2019,07:00:00,24.2,1006.67,10.00,220,1004.25,0.00,9.3,28.5,78,30.15,26.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.01,08-21-2019,07:00:00,25.6,1006.41,10.00,260,1005.90,0.00,18.5,28.7,83,32.79,27.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.20,08-21-2019,07:00:00,24.1,1006.17,12.00,230,1001.04,0.00,3.7,28.0,79,30.01,26.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,17.90,08-21-2019,07:00:00,25.9,1007.25,7.00,000,1006.84,0.00,0.0,27.0,94,33.34,25.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.01,08-21-2019,07:00:00,25.9,1007.72,8.00,000,1004.94,0.00,0.0,26.8,95,33.50,26.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.20,08-21-2019,07:00:00,22.9,1005.87,10.00,000,1005.08,0.00,0.0,25.6,85,27.99,25.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,55.30,08-21-2019,07:00:00,24.2,1009.46,2.00,240,1009.00,20.80,5.6,24.6,97,30.12,23.8
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,08-21-2019,07:00:00,23.4,1007.89,10.00,000,1007.21,0.00,0.0,25.9,86,28.78,25.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-21-2019,07:00:00,23.4,1008.00,10.00,000,1006.46,0.00,0.0,25.2,90,28.83,25.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,13.30,08-21-2019,07:00:00,23.0,1009.25,10.00,000,1008.32,0.00,0.0,24.5,91,28.11,24.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-21-2019,07:00:00,24.8,1008.41,10.00,300,1007.72,0.00,9.3,27.7,84,31.36,26.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.20,08-21-2019,07:00:00,24.5,1008.98,8.00,260,1008.17,1.20,1.9,24.9,97,30.67,24.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-21-2019,07:00:00,23.8,1008.44,10.00,000,1007.80,0.00,0.0,25.0,93,29.52,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-21-2019,07:00:00,23.8,1008.77,10.00,000,1008.36,0.00,0.0,25.0,93,29.52,24.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-21-2019,07:00:00,23.9,1010.94,5.00,000,1006.69,0.00,0.0,25.2,92,29.62,24.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-21-2019,07:00:00,23.7,1009.11,12.00,000,1007.48,0.00,0.0,24.0,98,29.30,23.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-21-2019,07:00:00,24.0,1009.16,7.00,000,1005.65,0.00,0.0,24.7,96,29.77,24.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.40,08-21-2019,07:00:00,24.5,1008.85,10.00,000,1007.49,0.00,0.0,26.2,90,30.67,25.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,3.20,08-21-2019,07:00:00,24.4,1008.74,10.00,000,1007.84,3.20,0.0,24.8,97,30.48,24.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-21-2019,07:00:00,23.7,1008.75,10.00,000,1005.16,0.00,0.0,24.7,94,29.25,22.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-21-2019,07:00:00,25.5,1008.95,10.00,000,1008.52,0.00,0.0,27.2,90,32.61,26.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.30,08-21-2019,07:00:00,24.4,1008.51,8.00,000,1007.52,1.30,0.0,26.0,91,30.57,23.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-21-2019,07:00:00,25.6,1008.95,10.00,290,1008.14,0.00,7.4,28.7,83,32.79,25.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.01,08-21-2019,07:00:00,24.0,1009.35,7.00,000,1007.52,0.00,0.0,24.7,96,29.77,24.4
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-21-2019,07:00:00,24.1,1009.34,10.00,000,1008.59,0.00,0.0,26.9,85,30.10,26.0
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-21-2019,07:00:00,24.6,1009.63,4.00,270,1005.60,0.00,7.4,25.3,96,30.87,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-21-2019,07:00:00,25.1,1010.89,10.00,000,1010.20,0.00,0.0,26.4,93,31.88,25.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-21-2019,07:00:00,24.8,1009.12,10.00,000,1008.00,0.00,0.0,26.0,93,31.38,24.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-21-2019,07:00:00,24.1,1009.78,10.00,000,1006.83,0.00,0.0,24.8,96,29.95,23.7
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-21-2019,07:00:00,24.6,1009.36,8.00,000,1008.67,0.00,0.0,25.3,96,30.87,24.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10.50,08-21-2019,07:00:00,24.3,1010.39,5.00,000,1006.24,0.00,0.0,26.0,90,30.30,24.5
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,68.40,08-21-2019,07:00:00,23.2,1009.00,9.00,000,1008.40,0.00,0.0,24.5,92,28.37,.0
