WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,AirTemperature,WindSpeed,LandVisibility,VaporPressure,Rainfall,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall24Hr
48331,NAN,น่าน,น่าน,18.77972,100.77778,69,07-11-2019,22:00:00,986.76,29.4,0.0,10.00,28.31,0.00,000,23.1,1009.41,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,76,07-11-2019,22:00:00,978.63,28.8,0.0,10.00,29.90,0.00,000,24.0,1008.31,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,79,07-11-2019,22:00:00,974.08,27.7,0.0,7.00,29.44,0.00,000,23.8,1009.49,2.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,79,07-11-2019,22:00:00,979.02,28.0,0.0,12.00,30.01,0.00,000,24.1,1008.61,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,71,07-11-2019,22:00:00,1001.92,30.0,0.0,10.00,30.31,0.00,000,24.3,1009.17,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,89,07-11-2019,22:00:00,988.92,26.5,0.0,10.00,30.97,3.90,000,24.6,1008.88,3.90
48353,LOEI,เลย,เลย,17.45000,101.73333,69,07-11-2019,22:00:00,979.90,29.5,3.7,15.00,28.50,0.00,110,23.2,1008.32,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,91,07-11-2019,22:00:00,988.67,27.5,0.0,10.00,33.50,0.00,000,25.9,1008.83,10.40
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,92,07-11-2019,22:00:00,987.45,27.0,0.0,10.00,32.77,0.00,000,25.6,1009.21,3.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,07-11-2019,22:00:00,989.27,27.9,0.0,10.00,34.03,0.00,000,26.2,1008.72,4.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,82,07-11-2019,22:00:00,993.08,28.0,3.7,10.00,30.84,0.00,060,24.6,1009.80,2.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,85,07-11-2019,22:00:00,992.41,27.2,0.0,11.00,30.67,0.00,000,24.5,1009.85,0.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,80,07-11-2019,22:00:00,982.82,28.6,3.7,11.00,31.18,0.00,100,24.7,1008.48,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,71,07-11-2019,22:00:00,1003.68,29.6,7.4,10.00,29.24,0.00,270,23.7,1009.43,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,70,07-11-2019,22:00:00,1003.26,30.0,0.0,12.00,29.75,0.00,000,24.0,1009.41,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,68,07-11-2019,22:00:00,993.64,29.5,0.0,8.00,27.96,0.00,000,22.9,1009.99,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,82,07-11-2019,22:00:00,987.65,26.0,0.0,10.00,27.66,0.00,000,22.7,1010.10,2.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,69,07-11-2019,22:00:00,997.03,28.8,9.3,7.00,27.20,0.00,270,22.5,1011.39,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,81,07-11-2019,22:00:00,994.15,28.0,11.1,7.00,30.56,0.00,260,24.4,1010.53,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,70,07-11-2019,22:00:00,1004.48,31.3,5.6,10.00,32.10,0.00,320,25.2,1009.65,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,71,07-11-2019,22:00:00,995.16,29.7,0.0,10.00,29.71,0.00,000,23.9,1008.25,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,68,07-11-2019,22:00:00,1000.93,29.1,0.0,10.00,27.48,0.00,000,22.6,1010.21,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,84,07-11-2019,22:00:00,987.48,27.5,0.0,8.00,30.97,0.00,000,24.6,1009.17,1.80
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,76,07-11-2019,22:00:00,992.02,28.2,7.4,10.00,29.03,0.00,240,23.5,1009.49,0.01
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,79,07-11-2019,22:00:00,992.69,29.1,3.7,10.00,31.89,0.00,140,25.1,1008.43,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,87,07-11-2019,22:00:00,989.42,27.7,0.0,8.00,32.20,0.00,000,25.3,1008.28,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,87,07-11-2019,22:00:00,961.72,24.5,0.0,7.00,26.84,0.00,000,22.3,1013.47,1.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,69,07-11-2019,22:00:00,1005.98,29.8,24.1,7.00,29.08,0.00,220,23.6,1009.92,0.00
