WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,Rainfall24Hr,RelativeHumidity,LandVisibility,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,DewPoint,StationPressure
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,08-08-2019,10:00:00,29.48,0.00,66,15.00,3.7,310,1003.45,31.0,23.8,974.29
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,08-08-2019,10:00:00,29.98,0.01,76,8.00,0.0,000,1006.30,28.7,24.1,999.04
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,08-08-2019,10:00:00,31.98,0.00,65,20.00,18.5,260,1002.90,32.5,25.2,983.45
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,08-08-2019,10:00:00,26.59,0.00,58,15.00,9.3,340,1003.62,31.5,22.1,975.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,08-08-2019,10:00:00,28.74,0.00,61,15.00,20.4,270,1003.43,31.9,23.4,983.67
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-08-2019,10:00:00,28.66,0.00,60,18.00,7.4,290,1002.85,32.0,23.3,981.58
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,08-08-2019,10:00:00,27.82,0.00,59,18.00,11.1,230,1002.53,32.0,22.8,983.46
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,08-08-2019,10:00:00,28.43,0.00,61,12.00,1.9,170,1002.98,31.6,23.2,986.56
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,08-08-2019,10:00:00,31.48,0.00,65,12.00,7.4,080,1003.23,32.4,24.9,986.20
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,08-08-2019,10:00:00,27.68,0.00,63,13.00,5.6,310,1002.99,30.5,22.8,977.63
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,08-08-2019,10:00:00,34.75,1.40,84,10.00,5.6,240,1005.24,29.5,26.6,999.52
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,08-08-2019,10:00:00,31.95,1.50,85,12.00,0.0,000,1005.78,28.0,25.1,999.62
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,08-08-2019,10:00:00,28.95,2.20,75,10.00,0.0,000,1005.54,28.3,23.5,989.21
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.20,08-08-2019,10:00:00,30.56,17.50,81,10.00,9.3,300,1005.69,28.0,24.4,983.48
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-08-2019,10:00:00,31.13,12.30,78,6.00,9.3,300,1006.76,29.0,24.7,992.47
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,08-08-2019,10:00:00,31.95,3.40,85,8.00,0.0,000,1006.19,28.0,25.1,989.88
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-08-2019,10:00:00,31.44,1.60,74,10.00,11.1,330,1006.11,30.0,24.9,1000.94
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,08-08-2019,10:00:00,30.79,0.00,72,12.00,0.0,000,1003.82,30.1,24.5,990.80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-08-2019,10:00:00,33.12,5.60,83,10.00,0.0,000,1006.05,29.0,25.8,996.80
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,08-08-2019,10:00:00,27.52,0.00,59,10.00,9.3,280,1003.80,31.7,22.7,982.52
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,08-08-2019,10:00:00,30.08,0.00,63,12.00,11.1,230,1003.85,32.0,24.1,986.69
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,08-08-2019,10:00:00,29.27,0.00,63,12.00,3.7,350,1002.81,31.6,23.7,987.28
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,08-08-2019,10:00:00,27.71,0.00,59,10.00,3.7,230,1003.07,31.8,22.8,984.56
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.40,08-08-2019,10:00:00,28.11,28.20,91,8.00,0.0,000,1008.85,24.5,23.0,957.34
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-08-2019,10:00:00,31.15,4.00,73,6.00,7.4,260,1005.62,30.0,24.7,1001.71
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.10,08-08-2019,10:00:00,25.45,10.20,96,.90,11.1,230,1006.60,22.0,21.4,911.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,08-08-2019,10:00:00,32.34,3.30,72,10.00,7.4,260,1003.61,31.0,25.4,987.88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,08-08-2019,10:00:00,33.25,1.60,79,10.00,1.9,200,1006.12,29.9,25.8,1002.12
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-08-2019,10:00:00,30.85,0.90,77,8.00,0.0,000,1006.90,29.0,24.6,996.30
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,08-08-2019,10:00:00,31.80,2.40,75,10.00,9.3,240,1006.41,29.9,25.1,1004.50
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-08-2019,10:00:00,27.03,0.00,63,10.00,18.5,270,1004.71,30.3,22.4,984.13
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-08-2019,10:00:00,27.76,0.00,60,10.00,18.5,270,1003.93,31.4,22.8,986.58
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,08-08-2019,10:00:00,28.51,0.00,62,10.00,11.1,250,1003.44,31.5,23.2,987.57
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-08-2019,10:00:00,28.62,0.01,65,10.00,9.3,270,1003.85,30.7,23.3,990.03
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-08-2019,10:00:00,30.86,0.00,70,10.00,0.0,000,1004.47,30.7,24.6,989.86
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-08-2019,10:00:00,31.03,2.50,71,10.00,11.1,300,1004.49,30.5,24.7,990.03
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-08-2019,10:00:00,32.18,2.50,80,10.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1005.61,29.1,25.3,1002.62
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-08-2019,10:00:00,28.26,0.01,67,10.00,0.0,000,1005.74,29.8,23.1,997.88
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-08-2019,10:00:00,32.34,0.90,75,8.00,5.6,250,1006.41,30.3,25.3,1005.31
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-08-2019,10:00:00,29.65,0.00,67,8.00,3.7,200,1005.37,30.8,23.9,990.89
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-08-2019,10:00:00,22.99,0.20,99,.10,5.6,260,1007.75,19.9,19.7,872.83
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-08-2019,10:00:00,30.81,0.00,66,10.00,7.4,280,1006.16,31.8,24.5,1000.38
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-08-2019,10:00:00,30.39,2.40,72,8.00,7.4,230,1006.78,29.9,24.3,1005.99
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-08-2019,10:00:00,30.45,0.90,67,10.00,13.0,230,1006.35,31.2,24.3,1005.91
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.80,08-08-2019,10:00:00,31.41,21.00,92,3.00,0.0,000,1008.03,26.3,24.9,996.69
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.01,08-08-2019,10:00:00,31.44,0.70,74,12.00,3.7,320,1006.54,30.0,24.9,1005.54
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-08-2019,10:00:00,30.80,2.40,75,8.00,3.7,180,1006.44,29.4,24.5,1004.63
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-08-2019,10:00:00,29.46,0.40,74,9.00,7.4,230,1006.47,29.0,23.8,1005.71
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-08-2019,10:00:00,29.55,1.00,70,10.00,14.8,290,1006.51,29.9,23.8,1005.81
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-08-2019,10:00:00,31.80,0.50,75,7.00,5.6,240,1006.58,29.9,25.1,1005.88
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-08-2019,10:00:00,28.58,0.00,60,12.00,11.1,300,1005.56,32.1,23.3,984.79
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-08-2019,10:00:00,28.42,0.00,65,9.00,18.5,250,1004.93,30.6,23.2,988.45
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-08-2019,10:00:00,27.14,0.00,62,9.00,11.1,270,1005.16,30.5,22.4,988.94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-08-2019,10:00:00,28.38,0.00,60,10.00,9.3,260,1005.31,32.0,23.2,983.85
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-08-2019,10:00:00,27.36,0.20,70,15.00,29.6,230,1006.22,28.6,22.6,963.25
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-08-2019,10:00:00,25.51,0.01,55,10.00,22.2,240,1004.97,31.5,21.4,984.75
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-08-2019,10:00:00,30.06,0.00,70,10.00,13.0,270,1006.48,30.3,24.1,985.90
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-08-2019,10:00:00,30.47,0.50,73,10.00,11.1,310,1006.61,29.8,24.4,1006.18
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-08-2019,10:00:00,32.17,0.01,77,11.00,3.7,260,1006.30,29.8,25.3,1004.89
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-08-2019,10:00:00,32.55,0.00,81,9.00,9.3,270,1006.34,29.0,25.5,1001.45
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-08-2019,10:00:00,29.60,3.50,81,12.00,7.4,300,1006.58,27.5,23.9,1003.29
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-08-2019,10:00:00,30.15,1.60,78,10.00,7.4,280,1007.01,28.5,24.2,1005.91
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-08-2019,10:00:00,29.89,2.90,68,10.00,11.1,280,1006.55,30.5,24.0,1006.26
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-08-2019,10:00:00,30.86,2.70,70,10.00,13.0,270,1006.42,30.7,24.6,1005.74
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-08-2019,10:00:00,29.33,2.70,71,10.00,3.7,270,1006.17,29.5,23.7,1005.68
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-08-2019,10:00:00,29.99,2.60,72,10.00,22.2,280,1006.73,29.7,24.1,1005.33
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-08-2019,10:00:00,33.59,1.60,78,10.00,0.0,000,1006.82,30.2,26.0,1005.16
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-08-2019,10:00:00,30.31,0.50,71,12.00,11.1,270,1008.18,30.0,24.3,1000.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-08-2019,10:00:00,31.31,0.00,72,10.00,7.4,250,1006.45,30.5,24.8,1006.17
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-08-2019,10:00:00,31.13,0.00,78,10.00,5.6,270,1006.58,29.0,24.7,1003.47
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-08-2019,10:00:00,30.96,0.00,76,12.00,0.0,000,1006.90,29.2,24.6,1000.01
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-08-2019,10:00:00,31.93,0.40,69,9.00,0.0,000,1005.73,31.5,25.1,1000.22
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-08-2019,10:00:00,31.60,0.01,75,12.00,9.3,270,1007.86,29.8,25.0,998.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-08-2019,10:00:00,32.28,2.40,87,14.00,7.4,320,1007.03,27.6,25.3,1005.77
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-08-2019,10:00:00,28.78,0.50,74,11.00,18.5,300,1006.36,28.5,23.4,1005.93
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.01,08-08-2019,10:00:00,28.39,0.90,75,8.00,0.0,000,1006.46,28.0,23.2,994.25
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.20,08-08-2019,10:00:00,32.27,1.70,84,10.00,9.3,260,1006.24,28.3,25.3,1005.53
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,08-08-2019,10:00:00,30.73,0.30,68,10.00,7.4,210,1007.00,31.2,24.5,1004.60
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-08-2019,10:00:00,32.34,0.01,78,10.00,5.6,300,1007.11,29.6,25.3,1006.59
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.01,08-08-2019,10:00:00,30.62,0.30,71,13.00,7.4,270,1006.85,30.3,24.4,1001.76
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-08-2019,10:00:00,33.25,0.60,79,8.00,0.0,000,1007.05,29.9,25.8,1006.64
