WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall24Hr,DewPoint,WindSpeed,RelativeHumidity,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall,LandVisibility,VaporPressure
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,990.83,10-09-2019,13:00:00,0.00,21.8,3.7,55,32.1,040,1010.73,0.00,18.00,26.09
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,989.18,10-09-2019,13:00:00,0.00,23.0,7.4,57,32.6,180,1010.57,0.00,12.00,28.17
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,990.81,10-09-2019,13:00:00,0.01,22.3,3.7,55,32.5,150,1009.99,0.00,14.00,26.86
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,993.98,10-09-2019,13:00:00,10.60,22.2,5.6,52,33.3,090,1010.43,0.00,12.00,26.75
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,993.54,10-09-2019,13:00:00,7.50,23.3,5.6,60,32.0,090,1010.71,0.00,12.00,28.66
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,984.53,10-09-2019,13:00:00,0.00,22.3,3.7,55,32.4,010,1009.91,0.00,12.00,26.94
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.47,10-09-2019,13:00:00,0.00,25.6,3.7,65,33.2,270,1010.16,0.00,8.00,32.89
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.76,10-09-2019,13:00:00,0.00,23.5,5.6,53,34.4,070,1009.82,0.00,8.00,28.96
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,994.12,10-09-2019,13:00:00,0.10,23.1,0.0,58,32.5,000,1010.31,0.00,10.00,28.25
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.22,10-09-2019,13:00:00,0.00,23.7,0.0,60,32.6,000,1008.15,0.00,10.00,29.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,996.46,10-09-2019,13:00:00,0.00,24.8,5.6,62,33.0,090,1010.62,0.00,10.00,31.28
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,993.73,10-09-2019,13:00:00,5.60,22.7,0.0,52,34.0,000,1009.78,0.00,8.00,27.58
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1005.12,10-09-2019,13:00:00,1.90,24.0,7.4,61,32.6,320,1010.27,0.00,10.00,29.87
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,995.69,10-09-2019,13:00:00,0.70,24.2,5.6,59,33.5,070,1008.63,0.00,12.00,30.28
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1001.09,10-09-2019,13:00:00,0.00,24.4,5.6,59,33.5,050,1010.25,0.00,12.00,30.57
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,989.21,10-09-2019,13:00:00,0.00,23.3,5.6,60,32.0,030,1010.62,0.00,10.00,28.66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,992.90,10-09-2019,13:00:00,0.00,23.9,9.3,61,32.5,120,1010.14,0.00,12.00,29.66
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,993.94,10-09-2019,13:00:00,0.10,23.7,7.4,58,33.0,080,1009.50,0.00,14.00,29.25
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,990.82,10-09-2019,13:00:00,0.00,23.7,7.4,58,33.2,030,1009.37,0.00,10.00,29.37
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,960.23,10-09-2019,13:00:00,0.00,21.3,0.0,57,31.0,000,1010.77,0.00,11.00,25.39
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.06,10-09-2019,13:00:00,0.01,24.7,11.1,61,33.2,090,1009.95,0.00,7.00,31.11
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,916.08,10-09-2019,13:00:00,0.00,21.2,7.4,73,26.5,050,1009.95,0.00,9.00,25.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,994.55,10-09-2019,13:00:00,0.00,23.5,0.0,60,32.3,000,1010.31,0.00,10.00,28.98
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.59,10-09-2019,13:00:00,30.00,25.2,3.7,65,32.7,030,1010.56,0.00,6.00,32.12
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1000.68,10-09-2019,13:00:00,30.00,24.9,9.3,66,32.0,020,1011.22,0.00,10.00,31.52
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.22,10-09-2019,13:00:00,0.01,24.9,3.7,66,32.0,360,1011.13,0.00,10.00,31.52
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,989.54,10-09-2019,13:00:00,0.00,22.5,5.6,56,32.3,030,1010.10,0.00,12.00,27.30
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,992.50,10-09-2019,13:00:00,0.00,24.3,0.0,62,32.4,000,1009.90,0.00,10.00,30.32
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,993.87,10-09-2019,13:00:00,0.00,24.4,5.6,60,33.2,260,1009.75,0.00,10.00,30.53
