WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall24Hr,MinimumTemperature,LandVisibility,WindDirection,DewPoint,StationPressure,WindSpeed,VaporPressure,Rainfall,MeanSeaLevelPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,94,10-05-2019,07:00:00,25.5,1.80,25.2,9.00,350,24.5,1005.42,1.9,30.71,0.00,1010.62
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,94,10-05-2019,07:00:00,25.0,46.40,24.0,7.00,000,24.0,1010.44,0.0,29.79,0.00,1010.86
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,97,10-05-2019,07:00:00,24.8,4.40,24.2,8.00,000,24.2,1008.39,0.0,30.22,0.00,1011.19
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,91,10-05-2019,07:00:00,24.2,0.00,23.5,10.00,000,22.6,1009.90,0.0,27.34,0.00,1010.70
48501,TRAD,ตราด,ตราด,11.76667,102.88333,87,10-05-2019,07:00:00,24.8,19.90,23.5,7.00,110,22.4,1010.22,7.4,27.10,0.00,1010.69
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,96,10-05-2019,07:00:00,24.5,0.00,24.0,7.00,000,23.8,1009.32,0.0,29.41,0.00,1010.01
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,98,10-05-2019,07:00:00,23.4,0.00,23.2,8.00,000,23.1,1008.50,0.0,28.25,0.00,1010.05
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,10-05-2019,07:00:00,25.5,0.00,24.9,10.00,000,24.0,1009.78,0.0,29.91,0.00,1010.70
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,92,10-05-2019,07:00:00,26.8,0.00,26.2,10.00,000,25.4,1009.44,0.0,32.38,0.00,1010.13
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,98,10-05-2019,07:00:00,23.7,49.10,23.5,3.00,000,23.4,1010.02,0.0,28.77,0.00,1010.83
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,94,10-05-2019,07:00:00,25.1,0.00,24.1,10.00,310,24.1,1009.27,3.7,29.97,0.00,1009.91
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,96,10-05-2019,07:00:00,25.2,2.00,24.4,10.00,000,24.5,1009.68,0.0,30.69,0.00,1010.09
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,10-05-2019,07:00:00,23.6,0.20,23.2,5.00,000,23.0,1008.34,0.0,28.09,0.00,1012.62
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,10-05-2019,07:00:00,23.6,32.60,22.7,4.00,000,23.3,1008.84,0.0,28.60,0.00,1010.47
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,10-05-2019,07:00:00,24.2,0.90,24.0,8.00,000,23.6,1007.21,0.0,29.13,0.00,1010.73
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,97,10-05-2019,07:00:00,24.8,0.01,24.8,9.00,000,24.4,1008.92,0.0,30.48,0.01,1010.29
