WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,AirTemperature,LandVisibility,WindDirection,Rainfall,VaporPressure,MeanSeaLevelPressure,WindSpeed,StationPressure
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,07-09-2019,04:00:00,86,23.8,26.3,10.00,000,0.00,29.52,1008.09,0.0,1004.79
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-09-2019,04:00:00,92,24.0,25.5,10.00,000,0.00,29.91,1008.12,0.0,1007.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-09-2019,04:00:00,80,24.3,28.0,10.00,000,0.00,30.28,1008.05,0.0,1007.75
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-09-2019,04:00:00,80,23.8,27.6,10.00,000,0.00,29.52,1007.72,0.0,1007.23
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-09-2019,04:00:00,82,23.6,27.0,10.00,210,0.00,29.21,1008.15,11.1,1006.74
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-09-2019,04:00:00,92,23.7,25.0,10.00,180,0.00,29.26,1010.09,3.7,1002.01
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-09-2019,04:00:00,80,24.6,28.3,10.00,230,0.00,30.87,1008.18,9.3,1007.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-09-2019,04:00:00,83,25.1,28.2,10.00,200,0.00,31.79,1008.35,5.6,1005.23
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-09-2019,04:00:00,75,23.5,28.3,10.00,180,0.00,28.95,1008.63,5.6,1001.71
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-09-2019,04:00:00,89,24.4,26.3,7.00,000,0.00,30.59,1008.88,0.0,1003.26
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-09-2019,04:00:00,91,23.0,24.6,10.00,210,0.00,28.03,1009.41,3.7,1008.14
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-09-2019,04:00:00,82,23.8,27.1,11.00,240,0.00,29.39,1008.23,14.8,1007.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-09-2019,04:00:00,94,22.3,23.4,8.00,000,0.00,26.99,1008.98,0.0,996.55
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,6.10,07-09-2019,04:00:00,81,23.0,26.5,10.00,220,0.00,28.03,1008.61,3.7,1007.90
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-09-2019,04:00:00,78,23.2,27.4,10.00,000,0.00,28.35,1009.07,0.0,1006.63
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-09-2019,04:00:00,73,23.9,29.2,10.00,240,0.00,29.57,1009.05,14.8,1008.53
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-09-2019,04:00:00,90,24.3,26.0,6.00,000,0.00,30.30,1008.82,0.0,1003.64
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-09-2019,04:00:00,88,25.5,27.8,7.00,000,0.00,32.68,1008.93,0.0,1008.51
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-09-2019,04:00:00,92,24.9,26.3,8.00,000,0.00,31.41,1009.01,0.0,1006.23
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-09-2019,04:00:00,83,23.0,26.1,10.00,000,0.00,28.10,1008.82,0.0,1008.03
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.60,07-09-2019,04:00:00,90,22.7,24.5,6.00,090,0.00,27.60,1009.56,5.6,1009.09
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-09-2019,04:00:00,95,24.2,25.1,7.00,000,0.00,30.23,1009.69,0.0,1009.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.20,07-09-2019,04:00:00,93,23.8,25.0,6.00,000,0.00,29.52,1009.52,0.0,1007.97
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.50,07-09-2019,04:00:00,94,24.5,25.5,10.00,000,0.00,30.71,1010.13,0.0,1009.21
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-09-2019,04:00:00,81,24.4,28.0,10.00,000,0.00,30.56,1009.96,0.0,1009.27
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,4.60,07-09-2019,04:00:00,96,22.4,23.0,7.00,000,0.00,27.07,1010.21,0.0,1009.40
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-09-2019,04:00:00,94,24.0,25.0,10.00,000,0.00,29.79,1009.41,0.0,1008.77
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-09-2019,04:00:00,95,24.3,25.2,10.00,000,0.00,30.42,1009.64,0.0,1009.23
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-09-2019,04:00:00,97,23.2,23.8,6.00,000,0.00,28.43,1011.79,0.0,1007.52
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-09-2019,04:00:00,98,22.7,23.0,6.00,000,0.00,27.57,1009.92,0.0,1008.28
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-09-2019,04:00:00,96,23.3,24.0,7.00,000,0.00,28.53,1010.75,0.0,1007.22
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,2.80,07-09-2019,04:00:00,98,24.5,24.8,7.00,000,0.00,30.75,1009.71,0.0,1008.34
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1.30,07-09-2019,04:00:00,96,24.3,25.0,10.00,000,0.00,30.32,1009.75,0.0,1008.86
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-09-2019,04:00:00,94,22.4,23.5,10.00,000,0.00,27.16,1009.85,0.0,1006.24
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-09-2019,04:00:00,88,24.2,26.4,10.00,000,0.00,30.24,1009.16,0.0,1008.72
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-09-2019,04:00:00,92,24.3,25.8,10.00,000,0.00,30.46,1009.14,0.0,1008.15
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-09-2019,04:00:00,81,23.0,26.5,10.00,270,0.00,28.03,1009.13,11.1,1008.31
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-09-2019,04:00:00,95,24.7,25.6,8.00,000,0.00,31.17,1010.03,0.0,1008.21
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,8.80,07-09-2019,04:00:00,89,23.1,25.0,10.00,280,0.00,28.22,1010.55,3.7,1009.79
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,07-09-2019,04:00:00,92,23.2,24.5,10.00,000,0.00,28.37,1010.32,0.0,1006.28
48570,SATUN,สตูล,สตูล,6.65000,100.08333,34.10,07-09-2019,04:00:00,94,24.0,25.0,8.00,000,0.00,29.79,1010.26,0.0,1009.57
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.80,07-09-2019,04:00:00,94,23.3,24.3,10.00,000,0.00,28.54,1010.32,0.0,1009.19
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,6.40,07-09-2019,04:00:00,95,23.9,24.8,10.00,000,0.00,29.69,1010.43,0.0,1007.48
