WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,DewPoint,StationPressure,MaximumTemperature,Rainfall24Hr,Rainfall,WindSpeed,RelativeHumidity,LandVisibility,WindDirection
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,36.47,08-20-2019,19:00:00,1002.97,29.6,27.4,983.33,31.4,3.60,0.00,3.7,88,15.00,090
48353,LOEI,เลย,เลย,17.45000,101.73333,28.11,08-20-2019,19:00:00,1003.25,24.5,23.0,974.50,33.5,16.00,16.00,0.0,91,12.00,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,33.08,08-20-2019,19:00:00,1001.45,29.4,25.7,981.56,31.8,0.30,0.00,5.6,81,12.00,110
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.05,08-20-2019,19:00:00,1004.28,25.0,24.1,982.49,29.5,18.70,0.00,3.7,95,12.00,120
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.77,08-20-2019,19:00:00,1004.05,25.1,24.5,984.51,29.5,24.30,0.00,3.7,97,12.00,190
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,28.83,08-20-2019,19:00:00,1005.15,25.2,23.4,988.35,26.6,13.60,0.00,0.0,90,10.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,28.11,08-20-2019,19:00:00,1005.26,24.5,23.0,987.75,26.2,23.00,0.00,0.0,91,10.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,29.91,08-20-2019,19:00:00,1003.00,26.8,24.0,977.33,31.7,0.01,0.00,3.7,85,11.00,140
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.75,08-20-2019,19:00:00,1002.46,29.5,26.6,996.75,35.3,0.60,0.00,3.7,84,10.00,140
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,33.58,08-20-2019,19:00:00,1002.94,29.5,26.0,996.82,34.1,0.00,0.00,7.4,81,10.00,270
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.19,08-20-2019,19:00:00,1003.96,28.0,23.6,987.63,33.5,0.00,0.00,9.3,77,10.00,180
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,27.36,08-20-2019,19:00:00,1003.10,27.0,22.6,980.87,31.7,1.10,0.00,3.7,77,10.00,200
48376,TAK,ตาก,ตาก,16.87833,99.14333,29.16,08-20-2019,19:00:00,1003.69,29.7,23.6,989.48,34.6,0.30,0.30,11.1,70,8.00,250
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.19,08-20-2019,19:00:00,1002.78,26.5,25.8,986.45,35.5,3.00,3.00,0.0,96,7.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.96,08-20-2019,19:00:00,1003.22,29.2,24.6,998.05,34.2,0.00,0.00,5.6,76,10.00,230
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,31.62,08-20-2019,19:00:00,1002.67,28.4,25.0,989.59,34.6,0.80,0.80,0.0,82,8.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.36,08-20-2019,19:00:00,1003.29,27.7,24.8,994.02,33.5,0.00,0.00,1.9,84,11.00,230
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.10,08-20-2019,19:00:00,1003.14,28.9,24.1,981.68,33.1,0.00,0.00,5.6,76,10.00,280
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.89,08-20-2019,19:00:00,1003.77,30.5,24.0,986.53,34.2,0.00,0.00,0.0,68,12.00,000
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.15,08-20-2019,19:00:00,1004.13,25.2,24.2,988.25,31.5,2.90,0.20,3.7,94,10.00,100
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.52,08-20-2019,19:00:00,1002.38,29.4,24.4,983.73,33.3,0.00,0.00,0.0,74,10.00,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.58,08-20-2019,19:00:00,1006.96,23.6,22.1,955.39,28.6,19.40,11.30,0.0,91,5.00,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.52,08-20-2019,19:00:00,1004.29,27.5,24.9,1000.35,33.5,0.01,0.00,7.4,86,10.00,120
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.28,08-20-2019,19:00:00,1004.93,22.5,21.3,910.33,25.0,0.60,0.00,9.3,93,7.00,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.41,08-20-2019,19:00:00,1003.21,29.0,25.9,987.39,33.3,0.00,0.00,0.0,83,8.00,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.25,08-20-2019,19:00:00,1004.27,25.5,24.8,1000.23,33.8,49.20,47.60,0.0,96,8.00,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.92,08-20-2019,19:00:00,1005.85,26.7,23.5,995.18,32.7,3.50,0.00,3.7,83,6.00,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.60,08-20-2019,19:00:00,1005.45,27.5,23.9,1003.53,32.3,7.70,0.00,3.7,81,9.00,190
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,31.21,08-20-2019,19:00:00,1003.86,28.9,24.8,983.19,32.4,13.80,4.00,5.6,78,6.00,200
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.80,08-20-2019,19:00:00,1003.21,28.0,22.2,985.67,32.0,0.01,0.00,7.4,71,10.00,160
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.65,08-20-2019,19:00:00,1003.14,28.5,22.1,987.12,33.4,0.00,0.00,7.4,69,10.00,190
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.14,08-20-2019,19:00:00,1005.28,25.3,24.7,991.19,31.3,33.40,2.50,3.7,97,10.00,120
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.14,08-20-2019,19:00:00,1005.54,25.3,24.7,990.65,30.2,54.00,1.90,0.0,97,9.00,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.78,08-20-2019,19:00:00,1004.88,27.5,26.1,990.27,32.8,2.70,0.00,9.3,92,10.00,130
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,33.10,08-20-2019,19:00:00,1004.08,26.6,25.7,1001.07,33.7,32.20,28.80,0.0,95,8.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.70,08-20-2019,19:00:00,1003.97,27.6,26.0,996.06,32.8,8.10,1.80,0.0,91,8.00,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,30.84,08-20-2019,19:00:00,1005.61,26.0,24.6,1004.50,33.8,13.10,12.60,7.4,92,6.00,160
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.06,08-20-2019,19:00:00,1007.15,28.4,23.0,992.53,33.9,0.00,0.00,0.0,73,8.00,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.28,08-20-2019,19:00:00,1007.16,19.4,19.2,872.11,25.3,80.20,42.40,5.6,99,.05,220
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,30.82,08-20-2019,19:00:00,1004.69,28.7,24.5,998.86,32.7,16.50,0.00,9.3,78,10.00,210
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.79,08-20-2019,19:00:00,1005.44,26.5,25.1,1004.64,35.0,2.40,1.80,0.0,92,1.00,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.46,08-20-2019,19:00:00,1005.22,26.9,24.9,1004.77,32.2,21.90,2.40,9.3,89,8.00,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.74,08-20-2019,19:00:00,1006.43,25.9,25.0,995.10,30.5,17.90,0.70,0.0,95,3.00,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.81,08-20-2019,19:00:00,1005.06,28.0,26.6,1004.06,34.5,13.10,10.40,0.0,92,10.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,31.00,08-20-2019,19:00:00,1005.36,26.8,24.6,1003.54,32.8,4.20,0.40,3.7,88,8.00,170
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,29.05,08-20-2019,19:00:00,1004.78,29.5,23.6,1004.03,33.4,0.00,0.00,0.0,70,6.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.67,08-20-2019,19:00:00,1005.46,26.2,24.5,1004.76,32.9,2.40,0.20,9.3,90,8.00,170
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,30.25,08-20-2019,19:00:00,1006.12,25.4,24.2,1005.41,33.6,90.70,24.90,0.0,93,6.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.96,08-20-2019,19:00:00,1004.60,27.4,24.1,983.53,34.5,0.00,0.00,11.1,82,10.00,190
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.93,08-20-2019,19:00:00,1004.79,26.3,22.9,988.07,32.6,0.80,0.60,18.5,82,5.00,240
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,28.34,08-20-2019,19:00:00,1005.49,25.8,23.2,989.02,33.3,2.10,2.10,14.8,85,3.00,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.00,08-20-2019,19:00:00,1005.13,25.0,23.5,983.17,33.0,16.80,12.50,0.0,92,10.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.58,08-20-2019,19:00:00,1006.72,23.6,22.1,963.01,30.3,20.40,5.60,18.5,91,4.00,250
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.11,08-20-2019,19:00:00,1004.71,27.3,22.4,984.22,35.0,0.20,0.20,14.8,75,8.00,240
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.44,08-20-2019,19:00:00,1005.46,26.7,26.4,984.65,34.0,8.00,0.40,9.3,98,7.00,110
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.33,08-20-2019,19:00:00,1005.24,27.7,25.9,1004.81,31.5,1.30,0.30,7.4,90,9.00,210
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.33,08-20-2019,19:00:00,1006.49,25.4,24.8,1005.07,32.3,17.20,7.20,0.0,97,6.00,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,30.22,08-20-2019,19:00:00,1005.94,24.8,24.2,1000.98,33.3,46.00,10.80,0.0,97,7.00,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.60,08-20-2019,19:00:00,1005.20,29.5,23.9,1001.94,33.1,0.01,0.00,9.3,72,12.00,250
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.33,08-20-2019,19:00:00,1005.14,27.7,25.9,1004.04,34.3,9.50,0.00,0.0,90,10.00,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,32.46,08-20-2019,19:00:00,1005.73,26.7,25.4,1005.43,33.0,12.40,11.80,3.7,93,8.00,190
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,31.82,08-20-2019,19:00:00,1005.53,25.8,25.1,1004.84,33.8,6.50,5.10,0.0,96,7.00,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.43,08-20-2019,19:00:00,1005.95,26.2,25.9,1005.46,35.5,11.50,9.50,3.7,98,10.00,140
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,31.03,08-20-2019,19:00:00,1005.56,26.1,24.7,1004.15,33.1,2.60,0.80,9.3,92,10.00,170
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,33.29,08-20-2019,19:00:00,1005.82,27.4,25.8,1004.15,30.0,8.30,6.60,11.1,91,10.00,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,31.25,08-20-2019,19:00:00,1007.74,25.5,24.8,999.69,34.2,3.40,3.20,0.0,96,10.00,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,31.94,08-20-2019,19:00:00,1005.72,27.0,25.1,1005.43,33.0,9.30,0.01,0.0,90,10.00,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,30.84,08-20-2019,19:00:00,1005.69,26.0,24.6,1002.55,32.0,7.00,7.00,0.0,92,10.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.04,08-20-2019,19:00:00,1005.63,26.2,25.2,998.69,31.6,7.70,6.20,5.6,94,10.00,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,31.79,08-20-2019,19:00:00,1006.12,26.5,25.1,1000.52,35.5,2.80,2.30,9.3,92,7.00,260
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.79,08-20-2019,19:00:00,1006.80,26.5,25.1,997.47,32.0,3.20,3.20,18.5,92,20.00,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,34.19,08-20-2019,19:00:00,1006.32,27.0,26.3,1005.06,32.1,5.40,0.01,0.0,96,10.00,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.38,08-20-2019,19:00:00,1005.64,26.8,25.4,1005.21,35.2,32.20,1.30,0.0,92,11.00,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.50,08-20-2019,19:00:00,1006.17,27.4,24.4,993.94,34.0,0.00,0.00,0.0,84,10.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,33.24,08-20-2019,19:00:00,1005.81,28.5,25.8,1005.10,32.9,11.90,0.20,0.0,85,9.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.19,08-20-2019,19:00:00,1006.37,28.0,23.6,1003.95,34.6,0.00,0.00,11.1,77,10.00,320
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,33.71,08-20-2019,19:00:00,1005.54,29.7,26.0,1005.03,33.0,0.00,0.00,14.8,81,10.00,280
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,28.10,08-20-2019,19:00:00,1005.75,27.7,23.0,1000.61,34.0,6.80,0.01,1.9,76,12.00,280
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.00,08-20-2019,19:00:00,1006.10,28.8,25.7,1005.69,31.8,27.80,0.00,0.0,83,7.00,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,33.37,08-20-2019,19:00:00,1006.66,28.0,25.9,1003.90,30.8,21.60,0.00,0.0,88,8.00,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.12,08-20-2019,19:00:00,1007.06,29.3,23.0,1006.28,32.0,0.20,0.00,0.0,69,10.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.96,08-20-2019,19:00:00,1006.57,28.5,25.7,1006.12,30.7,5.10,0.00,0.0,85,8.00,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.54,08-20-2019,19:00:00,1006.99,28.9,23.8,1006.32,33.7,0.00,0.00,0.0,74,10.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.50,08-20-2019,19:00:00,1006.76,29.5,23.2,1005.25,34.0,0.00,0.00,0.0,69,10.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,31.05,08-20-2019,19:00:00,1007.66,29.1,24.7,1006.75,33.1,0.00,0.00,5.6,77,10.00,210
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.15,08-20-2019,19:00:00,1006.81,31.4,23.6,1006.13,35.5,0.00,0.00,5.6,63,10.00,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.08,08-20-2019,19:00:00,1007.35,29.8,23.6,1006.56,36.0,0.00,0.00,5.6,69,10.00,280
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.91,08-20-2019,19:00:00,1006.44,30.0,23.5,1005.81,37.0,0.00,0.00,0.0,68,10.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.74,08-20-2019,19:00:00,1006.79,30.5,24.5,1006.39,38.0,0.00,0.00,0.0,70,10.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.15,08-20-2019,19:00:00,1008.87,29.5,22.4,1004.69,35.7,0.00,0.00,3.7,66,6.00,220
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,30.45,08-20-2019,19:00:00,1007.47,27.8,24.3,1005.86,34.6,0.00,0.00,0.0,82,12.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.40,08-20-2019,19:00:00,1007.85,29.7,24.9,1004.40,35.2,0.00,0.00,0.0,75,10.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.54,08-20-2019,19:00:00,1008.71,28.5,24.9,1007.36,35.5,0.40,0.00,0.0,81,10.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.29,08-20-2019,19:00:00,1007.56,29.0,24.3,1006.68,31.5,0.00,0.00,7.4,76,12.00,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.82,08-20-2019,19:00:00,1007.55,27.8,23.4,1004.00,33.1,0.00,0.00,0.0,77,10.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.55,08-20-2019,19:00:00,1007.45,29.9,23.8,1007.01,34.3,0.00,0.00,7.4,70,10.00,310
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.91,08-20-2019,19:00:00,1007.36,29.8,24.0,1006.38,32.4,0.00,0.00,0.0,71,10.00,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.63,08-20-2019,19:00:00,1007.60,29.6,24.4,1006.80,32.0,0.00,0.00,24.1,74,10.00,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.44,08-20-2019,19:00:00,1007.22,30.0,24.9,1005.43,33.9,0.01,0.00,0.0,74,10.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,27.38,08-20-2019,19:00:00,1006.93,32.2,22.6,1006.19,36.9,0.00,0.00,11.1,57,10.00,270
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.39,08-20-2019,19:00:00,1006.95,29.9,24.3,1002.99,34.5,0.00,0.00,11.1,72,10.00,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.05,08-20-2019,19:00:00,1007.47,29.1,24.7,1006.79,33.7,1.60,0.00,7.4,77,10.00,230
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.49,08-20-2019,19:00:00,1006.24,31.5,24.4,1005.14,35.3,0.00,0.00,5.6,66,10.00,220
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.67,08-20-2019,19:00:00,1007.22,29.9,25.5,1004.33,34.2,0.00,0.00,0.0,77,10.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.95,08-20-2019,19:00:00,1007.07,29.4,26.2,1006.38,35.5,0.00,0.00,0.0,83,9.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,30.70,08-20-2019,19:00:00,1007.76,26.5,24.5,1003.63,35.2,10.50,10.50,0.0,89,5.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,30.55,08-20-2019,19:00:00,1007.19,29.7,24.4,1006.61,33.0,0.00,0.00,9.3,73,10.00,120
