WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,MaximumTemperature,VaporPressure,LandVisibility,WindDirection,StationPressure,MeanSeaLevelPressure,WindSpeed,DewPoint,Rainfall24Hr,Rainfall,AirTemperature,RelativeHumidity
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-13-2019,19:00:00,33.4,34.37,9.00,000,1006.03,1007.95,0.0,26.4,0.80,0.00,29.6,83
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-13-2019,19:00:00,29.7,29.30,10.00,260,986.76,1007.55,5.6,23.7,1.80,0.00,28.2,77
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-13-2019,19:00:00,30.0,33.24,10.00,000,988.90,1006.46,0.0,25.8,1.40,0.00,28.5,85
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-13-2019,19:00:00,30.2,32.55,10.00,000,990.41,1006.46,0.0,25.5,1.60,0.00,29.0,81
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-13-2019,19:00:00,32.3,32.96,10.00,000,993.64,1007.61,0.0,25.7,0.40,0.40,28.5,85
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-13-2019,19:00:00,33.0,33.59,6.00,000,992.89,1007.74,0.0,26.0,0.60,0.60,26.7,96
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-13-2019,19:00:00,31.8,33.34,6.00,000,994.32,1009.02,0.0,25.9,2.00,2.00,27.0,94
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-13-2019,19:00:00,33.3,30.70,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1004.06,1007.05,0.0,24.5,0.20,0.00,30.2,72
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-13-2019,19:00:00,31.9,34.40,8.00,000,999.34,1007.27,0.0,26.4,2.40,2.20,27.8,92
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-13-2019,19:00:00,34.7,34.33,7.00,090,1006.88,1007.98,9.3,26.4,0.00,0.00,29.3,84
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-13-2019,19:00:00,30.6,33.50,9.00,090,990.77,1005.27,5.6,25.9,0.00,0.00,30.3,78
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-13-2019,19:00:00,23.0,24.16,.05,180,874.11,1008.84,5.6,20.5,12.40,1.80,20.7,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-13-2019,19:00:00,33.7,34.00,9.00,230,1001.96,1007.79,5.6,26.2,5.80,0.01,29.7,82
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-13-2019,19:00:00,34.5,31.15,8.00,180,1007.06,1007.85,9.3,24.7,0.00,0.00,30.7,71
