WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,StationPressure,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,DewPoint,WindDirection,Rainfall,VaporPressure,LandVisibility,Rainfall24Hr
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,29.2,07-23-2019,13:00:00,988.44,0.0,1005.69,82,25.8,000,0.00,33.24,12.00,35.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,33.6,07-23-2019,13:00:00,978.80,5.6,1003.94,54,23.1,330,0.00,28.19,12.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.0,07-23-2019,13:00:00,1000.14,0.0,1005.79,59,24.8,000,0.00,31.34,10.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,32.0,07-23-2019,13:00:00,998.88,0.0,1004.95,69,25.7,000,0.00,32.99,10.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,32.3,07-23-2019,13:00:00,989.75,0.0,1005.88,63,24.5,000,0.00,30.69,10.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.3,07-23-2019,13:00:00,983.69,5.6,1005.81,79,25.2,270,1.00,32.01,10.00,1.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.5,07-23-2019,13:00:00,992.00,11.1,1006.11,61,23.9,290,0.00,29.66,8.00,0.01
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.5,07-23-2019,13:00:00,989.41,0.0,1005.53,57,21.9,000,0.00,26.32,12.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.2,07-23-2019,13:00:00,1000.60,5.6,1005.73,66,25.0,160,0.00,31.65,10.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.0,07-23-2019,13:00:00,991.21,0.0,1004.06,56,24.0,000,0.00,29.87,12.00,0.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.0,07-23-2019,13:00:00,996.63,1.9,1005.79,64,24.5,100,0.00,30.65,12.00,0.01
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.3,07-23-2019,13:00:00,983.19,5.6,1004.37,57,23.5,240,0.00,29.01,10.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,35.0,07-23-2019,13:00:00,987.70,7.4,1004.71,57,25.3,180,0.00,32.31,10.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,32.0,07-23-2019,13:00:00,988.87,5.6,1004.40,66,24.9,300,0.00,31.52,12.00,10.10
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,34.4,07-23-2019,13:00:00,984.92,7.4,1003.29,57,24.6,190,0.00,31.01,10.00,0.01
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,28.7,07-23-2019,13:00:00,957.61,0.0,1008.41,68,22.2,000,0.00,26.75,11.00,0.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.7,07-23-2019,13:00:00,1001.75,3.7,1005.63,63,24.8,170,0.00,31.23,10.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.2,07-23-2019,13:00:00,912.65,11.1,1006.92,86,21.8,220,0.10,26.09,5.00,0.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.5,07-23-2019,13:00:00,988.96,7.4,1004.57,63,25.4,220,0.00,32.35,10.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,35.6,07-23-2019,13:00:00,1001.53,5.6,1005.45,55,25.1,300,0.00,31.82,12.00,0.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.5,07-23-2019,13:00:00,996.41,9.3,1006.85,57,23.8,210,0.00,29.41,10.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.0,07-23-2019,13:00:00,1004.68,5.6,1006.57,62,24.6,140,0.00,30.99,12.00,0.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,35.0,07-23-2019,13:00:00,984.47,7.4,1004.75,47,22.0,250,0.00,26.47,12.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.4,07-23-2019,13:00:00,986.97,18.5,1004.22,59,24.3,210,0.00,30.37,10.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,34.0,07-23-2019,13:00:00,988.52,5.6,1004.27,62,25.6,160,0.00,32.84,10.00,0.10
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,33.7,07-23-2019,13:00:00,991.32,9.3,1005.02,59,24.6,210,0.00,31.00,10.00,15.20
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,33.5,07-23-2019,13:00:00,991.83,0.0,1006.33,64,25.8,000,0.00,33.25,10.00,8.80
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.5,07-23-2019,13:00:00,991.25,11.1,1005.59,71,27.6,270,0.00,36.96,8.00,1.80
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,34.8,07-23-2019,13:00:00,1003.53,0.0,1006.48,50,22.8,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,27.77,10.00,0.40
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,33.6,07-23-2019,13:00:00,997.47,5.6,1005.24,57,23.9,210,0.00,29.62,10.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.7,07-23-2019,13:00:00,1006.14,5.6,1007.22,63,24.6,260,0.00,30.94,8.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.4,07-23-2019,13:00:00,990.98,0.0,1005.48,88,28.2,000,0.00,38.26,9.00,4.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,23.7,07-23-2019,13:00:00,871.99,5.6,1004.96,84,20.8,240,0.00,24.54,8.00,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,34.8,07-23-2019,13:00:00,999.66,3.7,1005.38,58,25.3,250,0.00,32.18,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,36.0,07-23-2019,13:00:00,1005.44,13.0,1006.22,63,27.8,240,0.00,37.46,9.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.7,07-23-2019,13:00:00,1005.73,16.7,1006.17,64,25.1,230,0.00,31.82,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,31.3,07-23-2019,13:00:00,996.28,0.0,1007.43,70,25.1,000,0.00,31.80,7.00,0.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,34.5,07-23-2019,13:00:00,1005.04,7.4,1006.02,53,23.6,240,0.00,29.17,12.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,33.4,07-23-2019,13:00:00,1004.75,3.7,1006.54,58,24.0,230,0.00,29.79,9.00,0.01
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,34.4,07-23-2019,13:00:00,1004.66,0.0,1005.41,52,23.2,000,0.00,28.39,10.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,33.2,07-23-2019,13:00:00,1005.53,24.1,1006.22,57,23.6,190,0.00,29.09,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,34.6,07-23-2019,13:00:00,1005.21,0.0,1005.89,62,26.1,000,0.00,33.87,7.00,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,36.0,07-23-2019,13:00:00,984.10,13.0,1004.59,51,24.3,290,0.00,30.29,10.00,0.01
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,32.7,07-23-2019,13:00:00,989.19,7.4,1005.57,66,25.5,210,0.00,32.71,10.00,51.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,33.7,07-23-2019,13:00:00,989.94,11.1,1005.99,63,25.7,230,0.00,33.08,14.00,28.80
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.0,07-23-2019,13:00:00,983.63,0.0,1004.95,61,25.3,000,0.00,32.23,10.00,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,31.8,07-23-2019,13:00:00,963.16,22.2,1005.68,56,21.9,250,0.00,26.34,15.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,34.6,07-23-2019,13:00:00,984.98,11.1,1004.99,51,22.9,240,0.00,27.94,12.00,3.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,34.4,07-23-2019,13:00:00,986.56,11.1,1006.87,61,25.7,240,0.00,33.11,10.00,1.40
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,34.5,07-23-2019,13:00:00,1005.64,13.0,1006.06,54,23.8,230,0.00,29.46,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,32.5,07-23-2019,13:00:00,1004.40,0.0,1005.79,70,26.4,000,0.00,34.38,11.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,34.0,07-23-2019,13:00:00,1001.12,3.7,1005.93,62,25.6,210,0.00,32.84,9.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,36.1,07-23-2019,13:00:00,1002.11,3.7,1005.30,45,22.3,270,0.00,26.99,12.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,36.2,07-23-2019,13:00:00,1004.39,5.6,1005.46,45,22.5,270,0.00,27.19,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,34.5,07-23-2019,13:00:00,1005.90,14.8,1006.20,57,24.6,210,0.00,30.93,10.00,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,34.3,07-23-2019,13:00:00,1005.61,11.1,1006.28,55,24.0,230,0.00,29.92,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,34.2,07-23-2019,13:00:00,1005.74,3.7,1006.22,54,23.4,270,0.00,28.84,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,35.4,07-23-2019,13:00:00,1004.37,20.4,1005.74,51,23.7,250,0.00,29.30,10.00,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.3,07-23-2019,13:00:00,1004.85,13.0,1006.51,72,25.7,200,0.00,32.97,12.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,34.0,07-23-2019,13:00:00,999.80,7.4,1007.63,51,22.4,220,0.00,27.01,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,34.0,07-23-2019,13:00:00,1005.80,5.6,1006.08,62,25.6,150,0.00,32.84,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.0,07-23-2019,13:00:00,1003.46,5.6,1006.54,66,24.9,250,0.00,31.52,12.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.0,07-23-2019,13:00:00,1000.07,5.6,1006.90,63,24.1,240,0.00,30.08,12.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,34.5,07-23-2019,13:00:00,999.94,11.1,1005.39,56,24.4,250,0.00,30.63,8.00,0.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.6,07-23-2019,13:00:00,998.49,14.8,1007.64,63,24.7,230,0.00,31.02,8.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,36.1,07-23-2019,13:00:00,1005.45,13.0,1006.68,43,21.6,270,0.00,25.85,15.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,34.4,07-23-2019,13:00:00,1005.58,25.9,1006.00,57,24.6,220,0.00,31.01,11.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,34.8,07-23-2019,13:00:00,994.64,9.3,1006.59,50,22.8,280,0.00,27.77,9.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,33.8,07-23-2019,13:00:00,1005.64,11.1,1006.34,67,26.8,130,0.00,35.14,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,34.6,07-23-2019,13:00:00,1006.15,14.8,1008.53,57,24.7,270,0.00,31.14,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,31.8,07-23-2019,13:00:00,1006.53,18.5,1007.04,71,25.9,230,0.00,33.45,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,34.4,07-23-2019,13:00:00,1001.42,5.6,1006.44,56,24.5,240,0.00,30.71,12.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,33.0,07-23-2019,13:00:00,1006.74,7.4,1007.14,63,24.9,220,0.00,31.57,8.00,0.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.2,07-23-2019,13:00:00,1004.82,5.6,1007.55,67,25.3,230,0.00,32.23,10.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,35.2,07-23-2019,13:00:00,1006.42,7.4,1007.18,44,21.2,360,0.00,25.19,12.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,32.7,07-23-2019,13:00:00,1007.30,5.6,1007.76,75,27.6,240,0.00,36.99,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,34.1,07-23-2019,13:00:00,1007.04,7.4,1007.71,54,23.3,260,0.00,28.63,10.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,33.5,07-23-2019,13:00:00,1006.41,0.0,1007.91,59,24.2,000,0.00,30.28,9.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.7,07-23-2019,13:00:00,1008.19,11.1,1009.09,58,23.5,260,0.00,28.93,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.8,07-23-2019,13:00:00,1007.68,0.0,1008.35,50,21.9,000,0.00,26.34,12.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.5,07-23-2019,13:00:00,1007.63,9.3,1008.41,51,23.0,260,0.00,28.02,10.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,34.1,07-23-2019,13:00:00,1006.73,5.6,1007.35,47,21.1,230,0.00,24.99,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.2,07-23-2019,13:00:00,1007.32,11.1,1007.72,59,25.1,210,0.00,31.77,12.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,33.8,07-23-2019,13:00:00,1005.70,9.3,1009.82,57,24.1,210,0.00,30.04,7.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.0,07-23-2019,13:00:00,1006.76,0.0,1008.34,54,22.4,000,0.00,27.00,12.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.3,07-23-2019,13:00:00,1005.12,11.1,1008.53,54,22.7,220,0.00,27.59,12.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.8,07-23-2019,13:00:00,1005.98,3.7,1007.32,64,24.2,220,0.00,30.24,10.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,32.0,07-23-2019,13:00:00,1008.24,7.4,1009.11,60,23.3,240,0.00,28.66,10.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.5,07-23-2019,13:00:00,1004.47,0.0,1007.96,60,23.7,000,0.00,29.38,10.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.0,07-23-2019,13:00:00,1008.41,5.6,1008.85,73,24.6,300,0.00,30.87,10.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.8,07-23-2019,13:00:00,1007.56,0.0,1008.54,64,24.1,000,0.00,29.96,10.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.8,07-23-2019,13:00:00,1008.03,9.3,1008.83,71,25.9,170,0.00,33.45,10.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.8,07-23-2019,13:00:00,1006.78,11.1,1008.58,69,23.6,230,0.01,29.08,7.00,7.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,33.0,07-23-2019,13:00:00,1007.09,5.6,1007.83,55,22.9,250,0.00,27.84,12.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.9,07-23-2019,13:00:00,1003.80,9.3,1007.74,64,24.2,240,0.00,30.16,10.00,2.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.8,07-23-2019,13:00:00,1007.52,9.3,1008.19,71,24.8,270,0.00,31.35,10.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,33.3,07-23-2019,13:00:00,1006.25,0.0,1007.35,58,23.9,000,0.00,29.58,10.00,5.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.3,07-23-2019,13:00:00,1005.33,16.7,1008.21,63,23.5,310,0.00,28.96,10.00,0.01
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.6,07-23-2019,13:00:00,1006.36,9.3,1007.04,56,23.6,240,0.00,29.04,12.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,34.0,07-23-2019,13:00:00,1004.13,11.1,1008.16,53,23.2,240,0.00,28.43,10.00,0.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.0,07-23-2019,13:00:00,1007.17,0.0,1007.75,63,24.1,000,0.00,30.08,12.00,0.00
