WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,AirTemperature,VaporPressure,StationPressure,LandVisibility,DewPoint,Rainfall24Hr,Rainfall,WindDirection,WindSpeed
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1002.57,07-18-2019,22:00:00,79,32.0,37.57,983.10,12.00,27.9,0.00,0.00,130,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,1003.49,07-18-2019,22:00:00,88,26.5,30.43,974.93,15.00,24.3,0.01,0.00,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1002.91,07-18-2019,22:00:00,69,31.5,31.93,983.14,12.00,25.1,0.00,0.00,150,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1004.18,07-18-2019,22:00:00,84,29.1,33.91,982.68,12.00,26.1,0.00,0.00,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1003.22,07-18-2019,22:00:00,82,30.4,35.50,984.03,12.00,26.9,0.00,0.00,000,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1004.15,07-18-2019,22:00:00,77,30.5,33.63,987.65,10.00,26.0,0.00,0.00,120,1.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1004.18,07-18-2019,22:00:00,89,29.2,36.19,986.95,10.00,27.3,0.00,0.00,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1002.26,07-18-2019,22:00:00,76,29.3,30.88,976.82,10.00,24.6,0.00,0.00,000,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1002.65,07-18-2019,22:00:00,69,31.0,31.19,996.96,10.00,24.7,0.00,0.00,260,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1002.19,07-18-2019,22:00:00,71,30.0,30.31,996.09,12.00,24.3,0.00,0.00,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1004.13,07-18-2019,22:00:00,83,29.2,33.83,987.86,10.00,26.1,0.00,0.00,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.91,07-18-2019,22:00:00,78,26.8,27.52,981.65,10.00,22.7,0.00,0.00,000,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.30,07-18-2019,22:00:00,62,30.2,26.58,990.11,10.00,22.1,0.00,0.00,190,11.1
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1002.86,07-18-2019,22:00:00,61,30.9,27.35,986.76,10.00,22.6,0.00,0.00,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1003.52,07-18-2019,22:00:00,77,30.5,33.63,998.37,10.00,26.0,0.00,0.00,150,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1002.28,07-18-2019,22:00:00,70,30.5,30.46,989.30,10.00,24.3,0.00,0.00,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1003.40,07-18-2019,22:00:00,69,30.3,29.78,994.21,12.00,24.0,0.00,0.00,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1003.62,07-18-2019,22:00:00,81,28.2,30.95,982.10,10.00,24.6,15.30,15.30,130,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1002.95,07-18-2019,22:00:00,81,27.5,29.60,985.55,10.00,23.9,2.30,2.30,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1003.12,07-18-2019,22:00:00,69,31.1,31.10,987.57,10.00,24.7,0.00,0.00,000,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1002.86,07-18-2019,22:00:00,69,29.8,28.80,984.23,10.00,23.4,0.01,0.01,200,3.7
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1006.77,07-18-2019,22:00:00,89,24.5,27.35,955.37,7.00,22.6,0.00,0.00,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1003.17,07-18-2019,22:00:00,79,29.4,32.50,999.26,7.00,25.4,0.00,0.00,000,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1006.05,07-18-2019,22:00:00,92,21.9,24.11,911.17,5.00,20.5,0.00,0.00,190,14.8
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1003.40,07-18-2019,22:00:00,73,31.3,33.27,987.70,8.00,25.8,0.00,0.00,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1003.73,07-18-2019,22:00:00,79,28.8,31.29,999.73,10.00,24.8,0.00,0.00,000,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1004.77,07-18-2019,22:00:00,67,29.9,28.45,994.22,8.00,23.2,0.00,0.00,000,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.78,07-18-2019,22:00:00,81,28.5,31.54,1002.86,9.00,24.9,0.00,0.00,180,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1003.06,07-18-2019,22:00:00,59,31.4,26.94,982.58,10.00,22.3,0.00,0.00,000,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1003.74,07-18-2019,22:00:00,73,30.6,32.09,986.34,10.00,25.2,0.00,0.00,000,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1003.18,07-18-2019,22:00:00,69,31.5,31.93,987.32,10.00,25.1,0.00,0.00,200,5.6
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1004.50,07-18-2019,22:00:00,75,30.0,31.72,990.64,10.00,25.0,0.00,0.00,000,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1005.03,07-18-2019,22:00:00,80,29.0,31.98,990.33,8.00,25.2,0.00,0.00,120,3.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1004.71,07-18-2019,22:00:00,92,27.6,33.99,990.10,8.00,26.2,2.70,2.70,000,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.83,07-18-2019,22:00:00,80,28.2,30.40,1000.83,10.00,24.3,0.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1003.45,07-18-2019,22:00:00,70,30.6,30.66,995.62,8.00,24.5,0.00,0.00,000,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1004.92,07-18-2019,22:00:00,79,29.0,31.69,1003.82,9.00,25.0,0.00,0.00,180,7.4
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1004.15,07-18-2019,22:00:00,71,30.6,31.23,989.68,10.00,24.8,0.00,0.00,000,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1005.51,07-18-2019,22:00:00,99,20.7,24.16,871.23,.10,20.5,30.80,30.60,190,13.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.94,07-18-2019,22:00:00,79,30.8,34.87,998.15,10.00,26.6,0.00,0.00,190,7.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.04,07-18-2019,22:00:00,87,30.0,37.05,1004.25,8.00,27.7,0.00,0.00,180,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.75,07-18-2019,22:00:00,80,30.0,34.05,1004.31,10.00,26.2,0.00,0.00,210,16.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1006.06,07-18-2019,22:00:00,92,26.3,31.41,994.74,6.00,24.9,10.00,0.00,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1004.91,07-18-2019,22:00:00,85,28.5,32.96,1003.90,10.00,25.7,0.01,0.00,200,3.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.81,07-18-2019,22:00:00,75,29.5,30.72,1003.01,8.00,24.5,0.00,0.00,190,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1005.82,07-18-2019,22:00:00,78,28.5,30.15,1005.06,5.00,24.2,0.00,0.00,000,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.32,07-18-2019,22:00:00,81,29.2,32.67,1004.62,10.00,25.5,0.00,0.00,190,22.2
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.00,07-18-2019,22:00:00,78,30.5,34.22,1004.30,7.00,26.3,0.00,0.00,000,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1004.18,07-18-2019,22:00:00,74,30.5,32.46,983.33,10.00,25.4,1.90,0.00,220,3.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1004.56,07-18-2019,22:00:00,75,29.5,30.72,988.02,8.00,24.5,0.00,0.00,000,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1004.92,07-18-2019,22:00:00,76,29.2,30.96,988.65,8.00,24.6,0.00,0.00,210,9.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1004.42,07-18-2019,22:00:00,73,30.0,31.15,982.84,10.00,24.7,0.00,0.00,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1004.72,07-18-2019,22:00:00,75,28.0,28.39,961.72,10.00,23.2,0.00,0.00,140,7.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1003.99,07-18-2019,22:00:00,75,29.5,30.72,983.67,10.00,24.5,7.60,0.00,000,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1005.90,07-18-2019,22:00:00,78,30.1,33.08,985.32,8.00,25.7,0.00,0.00,170,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.30,07-18-2019,22:00:00,71,29.7,29.44,1004.87,10.00,23.8,0.00,0.00,270,7.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.02,07-18-2019,22:00:00,85,28.0,31.95,1003.61,8.00,25.1,0.00,0.00,000,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.51,07-18-2019,22:00:00,88,27.6,32.56,1000.60,7.00,25.5,32.30,0.00,000,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.41,07-18-2019,22:00:00,71,29.5,29.33,1002.15,12.00,23.7,0.00,0.00,250,9.3
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.15,07-18-2019,22:00:00,88,27.7,32.76,1004.05,10.00,25.6,0.10,0.00,000,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.28,07-18-2019,22:00:00,68,30.5,29.89,1004.98,10.00,24.0,0.00,0.00,190,9.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.64,07-18-2019,22:00:00,71,30.0,30.31,1005.16,10.00,24.3,0.00,0.00,000,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.18,07-18-2019,22:00:00,80,30.0,33.75,1003.79,10.00,26.1,0.00,0.00,180,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1006.81,07-18-2019,22:00:00,82,27.9,30.92,998.83,10.00,24.6,0.40,0.00,180,11.1
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1005.16,07-18-2019,22:00:00,82,30.0,34.64,1004.88,10.00,26.5,0.00,0.00,160,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.71,07-18-2019,22:00:00,80,29.7,33.41,1001.61,10.00,25.9,0.00,0.00,230,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.66,07-18-2019,22:00:00,85,29.0,33.99,998.77,10.00,26.2,0.00,0.00,210,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1005.69,07-18-2019,22:00:00,79,29.3,32.30,1000.14,9.00,25.3,0.00,0.00,000,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.05,07-18-2019,22:00:00,78,27.9,29.28,1004.79,10.00,23.7,0.00,0.00,000,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.32,07-18-2019,22:00:00,68,28.8,26.93,1004.89,11.00,22.3,0.90,0.00,220,13.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.27,07-18-2019,22:00:00,80,26.7,28.13,994.01,10.00,23.0,0.00,0.00,000,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.94,07-18-2019,22:00:00,75,28.4,28.86,1005.23,10.00,23.5,1.10,0.00,000,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.10,07-18-2019,22:00:00,80,29.2,32.38,1003.68,10.00,25.4,0.01,0.01,220,11.1
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.96,07-18-2019,22:00:00,83,29.3,33.74,1005.45,10.00,26.1,0.00,0.00,250,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.83,07-18-2019,22:00:00,79,29.0,31.69,1000.71,8.00,25.0,0.00,0.00,210,9.3
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.28,07-18-2019,22:00:00,91,27.5,33.50,1005.87,7.00,25.9,111.20,0.00,000,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.21,07-18-2019,22:00:00,96,26.5,33.19,1003.44,8.00,25.8,142.10,0.00,040,7.4
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.60,07-18-2019,22:00:00,59,30.9,26.27,1007.82,10.00,21.9,0.00,0.00,000,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.37,07-18-2019,22:00:00,97,25.8,32.37,1005.91,5.00,25.4,109.20,4.10,090,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.52,07-18-2019,22:00:00,97,24.1,28.96,1006.83,8.00,23.5,33.10,0.50,000,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.47,07-18-2019,22:00:00,94,25.0,29.79,1005.94,7.00,24.0,20.60,0.00,000,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.74,07-18-2019,22:00:00,95,24.4,28.97,1007.82,7.00,23.5,56.90,0.40,150,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.12,07-18-2019,22:00:00,93,26.0,31.38,1006.43,10.00,24.8,33.80,0.10,250,9.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.20,07-18-2019,22:00:00,95,25.0,30.05,1007.40,6.00,24.1,7.60,0.70,000,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.25,07-18-2019,22:00:00,94,25.2,30.15,1006.61,10.00,24.2,19.60,0.00,000,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.58,07-18-2019,22:00:00,97,24.8,30.22,1007.17,10.00,24.2,28.20,0.01,180,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1010.17,07-18-2019,22:00:00,96,25.0,30.32,1005.92,4.00,24.3,3.00,0.20,000,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.32,07-18-2019,22:00:00,98,24.4,30.02,1006.69,10.00,24.1,22.60,1.00,000,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1008.66,07-18-2019,22:00:00,93,25.0,29.52,1005.16,8.00,23.8,14.00,0.00,000,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.35,07-18-2019,22:00:00,86,26.5,29.89,1006.99,10.00,24.0,2.70,0.00,000,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.85,07-18-2019,22:00:00,99,25.1,31.58,1006.96,10.00,24.9,138.20,3.20,000,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1008.58,07-18-2019,22:00:00,99,24.1,29.74,1004.98,8.00,23.9,17.30,3.30,000,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.02,07-18-2019,22:00:00,95,25.5,30.98,1007.58,10.00,24.6,67.40,17.00,000,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.07,07-18-2019,22:00:00,96,25.7,31.63,1007.07,7.00,25.0,98.80,12.40,270,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.53,07-18-2019,22:00:00,96,24.1,28.70,1007.70,9.00,23.4,37.80,9.20,000,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.83,07-18-2019,22:00:00,92,25.0,29.00,1007.00,10.00,23.5,11.50,0.00,000,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.58,07-18-2019,22:00:00,94,25.1,29.97,1007.82,10.00,24.1,68.20,52.60,150,1.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1008.65,07-18-2019,22:00:00,91,25.7,30.01,1004.64,10.00,24.1,1.00,0.20,000,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.14,07-18-2019,22:00:00,86,26.4,29.43,1008.46,10.00,23.8,0.20,0.00,000,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.31,07-18-2019,22:00:00,83,27.2,29.85,1007.19,8.00,24.0,1.00,0.40,000,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.64,07-18-2019,22:00:00,86,27.2,30.94,1005.72,10.00,24.6,0.00,0.00,000,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.32,07-18-2019,22:00:00,97,25.4,31.33,1007.63,6.00,24.8,17.40,11.90,000,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1008.94,07-18-2019,22:00:00,81,27.4,29.69,1004.82,7.00,23.9,0.00,0.00,000,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.26,07-18-2019,22:00:00,78,27.5,28.80,1007.67,8.00,23.4,0.00,0.00,340,13.0
