WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,LandVisibility,DewPoint,StationPressure,Rainfall,WindDirection,MeanSeaLevelPressure,AirTemperature,WindSpeed,VaporPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,91,07-12-2019,04:00:00,0.00,6.00,24.0,977.04,0.00,000,1006.99,25.6,0.0,29.82
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,89,07-12-2019,04:00:00,2.40,7.00,23.9,972.70,0.00,000,1008.28,25.9,0.0,29.58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,84,07-12-2019,04:00:00,0.00,10.00,23.9,977.07,0.00,000,1006.72,26.8,0.0,29.64
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,80,07-12-2019,04:00:00,0.00,9.00,23.3,1000.54,0.00,000,1007.85,27.0,0.0,28.67
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,92,07-12-2019,04:00:00,3.90,10.00,25.1,987.01,0.00,000,1006.93,26.5,0.0,31.79
48353,LOEI,เลย,เลย,17.45000,101.73333,65,07-12-2019,04:00:00,0.00,13.00,21.2,978.39,0.00,250,1006.87,28.4,5.6,25.17
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,94,07-12-2019,04:00:00,10.40,10.00,25.7,987.21,0.00,000,1007.39,26.7,0.0,33.02
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,89,07-12-2019,04:00:00,3.20,10.00,24.8,985.73,0.00,000,1007.46,26.8,0.0,31.27
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,85,07-12-2019,04:00:00,4.80,10.00,24.7,987.42,0.00,000,1006.86,27.4,0.0,31.05
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,85,07-12-2019,04:00:00,2.30,10.00,24.6,991.35,0.00,140,1008.09,27.3,3.7,30.86
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,07-12-2019,04:00:00,0.01,10.00,25.2,990.59,0.00,000,1008.03,26.6,0.0,31.99
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,94,07-12-2019,04:00:00,0.00,10.00,25.7,981.33,0.00,000,1007.11,26.8,0.0,32.94
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,76,07-12-2019,04:00:00,0.00,10.00,23.2,1002.22,0.00,260,1008.00,27.7,7.4,28.37
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,76,07-12-2019,04:00:00,0.00,12.00,23.9,1001.65,0.00,000,1007.81,28.5,0.0,29.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,79,07-12-2019,04:00:00,0.00,8.00,23.6,992.66,0.00,000,1009.10,27.5,0.0,29.06
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,95,07-12-2019,04:00:00,2.20,10.00,23.7,985.83,1.00,000,1008.35,24.6,0.0,29.33
48376,TAK,ตาก,ตาก,16.87833,99.14333,73,07-12-2019,04:00:00,0.00,6.00,22.3,994.85,0.00,270,1009.24,27.5,11.1,26.95
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,88,07-12-2019,04:00:00,0.00,7.00,24.3,992.01,0.00,240,1008.44,26.5,9.3,30.43
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,78,07-12-2019,04:00:00,0.00,10.00,24.0,1003.08,0.00,000,1008.29,28.2,0.0,29.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,81,07-12-2019,04:00:00,0.00,10.00,24.2,993.82,0.00,000,1006.98,27.7,0.0,30.26
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,82,07-12-2019,04:00:00,0.00,10.00,23.4,999.39,0.00,000,1008.73,26.8,0.0,28.84
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,89,07-12-2019,04:00:00,1.80,8.00,25.0,985.97,0.00,230,1007.67,27.0,3.7,31.66
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,76,07-12-2019,04:00:00,0.01,10.00,23.0,990.63,0.00,240,1008.11,27.7,5.6,28.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,84,07-12-2019,04:00:00,0.00,10.00,24.1,991.10,0.00,000,1006.93,27.0,0.0,30.02
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,78,07-12-2019,04:00:00,0.01,8.00,23.2,987.90,0.00,000,1006.75,27.4,0.0,28.35
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,92,07-12-2019,04:00:00,0.50,6.00,22.0,959.67,0.50,000,1011.50,23.4,0.0,26.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,92,07-12-2019,04:00:00,0.00,6.00,25.8,1004.24,0.00,000,1008.20,27.2,0.0,33.17
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,07-12-2019,04:00:00,1.00,1.50,20.2,914.53,0.80,200,1010.17,20.7,11.1,23.70
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,75,07-12-2019,04:00:00,0.00,6.00,23.4,991.67,0.00,000,1007.60,28.2,0.0,28.76
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,80,07-12-2019,04:00:00,0.00,10.00,24.0,1004.71,0.00,000,1008.74,27.8,0.0,29.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,86,07-12-2019,04:00:00,0.00,8.00,23.5,998.96,0.00,000,1009.70,26.0,0.0,28.97
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,90,07-12-2019,04:00:00,0.00,8.00,24.9,1007.33,0.00,000,1009.27,26.8,0.0,31.55
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,72,07-12-2019,04:00:00,0.00,10.00,21.7,987.67,0.00,000,1008.54,27.2,0.0,25.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,73,07-12-2019,04:00:00,0.00,10.00,22.3,989.52,0.00,000,1007.16,27.5,0.0,26.95
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,77,07-12-2019,04:00:00,0.00,10.00,23.6,991.30,0.00,190,1007.41,28.0,5.6,29.19
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,85,07-12-2019,04:00:00,0.00,10.00,24.6,994.00,0.00,000,1008.03,27.3,0.0,30.86
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,89,07-12-2019,04:00:00,0.00,8.00,24.6,994.38,0.00,000,1009.26,26.5,0.0,30.97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,81,07-12-2019,04:00:00,0.00,6.00,23.9,993.97,0.00,000,1008.63,27.5,0.0,29.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,82,07-12-2019,04:00:00,0.00,10.00,24.9,1005.71,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.72,28.3,0.0,31.42
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,80,07-12-2019,04:00:00,0.00,7.00,24.6,1000.55,0.00,000,1008.48,28.3,0.0,30.87
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,07-12-2019,04:00:00,0.00,8.00,24.1,1008.12,0.00,190,1009.23,26.9,7.4,30.10
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,83,07-12-2019,04:00:00,0.00,8.00,23.4,993.35,0.00,100,1008.06,26.6,3.7,28.74
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,98,07-12-2019,04:00:00,0.00,2.00,19.0,874.61,0.00,190,1010.09,19.3,5.6,21.93
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,82,07-12-2019,04:00:00,0.00,10.00,24.2,1003.06,0.00,240,1008.94,27.5,5.6,30.15
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,85,07-12-2019,04:00:00,0.00,8.00,25.1,1009.22,0.00,240,1010.02,28.0,3.7,31.95
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,79,07-12-2019,04:00:00,0.00,10.00,25.3,1008.83,0.00,240,1009.28,29.3,5.6,32.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,94,07-12-2019,04:00:00,0.00,4.00,23.7,999.25,0.00,000,1010.68,24.7,0.0,29.25
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,79,07-12-2019,04:00:00,0.00,10.00,22.6,1008.09,0.00,190,1009.10,26.6,3.7,27.42
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,87,07-12-2019,04:00:00,0.00,8.00,24.5,1007.13,0.00,170,1008.96,27.0,3.7,30.83
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,77,07-12-2019,04:00:00,0.00,7.00,21.5,1008.31,0.00,000,1009.08,25.9,0.0,25.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,85,07-12-2019,04:00:00,0.00,10.00,24.0,1008.93,0.00,250,1009.63,26.8,9.3,29.91
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,87,07-12-2019,04:00:00,0.00,7.00,25.1,1008.66,0.00,000,1009.37,27.5,0.0,31.80
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,75,07-12-2019,04:00:00,0.00,10.00,22.3,987.27,0.00,220,1008.45,27.0,3.7,26.84
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,82,07-12-2019,04:00:00,0.00,7.00,23.0,991.74,0.00,210,1008.51,26.4,5.6,28.11
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,85,07-12-2019,04:00:00,0.00,6.00,23.0,992.69,0.00,190,1009.22,25.7,3.7,28.16
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,80,07-12-2019,04:00:00,0.00,10.00,21.6,987.12,0.00,000,1009.15,25.2,0.0,25.77
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,80,07-12-2019,04:00:00,0.00,10.00,21.2,965.79,0.00,000,1009.42,25.0,0.0,25.19
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,80,07-12-2019,04:00:00,0.00,10.00,22.0,988.33,0.00,000,1009.02,25.7,0.0,26.37
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,85,07-12-2019,04:00:00,0.00,8.00,23.5,988.94,0.00,230,1009.88,26.1,11.1,28.88
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,78,07-12-2019,04:00:00,0.00,10.00,22.1,1009.02,0.00,350,1009.46,26.3,3.7,26.64
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,90,07-12-2019,04:00:00,0.00,6.00,24.8,1008.13,0.00,000,1009.56,26.5,0.0,31.24
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,94,07-12-2019,04:00:00,0.00,7.00,24.2,1004.65,0.00,000,1009.63,25.2,0.0,30.15
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,74,07-12-2019,04:00:00,0.00,10.00,22.0,1006.07,0.00,000,1009.37,27.1,0.0,26.50
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,86,07-12-2019,04:00:00,0.00,10.00,23.0,1008.25,0.00,000,1009.36,25.5,0.0,28.07
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,72,07-12-2019,04:00:00,0.00,10.00,22.2,1009.17,0.00,000,1009.47,27.7,0.0,26.78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,78,07-12-2019,04:00:00,0.00,10.00,23.7,1009.03,0.00,270,1009.51,27.9,3.7,29.28
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,70,07-12-2019,04:00:00,0.00,10.00,22.2,1008.39,0.00,240,1009.80,28.1,13.0,26.71
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,92,07-12-2019,04:00:00,0.00,10.00,23.9,1002.73,0.00,000,1010.81,25.2,0.0,29.62
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,86,07-12-2019,04:00:00,0.00,10.00,25.4,1008.92,0.00,000,1009.20,28.0,0.0,32.52
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,71,07-12-2019,04:00:00,0.00,10.00,22.6,1006.12,0.00,000,1009.25,28.5,0.0,27.44
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,81,07-12-2019,04:00:00,0.00,10.00,24.4,1003.06,0.00,000,1009.99,28.0,0.0,30.56
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,89,07-12-2019,04:00:00,0.00,7.00,24.4,1004.59,0.00,280,1010.21,26.3,7.4,30.59
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,86,07-12-2019,04:00:00,0.00,.00,21.7,1009.25,0.00,000,1010.52,24.3,0.0,26.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,80,07-12-2019,04:00:00,0.00,11.00,21.7,1009.24,0.00,270,1009.67,25.5,5.6,26.02
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,88,07-12-2019,04:00:00,0.00,8.00,21.5,997.81,0.00,000,1010.25,23.6,0.0,25.60
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,79,07-12-2019,04:00:00,0.00,10.00,22.5,1009.20,0.00,000,1009.92,26.5,0.0,27.25
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,81,07-12-2019,04:00:00,0.00,10.00,25.7,1008.98,0.00,000,1009.50,29.2,0.0,32.96
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,88,07-12-2019,04:00:00,0.00,9.00,25.7,1004.37,0.00,000,1009.52,28.0,0.0,33.08
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,91,07-12-2019,04:00:00,0.00,7.00,23.9,1009.45,0.00,000,1009.86,25.5,0.0,29.64
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,94,07-12-2019,04:00:00,0.00,8.00,24.2,1007.19,0.00,000,1009.99,25.2,0.0,30.15
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,86,07-12-2019,04:00:00,0.00,10.00,23.9,1006.48,0.00,000,1007.27,26.5,0.0,29.62
48501,TRAD,ตราด,ตราด,11.76667,102.88333,96,07-12-2019,04:00:00,0.00,6.00,23.5,1009.24,0.00,110,1009.70,24.2,7.4,28.88
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,07-12-2019,04:00:00,0.00,8.00,24.0,1009.58,0.00,000,1010.27,25.5,0.0,29.91
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,07-12-2019,04:00:00,0.00,8.00,24.0,1007.87,0.00,000,1009.41,25.5,0.0,29.91
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,86,07-12-2019,04:00:00,0.00,10.00,23.9,1009.33,0.00,000,1010.25,26.4,0.0,29.70
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,88,07-12-2019,04:00:00,0.00,10.00,24.5,1008.24,0.00,000,1008.93,26.7,0.0,30.81
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,07-12-2019,04:00:00,0.00,7.00,24.6,1009.40,0.00,000,1010.20,25.3,0.0,30.87
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,97,07-12-2019,04:00:00,1.20,10.00,23.3,1008.69,0.00,000,1009.33,23.9,0.0,28.61
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,07-12-2019,04:00:00,4.70,10.00,22.9,1009.48,0.00,000,1009.89,23.4,0.0,28.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,07-12-2019,04:00:00,1.20,6.00,24.3,1007.48,0.00,000,1011.73,25.0,0.0,30.32
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,07-12-2019,04:00:00,0.00,8.00,24.3,1006.72,0.00,000,1008.34,25.0,0.0,30.32
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,07-12-2019,04:00:00,0.00,7.00,23.6,1006.58,0.00,000,1010.09,24.2,0.0,29.13
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,97,07-12-2019,04:00:00,0.01,8.00,23.6,1008.68,0.00,000,1010.05,24.0,0.0,29.04
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,07-12-2019,04:00:00,0.10,10.00,24.6,1008.81,0.10,000,1009.70,26.0,0.0,30.84
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,94,07-12-2019,04:00:00,0.00,10.00,23.8,1006.97,0.00,000,1010.56,24.8,0.0,29.42
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,86,07-12-2019,04:00:00,0.00,10.00,24.4,1009.43,0.00,000,1009.87,27.0,0.0,30.56
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,97,07-12-2019,04:00:00,8.30,10.00,24.8,1008.59,0.00,000,1009.59,25.4,0.0,31.33
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,93,07-12-2019,04:00:00,0.00,10.00,23.8,1008.88,0.00,080,1009.70,25.0,9.3,29.52
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,07-12-2019,04:00:00,1.40,10.00,23.3,1008.02,0.00,000,1009.86,24.0,0.0,28.53
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,88,07-12-2019,04:00:00,6.00,10.00,23.5,1009.84,0.00,170,1010.60,25.7,1.9,28.95
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,92,07-12-2019,04:00:00,1.00,10.00,24.4,1006.43,0.00,000,1010.45,25.9,0.0,30.65
48570,SATUN,สตูล,สตูล,6.65000,100.08333,93,07-12-2019,04:00:00,3.50,10.00,25.1,1009.45,0.00,000,1010.13,26.3,0.0,31.96
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,88,07-12-2019,04:00:00,1.00,10.00,24.7,1009.04,0.00,000,1010.16,26.9,0.0,31.19
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,07-12-2019,04:00:00,0.00,10.00,24.0,1007.69,0.00,000,1010.64,24.9,0.0,29.87
