WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,StationPressure,AirTemperature,WindDirection
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.1,07-17-2019,13:00:00,5.6,0.00,57,1003.89,0.00,12.00,31.88,1003.21,34.8,270
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.3,07-17-2019,13:00:00,11.1,0.00,48,1002.55,0.00,12.00,28.51,982.10,36.0,240
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.6,07-17-2019,13:00:00,13.0,0.00,59,1003.30,0.00,11.00,30.91,987.01,33.8,310
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.0,07-17-2019,13:00:00,9.3,0.00,55,1003.86,0.00,14.00,29.83,987.88,34.4,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,21.3,07-17-2019,13:00:00,9.3,0.00,43,1002.48,0.00,10.00,25.37,981.35,36.0,180
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,21.4,07-17-2019,13:00:00,18.5,0.00,54,1003.33,0.00,15.00,25.45,960.93,31.9,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,22.2,07-17-2019,13:00:00,5.6,0.00,47,1002.51,0.00,11.00,26.79,982.59,35.3,120
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.2,07-17-2019,13:00:00,11.1,0.00,65,1005.08,0.00,9.00,34.00,984.75,33.7,210
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.4,07-17-2019,13:00:00,13.0,0.00,63,1004.89,0.00,10.00,30.48,1004.46,32.2,210
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.1,07-17-2019,13:00:00,0.0,0.00,62,1004.16,0.00,11.00,31.92,1002.78,33.3,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.4,07-17-2019,13:00:00,3.7,0.00,59,1003.93,0.00,9.00,32.42,999.13,34.5,280
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.3,07-17-2019,13:00:00,11.1,0.00,47,1003.65,0.00,12.00,26.99,1000.46,35.4,320
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,23.9,07-17-2019,13:00:00,3.7,0.00,53,1003.58,0.00,10.00,29.63,1002.51,35.0,290
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.2,07-17-2019,13:00:00,13.0,0.00,64,1004.32,0.00,10.00,32.03,1004.03,32.8,190
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,23.7,07-17-2019,13:00:00,5.6,0.00,58,1004.26,0.00,12.00,29.37,1003.58,33.2,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,24.3,07-17-2019,13:00:00,3.7,0.00,57,1004.53,0.00,10.00,30.46,1004.05,34.0,130
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.9,07-17-2019,13:00:00,20.4,0.00,57,1004.11,0.00,10.00,29.62,1002.74,33.6,250
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,24.1,07-17-2019,13:00:00,16.7,0.00,70,1004.59,0.00,12.00,30.06,1002.94,30.3,200
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,22.2,07-17-2019,13:00:00,14.8,0.00,51,1005.29,0.00,15.00,26.82,997.48,33.9,270
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,24.5,07-17-2019,13:00:00,0.0,0.00,56,1004.26,0.00,10.00,30.76,1003.98,34.7,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.4,07-17-2019,13:00:00,5.6,0.00,66,1004.47,0.00,12.00,30.49,1001.39,31.5,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.4,07-17-2019,13:00:00,14.8,0.00,66,1004.86,0.00,12.00,30.49,998.04,31.5,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,07-17-2019,13:00:00,7.4,0.00,53,1003.62,0.00,7.00,30.35,998.19,35.2,200
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,24.1,07-17-2019,13:00:00,14.8,0.00,57,1006.60,0.00,12.00,30.04,997.50,33.8,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.0,07-17-2019,13:00:00,3.7,0.00,70,1005.18,0.00,14.00,31.68,1003.93,31.1,230
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.8,07-17-2019,13:00:00,11.1,0.00,60,1004.22,0.01,11.00,33.17,1003.80,34.7,140
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.7,07-17-2019,13:00:00,0.0,0.00,60,1004.75,0.00,9.00,29.38,992.74,32.5,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.9,07-17-2019,13:00:00,9.3,0.00,56,1004.49,0.00,10.00,29.58,1003.79,34.0,240
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.2,07-17-2019,13:00:00,11.1,0.00,59,1004.88,0.00,10.00,30.24,1002.50,33.2,230
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.4,07-17-2019,13:00:00,11.1,0.00,69,1005.16,0.00,12.00,32.35,1004.65,31.7,280
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.5,07-17-2019,13:00:00,5.6,0.00,61,1004.49,0.00,13.00,30.82,999.45,33.2,250
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.2,07-17-2019,13:00:00,9.3,0.00,67,1005.16,3.70,9.00,32.02,1004.76,32.1,220
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.4,07-17-2019,13:00:00,7.4,0.00,72,1005.44,0.00,8.00,32.34,1002.71,31.0,280
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.7,07-17-2019,13:00:00,11.1,0.00,59,1006.05,0.00,10.00,27.52,1005.28,31.7,300
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.7,07-17-2019,13:00:00,3.7,1.10,86,1005.54,71.00,7.00,35.00,1005.08,29.2,300
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.8,07-17-2019,13:00:00,14.8,2.10,88,1006.60,2.10,7.00,31.38,1005.92,27.0,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.9,07-17-2019,13:00:00,3.7,3.00,74,1005.88,3.00,9.00,29.74,1004.37,29.0,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,07-17-2019,13:00:00,9.3,31.40,92,1007.77,63.10,4.00,29.00,1006.84,25.0,320
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.8,07-17-2019,13:00:00,7.4,0.00,61,1005.67,0.00,12.00,31.33,1005.00,33.3,280
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,25.9,07-17-2019,13:00:00,7.4,0.00,68,1006.17,2.30,10.00,33.47,1005.39,32.5,330
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.2,07-17-2019,13:00:00,9.3,0.00,53,1005.63,13.70,12.00,28.43,1005.01,34.0,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.3,07-17-2019,13:00:00,18.5,0.00,64,1005.76,10.10,10.00,32.16,1005.36,33.0,230
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.6,07-17-2019,13:00:00,9.3,0.00,67,1007.55,15.40,7.00,32.87,1003.41,32.5,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.9,07-17-2019,13:00:00,9.3,0.00,63,1006.24,2.60,12.00,29.67,1004.66,31.8,250
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.9,07-17-2019,13:00:00,7.4,0.00,81,1007.21,10.90,7.00,29.60,1003.74,27.5,190
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,21.2,07-17-2019,13:00:00,13.0,0.30,50,1006.67,0.70,10.00,25.17,1005.34,32.9,250
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.7,07-17-2019,13:00:00,14.8,0.00,72,1006.62,35.20,10.00,32.97,1005.75,31.3,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.0,07-17-2019,13:00:00,0.0,0.50,90,1007.42,34.30,10.00,31.63,1003.85,26.7,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.2,07-17-2019,13:00:00,0.0,3.60,80,1006.64,83.40,10.00,34.05,1006.21,30.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.6,07-17-2019,13:00:00,0.0,0.60,81,1005.83,41.20,9.00,34.77,1004.85,30.2,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,23.6,07-17-2019,13:00:00,0.0,0.00,85,1007.47,99.20,10.00,29.17,1006.65,26.4,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.1,07-17-2019,13:00:00,7.4,27.70,93,1007.66,55.80,10.00,30.07,1005.84,25.3,120
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.5,07-17-2019,13:00:00,11.1,0.00,57,1006.26,0.20,11.00,29.01,1005.52,33.3,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.0,07-17-2019,13:00:00,18.5,0.01,58,1006.60,0.40,10.00,28.13,1002.68,32.3,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.8,07-17-2019,13:00:00,0.0,0.00,68,1007.71,38.10,10.00,31.35,1007.04,31.5,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.3,07-17-2019,13:00:00,14.8,0.00,58,1007.01,0.60,12.00,28.65,1005.91,32.7,280
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.8,07-17-2019,13:00:00,14.8,0.00,63,1006.38,0.01,12.00,31.23,1003.52,32.7,240
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.7,07-17-2019,13:00:00,13.0,0.00,56,1005.47,13.70,14.00,29.25,1004.79,33.7,230
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.1,07-17-2019,13:00:00,0.0,0.00,51,1006.40,0.00,10.00,26.59,1002.37,33.5,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,21.4,07-17-2019,13:00:00,11.1,0.00,52,1006.66,0.00,12.00,25.49,1006.08,32.5,060
