WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall,RelativeHumidity,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,VaporPressure,WindDirection
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.6,08-03-2019,22:00:00,10.00,1002.60,0.00,67,0.0,0.00,21.8,995.37,26.04,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.2,08-03-2019,22:00:00,10.00,1001.14,0.00,72,5.6,0.00,22.8,981.45,27.69,260
48353,LOEI,เลย,เลย,17.45000,101.73333,29.5,08-03-2019,22:00:00,14.00,1001.13,0.00,55,13.0,0.00,19.6,972.92,22.74,270
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.0,08-03-2019,22:00:00,12.00,1000.83,0.00,68,5.6,0.00,21.6,980.86,25.76,240
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.0,08-03-2019,22:00:00,12.00,1001.01,0.00,58,7.4,0.00,20.0,979.57,23.41,180
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,29.1,08-03-2019,22:00:00,10.00,1000.09,0.00,61,9.3,0.00,20.8,980.88,24.60,240
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.5,08-03-2019,22:00:00,10.00,1002.19,0.90,93,0.0,6.90,24.2,985.45,30.17,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,26.0,08-03-2019,22:00:00,6.00,1002.45,2.20,92,0.0,3.10,24.6,985.07,30.84,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,28.0,08-03-2019,22:00:00,9.00,1001.21,0.00,71,3.7,0.00,22.2,975.69,26.80,210
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,28.6,08-03-2019,22:00:00,10.00,1003.19,0.00,70,9.3,0.40,22.6,997.45,27.36,260
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.5,08-03-2019,22:00:00,10.00,1004.02,0.00,71,9.3,0.20,22.6,997.88,27.44,240
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,29.2,08-03-2019,22:00:00,10.00,1003.04,0.00,66,0.0,0.00,22.3,986.79,26.87,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.2,08-03-2019,22:00:00,6.00,1005.40,10.50,94,0.0,68.10,22.1,982.84,26.66,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.0,08-03-2019,22:00:00,6.00,1003.84,0.00,70,25.9,0.00,22.1,989.55,26.54,260
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,28.0,08-03-2019,22:00:00,7.00,1002.94,0.00,70,11.1,0.00,22.1,986.68,26.54,120
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,29.0,08-03-2019,22:00:00,10.00,1003.98,0.00,66,5.6,0.60,21.9,998.80,26.24,240
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,27.8,08-03-2019,22:00:00,10.00,1002.13,0.00,71,0.0,0.00,22.2,989.04,26.70,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.8,08-03-2019,22:00:00,11.00,1003.53,0.00,67,0.0,0.40,22.1,994.29,26.67,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.9,08-03-2019,22:00:00,10.00,1001.95,0.00,56,13.0,0.00,19.4,980.51,22.49,250
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.5,08-03-2019,22:00:00,10.00,1002.63,0.00,61,11.1,0.00,21.3,985.35,25.30,230
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.0,08-03-2019,22:00:00,10.00,1000.94,0.00,61,9.3,0.00,20.7,985.31,24.42,250
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.0,08-03-2019,22:00:00,10.00,1000.99,0.00,68,9.3,0.00,22.4,982.34,27.03,270
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,23.8,08-03-2019,22:00:00,5.00,1005.90,2.10,91,0.0,22.30,22.3,954.43,26.92,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.2,08-03-2019,22:00:00,8.00,1004.08,0.00,84,0.0,0.60,24.3,1000.13,30.39,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.9,08-03-2019,22:00:00,.05,1005.73,0.80,96,24.1,11.80,20.3,910.58,23.77,240
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.4,08-03-2019,22:00:00,6.00,1001.93,0.00,70,5.6,0.80,22.3,986.10,26.99,230
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,30.2,08-03-2019,22:00:00,10.00,1004.34,0.00,65,3.7,0.30,22.9,1000.36,27.93,270
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,28.7,08-03-2019,22:00:00,8.00,1005.51,0.00,66,0.0,0.20,21.7,994.92,25.96,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.8,08-03-2019,22:00:00,10.00,1005.05,0.00,67,3.7,0.00,22.1,1003.13,26.67,200
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,28.2,08-03-2019,22:00:00,10.00,1003.59,0.00,70,0.0,2.20,22.1,982.88,26.63,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,29.0,08-03-2019,22:00:00,10.00,1001.63,0.00,61,11.1,0.40,20.7,984.18,24.42,230
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.1,08-03-2019,22:00:00,10.00,1001.68,0.00,62,9.3,0.40,21.0,985.72,24.85,230
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.8,08-03-2019,22:00:00,10.00,1003.14,0.00,65,5.6,6.40,21.5,989.24,25.62,230
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,28.0,08-03-2019,22:00:00,10.00,1003.89,0.00,74,0.0,5.90,22.9,989.15,27.85,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,28.2,08-03-2019,22:00:00,6.00,1003.33,0.00,72,3.7,3.00,22.8,988.78,27.69,210
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.8,08-03-2019,22:00:00,10.00,1004.21,0.00,62,0.0,0.01,21.6,1001.23,25.84,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,28.6,08-03-2019,22:00:00,7.00,1003.84,0.00,71,0.0,0.00,22.7,995.95,27.63,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.0,08-03-2019,22:00:00,6.00,1005.42,0.00,70,14.8,0.00,22.1,1004.32,26.54,220
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,28.5,08-03-2019,22:00:00,8.00,1004.80,0.00,81,0.0,0.10,24.9,990.22,31.54,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.3,08-03-2019,22:00:00,.05,1007.22,0.00,98,13.0,0.00,19.0,872.12,21.93,290
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,29.1,08-03-2019,22:00:00,10.00,1004.48,0.00,68,0.0,0.00,22.5,998.66,27.21,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.8,08-03-2019,22:00:00,8.00,1006.23,0.00,66,5.6,0.00,21.8,1005.44,26.14,210
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,28.9,08-03-2019,22:00:00,10.00,1006.21,0.00,65,14.8,0.00,21.6,1005.76,25.80,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.1,08-03-2019,22:00:00,4.00,1007.01,0.80,95,0.0,9.80,24.2,995.64,30.23,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.0,08-03-2019,22:00:00,10.00,1005.88,0.00,75,3.7,0.50,23.2,1004.88,28.39,190
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.3,08-03-2019,22:00:00,8.00,1005.52,0.00,68,9.3,0.00,21.9,1003.71,26.29,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.1,08-03-2019,22:00:00,6.00,1005.63,0.00,69,0.0,0.01,21.9,1004.87,26.19,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,27.8,08-03-2019,22:00:00,10.00,1006.65,0.00,67,18.5,0.00,21.0,1005.95,24.90,250
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.5,08-03-2019,22:00:00,7.00,1005.77,0.00,69,9.3,0.00,22.3,1005.07,26.91,270
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,28.1,08-03-2019,22:00:00,10.00,1004.20,0.00,72,9.3,0.30,22.7,983.18,27.50,240
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.5,08-03-2019,22:00:00,7.00,1004.19,0.00,67,0.0,0.10,21.8,987.61,26.13,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.8,08-03-2019,22:00:00,7.00,1004.49,0.00,71,5.6,0.01,22.2,988.15,26.70,210
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.4,08-03-2019,22:00:00,10.00,1004.47,0.01,64,16.7,0.01,21.0,982.77,24.91,250
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.4,08-03-2019,22:00:00,10.00,1005.54,0.00,69,33.3,0.00,20.3,962.29,23.79,220
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.7,08-03-2019,22:00:00,10.00,1004.17,0.00,64,11.1,0.20,21.2,983.78,25.18,220
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,28.2,08-03-2019,22:00:00,8.00,1005.46,0.00,73,13.0,2.60,22.9,984.76,27.95,230
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.1,08-03-2019,22:00:00,10.00,1006.81,0.00,66,13.0,0.10,21.2,1006.38,25.16,200
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,27.6,08-03-2019,22:00:00,6.00,1005.33,0.00,78,0.0,0.00,23.4,1003.91,28.71,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,27.8,08-03-2019,22:00:00,7.00,1005.76,0.00,71,0.0,0.00,22.2,1000.84,26.70,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,28.0,08-03-2019,22:00:00,10.00,1006.08,0.00,70,3.7,0.40,22.1,1002.80,26.54,240
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,27.0,08-03-2019,22:00:00,10.00,1007.60,0.00,77,0.0,0.01,22.6,1006.49,27.36,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.5,08-03-2019,22:00:00,10.00,1006.73,0.00,64,3.7,0.01,21.2,1006.43,25.09,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,28.2,08-03-2019,22:00:00,10.00,1006.67,0.00,66,5.6,0.00,21.1,1006.18,25.08,160
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.8,08-03-2019,22:00:00,10.00,1006.55,0.00,66,11.1,0.00,21.8,1005.15,26.14,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,27.2,08-03-2019,22:00:00,10.00,1008.46,0.00,70,0.0,0.00,21.2,1000.45,25.13,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.5,08-03-2019,22:00:00,10.00,1006.69,0.00,68,0.0,0.00,22.9,1006.41,27.96,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,08-03-2019,22:00:00,10.00,1006.74,0.00,67,7.4,0.00,21.8,1003.63,26.13,250
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.5,08-03-2019,22:00:00,10.00,1007.09,0.00,66,13.0,0.00,21.6,1000.18,25.86,230
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,08-03-2019,22:00:00,7.00,1005.97,0.00,72,5.6,0.00,22.4,1000.40,27.06,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,08-03-2019,22:00:00,10.00,1007.40,0.00,81,3.7,0.60,22.1,1006.13,26.53,180
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.8,08-03-2019,22:00:00,11.00,1007.12,0.00,73,9.3,4.00,22.5,1006.69,27.22,180
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.1,08-03-2019,22:00:00,10.00,1007.69,0.20,94,0.0,15.80,23.1,995.31,28.19,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.2,08-03-2019,22:00:00,10.00,1007.42,0.20,92,0.0,9.40,23.9,1006.70,29.62,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,28.5,08-03-2019,22:00:00,10.00,1007.47,0.01,69,11.1,0.01,22.1,1005.04,26.65,240
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.0,08-03-2019,22:00:00,10.00,1007.52,0.00,71,20.4,0.00,23.2,1007.01,28.37,270
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,27.7,08-03-2019,22:00:00,10.00,1007.25,0.00,69,5.6,0.00,21.4,1002.11,25.49,180
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.9,08-03-2019,22:00:00,7.00,1007.60,0.00,74,0.0,7.70,22.8,1007.19,27.67,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.8,08-03-2019,22:00:00,8.00,1007.85,0.00,90,3.7,14.60,24.9,1005.08,31.55,270
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.0,08-03-2019,22:00:00,10.00,1008.92,0.00,93,5.6,14.00,23.8,1008.13,29.52,270
48501,TRAD,ตราด,ตราด,11.76667,102.88333,28.3,08-03-2019,22:00:00,7.00,1007.99,0.00,80,9.3,5.20,24.4,1007.53,30.59,290
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.8,08-03-2019,22:00:00,8.00,1008.98,0.00,79,0.0,30.60,23.9,1008.30,29.63,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.0,08-03-2019,22:00:00,8.00,1009.24,0.00,77,3.7,33.00,23.5,1007.72,28.92,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.5,08-03-2019,22:00:00,10.00,1010.23,0.00,78,5.6,28.20,24.2,1009.31,30.15,200
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,28.3,08-03-2019,22:00:00,10.00,1009.25,0.00,80,0.0,3.70,24.6,1008.57,30.87,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.3,08-03-2019,22:00:00,8.00,1010.03,0.00,89,0.0,2.60,24.4,1009.23,30.59,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,27.8,08-03-2019,22:00:00,10.00,1009.19,0.00,80,0.0,0.00,24.0,1008.56,29.90,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,28.0,08-03-2019,22:00:00,10.00,1008.93,0.00,77,0.0,0.00,23.6,1008.52,29.19,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.4,08-03-2019,22:00:00,6.00,1011.11,0.00,97,0.0,9.80,25.0,1006.86,31.60,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.0,08-03-2019,22:00:00,10.00,1010.89,0.00,88,0.0,2.00,23.8,1009.27,29.50,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,26.5,08-03-2019,22:00:00,6.00,1009.98,0.00,92,0.0,0.00,25.1,1006.49,31.79,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,27.5,08-03-2019,22:00:00,10.00,1009.96,0.00,81,0.0,0.00,23.9,1008.60,29.60,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.0,08-03-2019,22:00:00,10.00,1010.17,0.00,78,11.1,0.00,24.7,1009.29,31.13,240
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,27.0,08-03-2019,22:00:00,10.00,1010.05,0.00,88,0.0,0.00,24.8,1006.48,31.38,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.5,08-03-2019,22:00:00,10.00,1010.33,0.00,71,0.0,0.00,23.7,1009.90,29.33,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.6,08-03-2019,22:00:00,10.00,1009.58,0.00,75,5.6,0.00,24.6,1008.59,30.92,220
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.1,08-03-2019,22:00:00,10.00,1010.34,0.00,77,13.0,0.00,24.7,1009.53,31.05,220
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.1,08-03-2019,22:00:00,10.00,1010.65,0.00,88,0.0,0.00,24.9,1008.83,31.58,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.3,08-03-2019,22:00:00,10.00,1010.15,0.00,75,7.4,0.00,23.5,1009.39,28.95,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,27.1,08-03-2019,22:00:00,.00,1010.42,0.00,83,0.0,0.00,23.9,1006.42,29.66,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.8,08-03-2019,22:00:00,10.00,1010.76,0.00,92,0.0,0.00,25.4,1010.07,32.38,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,27.8,08-03-2019,22:00:00,10.00,1010.10,0.00,82,0.0,0.00,24.3,1008.98,30.45,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.2,08-03-2019,22:00:00,10.00,1010.27,0.00,86,0.0,0.00,24.6,1007.34,30.94,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.5,08-03-2019,22:00:00,8.00,1010.19,0.00,88,0.0,0.00,25.4,1009.50,32.36,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.5,08-03-2019,22:00:00,7.00,1010.32,0.00,84,0.0,0.00,24.6,1006.19,30.97,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.0,08-03-2019,22:00:00,10.00,1010.37,0.00,83,0.0,0.00,24.8,1009.78,31.39,000
