WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,DewPoint,Rainfall24Hr,LandVisibility,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure,WindDirection,Rainfall,StationPressure
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.29,08-26-2019,16:00:00,23.3,2.70,14.00,30.1,1.9,67,28.56,290,0.00,1001.19
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.76,08-26-2019,16:00:00,23.4,1.60,8.00,30.1,5.6,68,28.83,210,0.00,1006.35
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.79,08-26-2019,16:00:00,25.6,2.50,8.00,29.0,11.1,82,32.83,260,0.00,1004.04
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.29,08-26-2019,16:00:00,22.5,8.60,8.00,26.6,0.0,78,27.16,000,1.60,1005.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.16,08-26-2019,16:00:00,25.1,7.10,8.00,29.4,13.0,78,31.93,280,0.00,1006.71
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.81,08-26-2019,16:00:00,22.8,1.90,8.00,27.5,11.1,76,27.73,290,0.01,1007.13
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.81,08-26-2019,16:00:00,22.3,0.20,9.00,28.8,11.1,68,26.93,270,0.00,1006.30
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1008.72,08-26-2019,16:00:00,23.4,1.00,10.00,28.5,5.6,74,28.78,270,0.00,1007.81
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.19,08-26-2019,16:00:00,24.4,0.00,10.00,31.4,5.6,67,30.57,290,0.00,1006.51
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.67,08-26-2019,16:00:00,24.4,2.60,10.00,30.8,9.3,69,30.49,200,0.00,1006.88
