WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,RelativeHumidity,VaporPressure,MeanSeaLevelPressure,WindDirection,WindSpeed,AirTemperature,Rainfall,DewPoint,Rainfall24Hr
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,10-14-2019,01:00:00,985.83,96,28.53,1013.75,000,0.0,24.0,0.00,23.3,0.30
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10.00,10-14-2019,01:00:00,978.63,95,28.27,1012.61,000,0.0,24.0,0.00,23.1,0.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.00,10-14-2019,01:00:00,993.26,94,30.15,1011.93,090,1.9,25.2,0.00,24.2,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,10-14-2019,01:00:00,989.64,93,28.81,1012.72,000,0.0,24.6,0.00,23.4,8.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,10-14-2019,01:00:00,982.80,96,27.16,1013.18,000,0.0,23.2,0.00,22.4,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,10-14-2019,01:00:00,976.76,96,28.53,1012.71,000,0.0,24.0,0.00,23.3,0.30
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10.00,10-14-2019,01:00:00,982.30,96,28.35,1012.41,000,0.0,23.9,0.00,23.2,1.30
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.00,10-14-2019,01:00:00,1004.14,92,30.84,1011.50,000,0.0,26.0,0.00,24.6,10.30
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,4.00,10-14-2019,01:00:00,992.41,84,30.59,1012.38,060,3.7,27.3,0.00,24.4,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,8.00,10-14-2019,01:00:00,983.45,92,28.37,1012.45,000,0.0,24.5,0.00,23.2,0.40
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10.00,10-14-2019,01:00:00,992.38,86,28.07,1012.75,080,3.7,25.5,0.00,23.0,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,12.00,10-14-2019,01:00:00,991.31,88,24.48,1013.46,000,0.0,22.9,0.00,20.7,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,11.00,10-14-2019,01:00:00,993.22,82,25.43,1012.96,130,7.4,24.7,0.00,21.4,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10.00,10-14-2019,01:00:00,996.54,67,23.22,1013.41,090,1.9,26.5,0.00,19.9,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10.00,10-14-2019,01:00:00,996.23,91,26.42,1013.95,000,0.0,23.5,0.00,22.0,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10.00,10-14-2019,01:00:00,985.38,92,29.00,1011.43,000,0.0,25.0,0.00,23.5,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,10-14-2019,01:00:00,1005.41,96,33.19,1011.23,000,0.0,26.5,0.00,25.8,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10.00,10-14-2019,01:00:00,1003.89,92,31.79,1010.11,000,0.0,26.5,0.00,25.1,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,10-14-2019,01:00:00,995.40,88,28.59,1012.00,000,0.0,25.5,0.00,23.3,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.00,10-14-2019,01:00:00,987.32,89,27.35,1009.88,000,0.0,24.5,0.00,22.6,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,10-14-2019,01:00:00,997.83,93,31.00,1012.35,000,0.0,25.8,0.00,24.6,24.70
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,8.00,10-14-2019,01:00:00,995.26,97,29.93,1011.86,000,0.0,24.5,0.00,24.1,7.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,10-14-2019,01:00:00,1006.05,92,32.77,1011.30,010,3.7,27.0,0.01,25.6,0.01
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10.00,10-14-2019,01:00:00,997.08,93,30.25,1010.39,000,0.0,25.4,0.00,24.2,0.60
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,10-14-2019,01:00:00,1002.44,94,33.02,1011.81,000,0.0,26.7,0.00,25.7,4.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,8.00,10-14-2019,01:00:00,990.34,69,23.46,1012.19,060,5.6,26.2,0.00,20.1,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10.00,10-14-2019,01:00:00,992.57,84,27.29,1010.21,000,0.0,25.5,0.00,22.5,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10.00,10-14-2019,01:00:00,996.11,79,24.37,1012.15,000,0.0,24.5,0.00,20.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,7.00,10-14-2019,01:00:00,992.24,85,25.03,1011.41,000,0.0,23.7,0.00,21.1,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,6.00,10-14-2019,01:00:00,960.88,93,25.76,1012.89,000,0.0,22.8,0.00,21.6,10.10
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,5.00,10-14-2019,01:00:00,1007.08,93,29.89,1011.08,000,0.0,25.2,9.10,24.0,9.10
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,10-14-2019,01:00:00,916.67,95,25.37,1012.05,060,9.3,22.1,0.00,21.3,3.80
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,7.00,10-14-2019,01:00:00,995.67,87,26.42,1011.87,000,0.0,24.4,0.00,22.0,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,9.00,10-14-2019,01:00:00,1007.30,94,33.54,1011.35,340,1.9,27.1,1.30,26.0,1.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,7.00,10-14-2019,01:00:00,1001.06,87,30.72,1011.79,000,0.0,26.8,0.00,24.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,9.00,10-14-2019,01:00:00,1009.10,80,28.23,1011.04,300,3.7,26.9,0.00,23.1,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10.00,10-14-2019,01:00:00,990.61,81,27.05,1011.65,000,0.0,25.8,0.00,22.4,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,10-14-2019,01:00:00,993.88,78,24.21,1011.76,070,5.6,24.7,0.00,20.6,0.10
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,10-14-2019,01:00:00,995.44,76,24.78,1011.75,000,0.0,25.5,0.00,20.9,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,10-14-2019,01:00:00,997.47,76,24.04,1011.66,050,3.7,24.9,0.00,20.5,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,7.00,10-14-2019,01:00:00,996.93,82,24.78,1011.97,040,3.7,24.3,0.00,20.9,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,6.00,10-14-2019,01:00:00,997.02,87,26.84,1011.89,000,0.0,24.5,0.00,22.3,5.30
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,10-14-2019,01:00:00,1007.46,85,31.25,1010.49,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,27.5,0.10,24.8,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,10-14-2019,01:00:00,1003.30,94,31.65,1011.31,000,0.0,26.0,0.00,25.0,16.70
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,7.00,10-14-2019,01:00:00,1009.69,90,32.61,1010.80,000,0.0,27.2,0.00,25.5,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,10-14-2019,01:00:00,996.80,95,31.17,1011.62,000,0.0,25.6,0.00,24.7,6.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,9.00,10-14-2019,01:00:00,877.11,96,22.32,1012.68,160,5.6,19.9,0.00,19.3,1.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,10-14-2019,01:00:00,1005.31,90,29.19,1011.25,000,0.0,25.4,0.00,23.6,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10.00,10-14-2019,01:00:00,1010.00,87,32.48,1010.80,080,3.7,27.7,0.00,25.4,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,8.00,10-14-2019,01:00:00,1009.94,93,32.86,1010.38,000,0.0,26.9,0.00,25.6,5.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,10-14-2019,01:00:00,999.82,93,31.00,1011.21,000,0.0,25.8,0.00,24.6,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.00,10-14-2019,01:00:00,1009.68,90,32.93,1010.70,000,0.0,27.5,1.60,25.7,1.60
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,10-14-2019,01:00:00,1009.21,84,30.89,1011.03,000,0.0,27.6,0.00,24.6,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,10-14-2019,01:00:00,1010.05,90,32.81,1010.82,000,0.0,27.3,0.00,25.6,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,10-14-2019,01:00:00,1010.25,91,31.13,1010.96,000,0.0,26.3,0.01,24.7,4.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,10-14-2019,01:00:00,1010.07,85,31.64,1010.77,000,0.0,27.7,0.00,25.0,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,7.00,10-14-2019,01:00:00,990.47,87,28.33,1011.83,000,0.0,25.5,0.00,23.1,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.00,10-14-2019,01:00:00,994.57,92,28.29,1011.49,050,3.7,24.6,0.00,23.1,2.70
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.00,10-14-2019,01:00:00,995.63,93,27.76,1012.31,000,0.0,24.0,0.00,22.8,2.70
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,10-14-2019,01:00:00,989.59,88,28.59,1011.65,000,0.0,25.5,0.00,23.3,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10.00,10-14-2019,01:00:00,967.96,80,25.52,1011.65,110,7.4,25.2,0.00,21.4,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,10-14-2019,01:00:00,990.62,92,28.47,1011.42,000,0.0,24.7,0.00,23.2,5.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,8.00,10-14-2019,01:00:00,992.02,100,29.82,1013.17,070,7.4,24.0,0.00,24.0,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,8.00,10-14-2019,01:00:00,1010.60,85,29.17,1011.04,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,26.4,47.10,23.6,65.30
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,10-14-2019,01:00:00,1009.38,94,32.04,1010.80,000,0.0,26.2,0.00,25.2,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,10-14-2019,01:00:00,1005.91,96,33.19,1010.87,000,0.0,26.5,0.00,25.8,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,8.00,10-14-2019,01:00:00,1007.73,91,33.50,1011.03,180,3.7,27.5,0.00,25.9,19.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-14-2019,01:00:00,1009.92,90,33.21,1011.02,000,0.0,27.5,0.00,25.8,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,10-14-2019,01:00:00,1010.40,94,31.46,1010.71,000,0.0,25.9,0.00,24.9,22.30
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,10-14-2019,01:00:00,1011.55,92,30.84,1012.04,000,0.0,26.0,0.00,24.6,4.80
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,10-14-2019,01:00:00,1009.46,83,30.04,1010.87,130,5.6,27.3,0.00,24.1,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,10-14-2019,01:00:00,1004.40,96,29.41,1012.52,000,0.0,24.5,0.00,23.8,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.00,10-14-2019,01:00:00,1010.31,93,31.96,1010.60,000,0.0,26.3,0.00,25.1,1.20
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,10-14-2019,01:00:00,1003.48,92,29.36,1010.48,000,0.0,25.2,0.00,23.7,42.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,10-14-2019,01:00:00,1005.55,85,31.95,1011.15,000,0.0,28.0,0.01,25.1,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,6.00,10-14-2019,01:00:00,1011.33,97,30.30,1012.61,180,3.7,24.7,9.50,24.3,9.50
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,10-14-2019,01:00:00,1010.62,92,30.09,1011.05,240,5.6,25.6,8.40,24.1,9.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,6.00,10-14-2019,01:00:00,998.87,92,30.28,1011.23,000,0.0,25.7,0.00,24.2,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,9.00,10-14-2019,01:00:00,1010.39,88,33.99,1011.11,140,7.4,28.3,0.01,26.2,0.01
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,8.00,10-14-2019,01:00:00,1009.22,94,29.79,1011.68,000,0.0,25.0,0.30,24.0,60.30
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,7.00,10-14-2019,01:00:00,1010.70,95,30.60,1011.23,000,0.0,25.3,0.00,24.4,6.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,8.00,10-14-2019,01:00:00,1005.50,95,30.05,1010.71,350,1.9,25.0,0.00,24.1,14.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,10-14-2019,01:00:00,1010.70,93,30.25,1011.11,000,0.0,25.4,0.00,24.2,17.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,10-14-2019,01:00:00,1008.22,93,29.89,1011.02,000,0.0,25.2,0.00,24.0,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,10-14-2019,01:00:00,1009.77,86,30.26,1010.56,000,0.0,26.7,0.00,24.2,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,10-14-2019,01:00:00,1010.73,96,28.53,1011.19,100,7.4,24.0,0.00,23.3,4.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,4.00,10-14-2019,01:00:00,1009.89,91,30.76,1010.58,000,0.0,26.1,0.00,24.5,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,10-14-2019,01:00:00,1008.58,93,31.76,1010.12,000,0.0,26.2,1.00,25.0,1.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,10-14-2019,01:00:00,1010.05,94,29.42,1010.97,000,0.0,24.8,0.00,23.8,15.50
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,10-14-2019,01:00:00,1010.44,87,32.80,1011.13,040,7.4,28.0,0.00,25.6,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,8.00,10-14-2019,01:00:00,1010.11,94,28.36,1010.91,000,0.0,24.2,0.00,23.2,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,10-14-2019,01:00:00,1009.56,96,30.32,1010.20,000,0.0,25.0,0.00,24.3,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,10-14-2019,01:00:00,1010.03,96,30.69,1010.44,000,0.0,25.2,0.00,24.5,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,2.00,10-14-2019,01:00:00,1008.76,98,30.38,1013.02,000,0.0,24.6,0.00,24.3,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,7.00,10-14-2019,01:00:00,1008.26,96,28.53,1009.89,000,0.0,24.0,0.00,23.3,34.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,5.00,10-14-2019,01:00:00,1007.32,97,28.61,1010.85,000,0.0,23.9,0.00,23.3,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,10-14-2019,01:00:00,1010.31,96,30.32,1011.68,000,0.0,25.0,0.00,24.3,0.40
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,15.00,10-14-2019,01:00:00,1009.51,96,29.41,1010.41,000,0.0,24.5,0.00,23.8,3.40
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,10-14-2019,01:00:00,1009.77,93,30.07,1010.21,330,3.7,25.3,0.00,24.1,7.60
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,9.00,10-14-2019,01:00:00,1009.18,97,30.58,1010.18,120,3.7,25.0,0.00,24.4,5.40
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,10-14-2019,01:00:00,1009.62,94,30.90,1010.45,000,0.0,25.6,0.00,24.6,2.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,8.00,10-14-2019,01:00:00,1009.02,97,29.49,1010.86,000,0.0,24.4,0.00,23.8,11.50
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,10-14-2019,01:00:00,1009.66,91,29.46,1010.42,200,3.7,25.4,0.30,23.8,0.30
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,10-14-2019,01:00:00,1006.81,98,30.02,1010.86,100,5.6,24.4,0.00,24.1,25.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,10-14-2019,01:00:00,1010.06,91,27.69,1010.75,000,0.0,24.4,0.40,22.8,14.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,10-14-2019,01:00:00,1009.36,96,30.69,1010.49,000,0.0,25.2,0.00,24.5,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,10-14-2019,01:00:00,1008.21,95,31.17,1011.15,000,0.0,25.6,0.00,24.7,16.50
