WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,Rainfall,WindSpeed,WindDirection,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall24Hr,StationPressure,LandVisibility
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,98,08-23-2019,04:00:00,25.5,0.00,0.0,000,1006.58,32.07,25.2,5.40,986.60,10.00
48353,LOEI,เลย,เลย,17.45000,101.73333,94,08-23-2019,04:00:00,23.7,0.00,0.0,000,1006.74,27.50,22.7,1.90,977.82,10.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,95,08-23-2019,04:00:00,25.5,0.50,3.7,100,1006.70,30.98,24.6,3.40,986.45,10.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,93,08-23-2019,04:00:00,23.8,18.80,0.0,000,1007.51,27.42,22.6,41.10,985.55,4.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,98,08-23-2019,04:00:00,23.5,20.00,11.1,280,1007.13,28.42,23.2,35.00,987.43,6.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,96,08-23-2019,04:00:00,24.5,12.80,0.0,000,1007.87,29.41,23.8,16.00,990.98,5.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,95,08-23-2019,04:00:00,23.8,3.20,0.0,000,1007.82,27.92,22.9,12.00,990.22,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,97,08-23-2019,04:00:00,25.4,0.00,0.0,000,1006.67,31.33,24.8,1.30,980.78,8.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,99,08-23-2019,04:00:00,25.3,0.50,0.0,000,1007.72,31.96,25.1,18.90,1001.90,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,100,08-23-2019,04:00:00,24.6,1.00,0.0,000,1006.15,30.91,24.6,58.50,999.91,6.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,94,08-23-2019,04:00:00,24.0,0.00,0.0,000,1007.88,28.01,23.0,18.50,991.27,7.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,95,08-23-2019,04:00:00,24.3,4.20,0.0,000,1006.10,28.79,23.4,30.20,983.61,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,96,08-23-2019,04:00:00,24.9,3.60,0.0,000,1007.73,30.13,24.2,13.30,993.23,6.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,96,08-23-2019,04:00:00,24.6,0.30,0.0,000,1006.63,29.59,23.9,3.50,990.13,6.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,95,08-23-2019,04:00:00,24.9,1.00,0.0,000,1007.06,29.87,24.0,19.30,1001.79,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,92,08-23-2019,04:00:00,24.5,0.40,0.0,000,1006.58,28.37,23.2,15.80,993.28,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,96,08-23-2019,04:00:00,25.1,0.00,0.0,000,1007.18,30.50,24.4,5.80,997.80,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,97,08-23-2019,04:00:00,24.3,4.70,0.0,000,1007.37,29.57,23.9,27.80,985.49,6.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,96,08-23-2019,04:00:00,25.5,0.50,0.0,000,1007.78,31.25,24.8,1.20,990.18,8.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,97,08-23-2019,04:00:00,24.1,21.20,0.0,000,1006.03,29.22,23.7,34.30,990.06,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,95,08-23-2019,04:00:00,25.1,0.80,0.0,000,1006.48,30.23,24.2,0.80,987.49,6.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,96,08-23-2019,04:00:00,23.0,0.00,0.0,000,1009.50,26.83,22.2,13.90,957.70,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,97,08-23-2019,04:00:00,25.5,0.70,0.0,000,1006.66,31.79,25.1,26.70,1002.68,5.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,08-23-2019,04:00:00,20.8,1.50,5.6,180,1007.17,24.08,20.5,18.30,911.85,.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,99,08-23-2019,04:00:00,24.1,4.90,0.0,000,1007.66,29.74,23.9,35.70,991.51,4.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,98,08-23-2019,04:00:00,26.2,0.00,0.0,000,1007.17,33.15,25.8,11.90,1003.12,7.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,93,08-23-2019,04:00:00,25.3,0.00,0.0,000,1008.12,30.07,24.1,7.40,997.37,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,08-23-2019,04:00:00,26.0,0.00,3.7,150,1007.64,30.84,24.6,6.70,1005.70,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,93,08-23-2019,04:00:00,25.0,0.00,0.0,000,1007.72,29.52,23.8,1.40,986.71,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,95,08-23-2019,04:00:00,25.1,2.40,0.0,000,1007.18,30.23,24.2,5.80,989.41,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,99,08-23-2019,04:00:00,25.1,6.10,0.0,000,1007.19,31.58,24.9,9.30,990.92,7.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,96,08-23-2019,04:00:00,25.0,1.30,7.4,290,1008.18,30.32,24.3,26.50,994.04,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,97,08-23-2019,04:00:00,24.5,0.00,0.0,000,1009.18,29.93,24.1,26.60,994.20,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,98,08-23-2019,04:00:00,25.5,0.30,0.0,000,1008.97,32.07,25.2,4.60,994.20,5.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,95,08-23-2019,04:00:00,26.4,0.00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1006.93,32.71,25.5,2.40,1003.91,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,95,08-23-2019,04:00:00,25.3,1.10,0.0,000,1007.07,30.60,24.4,2.60,999.08,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,89,08-23-2019,04:00:00,26.2,0.00,5.6,180,1007.65,30.13,24.2,3.50,1006.53,7.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,92,08-23-2019,04:00:00,26.2,0.00,0.0,000,1005.81,31.22,24.8,4.60,991.10,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-23-2019,04:00:00,19.2,0.00,9.3,200,1009.35,22.01,19.0,47.20,873.93,.10
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,93,08-23-2019,04:00:00,25.5,0.00,0.0,000,1007.67,30.17,24.2,0.20,1001.75,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,94,08-23-2019,04:00:00,25.5,0.00,3.7,240,1008.21,30.71,24.5,0.60,1007.40,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,79,08-23-2019,04:00:00,28.9,0.00,11.1,210,1007.57,31.49,24.9,0.50,1007.13,9.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,08-23-2019,04:00:00,25.0,2.20,0.0,000,1008.21,30.32,24.3,11.50,996.82,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,84,08-23-2019,04:00:00,27.0,0.00,0.0,000,1007.76,30.02,24.1,0.00,1006.75,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,91,08-23-2019,04:00:00,26.1,0.00,0.0,000,1007.61,30.76,24.5,0.00,1005.78,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,90,08-23-2019,04:00:00,26.0,0.00,0.0,000,1007.51,30.30,24.3,0.30,1006.74,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,96,08-23-2019,04:00:00,27.3,0.00,3.7,080,1008.23,34.81,26.6,0.01,1007.52,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,92,08-23-2019,04:00:00,26.2,0.10,3.7,090,1007.98,31.22,24.8,0.70,1007.27,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,79,08-23-2019,04:00:00,26.4,0.00,1.9,210,1007.63,27.07,22.4,1.30,986.42,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,92,08-23-2019,04:00:00,26.0,0.00,0.0,000,1007.63,30.84,24.6,1.30,990.85,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,92,08-23-2019,04:00:00,26.0,0.00,3.7,180,1008.32,30.84,24.6,1.20,991.81,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,81,08-23-2019,04:00:00,26.0,0.00,0.0,000,1008.10,27.14,22.4,0.00,986.15,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,84,08-23-2019,04:00:00,25.0,0.00,0.0,000,1008.08,26.69,22.2,5.40,964.52,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,85,08-23-2019,04:00:00,26.4,0.00,3.7,160,1007.49,29.17,23.6,0.01,986.88,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,99,08-23-2019,04:00:00,25.6,0.00,7.4,200,1009.28,32.53,25.4,0.20,988.32,6.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,80,08-23-2019,04:00:00,27.8,0.00,11.1,240,1007.62,29.90,24.0,23.90,1007.19,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,08-23-2019,04:00:00,25.5,0.10,0.0,000,1007.89,31.25,24.8,0.60,1006.46,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,98,08-23-2019,04:00:00,25.4,0.01,0.0,000,1008.13,31.87,25.1,17.80,1003.17,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,83,08-23-2019,04:00:00,26.8,0.00,0.0,000,1007.54,29.10,23.6,0.01,1004.24,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,97,08-23-2019,04:00:00,26.2,0.00,0.0,000,1007.76,32.87,25.6,1.30,1006.65,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,94,08-23-2019,04:00:00,27.4,0.00,0.0,000,1007.75,34.15,26.3,3.70,1007.45,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,98,08-23-2019,04:00:00,26.5,0.00,0.0,000,1007.75,33.75,26.1,18.90,1007.26,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,99,08-23-2019,04:00:00,26.3,0.00,0.0,000,1007.90,33.91,26.1,6.40,1006.49,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,96,08-23-2019,04:00:00,26.0,0.01,0.0,000,1009.36,32.20,25.3,0.01,1001.31,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,86,08-23-2019,04:00:00,28.3,0.00,7.4,180,1007.51,33.12,25.8,0.00,1007.23,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,74,08-23-2019,04:00:00,28.5,0.00,0.0,000,1007.77,28.78,23.4,0.00,1004.65,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,81,08-23-2019,04:00:00,28.0,0.00,9.3,210,1008.08,30.56,24.4,0.00,1001.15,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,08-23-2019,04:00:00,25.7,0.00,0.0,000,1008.38,30.28,24.2,4.10,1002.75,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,96,08-23-2019,04:00:00,25.6,0.00,0.0,000,1008.69,31.44,24.9,15.90,1007.42,6.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,78,08-23-2019,04:00:00,28.3,0.00,9.3,300,1007.59,30.04,24.1,0.00,1007.16,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,91,08-23-2019,04:00:00,25.3,0.00,0.0,000,1008.19,29.28,23.7,0.00,995.85,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,81,08-23-2019,04:00:00,27.5,0.00,0.0,000,1008.08,29.60,23.9,0.00,1007.37,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,78,08-23-2019,04:00:00,28.3,0.00,3.7,220,1008.26,30.04,24.1,0.00,1005.84,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,76,08-23-2019,04:00:00,29.0,0.00,9.3,270,1008.53,30.57,24.4,0.00,1008.01,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,79,08-23-2019,04:00:00,27.9,0.00,1.9,220,1007.98,29.82,24.0,0.00,1002.84,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,90,08-23-2019,04:00:00,27.3,0.00,0.0,000,1008.36,32.53,25.4,0.80,1007.94,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,95,08-23-2019,04:00:00,25.8,0.00,0.0,000,1008.59,31.55,24.9,0.00,1005.81,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,85,08-23-2019,04:00:00,26.0,0.00,11.1,300,1008.86,28.70,23.4,0.00,1008.07,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,97,08-23-2019,04:00:00,24.8,1.20,5.6,100,1009.08,30.48,24.4,21.50,1008.62,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,94,08-23-2019,04:00:00,25.0,0.60,0.0,000,1009.48,29.79,24.0,35.70,1008.80,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,92,08-23-2019,04:00:00,25.5,0.00,0.0,000,1008.97,29.91,24.0,2.60,1007.43,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,95,08-23-2019,04:00:00,24.4,7.10,0.0,000,1009.80,28.97,23.5,8.60,1008.88,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,80,08-23-2019,04:00:00,27.5,0.00,0.0,000,1009.87,29.33,23.7,0.00,1009.18,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,08-23-2019,04:00:00,25.0,0.00,0.0,000,1009.81,30.58,24.4,0.00,1009.00,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,92,08-23-2019,04:00:00,26.2,0.00,0.0,000,1009.80,31.22,24.8,0.20,1009.17,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,93,08-23-2019,04:00:00,25.8,0.00,0.0,000,1009.56,31.00,24.6,0.00,1009.15,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,94,08-23-2019,04:00:00,26.8,0.00,5.6,230,1012.11,32.94,25.7,0.00,1007.88,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,97,08-23-2019,04:00:00,24.8,0.00,0.0,000,1010.63,30.48,24.4,1.20,1009.01,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,08-23-2019,04:00:00,25.0,0.00,0.0,000,1010.49,30.85,24.6,1.20,1006.98,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,93,08-23-2019,04:00:00,25.6,0.00,0.0,000,1010.06,30.36,24.3,0.00,1008.69,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,98,08-23-2019,04:00:00,24.5,0.40,0.0,000,1009.70,30.20,24.2,29.10,1008.81,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,08-23-2019,04:00:00,24.0,0.00,0.0,000,1009.86,28.53,23.3,8.00,1006.26,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,95,08-23-2019,04:00:00,25.1,4.00,0.0,000,1009.55,30.23,24.2,23.60,1009.11,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,95,08-23-2019,04:00:00,24.8,0.00,0.0,000,1008.12,29.69,23.9,9.20,1007.12,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,94,08-23-2019,04:00:00,24.6,40.80,0.0,000,1009.36,29.07,23.6,42.00,1008.54,8.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,93,08-23-2019,04:00:00,25.0,0.00,0.0,000,1010.12,29.52,23.8,2.70,1008.29,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,82,08-23-2019,04:00:00,26.5,0.00,3.7,250,1010.00,28.29,23.1,3.30,1009.25,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,95,08-23-2019,04:00:00,24.1,0.00,0.0,000,1010.41,28.44,23.2,0.60,1006.36,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,93,08-23-2019,04:00:00,24.5,0.00,0.0,000,1010.29,28.63,23.3,10.70,1009.60,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,88,08-23-2019,04:00:00,26.0,0.00,0.0,000,1009.93,29.50,23.8,3.00,1008.80,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,95,08-23-2019,04:00:00,24.5,0.00,0.0,000,1010.51,29.15,23.6,1.30,1007.56,10.00
